date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,828.05,831.0,826.05,829.57,1262
2015-01-02 00:00:00+05:30,833.0,840.0,833.0,838.49,2932
2015-01-05 00:00:00+05:30,840.0,844.0,834.0,837.11,5342
2015-01-06 00:00:00+05:30,834.0,834.0,815.35,818.59,11251
2015-01-07 00:00:00+05:30,818.42,820.0,810.0,814.08,13259
2015-01-08 00:00:00+05:30,818.3,823.0,816.6,822.49,5679
2015-01-09 00:00:00+05:30,825.0,828.5,820.0,827.34,3736
2015-01-12 00:00:00+05:30,829.0,835.0,826.0,834.45,5410
2015-01-13 00:00:00+05:30,834.0,837.6,828.1,834.66,13705
2015-01-14 00:00:00+05:30,837.65,837.65,824.0,829.65,28640
2015-01-15 00:00:00+05:30,830.3,850.95,830.3,850.0,52619
2015-01-16 00:00:00+05:30,845.0,854.0,845.0,852.47,4160
2015-01-19 00:00:00+05:30,853.0,858.0,851.05,857.33,1829
2015-01-20 00:00:00+05:30,859.9,868.8,857.95,867.16,7383
2015-01-21 00:00:00+05:30,868.0,875.0,867.05,872.28,14378
2015-01-22 00:00:00+05:30,876.0,878.9,871.15,875.41,11304
2015-01-23 00:00:00+05:30,878.0,886.0,878.0,881.19,3369
2015-01-27 00:00:00+05:30,888.0,889.0,880.0,886.38,10183
2015-01-28 00:00:00+05:30,887.0,896.65,886.2,893.0,28062
2015-01-29 00:00:00+05:30,889.0,894.0,887.05,891.66,1650
2015-01-30 00:00:00+05:30,963.0,963.0,880.7,885.07,3617
2015-02-02 00:00:00+05:30,881.05,884.0,876.0,879.34,12961
2015-02-03 00:00:00+05:30,891.0,891.0,876.0,882.49,10075
2015-02-04 00:00:00+05:30,881.0,881.0,870.0,872.92,19139
2015-02-05 00:00:00+05:30,874.0,884.9,873.0,873.87,6054
2015-02-06 00:00:00+05:30,873.0,873.95,867.4,868.83,2888
2015-02-09 00:00:00+05:30,816.7,865.0,816.7,855.97,3724
2015-02-10 00:00:00+05:30,850.95,860.0,847.0,855.1,58632
2015-02-11 00:00:00+05:30,861.95,864.0,859.0,861.44,8672
2015-02-12 00:00:00+05:30,862.0,873.86,860.05,869.84,38324
2015-02-13 00:00:00+05:30,875.0,882.7,873.0,880.54,11398
2015-02-16 00:00:00+05:30,883.0,887.95,878.05,883.28,4364
2015-02-18 00:00:00+05:30,883.0,890.0,881.0,886.73,11852
2015-02-19 00:00:00+05:30,887.0,890.56,883.0,889.49,2750
2015-02-20 00:00:00+05:30,887.8,889.94,882.05,884.37,2977
2015-02-23 00:00:00+05:30,885.0,888.0,875.0,876.28,2378
2015-02-24 00:00:00+05:30,880.0,882.0,875.0,876.99,3610
2015-02-25 00:00:00+05:30,881.0,885.95,879.0,881.28,1857
2015-02-26 00:00:00+05:30,880.0,880.0,871.0,872.62,2111
2015-02-27 00:00:00+05:30,876.0,888.48,872.25,885.47,5147
2015-03-02 00:00:00+05:30,897.0,898.7,892.0,896.43,3288
2015-03-03 00:00:00+05:30,895.0,901.95,894.01,900.15,2626
2015-03-04 00:00:00+05:30,906.0,909.0,890.25,897.51,5528
2015-03-05 00:00:00+05:30,899.0,899.0,892.2,895.65,2682
2015-03-09 00:00:00+05:30,889.0,891.0,876.5,880.47,18841
2015-03-10 00:00:00+05:30,885.0,885.0,870.05,875.0,20921
2015-03-11 00:00:00+05:30,874.0,879.0,872.15,874.82,4048
2015-03-12 00:00:00+05:30,877.0,881.8,877.0,879.53,2942
2015-03-13 00:00:00+05:30,883.0,886.5,865.5,871.7,7217
