date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,14.2,14.5,13.4,14.4,11696
2015-01-02 00:00:00+05:30,14.6,15.5,13.8,15.25,71105
2015-01-05 00:00:00+05:30,15.2,16.45,15.2,15.5,37742
2015-01-06 00:00:00+05:30,16.0,16.14,14.95,15.15,7948
2015-01-07 00:00:00+05:30,14.9,15.4,14.2,14.95,1446
2015-01-08 00:00:00+05:30,15.0,15.0,14.1,14.7,4232
2015-01-09 00:00:00+05:30,15.45,15.45,14.3,14.4,4334
2015-01-12 00:00:00+05:30,14.3,15.6,14.3,14.9,3407
2015-01-13 00:00:00+05:30,14.8,17.85,14.3,17.85,162053
2015-01-14 00:00:00+05:30,18.5,19.85,16.2,17.0,122907
2015-01-15 00:00:00+05:30,17.0,18.14,16.3,17.35,17328
2015-01-16 00:00:00+05:30,17.1,17.3,16.55,17.3,1393
2015-01-19 00:00:00+05:30,17.05,18.0,16.55,17.0,7098
2015-01-20 00:00:00+05:30,16.6,17.1,16.39,16.6,3410
2015-01-21 00:00:00+05:30,16.55,16.85,15.25,15.7,20346
2015-01-22 00:00:00+05:30,16.89,16.95,15.6,16.2,36466
2015-01-23 00:00:00+05:30,15.95,15.95,15.35,15.4,4203
2015-01-27 00:00:00+05:30,15.4,15.9,15.4,15.4,3338
2015-01-28 00:00:00+05:30,16.0,16.8,14.1,14.75,9782
2015-01-29 00:00:00+05:30,14.55,14.85,14.55,14.7,1561
2015-01-30 00:00:00+05:30,15.6,16.3,14.25,14.65,25160
2015-02-02 00:00:00+05:30,16.3,16.3,14.5,14.55,15125
2015-02-03 00:00:00+05:30,14.4,15.0,14.25,14.55,6199
2015-02-04 00:00:00+05:30,14.4,14.85,13.45,14.05,24576
2015-02-05 00:00:00+05:30,13.9,14.5,13.15,14.25,20321
2015-02-06 00:00:00+05:30,14.5,15.05,13.75,14.95,19363
2015-02-09 00:00:00+05:30,14.7,14.9,13.9,14.1,2052
2015-02-10 00:00:00+05:30,14.0,14.35,14.0,14.25,2542
2015-02-11 00:00:00+05:30,14.0,14.2,13.6,14.2,1747
2015-02-12 00:00:00+05:30,14.0,15.35,13.9,15.3,11350
2015-02-13 00:00:00+05:30,15.5,16.0,14.75,14.95,16531
2015-02-16 00:00:00+05:30,15.3,15.3,14.9,15.15,9311
2015-02-18 00:00:00+05:30,14.9,15.75,14.9,15.0,3410
2015-02-19 00:00:00+05:30,15.0,15.0,14.4,14.75,8306
2015-02-20 00:00:00+05:30,15.8,15.85,14.8,15.1,5078
2015-02-23 00:00:00+05:30,16.1,16.1,14.05,14.9,4312
2015-02-24 00:00:00+05:30,14.7,15.15,14.4,14.85,7500
2015-02-25 00:00:00+05:30,14.7,15.45,14.2,14.7,5148
2015-02-26 00:00:00+05:30,14.6,15.35,14.4,14.4,5011
2015-02-27 00:00:00+05:30,15.15,15.25,14.3,14.3,1634
2015-03-02 00:00:00+05:30,16.45,16.45,14.15,14.55,5266
2015-03-03 00:00:00+05:30,15.6,15.65,15.2,15.2,2639
2015-03-04 00:00:00+05:30,15.0,15.4,14.15,14.5,9531
2015-03-05 00:00:00+05:30,14.35,14.95,13.7,14.25,2841
2015-03-09 00:00:00+05:30,14.4,14.4,13.5,14.0,4909
2015-03-10 00:00:00+05:30,14.8,14.8,13.5,14.2,10849
2015-03-11 00:00:00+05:30,14.0,14.0,13.25,13.5,7286
2015-03-12 00:00:00+05:30,14.45,14.45,12.9,13.9,4684
2015-03-13 00:00:00+05:30,13.8,13.8,12.75,13.7,12508
2015-03-16 00:00:00+05:30,13.5,13.9,12.55,12.85,7324
2015-03-17 00:00:00+05:30,12.7,13.7,12.55,12.7,571
2015-03-18 00:00:00+05:30,13.0,13.0,12.2,12.75,10379
2015-03-19 00:00:00+05:30,12.5,13.4,12.2,12.6,2881
2015-03-20 00:00:00+05:30,12.5,12.85,12.5,12.85,711
2015-03-23 00:00:00+05:30,12.75,12.95,11.5,11.75,21886
2015-03-24 00:00:00+05:30,11.6,11.9,11.15,11.5,15183
2015-03-25 00:00:00+05:30,12.9,13.0,11.5,11.75,4793
2015-03-26 00:00:00+05:30,11.5,11.6,10.8,10.95,12249
2015-03-27 00:00:00+05:30,11.1,12.0,10.19,11.75,68842
2015-03-30 00:00:00+05:30,13.9,13.9,12.0,12.1,1250
2015-03-31 00:00:00+05:30,12.0,12.0,11.9,11.9,1698
2015-04-01 00:00:00+05:30,11.9,12.7,11.7,12.7,1272
2015-04-06 00:00:00+05:30,12.5,13.2,12.0,13.2,2154
2015-04-07 00:00:00+05:30,13.1,13.1,10.7,11.7,11481
2015-04-08 00:00:00+05:30,12.5,12.5,11.75,11.75,7780
2015-04-09 00:00:00+05:30,11.6,12.4,11.6,12.25,910
2015-04-10 00:00:00+05:30,12.25,12.45,11.5,12.3,16832
2015-04-13 00:00:00+05:30,13.2,13.4,12.05,12.35,4846
2015-04-15 00:00:00+05:30,12.1,12.95,12.1,12.7,6640
2015-04-16 00:00:00+05:30,12.4,13.1,12.25,12.7,4610
2015-04-17 00:00:00+05:30,12.6,12.95,12.15,12.4,3352
2015-04-20 00:00:00+05:30,12.4,12.8,12.1,12.15,5201
2015-04-21 00:00:00+05:30,12.25,12.75,12.25,12.75,6751
2015-04-22 00:00:00+05:30,12.5,12.7,11.65,12.5,8213
2015-04-23 00:00:00+05:30,12.6,12.6,11.9,12.45,11961
2015-04-24 00:00:00+05:30,12.2,12.5,12.0,12.3,8304
2015-04-27 00:00:00+05:30,12.0,12.95,10.8,11.25,7227
2015-04-28 00:00:00+05:30,11.15,11.4,10.19,10.8,24066
2015-04-29 00:00:00+05:30,10.8,11.5,10.7,11.0,4496
2015-04-30 00:00:00+05:30,11.85,12.5,11.5,11.6,4109
2015-05-04 00:00:00+05:30,12.0,12.55,11.8,12.55,302
2015-05-05 00:00:00+05:30,13.0,13.0,11.8,12.95,2305
2015-05-06 00:00:00+05:30,12.95,13.5,11.9,12.0,4368
2015-05-07 00:00:00+05:30,12.5,13.0,11.6,11.6,6304
2015-05-08 00:00:00+05:30,12.0,12.9,11.8,12.1,4888
2015-05-11 00:00:00+05:30,11.9,12.7,11.9,12.25,908
2015-05-12 00:00:00+05:30,11.9,11.9,11.85,11.85,2
2015-05-13 00:00:00+05:30,11.7,11.75,11.0,11.75,9079
