date,open,high,low,close,volume
2022-05-04 00:00:00+05:30,11.6,11.6,11.6,11.6,27505
2022-05-05 00:00:00+05:30,12.75,12.75,12.2,12.75,169885
2022-05-06 00:00:00+05:30,14.05,14.05,14.05,14.05,111265
2022-05-09 00:00:00+05:30,15.45,15.45,15.45,15.45,220605
2022-05-10 00:00:00+05:30,16.2,16.2,16.2,16.2,503005
2022-05-11 00:00:00+05:30,17.0,17.0,15.4,15.4,391635
2022-05-12 00:00:00+05:30,14.65,14.65,14.65,14.65,4900
2022-05-13 00:00:00+05:30,13.9,13.9,13.9,13.9,4470
2022-05-16 00:00:00+05:30,13.2,13.2,13.2,13.2,3770
2022-05-17 00:00:00+05:30,12.55,12.55,12.55,12.55,16400
2022-05-18 00:00:00+05:30,11.95,13.15,11.95,13.15,1062790
2022-05-19 00:00:00+05:30,13.4,13.4,12.5,12.5,279325
2022-05-20 00:00:00+05:30,12.05,12.9,11.9,12.0,272200
2022-05-23 00:00:00+05:30,11.4,12.05,11.4,12.05,311630
2022-05-24 00:00:00+05:30,12.3,12.65,11.45,11.45,88570
2022-05-25 00:00:00+05:30,10.9,11.8,10.9,11.35,161695
2022-05-26 00:00:00+05:30,10.85,11.35,10.8,10.8,22830
2022-05-27 00:00:00+05:30,10.8,11.3,10.25,11.3,289060
2022-05-30 00:00:00+05:30,11.55,11.9,10.8,11.9,61090
2022-05-31 00:00:00+05:30,12.2,12.45,11.7,12.4,88510
2022-06-01 00:00:00+05:30,12.4,13.0,12.2,12.7,41475
2022-06-02 00:00:00+05:30,13.35,13.35,12.1,13.25,147655
2022-06-03 00:00:00+05:30,13.6,13.9,13.6,13.9,106770
2022-06-06 00:00:00+05:30,14.5,14.6,13.3,14.6,580425
2022-06-07 00:00:00+05:30,15.35,15.35,15.0,15.35,194520
2022-06-08 00:00:00+05:30,16.1,16.1,14.6,16.1,325855
2022-06-09 00:00:00+05:30,16.8,16.9,16.2,16.8,235775
2022-06-10 00:00:00+05:30,17.1,17.55,15.95,16.1,416375
2022-06-13 00:00:00+05:30,15.3,15.6,15.3,15.4,250805
2022-06-14 00:00:00+05:30,14.75,15.0,14.65,14.8,138165
2022-06-15 00:00:00+05:30,15.1,15.55,14.2,15.55,154755
2022-06-16 00:00:00+05:30,16.35,16.35,16.25,16.35,109115
2022-06-17 00:00:00+05:30,17.05,17.15,15.7,16.95,659335
2022-06-20 00:00:00+05:30,16.95,17.4,16.15,16.95,171575
2022-06-21 00:00:00+05:30,16.95,17.35,16.1,16.1,49180
2022-06-22 00:00:00+05:30,15.35,16.85,15.3,16.05,59280
2022-06-23 00:00:00+05:30,16.7,16.85,15.8,16.85,53735
2022-06-24 00:00:00+05:30,17.7,17.7,16.25,17.0,174865
2022-06-27 00:00:00+05:30,16.95,17.25,16.3,16.9,84170
2022-06-28 00:00:00+05:30,17.2,17.2,16.15,16.3,42345
2022-06-29 00:00:00+05:30,16.15,17.1,15.5,15.95,26125
2022-06-30 00:00:00+05:30,15.8,16.6,15.15,15.3,49995
2022-07-01 00:00:00+05:30,14.7,16.05,14.5,15.85,68320
2022-07-04 00:00:00+05:30,16.65,16.65,15.8,16.6,23800
2022-07-05 00:00:00+05:30,16.6,16.6,15.8,15.85,11900
2022-07-06 00:00:00+05:30,15.85,16.65,15.25,16.15,26690
2022-07-07 00:00:00+05:30,16.4,16.4,15.6,16.05,62610
2022-07-08 00:00:00+05:30,16.2,16.4,15.5,15.85,15835
2022-07-11 00:00:00+05:30,15.55,16.0,15.05,15.25,14570
2022-07-12 00:00:00+05:30,15.55,16.0,15.25,15.45,263735
2022-07-13 00:00:00+05:30,15.9,15.9,15.65,15.65,74250
2022-07-14 00:00:00+05:30,14.85,16.1,14.85,14.95,23575
