date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,156.15,161.9,154.4,160.05,145562
2015-01-02 00:00:00+05:30,161.44,163.9,160.0,160.8,132159
2015-01-05 00:00:00+05:30,162.05,172.8,162.05,168.7,555376
2015-01-06 00:00:00+05:30,166.7,166.7,160.8,161.6,196382
2015-01-07 00:00:00+05:30,161.0,163.15,158.55,160.6,125085
2015-01-08 00:00:00+05:30,162.5,165.35,162.3,163.4,69228
2015-01-09 00:00:00+05:30,164.4,165.8,160.55,160.94,73290
2015-01-12 00:00:00+05:30,161.44,168.8,161.0,165.7,139914
2015-01-13 00:00:00+05:30,166.0,167.3,162.5,163.19,55749
2015-01-14 00:00:00+05:30,163.5,164.75,159.9,160.3,45062
2015-01-15 00:00:00+05:30,161.94,164.8,160.5,161.4,61177
2015-01-16 00:00:00+05:30,162.1,162.9,158.0,159.0,76461
2015-01-19 00:00:00+05:30,159.8,162.8,159.55,160.75,44562
2015-01-20 00:00:00+05:30,160.9,164.75,160.85,161.25,87949
2015-01-21 00:00:00+05:30,162.44,164.4,155.75,159.19,75203
2015-01-22 00:00:00+05:30,158.9,164.05,158.15,159.4,101690
2015-01-23 00:00:00+05:30,160.0,161.4,155.5,156.4,67384
2015-01-27 00:00:00+05:30,156.94,157.69,153.4,153.85,61334
2015-01-28 00:00:00+05:30,151.19,154.4,148.0,149.1,82739
2015-01-29 00:00:00+05:30,145.69,150.75,145.69,147.6,52000
2015-01-30 00:00:00+05:30,148.69,152.0,144.35,148.35,75234
2015-02-02 00:00:00+05:30,148.44,154.65,148.44,153.4,86359
2015-02-03 00:00:00+05:30,154.8,164.8,150.0,157.8,658138
2015-02-04 00:00:00+05:30,159.75,161.5,151.5,152.19,165545
2015-02-05 00:00:00+05:30,152.94,152.94,147.5,147.75,81847
2015-02-06 00:00:00+05:30,148.9,148.9,140.0,142.44,93777
2015-02-09 00:00:00+05:30,140.0,142.0,135.25,136.0,67791
2015-02-10 00:00:00+05:30,137.0,141.9,133.15,137.94,85486
2015-02-11 00:00:00+05:30,136.19,139.44,133.5,134.55,86127
2015-02-12 00:00:00+05:30,134.1,140.75,134.1,138.6,86315
2015-02-13 00:00:00+05:30,138.9,141.6,136.75,139.19,59598
2015-02-16 00:00:00+05:30,139.65,141.69,136.05,137.25,51277
2015-02-18 00:00:00+05:30,136.9,139.69,135.1,135.6,81126
2015-02-19 00:00:00+05:30,140.4,159.75,140.05,154.9,1394393
2015-02-20 00:00:00+05:30,156.0,163.44,152.0,156.05,444541
2015-02-23 00:00:00+05:30,156.69,157.0,146.8,147.5,126060
2015-02-24 00:00:00+05:30,147.8,148.69,142.0,144.55,93050
2015-02-25 00:00:00+05:30,145.4,157.15,145.0,148.65,234881
2015-02-26 00:00:00+05:30,148.5,149.65,143.35,144.0,72641
2015-02-27 00:00:00+05:30,144.4,148.75,144.4,145.4,88131
2015-03-02 00:00:00+05:30,147.94,150.65,146.1,146.94,92727
2015-03-03 00:00:00+05:30,147.0,151.65,145.1,147.85,132838
2015-03-04 00:00:00+05:30,148.75,152.55,144.65,145.4,154313
2015-03-05 00:00:00+05:30,146.0,148.0,142.5,143.6,131743
2015-03-09 00:00:00+05:30,142.0,144.6,139.55,140.15,103122
2015-03-10 00:00:00+05:30,141.0,144.4,138.25,139.5,92221
2015-03-11 00:00:00+05:30,139.94,152.0,137.5,150.69,432669
2015-03-12 00:00:00+05:30,155.85,159.9,151.94,152.65,986565
2015-03-13 00:00:00+05:30,151.05,153.35,145.0,145.5,192992
2015-03-16 00:00:00+05:30,144.0,147.44,142.5,142.9,121300
2015-03-17 00:00:00+05:30,143.5,146.6,140.65,142.05,64895
2015-03-18 00:00:00+05:30,154.0,155.75,148.69,149.94,972767
