date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,436.0,439.9,432.5,438.1,905226
2015-01-02 00:00:00+05:30,441.7,468.9,441.2,466.75,5720531
2015-01-05 00:00:00+05:30,468.7,479.8,468.0,470.2,3541177
2015-01-06 00:00:00+05:30,465.55,465.9,445.0,447.55,3178196
2015-01-07 00:00:00+05:30,446.9,461.9,438.85,457.25,3730873
2015-01-08 00:00:00+05:30,464.9,471.0,461.0,469.15,3116612
2015-01-09 00:00:00+05:30,474.0,479.4,468.65,473.2,4048196
2015-01-12 00:00:00+05:30,464.0,465.85,455.2,459.1,3164687
2015-01-13 00:00:00+05:30,463.0,469.7,458.1,462.35,3303364
2015-01-14 00:00:00+05:30,465.0,465.9,449.3,454.05,5644275
2015-01-15 00:00:00+05:30,470.0,472.8,459.2,466.15,4051949
2015-01-16 00:00:00+05:30,467.9,491.9,464.7,487.05,7411181
2015-01-19 00:00:00+05:30,489.7,495.4,486.75,494.05,2860551
2015-01-20 00:00:00+05:30,494.1,499.5,486.25,490.45,3113468
2015-01-21 00:00:00+05:30,493.4,493.6,480.9,483.65,3417777
2015-01-22 00:00:00+05:30,484.8,489.3,479.1,481.9,2247984
2015-01-23 00:00:00+05:30,485.0,495.0,481.55,486.1,2758465
2015-01-27 00:00:00+05:30,488.0,498.5,480.3,497.0,3182273
2015-01-28 00:00:00+05:30,497.0,504.9,487.0,494.35,3871534
2015-01-29 00:00:00+05:30,493.5,495.4,488.6,490.35,2286313
2015-01-30 00:00:00+05:30,492.0,494.3,474.0,478.5,1889639
2015-02-02 00:00:00+05:30,475.95,483.05,467.5,479.9,2654345
2015-02-03 00:00:00+05:30,481.2,483.0,466.25,470.7,2178659
2015-02-04 00:00:00+05:30,471.2,472.4,450.0,455.65,1730062
2015-02-05 00:00:00+05:30,455.0,468.0,448.0,459.95,3397732
2015-02-06 00:00:00+05:30,460.95,462.7,447.1,452.05,1922430
2015-02-09 00:00:00+05:30,447.5,461.55,445.0,448.15,1831970
2015-02-10 00:00:00+05:30,444.9,467.0,444.0,456.65,3349219
2015-02-11 00:00:00+05:30,458.5,463.9,455.0,458.7,2580635
2015-02-12 00:00:00+05:30,461.0,469.8,458.4,468.35,2320307
2015-02-13 00:00:00+05:30,471.25,475.5,468.0,470.15,2376582
2015-02-16 00:00:00+05:30,473.2,473.5,460.65,462.65,2375453
2015-02-18 00:00:00+05:30,463.9,467.75,458.2,461.1,2574462
2015-02-19 00:00:00+05:30,462.9,464.45,447.95,454.7,2697097
2015-02-20 00:00:00+05:30,455.0,468.9,450.25,465.1,3096895
2015-02-23 00:00:00+05:30,468.9,475.5,462.9,466.85,3519985
2015-02-24 00:00:00+05:30,470.0,474.5,465.8,468.35,3251609
2015-02-25 00:00:00+05:30,471.0,483.9,470.8,482.3,4526220
2015-02-26 00:00:00+05:30,484.0,487.6,474.9,477.5,4668314
2015-02-27 00:00:00+05:30,481.9,496.6,479.15,495.25,4656923
2015-03-02 00:00:00+05:30,485.0,487.6,479.0,485.9,2652907
2015-03-03 00:00:00+05:30,488.15,497.5,483.2,492.45,3377999
2015-03-04 00:00:00+05:30,504.0,506.3,485.0,489.55,4819373
2015-03-05 00:00:00+05:30,492.7,498.4,490.0,494.7,3082694
2015-03-09 00:00:00+05:30,492.0,492.65,477.25,479.55,2211354
2015-03-10 00:00:00+05:30,482.15,482.4,465.4,469.75,1357027
2015-03-11 00:00:00+05:30,472.0,473.3,461.65,465.9,1797341
2015-03-12 00:00:00+05:30,467.5,470.1,460.0,464.8,2402467
2015-03-13 00:00:00+05:30,471.95,472.2,443.9,446.75,3320214
2015-03-16 00:00:00+05:30,449.15,453.7,440.3,449.45,1770201
2015-03-17 00:00:00+05:30,453.6,466.35,451.5,464.25,4498398
2015-03-18 00:00:00+05:30,466.0,467.35,458.1,460.75,1878117
2015-03-19 00:00:00+05:30,464.8,473.95,459.0,462.4,2982764
2015-03-20 00:00:00+05:30,466.5,475.0,457.45,460.1,7065653
2015-03-23 00:00:00+05:30,461.9,462.6,441.6,443.15,2455138
