date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,73.2,76.0,71.62,75.55,364855
2015-01-02 00:00:00+05:30,76.2,77.19,74.2,74.58,238335
2015-01-05 00:00:00+05:30,75.74,76.6,73.6,74.24,115085
2015-01-06 00:00:00+05:30,74.6,74.6,69.02,70.02,217720
2015-01-07 00:00:00+05:30,71.18,73.4,69.6,71.46,237075
2015-01-08 00:00:00+05:30,72.98,73.94,72.04,73.39,110520
2015-01-09 00:00:00+05:30,73.4,74.8,70.38,72.43,79405
2015-01-12 00:00:00+05:30,72.43,73.43,70.8,71.25,142000
2015-01-13 00:00:00+05:30,72.8,76.0,72.8,74.12,211090
2015-01-14 00:00:00+05:30,75.26,75.4,72.53,73.79,58305
2015-01-15 00:00:00+05:30,75.6,75.8,74.06,74.52,88445
2015-01-16 00:00:00+05:30,75.4,77.6,73.6,74.47,454365
2015-01-19 00:00:00+05:30,74.8,76.2,74.6,75.52,103095
2015-01-20 00:00:00+05:30,76.4,76.55,73.2,73.61,61915
2015-01-21 00:00:00+05:30,74.0,74.99,72.53,73.86,45900
2015-01-22 00:00:00+05:30,75.0,75.4,73.0,73.87,42880
2015-01-23 00:00:00+05:30,74.94,74.94,71.04,71.39,64075
2015-01-27 00:00:00+05:30,72.0,73.8,70.84,72.57,110560
2015-01-28 00:00:00+05:30,72.76,72.98,71.62,71.98,24215
2015-01-29 00:00:00+05:30,72.7,72.7,67.39,69.88,90265
2015-01-30 00:00:00+05:30,70.47,71.59,70.2,70.76,71565
2015-02-02 00:00:00+05:30,71.8,75.04,71.8,74.58,123725
2015-02-03 00:00:00+05:30,76.0,76.22,72.8,74.99,112450
2015-02-04 00:00:00+05:30,75.03,75.74,71.32,72.18,56605
2015-02-05 00:00:00+05:30,73.0,73.58,70.97,71.58,37880
2015-02-06 00:00:00+05:30,71.21,71.4,69.09,69.65,65405
2015-02-09 00:00:00+05:30,69.6,69.6,67.0,67.25,50690
2015-02-10 00:00:00+05:30,66.58,68.79,66.01,67.51,46175
2015-02-11 00:00:00+05:30,68.1,70.6,67.33,69.87,34505
2015-02-12 00:00:00+05:30,71.52,71.79,69.38,71.43,37700
2015-02-13 00:00:00+05:30,72.3,73.0,70.41,72.21,67245
2015-02-16 00:00:00+05:30,70.6,73.28,69.48,70.09,48030
2015-02-18 00:00:00+05:30,71.0,72.98,70.11,71.43,52825
2015-02-19 00:00:00+05:30,71.0,71.78,68.24,68.95,80485
2015-02-20 00:00:00+05:30,69.58,70.52,67.8,69.61,107350
2015-02-23 00:00:00+05:30,71.0,71.0,67.6,68.39,32775
2015-02-24 00:00:00+05:30,69.18,69.56,66.01,66.95,36560
2015-02-25 00:00:00+05:30,67.15,67.15,62.61,64.19,141240
2015-02-26 00:00:00+05:30,64.21,66.78,64.0,65.43,67720
2015-02-27 00:00:00+05:30,67.72,67.72,64.1,65.39,66370
2015-03-02 00:00:00+05:30,66.0,67.7,65.4,66.0,28410
2015-03-03 00:00:00+05:30,65.4,67.0,64.02,64.67,37220
2015-03-04 00:00:00+05:30,65.1,65.1,62.02,62.75,44410
2015-03-05 00:00:00+05:30,62.62,64.8,62.41,63.87,52465
2015-03-09 00:00:00+05:30,63.4,63.99,60.72,61.0,102545
2015-03-10 00:00:00+05:30,60.62,62.79,60.6,60.96,23760
2015-03-11 00:00:00+05:30,61.96,61.97,58.01,58.5,71575
2015-03-12 00:00:00+05:30,58.51,60.85,58.51,59.65,41140
2015-03-13 00:00:00+05:30,59.33,59.99,57.43,58.48,49900
2015-03-16 00:00:00+05:30,59.4,59.4,53.87,54.37,73700
2015-03-17 00:00:00+05:30,55.6,56.0,54.2,55.13,35820
2015-03-18 00:00:00+05:30,56.14,57.06,54.81,56.54,22940
2015-03-19 00:00:00+05:30,57.06,59.79,57.06,57.77,28785
2015-03-20 00:00:00+05:30,57.4,57.4,54.91,54.98,31630
2015-03-23 00:00:00+05:30,55.0,56.1,53.08,53.87,27185
2015-03-24 00:00:00+05:30,53.47,53.99,51.42,52.84,53975
2015-03-25 00:00:00+05:30,52.41,54.16,52.4,53.38,37090
2015-03-26 00:00:00+05:30,53.2,53.6,52.2,53.18,10995
2015-03-27 00:00:00+05:30,53.02,53.98,50.04,51.1,79560
2015-03-30 00:00:00+05:30,51.8,60.28,51.05,57.66,228235
2015-03-31 00:00:00+05:30,58.46,59.5,55.42,56.91,87210
2015-04-01 00:00:00+05:30,57.56,58.36,56.6,58.0,359690
2015-04-06 00:00:00+05:30,58.99,60.6,57.26,59.8,299815
2015-04-07 00:00:00+05:30,60.51,60.7,59.08,59.94,64535
2015-04-08 00:00:00+05:30,61.6,61.6,58.4,59.32,40085
2015-04-09 00:00:00+05:30,59.61,59.79,58.49,58.86,24265
2015-04-10 00:00:00+05:30,57.04,60.9,57.04,59.77,131415
2015-04-13 00:00:00+05:30,61.0,64.99,60.98,62.53,117045
2015-04-15 00:00:00+05:30,63.2,65.4,62.4,63.87,125445
2015-04-16 00:00:00+05:30,63.2,63.94,60.31,60.79,49685
2015-04-17 00:00:00+05:30,61.5,62.9,60.94,61.84,117615
2015-04-20 00:00:00+05:30,68.8,68.8,63.62,64.14,393495
2015-04-21 00:00:00+05:30,65.99,67.18,63.4,63.72,170385
2015-04-22 00:00:00+05:30,65.2,65.6,59.0,61.98,127660
2015-04-23 00:00:00+05:30,62.41,64.78,60.7,61.41,105820
2015-04-24 00:00:00+05:30,64.0,64.0,60.0,60.19,85290
2015-04-27 00:00:00+05:30,61.8,62.02,56.45,57.7,107065
2015-04-28 00:00:00+05:30,61.2,63.0,57.05,62.09,109540
2015-04-29 00:00:00+05:30,62.1,63.57,59.81,60.25,94155
2015-04-30 00:00:00+05:30,61.8,62.18,59.6,60.52,68565
2015-05-04 00:00:00+05:30,61.21,62.57,60.0,60.52,54535
2015-05-05 00:00:00+05:30,61.6,61.6,60.0,60.28,65980
2015-05-06 00:00:00+05:30,60.1,61.0,59.0,59.1,51460
2015-05-07 00:00:00+05:30,60.68,60.68,56.0,57.43,98520
2015-05-08 00:00:00+05:30,59.79,59.8,57.4,58.29,25705
2015-05-11 00:00:00+05:30,59.59,59.59,58.5,58.9,42500
2015-05-12 00:00:00+05:30,59.7,59.7,57.8,58.36,33140
2015-05-13 00:00:00+05:30,59.19,59.2,57.4,57.59,18195
2015-05-14 00:00:00+05:30,58.0,58.87,57.7,57.95,11750
2015-05-15 00:00:00+05:30,59.8,59.8,58.39,58.74,20655
2015-05-18 00:00:00+05:30,59.99,59.99,58.74,58.93,40785
2015-05-19 00:00:00+05:30,59.98,59.98,58.4,58.63,25530
2015-05-20 00:00:00+05:30,59.05,59.05,58.5,58.65,14690
2015-05-21 00:00:00+05:30,58.5,59.0,57.99,58.24,26635
2015-05-22 00:00:00+05:30,58.39,59.17,57.1,57.43,40380
2015-05-25 00:00:00+05:30,59.0,59.3,57.43,58.07,40160
2015-05-26 00:00:00+05:30,58.0,58.4,52.2,52.77,194505
2015-05-27 00:00:00+05:30,53.14,54.88,51.01,53.36,126575
2015-05-28 00:00:00+05:30,52.4,53.0,50.63,51.26,139595
2015-05-29 00:00:00+05:30,50.8,52.4,50.6,51.14,44980
2015-06-01 00:00:00+05:30,51.79,51.79,50.07,50.53,50700
2015-06-02 00:00:00+05:30,50.22,51.4,50.03,50.43,25310
2015-06-03 00:00:00+05:30,50.52,50.52,46.61,48.37,67385
2015-06-04 00:00:00+05:30,49.78,49.78,46.84,48.35,36050
2015-06-05 00:00:00+05:30,49.0,49.28,47.8,48.35,47555
2015-06-08 00:00:00+05:30,49.16,49.16,45.06,46.16,37785
2015-06-09 00:00:00+05:30,46.2,47.0,45.02,45.49,42800
2015-06-10 00:00:00+05:30,45.21,47.8,45.0,46.28,55555
2015-06-11 00:00:00+05:30,45.8,47.55,45.42,46.01,46500
2015-06-12 00:00:00+05:30,46.02,46.78,44.11,45.44,31370
2015-06-15 00:00:00+05:30,45.5,45.6,43.7,44.94,84975
2015-06-16 00:00:00+05:30,44.99,45.6,43.6,45.23,80800
2015-06-17 00:00:00+05:30,45.24,45.8,43.8,44.57,85795
2015-06-18 00:00:00+05:30,45.17,45.6,43.91,44.81,69795
2015-06-19 00:00:00+05:30,45.21,51.4,44.42,50.08,234675
2015-06-22 00:00:00+05:30,50.0,50.16,47.51,48.58,89225
2015-06-23 00:00:00+05:30,49.0,49.59,46.6,47.0,81415
2015-06-24 00:00:00+05:30,46.6,49.77,46.6,48.66,178610
2015-06-25 00:00:00+05:30,48.68,49.58,47.42,47.89,80505
2015-06-26 00:00:00+05:30,48.02,48.02,46.4,47.3,103650
2015-06-29 00:00:00+05:30,47.2,47.2,43.82,44.17,345325
2015-06-30 00:00:00+05:30,44.21,47.19,44.2,46.92,67105
2015-07-01 00:00:00+05:30,48.38,48.4,46.46,47.35,125195
2015-07-02 00:00:00+05:30,47.6,48.2,46.63,47.41,23885
2015-07-03 00:00:00+05:30,47.6,49.87,47.56,49.46,49765
2015-07-06 00:00:00+05:30,48.22,48.38,46.95,47.87,51920
2015-07-07 00:00:00+05:30,48.59,51.8,48.4,50.79,79155
2015-07-08 00:00:00+05:30,50.4,50.4,47.82,48.7,48945
2015-07-09 00:00:00+05:30,48.8,50.4,48.8,49.74,27070
2015-07-10 00:00:00+05:30,49.6,49.99,48.6,49.22,27970
2015-07-13 00:00:00+05:30,49.79,51.0,48.21,49.61,23560
