date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,25.55,27.1,25.5,27.1,25180
2015-01-02 00:00:00+05:30,28.3,29.2,27.4,28.9,166062
2015-01-05 00:00:00+05:30,29.0,31.75,29.0,31.75,361184
2015-01-06 00:00:00+05:30,31.75,32.7,29.6,30.65,343676
2015-01-07 00:00:00+05:30,30.95,31.2,28.6,29.7,78078
2015-01-08 00:00:00+05:30,30.5,32.04,30.0,30.4,50397
2015-01-09 00:00:00+05:30,30.65,31.5,29.5,30.6,47808
2015-01-12 00:00:00+05:30,32.35,32.35,30.25,31.7,50912
2015-01-13 00:00:00+05:30,31.75,32.5,30.55,30.95,34235
2015-01-14 00:00:00+05:30,31.3,31.4,30.0,30.3,49191
2015-01-15 00:00:00+05:30,30.25,31.1,29.95,30.55,25223
2015-01-16 00:00:00+05:30,31.25,33.6,30.95,33.6,419468
2015-01-19 00:00:00+05:30,33.85,36.95,33.85,36.95,258318
2015-01-20 00:00:00+05:30,38.75,40.6,37.25,38.54,858657
2015-01-21 00:00:00+05:30,38.75,39.35,35.0,36.4,184445
2015-01-22 00:00:00+05:30,36.6,40.0,36.45,39.6,565761
2015-01-23 00:00:00+05:30,39.1,40.75,37.65,37.85,283458
2015-01-27 00:00:00+05:30,38.5,38.95,36.15,36.85,119827
2015-01-28 00:00:00+05:30,36.04,36.45,35.04,35.2,94214
2015-01-29 00:00:00+05:30,33.79,35.79,33.5,34.75,105857
2015-01-30 00:00:00+05:30,33.6,35.9,33.6,35.04,62118
2015-02-02 00:00:00+05:30,36.0,36.79,35.25,36.79,432903
2015-02-03 00:00:00+05:30,37.9,38.6,37.6,38.6,388073
2015-02-04 00:00:00+05:30,39.7,40.5,38.04,40.5,338946
2015-02-05 00:00:00+05:30,41.25,41.25,38.5,38.5,225289
2015-02-06 00:00:00+05:30,38.5,38.5,36.6,36.6,84696
2015-02-09 00:00:00+05:30,36.29,38.4,34.9,38.1,91020
2015-02-10 00:00:00+05:30,37.6,40.0,37.6,39.2,183575
2015-02-11 00:00:00+05:30,40.5,41.15,39.5,41.15,131975
2015-02-12 00:00:00+05:30,42.4,43.2,41.0,43.1,270088
2015-02-13 00:00:00+05:30,43.9,45.0,42.4,43.35,247452
2015-02-16 00:00:00+05:30,41.25,45.5,41.25,45.25,370687
2015-02-18 00:00:00+05:30,44.9,46.6,43.25,44.7,252308
2015-02-19 00:00:00+05:30,45.2,45.8,43.75,44.35,99462
2015-02-20 00:00:00+05:30,44.25,44.85,43.0,44.25,107032
2015-02-23 00:00:00+05:30,43.6,45.75,43.6,44.15,74450
2015-02-24 00:00:00+05:30,44.25,45.0,42.5,43.05,71563
2015-02-25 00:00:00+05:30,43.25,44.75,42.0,43.7,81369
2015-02-26 00:00:00+05:30,43.7,45.4,43.35,44.1,99480
2015-02-27 00:00:00+05:30,45.4,46.3,43.65,46.25,261838
2015-03-02 00:00:00+05:30,47.4,48.65,44.85,46.0,553799
2015-03-03 00:00:00+05:30,46.5,47.9,45.3,45.9,100656
2015-03-04 00:00:00+05:30,45.8,47.25,44.4,44.9,84325
2015-03-05 00:00:00+05:30,45.05,47.1,43.4,47.0,94530
2015-03-09 00:00:00+05:30,46.5,48.45,45.25,45.8,178042
2015-03-10 00:00:00+05:30,46.0,47.15,44.0,44.75,96921
2015-03-11 00:00:00+05:30,45.05,45.7,42.05,42.95,62279
2015-03-12 00:00:00+05:30,43.75,45.0,43.2,43.8,110890
2015-03-13 00:00:00+05:30,44.2,47.2,43.75,46.5,151667
2015-03-16 00:00:00+05:30,44.5,47.5,44.25,44.65,49526
2015-03-17 00:00:00+05:30,44.55,49.1,43.7,49.1,345352
2015-03-18 00:00:00+05:30,50.0,54.0,50.0,54.0,468565
2015-03-19 00:00:00+05:30,55.7,55.7,51.3,51.5,242686
2015-03-20 00:00:00+05:30,51.0,52.8,49.25,50.0,117166
2015-03-23 00:00:00+05:30,51.65,51.65,47.5,47.65,96982
2015-03-24 00:00:00+05:30,47.15,49.6,46.65,47.15,78138
2015-03-25 00:00:00+05:30,47.5,48.5,46.5,47.05,58431
2015-03-26 00:00:00+05:30,46.2,46.85,45.05,45.2,36727
2015-03-27 00:00:00+05:30,45.5,46.8,44.5,45.5,61462
2015-03-30 00:00:00+05:30,47.0,47.75,46.75,47.75,18084
2015-03-31 00:00:00+05:30,50.1,50.1,48.35,49.15,175639
2015-04-01 00:00:00+05:30,48.95,51.6,48.95,51.25,99497
2015-04-06 00:00:00+05:30,51.95,53.8,51.95,53.8,205851
2015-04-07 00:00:00+05:30,55.9,57.0,53.0,54.4,227631
2015-04-08 00:00:00+05:30,55.85,55.85,53.5,54.65,81614
2015-04-09 00:00:00+05:30,54.55,55.75,53.5,54.45,75416
2015-04-10 00:00:00+05:30,54.2,56.9,53.5,55.6,92103
2015-04-13 00:00:00+05:30,55.0,60.7,55.0,59.5,176410
2015-04-15 00:00:00+05:30,62.2,65.45,58.5,62.1,824821
2015-04-16 00:00:00+05:30,62.45,65.0,58.85,63.4,306605
2015-04-17 00:00:00+05:30,63.2,64.95,61.35,62.0,84896
2015-04-20 00:00:00+05:30,62.6,62.6,56.5,57.2,116134
2015-04-21 00:00:00+05:30,55.8,60.0,55.3,57.6,110160
2015-04-22 00:00:00+05:30,57.9,59.8,54.75,57.65,94133
