date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,43.0,43.45,40.1,42.95,2752
2015-01-02 00:00:00+05:30,43.5,45.0,42.5,44.8,6638
2015-01-05 00:00:00+05:30,46.8,46.8,44.0,44.05,3363
2015-01-06 00:00:00+05:30,43.0,44.65,41.5,41.75,4804
2015-01-07 00:00:00+05:30,40.6,43.5,40.4,43.0,4792
2015-01-08 00:00:00+05:30,42.2,44.0,41.55,42.5,3374
2015-01-09 00:00:00+05:30,44.7,44.75,42.5,44.2,4815
2015-01-12 00:00:00+05:30,45.8,45.8,41.65,42.5,5484
2015-01-13 00:00:00+05:30,44.65,44.65,42.5,43.5,2755
2015-01-14 00:00:00+05:30,43.0,43.5,42.15,42.6,1136
2015-01-15 00:00:00+05:30,45.8,45.8,42.0,42.35,2699
2015-01-16 00:00:00+05:30,42.05,44.4,42.05,42.5,926
2015-01-19 00:00:00+05:30,43.75,43.85,42.6,43.25,1726
2015-01-20 00:00:00+05:30,43.4,43.8,41.6,43.35,15843
2015-01-21 00:00:00+05:30,43.35,44.65,43.0,43.05,10382
2015-01-22 00:00:00+05:30,42.25,44.15,42.25,42.9,1924
2015-01-23 00:00:00+05:30,42.35,43.95,42.0,42.15,6526
2015-01-27 00:00:00+05:30,40.6,46.6,40.6,41.45,9183
2015-01-28 00:00:00+05:30,45.0,45.0,41.05,41.15,1341
2015-01-29 00:00:00+05:30,40.5,41.3,40.5,40.6,1166
2015-01-30 00:00:00+05:30,40.1,41.3,40.0,41.3,2413
2015-02-02 00:00:00+05:30,42.0,42.0,40.04,40.5,5443
2015-02-03 00:00:00+05:30,40.5,41.9,38.7,40.79,2483
2015-02-04 00:00:00+05:30,40.0,43.0,39.0,41.25,1755
2015-02-05 00:00:00+05:30,41.8,41.8,40.5,40.5,262
2015-02-06 00:00:00+05:30,40.6,41.6,38.29,39.65,9557
2015-02-09 00:00:00+05:30,39.0,40.5,39.0,39.75,856
2015-02-10 00:00:00+05:30,39.0,39.79,38.0,38.54,6411
2015-02-11 00:00:00+05:30,37.95,41.5,37.65,40.95,1488
2015-02-12 00:00:00+05:30,40.5,44.0,40.5,41.9,856
2015-02-13 00:00:00+05:30,40.9,43.9,40.85,43.9,1954
2015-02-16 00:00:00+05:30,43.9,43.9,41.5,42.25,7035
2015-02-18 00:00:00+05:30,43.0,46.85,42.5,45.85,23506
2015-02-19 00:00:00+05:30,46.0,47.95,44.0,45.3,17948
2015-02-20 00:00:00+05:30,44.0,44.9,43.0,44.1,4925
2015-02-23 00:00:00+05:30,44.05,47.0,43.0,43.9,18513
2015-02-24 00:00:00+05:30,43.0,46.7,42.6,44.95,7503
2015-02-25 00:00:00+05:30,46.0,46.6,44.0,44.7,5917
2015-02-26 00:00:00+05:30,44.9,46.0,44.9,45.35,425
2015-02-27 00:00:00+05:30,44.55,46.9,44.4,46.3,5995
2015-03-02 00:00:00+05:30,46.0,47.1,45.0,46.0,3524
2015-03-03 00:00:00+05:30,45.0,46.65,45.0,46.2,4302
2015-03-04 00:00:00+05:30,47.2,47.2,43.0,45.25,6567
2015-03-05 00:00:00+05:30,44.0,46.6,43.15,44.95,3093
2015-03-09 00:00:00+05:30,47.5,47.5,41.65,43.45,5066
2015-03-10 00:00:00+05:30,42.6,44.45,42.45,43.2,7543
2015-03-11 00:00:00+05:30,43.0,43.95,42.6,43.0,4103
2015-03-12 00:00:00+05:30,43.0,43.0,42.3,42.35,2121
2015-03-13 00:00:00+05:30,42.4,43.0,41.6,42.4,5334
2015-03-16 00:00:00+05:30,41.0,42.9,40.1,40.6,6038
2015-03-17 00:00:00+05:30,41.65,41.65,38.75,40.95,2867
2015-03-18 00:00:00+05:30,40.0,41.0,39.15,40.04,6211
2015-03-19 00:00:00+05:30,39.7,41.3,39.7,40.6,730
2015-03-20 00:00:00+05:30,39.1,41.75,39.0,39.85,872
2015-03-23 00:00:00+05:30,39.95,40.0,37.04,38.0,6469
2015-03-24 00:00:00+05:30,38.0,38.0,36.0,37.95,2616
2015-03-25 00:00:00+05:30,37.95,39.0,36.15,38.04,10132
2015-03-26 00:00:00+05:30,37.7,38.5,35.4,36.04,4254
2015-03-27 00:00:00+05:30,36.0,36.9,35.2,35.54,2063
2015-03-30 00:00:00+05:30,37.85,37.85,35.2,35.7,974
2015-03-31 00:00:00+05:30,36.5,37.5,36.0,36.45,1752
2015-04-01 00:00:00+05:30,37.0,39.0,36.1,38.65,1425
2015-04-06 00:00:00+05:30,37.0,39.0,37.0,38.9,4208
2015-04-07 00:00:00+05:30,38.29,40.0,38.29,39.95,778
2015-04-08 00:00:00+05:30,40.0,43.0,40.0,41.95,9306
2015-04-09 00:00:00+05:30,41.5,42.6,40.29,40.7,6343
2015-04-10 00:00:00+05:30,41.85,41.85,40.0,41.15,2874
2015-04-13 00:00:00+05:30,42.2,42.2,41.15,41.6,844
2015-04-15 00:00:00+05:30,42.0,42.4,41.55,41.85,5165
2015-04-16 00:00:00+05:30,42.85,44.4,42.05,43.0,3311
2015-04-17 00:00:00+05:30,43.35,45.0,43.0,43.25,5101
2015-04-20 00:00:00+05:30,42.05,44.4,42.05,42.05,2519
2015-04-21 00:00:00+05:30,41.15,42.85,41.15,42.8,2011
