date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,90.25,91.6,89.75,89.95,175580
2015-01-02 00:00:00+05:30,89.45,91.0,89.35,89.95,173851
2015-01-05 00:00:00+05:30,89.95,90.5,88.85,89.65,492358
2015-01-06 00:00:00+05:30,89.5,89.5,88.3,89.05,115324
2015-01-07 00:00:00+05:30,88.5,93.0,88.1,89.95,333893
2015-01-08 00:00:00+05:30,91.0,91.0,89.95,90.1,49100
2015-01-09 00:00:00+05:30,89.5,91.6,89.2,90.5,135921
2015-01-12 00:00:00+05:30,90.05,91.55,88.7,90.5,151785
2015-01-13 00:00:00+05:30,92.0,92.0,90.0,90.1,24653
2015-01-14 00:00:00+05:30,90.05,90.5,89.75,90.45,68554
2015-01-15 00:00:00+05:30,90.5,90.5,90.3,90.45,53370
2015-01-16 00:00:00+05:30,91.05,91.05,90.0,90.45,54267
2015-01-19 00:00:00+05:30,90.45,90.5,89.9,89.95,56274
2015-01-20 00:00:00+05:30,90.5,90.5,89.9,90.35,22023
2015-01-21 00:00:00+05:30,89.25,90.95,89.25,90.7,97684
2015-01-22 00:00:00+05:30,90.2,90.9,90.1,90.7,24687
2015-01-23 00:00:00+05:30,91.5,93.5,89.25,91.0,66126
2015-01-27 00:00:00+05:30,90.95,91.2,90.0,90.3,23683
2015-01-28 00:00:00+05:30,90.05,90.75,90.05,90.3,11044
2015-01-29 00:00:00+05:30,90.0,90.75,88.05,90.3,30087
2015-01-30 00:00:00+05:30,90.0,91.8,90.0,90.3,20624
2015-02-02 00:00:00+05:30,90.25,90.35,89.45,89.8,48304
2015-02-03 00:00:00+05:30,89.2,90.1,89.0,89.85,21104
2015-02-04 00:00:00+05:30,89.3,89.5,89.2,89.35,19664
2015-02-05 00:00:00+05:30,89.0,89.95,88.2,88.5,76269
2015-02-06 00:00:00+05:30,88.95,88.95,87.9,88.2,147790
2015-02-09 00:00:00+05:30,88.05,88.75,87.9,88.35,42328
2015-02-10 00:00:00+05:30,87.85,88.5,87.15,87.55,50707
2015-02-11 00:00:00+05:30,87.25,87.95,87.25,87.9,28444
2015-02-12 00:00:00+05:30,89.35,89.35,87.6,87.9,16336
2015-02-13 00:00:00+05:30,87.5,88.25,86.2,87.95,32181
2015-02-16 00:00:00+05:30,87.95,88.0,87.8,87.9,14439
2015-02-18 00:00:00+05:30,88.05,88.25,86.8,88.15,443454
