date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,19.05,19.8,19.05,19.05,1548
2015-01-02 00:00:00+05:30,18.8,20.2,18.8,19.45,10531
2015-01-05 00:00:00+05:30,19.5,20.2,19.0,19.0,8380
2015-01-06 00:00:00+05:30,19.0,19.39,17.7,18.5,4967
2015-01-07 00:00:00+05:30,19.95,19.95,18.39,19.0,3379
2015-01-08 00:00:00+05:30,19.0,19.55,19.0,19.39,6562
2015-01-09 00:00:00+05:30,21.5,21.5,19.0,19.14,6026
2015-01-12 00:00:00+05:30,20.2,20.2,18.6,19.25,3657
2015-01-13 00:00:00+05:30,19.89,21.45,19.1,21.05,24201
2015-01-14 00:00:00+05:30,21.45,22.4,20.9,21.65,21197
2015-01-15 00:00:00+05:30,23.5,23.5,20.8,21.9,13755
2015-01-16 00:00:00+05:30,21.5,23.2,21.1,23.0,15577
2015-01-19 00:00:00+05:30,23.85,23.85,22.3,22.85,14753
2015-01-20 00:00:00+05:30,22.5,22.9,21.7,22.5,12425
2015-01-21 00:00:00+05:30,22.5,24.5,22.0,22.6,23914
2015-01-22 00:00:00+05:30,23.8,25.05,22.55,24.05,190707
2015-01-23 00:00:00+05:30,24.8,25.05,23.6,24.05,64568
2015-01-27 00:00:00+05:30,24.1,25.6,23.55,24.1,33556
2015-01-28 00:00:00+05:30,23.85,24.4,23.35,23.5,22039
2015-01-29 00:00:00+05:30,23.35,23.7,21.7,22.5,37130
2015-01-30 00:00:00+05:30,22.55,22.55,21.1,21.95,6194
2015-02-02 00:00:00+05:30,24.45,24.45,21.15,21.95,3663
2015-02-03 00:00:00+05:30,23.9,23.9,21.75,21.8,5847
2015-02-04 00:00:00+05:30,22.05,23.65,21.7,22.5,47228
2015-02-05 00:00:00+05:30,22.95,26.9,22.95,24.0,265633
2015-02-06 00:00:00+05:30,24.85,26.0,23.5,24.75,63338
2015-02-09 00:00:00+05:30,25.25,25.25,22.85,23.45,12168
2015-02-10 00:00:00+05:30,23.25,23.85,22.65,22.8,5813
2015-02-11 00:00:00+05:30,24.15,24.15,22.55,22.75,12100
2015-02-12 00:00:00+05:30,22.5,22.75,22.2,22.6,9546
2015-02-13 00:00:00+05:30,22.4,23.9,21.8,22.45,24960
2015-02-16 00:00:00+05:30,22.2,24.15,21.6,23.25,18949
2015-02-18 00:00:00+05:30,23.9,26.9,23.0,26.05,79928
2015-02-19 00:00:00+05:30,27.5,27.5,25.3,26.25,39449
2015-02-20 00:00:00+05:30,26.75,28.85,25.3,26.35,148582
2015-02-23 00:00:00+05:30,26.1,28.0,26.1,26.85,47199
2015-02-24 00:00:00+05:30,27.6,29.3,26.5,28.9,111064
2015-02-25 00:00:00+05:30,28.5,32.1,28.5,29.9,349001
2015-02-26 00:00:00+05:30,30.5,31.5,28.55,28.9,50681
2015-02-27 00:00:00+05:30,29.9,32.85,29.5,32.25,259305
2015-03-02 00:00:00+05:30,31.6,31.7,28.5,28.8,60009
2015-03-03 00:00:00+05:30,29.75,32.0,29.75,31.65,81180
2015-03-04 00:00:00+05:30,32.5,32.5,28.65,29.7,57523
2015-03-05 00:00:00+05:30,29.4,30.0,28.7,29.05,13690
2015-03-09 00:00:00+05:30,29.5,29.9,28.25,28.35,26159
2015-03-10 00:00:00+05:30,28.55,31.05,28.05,29.7,85046
2015-03-11 00:00:00+05:30,29.5,31.4,29.0,30.3,37740
2015-03-12 00:00:00+05:30,30.5,30.8,29.25,29.4,18375
2015-03-13 00:00:00+05:30,29.1,29.75,28.1,28.2,16872
2015-03-16 00:00:00+05:30,28.0,29.2,27.15,27.6,19784
2015-03-17 00:00:00+05:30,27.8,29.5,27.0,27.15,12046
2015-03-18 00:00:00+05:30,27.0,27.9,26.55,27.0,19104
2015-03-19 00:00:00+05:30,27.0,28.0,26.3,26.85,19345
2015-03-20 00:00:00+05:30,26.4,26.8,25.5,26.05,12893
2015-03-23 00:00:00+05:30,27.45,27.45,25.2,26.05,43524
2015-03-24 00:00:00+05:30,25.8,26.5,25.1,25.35,30731
2015-03-25 00:00:00+05:30,25.35,25.65,24.65,25.1,5905
2015-03-26 00:00:00+05:30,25.5,25.5,23.25,23.85,22415
2015-03-27 00:00:00+05:30,25.6,25.75,24.2,24.9,19574
2015-03-30 00:00:00+05:30,24.5,26.5,23.55,25.95,3014
2015-03-31 00:00:00+05:30,26.15,27.0,25.6,26.0,16164
2015-04-01 00:00:00+05:30,26.85,28.0,26.25,27.9,20563
2015-04-06 00:00:00+05:30,27.8,30.55,27.8,30.3,67371
2015-04-07 00:00:00+05:30,29.8,30.5,28.85,30.25,23097
2015-04-08 00:00:00+05:30,30.0,30.5,28.3,29.55,28816
