date,open,high,low,close,volume
2020-04-29 00:00:00+05:30,95.1,96.3,94.55,94.9,21982
2020-04-30 00:00:00+05:30,95.45,95.9,95.1,95.35,37242
2020-05-04 00:00:00+05:30,98.95,98.95,95.7,96.35,18157
2020-05-05 00:00:00+05:30,96.8,98.2,96.65,97.75,43419
2020-05-06 00:00:00+05:30,98.2,99.35,97.95,99.25,59375
2020-05-07 00:00:00+05:30,99.75,101.25,99.75,101.1,91914
2020-05-08 00:00:00+05:30,101.8,103.65,101.3,103.45,90660
2020-05-11 00:00:00+05:30,104.55,106.25,103.8,105.65,151049
2020-05-12 00:00:00+05:30,106.35,107.75,105.9,107.6,171037
2020-05-13 00:00:00+05:30,108.2,109.25,107.9,109.15,185380
2020-05-14 00:00:00+05:30,110.25,110.45,109.25,110.35,181024
2020-05-15 00:00:00+05:30,110.9,111.9,110.55,111.7,210529
2020-05-18 00:00:00+05:30,112.75,117.05,111.75,113.9,198685
2020-05-19 00:00:00+05:30,113.65,113.65,112.5,112.9,160871
2020-05-20 00:00:00+05:30,113.4,114.15,113.3,113.65,170358
2020-05-21 00:00:00+05:30,114.55,115.1,114.3,114.9,126206
2020-05-22 00:00:00+05:30,115.1,116.25,115.1,116.15,190667
2020-05-26 00:00:00+05:30,116.35,117.7,116.35,117.25,217054
2020-05-27 00:00:00+05:30,117.5,118.7,117.5,118.6,172632
2020-05-28 00:00:00+05:30,119.55,119.65,118.7,119.45,180440
2020-05-29 00:00:00+05:30,120.0,120.6,119.8,120.45,182263
2020-06-01 00:00:00+05:30,125.2,125.2,120.9,121.45,217291
2020-06-02 00:00:00+05:30,123.65,123.65,121.9,123.05,312199
2020-06-03 00:00:00+05:30,124.4,124.75,123.4,124.5,242298
2020-06-04 00:00:00+05:30,125.45,126.1,125.4,126.0,221674
2020-06-05 00:00:00+05:30,127.75,127.75,126.5,127.55,263612
2020-06-08 00:00:00+05:30,129.3,129.55,128.2,129.25,348391
2020-06-09 00:00:00+05:30,130.25,130.95,129.55,130.7,312321
2020-06-10 00:00:00+05:30,131.15,132.2,131.15,131.85,294213
2020-06-11 00:00:00+05:30,132.8,133.45,132.3,133.25,276948
2020-06-12 00:00:00+05:30,133.75,135.25,133.65,135.1,363507
2020-06-15 00:00:00+05:30,136.35,136.75,135.95,136.4,483943
2020-06-16 00:00:00+05:30,137.75,138.0,137.3,137.9,320792
2020-06-17 00:00:00+05:30,139.55,139.55,138.65,139.2,341162
2020-06-18 00:00:00+05:30,140.0,140.7,139.75,140.55,408806
2020-06-19 00:00:00+05:30,142.2,142.2,141.25,141.9,407692
2020-06-22 00:00:00+05:30,143.0,143.4,142.1,143.3,517890
2020-06-23 00:00:00+05:30,144.05,144.8,143.5,144.7,339211
2020-06-24 00:00:00+05:30,145.9,146.15,144.7,145.35,369018
2020-06-25 00:00:00+05:30,138.15,138.15,138.15,138.15,7916
2020-06-26 00:00:00+05:30,131.25,131.25,131.25,131.25,1166
2020-06-29 00:00:00+05:30,124.75,124.75,124.75,124.75,1398
2020-06-30 00:00:00+05:30,118.5,118.5,118.5,118.5,777
2020-07-01 00:00:00+05:30,112.6,112.6,112.6,112.6,694
2020-07-02 00:00:00+05:30,107.0,107.0,107.0,107.0,118
2020-07-03 00:00:00+05:30,101.7,101.7,101.7,101.7,890
2020-07-06 00:00:00+05:30,96.65,96.65,96.65,96.65,1518
2020-07-07 00:00:00+05:30,91.8,91.8,91.8,91.8,1371
2020-07-08 00:00:00+05:30,87.25,87.25,87.25,87.25,953
2020-07-09 00:00:00+05:30,82.9,82.9,82.9,82.9,407
2020-07-10 00:00:00+05:30,78.75,78.75,78.75,78.75,932
2020-07-13 00:00:00+05:30,74.85,74.85,74.85,74.85,127
2020-07-14 00:00:00+05:30,71.15,71.15,71.15,71.15,114
2020-07-15 00:00:00+05:30,67.6,67.6,67.6,67.6,443
2020-07-16 00:00:00+05:30,64.25,64.25,64.25,64.25,740
2020-07-17 00:00:00+05:30,61.05,61.05,61.05,61.05,1075
2020-07-20 00:00:00+05:30,58.0,58.0,58.0,58.0,593
2020-07-21 00:00:00+05:30,55.15,55.15,55.15,55.15,710
2020-07-22 00:00:00+05:30,52.4,52.4,52.4,52.4,967
2020-07-23 00:00:00+05:30,49.8,49.8,49.8,49.8,9101
2020-07-24 00:00:00+05:30,47.35,47.35,47.35,47.35,798
2020-07-27 00:00:00+05:30,45.0,45.0,45.0,45.0,295
2020-07-28 00:00:00+05:30,42.75,42.75,42.75,42.75,524
2020-07-29 00:00:00+05:30,40.65,40.65,40.65,40.65,1455
2020-07-30 00:00:00+05:30,38.65,38.65,38.65,38.65,1078
2020-07-31 00:00:00+05:30,36.75,36.75,36.75,36.75,315
2020-08-03 00:00:00+05:30,34.9,34.9,34.9,34.9,1984
2020-08-04 00:00:00+05:30,33.2,33.2,33.2,33.2,1700
2020-08-05 00:00:00+05:30,31.55,31.55,31.55,31.55,2675
2020-08-06 00:00:00+05:30,30.0,30.0,30.0,30.0,1540
2020-08-07 00:00:00+05:30,28.5,28.5,28.5,28.5,4841
2020-08-10 00:00:00+05:30,27.1,27.1,27.1,27.1,5432
2020-08-11 00:00:00+05:30,25.75,25.75,25.75,25.75,2890
2020-08-12 00:00:00+05:30,24.5,24.5,24.5,24.5,7059
2020-10-01 00:00:00+05:30,17.8,18.7,16.95,18.65,20380
2020-10-05 00:00:00+05:30,19.4,19.55,17.85,18.4,16672
2020-10-06 00:00:00+05:30,17.95,19.2,17.95,18.25,17788
2020-10-07 00:00:00+05:30,17.85,18.75,17.35,18.35,12899
2020-10-08 00:00:00+05:30,17.75,19.05,17.75,18.7,12231
2020-10-09 00:00:00+05:30,18.65,18.65,17.75,18.25,13868
2020-10-12 00:00:00+05:30,18.8,18.8,17.35,17.45,24495
2020-10-13 00:00:00+05:30,17.4,17.9,17.4,17.6,7218
2020-10-14 00:00:00+05:30,18.45,18.45,16.8,17.5,6377
2020-10-15 00:00:00+05:30,17.25,17.75,16.75,17.55,9946
2020-10-16 00:00:00+05:30,18.15,18.15,16.7,16.7,18939
2020-10-19 00:00:00+05:30,16.8,17.25,15.85,15.85,19041
2020-10-20 00:00:00+05:30,16.15,16.15,15.1,15.85,32116
2020-10-21 00:00:00+05:30,15.45,16.35,15.1,15.75,39669
2020-10-22 00:00:00+05:30,16.5,16.5,15.0,15.85,34687
2020-10-23 00:00:00+05:30,16.1,16.1,15.1,15.4,28823
2020-10-26 00:00:00+05:30,15.1,15.75,14.7,14.85,60924
2020-10-27 00:00:00+05:30,14.75,14.75,14.15,14.25,43910
2020-10-28 00:00:00+05:30,14.55,14.55,13.55,13.55,25858
2020-10-29 00:00:00+05:30,12.9,13.35,12.9,12.9,12095
2020-10-30 00:00:00+05:30,12.25,12.5,12.25,12.25,11009
2020-11-02 00:00:00+05:30,11.7,12.85,11.7,12.0,43252
2020-11-03 00:00:00+05:30,11.8,11.8,11.4,11.5,48198
2020-11-04 00:00:00+05:30,11.75,11.75,10.95,10.95,30653
2020-11-05 00:00:00+05:30,10.9,10.9,10.4,10.4,12230
2020-11-06 00:00:00+05:30,9.9,9.9,9.9,9.9,24517
2020-11-09 00:00:00+05:30,9.45,10.35,9.45,10.35,73853
2020-11-10 00:00:00+05:30,10.8,10.85,10.45,10.85,43450
2020-11-11 00:00:00+05:30,11.25,11.35,11.0,11.35,48419
2020-11-12 00:00:00+05:30,11.9,11.9,11.45,11.9,77916
2020-11-13 00:00:00+05:30,12.5,12.5,11.95,12.5,36303
2020-11-14 00:00:00+05:30,13.1,13.1,12.95,13.1,37166
2020-11-17 00:00:00+05:30,13.75,13.75,13.1,13.75,40520
2020-11-18 00:00:00+05:30,14.4,14.4,14.1,14.4,51031
2020-11-19 00:00:00+05:30,15.1,15.1,15.1,15.1,19702
2020-11-20 00:00:00+05:30,15.8,15.8,14.35,14.35,92506
2020-11-23 00:00:00+05:30,13.7,13.7,13.7,13.7,16334
2020-11-24 00:00:00+05:30,13.0,13.0,13.0,13.0,17918
2020-11-25 00:00:00+05:30,12.35,12.35,12.35,12.35,19490
2020-11-26 00:00:00+05:30,11.75,12.95,11.75,12.85,105509
2020-11-27 00:00:00+05:30,13.45,13.5,12.75,13.3,47208
2020-12-01 00:00:00+05:30,13.9,13.95,12.7,12.75,122033
2020-12-02 00:00:00+05:30,12.75,12.75,12.1,12.2,63208
2020-12-03 00:00:00+05:30,12.25,12.75,11.65,12.15,52553
2020-12-04 00:00:00+05:30,12.65,12.65,11.75,12.1,105995
2020-12-07 00:00:00+05:30,12.35,12.6,11.8,12.2,142098
2020-12-08 00:00:00+05:30,12.45,12.45,12.1,12.2,102704
2020-12-09 00:00:00+05:30,12.55,12.55,11.8,11.9,92975
2020-12-10 00:00:00+05:30,12.15,12.15,11.75,11.85,85652
2020-12-11 00:00:00+05:30,12.1,12.15,11.75,12.05,98204
2020-12-14 00:00:00+05:30,12.05,12.25,11.5,11.95,112156
2020-12-15 00:00:00+05:30,11.95,11.95,11.4,11.75,101174
2020-12-16 00:00:00+05:30,11.8,11.85,11.25,11.7,116439
2020-12-17 00:00:00+05:30,12.15,12.15,11.25,11.6,110266
2020-12-18 00:00:00+05:30,11.75,11.75,11.05,11.15,102461
2020-12-21 00:00:00+05:30,10.75,10.95,10.6,10.6,117946
2020-12-22 00:00:00+05:30,10.45,11.1,10.1,10.35,97335
2020-12-23 00:00:00+05:30,9.95,10.85,9.85,10.85,188706
2020-12-24 00:00:00+05:30,11.3,11.35,10.35,10.4,197346
2020-12-28 00:00:00+05:30,10.75,10.75,9.9,10.05,173683
2020-12-29 00:00:00+05:30,10.25,10.45,9.6,10.05,219174
2020-12-30 00:00:00+05:30,10.35,10.35,9.6,9.85,266300
2020-12-31 00:00:00+05:30,9.75,10.3,9.4,10.25,379953
2021-01-01 00:00:00+05:30,10.65,10.75,10.35,10.75,121934
2021-01-04 00:00:00+05:30,11.25,11.25,11.25,11.25,54160
2021-01-05 00:00:00+05:30,11.8,11.8,10.75,11.8,176960
2021-01-06 00:00:00+05:30,12.4,12.4,12.4,12.4,76571
2021-01-07 00:00:00+05:30,13.0,13.0,12.7,13.0,249251
2021-01-08 00:00:00+05:30,13.6,13.65,13.25,13.65,140286
2021-01-11 00:00:00+05:30,14.3,14.3,12.95,12.95,254708
2021-01-12 00:00:00+05:30,12.4,12.9,12.3,12.3,102934
2021-01-13 00:00:00+05:30,12.7,12.7,11.75,11.75,214156
2021-01-14 00:00:00+05:30,11.8,12.1,11.25,11.25,136073
2021-01-15 00:00:00+05:30,11.6,11.8,11.25,11.8,190483
2021-01-18 00:00:00+05:30,12.2,12.4,11.6,12.35,267917
2021-01-19 00:00:00+05:30,12.75,12.75,11.8,11.95,126816
2021-01-20 00:00:00+05:30,12.25,12.25,11.4,11.5,246300
2021-01-21 00:00:00+05:30,12.0,12.0,11.25,11.4,103058
2021-01-22 00:00:00+05:30,11.95,11.95,10.9,10.95,185957
2021-01-25 00:00:00+05:30,11.15,11.2,10.55,10.6,115279
2021-01-27 00:00:00+05:30,10.7,10.9,10.1,10.1,150680
2021-01-28 00:00:00+05:30,10.1,10.6,9.6,10.6,330667
2021-01-29 00:00:00+05:30,11.05,11.1,10.15,10.45,230401
2021-02-01 00:00:00+05:30,10.75,10.75,10.25,10.4,91356
2021-02-02 00:00:00+05:30,10.75,10.75,10.2,10.25,96471
2021-02-03 00:00:00+05:30,10.45,10.45,10.0,10.05,175240
2021-02-04 00:00:00+05:30,10.25,10.25,9.9,10.0,159396
2021-02-05 00:00:00+05:30,10.2,10.2,9.8,9.9,122571
2021-02-08 00:00:00+05:30,10.1,10.35,9.9,10.1,100986
2021-02-09 00:00:00+05:30,10.25,10.35,9.95,10.15,77311
2021-02-10 00:00:00+05:30,10.4,10.45,10.1,10.2,63389
2021-02-11 00:00:00+05:30,10.2,10.35,10.2,10.25,32023
2021-02-12 00:00:00+05:30,10.4,10.55,10.25,10.45,74852
2021-02-15 00:00:00+05:30,10.45,10.65,10.25,10.55,62919
2021-02-16 00:00:00+05:30,10.85,10.85,10.55,10.7,104585
2021-02-17 00:00:00+05:30,10.8,10.8,10.2,10.4,73323
2021-02-18 00:00:00+05:30,10.65,10.65,10.25,10.3,49720
2021-02-19 00:00:00+05:30,10.45,10.45,10.05,10.1,47840
2021-02-22 00:00:00+05:30,10.2,10.5,10.05,10.15,55040
2021-02-23 00:00:00+05:30,10.35,10.35,9.95,10.1,25172
2021-02-24 00:00:00+05:30,10.05,10.45,9.95,10.15,10979
2021-02-25 00:00:00+05:30,10.3,10.35,10.05,10.25,74522
2021-02-26 00:00:00+05:30,10.35,10.35,10.0,10.05,47050
2021-03-01 00:00:00+05:30,10.35,10.35,9.8,9.9,108643
2021-03-02 00:00:00+05:30,10.25,10.25,9.75,9.75,196488
2021-03-03 00:00:00+05:30,9.9,10.0,9.75,9.95,67184
2021-03-04 00:00:00+05:30,9.95,9.95,9.65,9.85,49137
2021-03-05 00:00:00+05:30,9.95,9.95,9.75,9.75,85375
2021-03-08 00:00:00+05:30,9.95,9.95,9.75,9.8,24665
2021-03-09 00:00:00+05:30,9.75,9.85,9.7,9.75,49908
2021-03-10 00:00:00+05:30,10.0,10.0,9.75,10.0,59392
2021-03-12 00:00:00+05:30,10.1,10.45,9.9,10.25,83969
2021-03-15 00:00:00+05:30,10.45,10.45,10.05,10.25,39860
2021-03-16 00:00:00+05:30,10.4,10.4,10.0,10.35,24422
2021-03-17 00:00:00+05:30,10.25,10.45,9.85,10.05,34669
2021-03-18 00:00:00+05:30,10.1,10.15,9.55,9.75,34723
2021-03-19 00:00:00+05:30,9.75,10.05,9.55,9.65,37972
2021-03-22 00:00:00+05:30,9.3,10.1,9.2,9.4,114557
2021-03-23 00:00:00+05:30,9.65,9.85,9.15,9.5,93630
2021-03-24 00:00:00+05:30,9.85,9.95,9.6,9.75,80348
2021-03-25 00:00:00+05:30,10.15,10.15,9.35,9.55,34546
2021-03-26 00:00:00+05:30,9.95,9.95,9.45,9.55,13878
2021-03-30 00:00:00+05:30,9.75,9.75,9.25,9.25,39483
2021-03-31 00:00:00+05:30,8.8,9.75,8.8,9.1,100294
2021-04-01 00:00:00+05:30,9.35,9.55,9.15,9.55,30658
2021-04-05 00:00:00+05:30,9.55,9.95,9.1,9.25,85400
2021-04-06 00:00:00+05:30,9.55,9.55,9.25,9.4,17647
2021-04-07 00:00:00+05:30,9.65,9.65,9.1,9.25,46778
2021-04-08 00:00:00+05:30,9.45,9.55,9.15,9.2,64867
2021-04-09 00:00:00+05:30,9.2,9.4,9.2,9.25,37644
2021-04-12 00:00:00+05:30,9.35,9.35,8.65,9.1,47667
2021-04-13 00:00:00+05:30,8.9,9.45,8.75,9.2,40937
2021-04-15 00:00:00+05:30,9.2,9.7,8.9,9.0,37782
2021-04-16 00:00:00+05:30,9.35,9.35,8.25,8.95,51483
2021-04-19 00:00:00+05:30,8.1,8.65,8.1,8.45,63691
2021-04-20 00:00:00+05:30,8.95,8.95,7.7,8.0,253673
2021-04-22 00:00:00+05:30,8.2,8.25,7.75,8.05,56407
2021-04-23 00:00:00+05:30,8.15,8.15,7.5,7.85,68549
2021-04-26 00:00:00+05:30,7.75,8.1,7.75,8.05,51929
2021-04-27 00:00:00+05:30,8.2,8.75,7.95,8.65,68085
2021-04-28 00:00:00+05:30,9.25,9.25,9.1,9.2,68756
2021-04-29 00:00:00+05:30,9.95,10.1,8.5,9.4,371592
2021-04-30 00:00:00+05:30,9.55,9.55,9.2,9.25,44536
