date,open,high,low,close,volume
2020-12-16 00:00:00+05:30,47.74,47.76,47.7,47.73,1654
2020-12-17 00:00:00+05:30,47.73,47.77,47.73,47.75,447
2020-12-18 00:00:00+05:30,47.75,47.77,47.69,47.71,1965
2020-12-21 00:00:00+05:30,47.75,47.75,47.66,47.67,12217
2020-12-22 00:00:00+05:30,47.74,47.76,47.71,47.71,651
2020-12-23 00:00:00+05:30,47.75,47.75,47.71,47.73,249
2020-12-24 00:00:00+05:30,47.76,47.78,47.7,47.74,6830
2020-12-28 00:00:00+05:30,49.17,49.17,46.31,47.76,4695
2020-12-29 00:00:00+05:30,47.79,47.8,47.76,47.79,6156
2020-12-30 00:00:00+05:30,49.22,49.22,45.89,47.8,15074
2020-12-31 00:00:00+05:30,47.81,47.84,47.79,47.84,14725
2021-01-01 00:00:00+05:30,52.69,52.69,47.79,47.82,18765
2021-01-04 00:00:00+05:30,47.85,47.94,47.82,47.94,2099
2021-01-05 00:00:00+05:30,47.95,48.03,47.95,48.01,17537
2021-01-06 00:00:00+05:30,48.02,48.02,47.92,47.94,14779
2021-01-07 00:00:00+05:30,47.94,48.0,47.94,47.98,4054
2021-01-08 00:00:00+05:30,47.98,48.01,47.97,47.97,20581
2021-01-11 00:00:00+05:30,47.94,47.98,47.71,47.8,7858
2021-01-12 00:00:00+05:30,47.82,47.82,47.74,47.75,5472
2021-01-13 00:00:00+05:30,52.69,52.69,47.66,47.66,10635
2021-01-14 00:00:00+05:30,47.65,47.73,47.65,47.7,3637
2021-01-15 00:00:00+05:30,47.68,47.71,47.64,47.65,1122
2021-01-18 00:00:00+05:30,47.65,47.65,47.58,47.64,162
2021-01-19 00:00:00+05:30,46.22,47.66,46.22,47.64,883
2021-01-20 00:00:00+05:30,47.68,47.72,47.65,47.72,2621
2021-01-21 00:00:00+05:30,47.72,47.73,47.65,47.65,1958
2021-01-22 00:00:00+05:30,49.07,49.07,47.65,47.65,616
2021-01-25 00:00:00+05:30,47.7,47.7,47.67,47.7,21
2021-01-27 00:00:00+05:30,47.68,47.68,47.65,47.65,5638
2021-01-28 00:00:00+05:30,47.67,47.73,47.67,47.7,8827
2021-01-29 00:00:00+05:30,47.73,47.76,47.73,47.73,222
2021-02-01 00:00:00+05:30,49.16,49.16,47.3,47.35,3325
2021-02-02 00:00:00+05:30,48.0,48.0,47.1,47.15,19022
2021-02-03 00:00:00+05:30,47.16,47.34,47.16,47.34,2700
2021-02-04 00:00:00+05:30,45.92,47.5,45.92,47.47,221
2021-02-05 00:00:00+05:30,47.51,47.51,47.25,47.25,240
2021-02-08 00:00:00+05:30,47.33,47.38,47.28,47.3,218
2021-02-09 00:00:00+05:30,47.33,47.33,47.16,47.19,2162
2021-02-10 00:00:00+05:30,47.23,47.31,47.2,47.26,2663
2021-02-11 00:00:00+05:30,47.28,47.39,47.28,47.36,10782
2021-02-12 00:00:00+05:30,47.37,47.44,47.34,47.44,2239
2021-02-15 00:00:00+05:30,47.43,47.43,47.36,47.36,7869
2021-02-16 00:00:00+05:30,47.43,47.43,47.36,47.4,10722
2021-02-17 00:00:00+05:30,47.42,47.42,47.38,47.38,462
2021-02-18 00:00:00+05:30,47.39,47.39,47.29,47.32,1257
2021-02-19 00:00:00+05:30,47.24,47.24,47.2,47.2,3656
2021-02-22 00:00:00+05:30,47.26,47.26,47.1,47.16,578
