date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,159.4,160.28,156.73,158.0,157276
2015-01-02 00:00:00+05:30,157.25,159.07,155.98,156.78,76962
2015-01-05 00:00:00+05:30,155.5,156.5,153.65,154.28,98864
2015-01-06 00:00:00+05:30,154.0,157.3,150.5,155.13,224592
2015-01-07 00:00:00+05:30,153.0,156.98,153.0,155.03,211202
2015-01-08 00:00:00+05:30,154.5,156.07,154.5,155.48,58298
2015-01-09 00:00:00+05:30,155.53,156.05,154.5,155.03,83784
2015-01-12 00:00:00+05:30,153.55,157.0,153.03,154.1,60404
2015-01-13 00:00:00+05:30,154.25,156.53,153.25,154.4,56022
2015-01-14 00:00:00+05:30,153.68,157.0,151.5,153.2,80430
2015-01-15 00:00:00+05:30,152.75,154.93,151.05,151.98,82670
2015-01-16 00:00:00+05:30,151.6,152.98,149.6,150.05,68018
2015-01-19 00:00:00+05:30,152.48,153.25,149.23,149.93,70884
2015-01-20 00:00:00+05:30,150.75,152.0,149.0,149.55,64616
2015-01-21 00:00:00+05:30,149.1,152.0,148.25,148.65,64072
2015-01-22 00:00:00+05:30,149.0,151.38,148.05,149.9,84688
2015-01-23 00:00:00+05:30,152.25,152.25,148.75,149.57,96906
2015-01-27 00:00:00+05:30,149.57,150.0,147.1,147.68,73928
2015-01-28 00:00:00+05:30,147.75,148.48,146.7,147.6,44292
2015-01-29 00:00:00+05:30,148.4,148.4,145.6,146.2,95906
2015-01-30 00:00:00+05:30,146.4,147.5,145.5,146.4,55644
2015-02-02 00:00:00+05:30,145.05,146.85,145.0,145.53,48268
2015-02-03 00:00:00+05:30,146.0,146.98,145.0,146.15,51578
2015-02-04 00:00:00+05:30,146.98,146.98,145.13,145.48,51694
2015-02-05 00:00:00+05:30,146.0,146.45,144.88,145.0,88074
2015-02-06 00:00:00+05:30,145.0,146.32,144.25,144.98,73832
2015-02-09 00:00:00+05:30,145.5,145.5,144.0,144.48,46724
2015-02-10 00:00:00+05:30,145.93,145.93,143.53,145.05,38922
2015-02-11 00:00:00+05:30,147.8,147.8,145.0,145.55,110354
2015-02-12 00:00:00+05:30,146.95,146.95,144.5,145.0,66966
2015-02-13 00:00:00+05:30,146.4,146.4,144.0,144.9,64200
2015-02-16 00:00:00+05:30,145.07,145.9,143.5,143.95,74526
2015-02-18 00:00:00+05:30,143.05,145.0,141.43,142.2,165504
2015-02-19 00:00:00+05:30,144.0,147.0,142.5,143.73,242464
2015-02-20 00:00:00+05:30,144.25,144.45,143.2,143.75,74814
2015-02-23 00:00:00+05:30,143.5,146.03,143.5,143.8,101536
2015-02-24 00:00:00+05:30,143.9,144.5,143.5,143.68,60866
2015-02-25 00:00:00+05:30,143.75,144.7,141.25,142.38,172976
2015-02-26 00:00:00+05:30,140.45,140.82,139.5,139.85,67334
2015-02-27 00:00:00+05:30,140.03,142.5,139.5,141.8,77440
2015-03-02 00:00:00+05:30,140.0,142.48,139.75,140.13,70568
2015-03-03 00:00:00+05:30,140.3,141.5,139.55,141.18,62836
2015-03-04 00:00:00+05:30,141.25,142.48,138.75,139.18,100358
2015-03-05 00:00:00+05:30,139.45,140.03,138.0,139.05,37890
2015-03-09 00:00:00+05:30,139.0,139.05,137.28,137.7,46634
2015-03-10 00:00:00+05:30,138.03,140.5,137.5,139.28,75430
2015-03-11 00:00:00+05:30,139.43,140.0,138.05,139.3,40824
2015-03-12 00:00:00+05:30,139.78,149.75,138.0,148.18,272866
2015-03-13 00:00:00+05:30,145.82,148.25,144.0,144.45,277974
2015-03-16 00:00:00+05:30,144.5,144.95,142.0,142.55,49858
2015-03-17 00:00:00+05:30,143.0,143.07,142.3,142.7,66886
2015-03-18 00:00:00+05:30,142.75,144.68,140.07,142.57,133114
2015-03-19 00:00:00+05:30,143.5,143.98,141.0,142.0,80696
2015-03-20 00:00:00+05:30,142.1,143.4,140.0,141.78,71426
2015-03-23 00:00:00+05:30,142.43,142.82,137.55,139.03,59542
2015-03-24 00:00:00+05:30,139.5,140.93,138.28,139.45,46308
2015-03-25 00:00:00+05:30,140.0,140.0,137.35,137.75,44646
2015-03-26 00:00:00+05:30,135.68,137.73,134.8,135.15,68800
2015-03-27 00:00:00+05:30,135.35,136.0,132.55,133.55,85006
2015-03-30 00:00:00+05:30,133.75,135.5,133.75,134.73,32116
2015-03-31 00:00:00+05:30,134.9,140.4,134.48,138.3,187386
2015-04-01 00:00:00+05:30,138.0,139.5,137.2,138.88,86624
2015-04-06 00:00:00+05:30,139.1,139.3,136.03,137.7,67096
2015-04-07 00:00:00+05:30,137.63,141.0,136.63,138.43,94446
2015-04-08 00:00:00+05:30,140.0,144.98,138.05,142.45,166400
2015-04-09 00:00:00+05:30,143.5,143.5,140.15,140.63,51402
2015-04-10 00:00:00+05:30,142.45,143.5,139.57,143.18,112572
2015-04-13 00:00:00+05:30,143.0,143.25,140.75,141.07,59208
2015-04-15 00:00:00+05:30,141.25,144.45,141.25,143.45,95512
2015-04-16 00:00:00+05:30,143.93,144.45,140.0,140.28,43396
2015-04-17 00:00:00+05:30,140.73,141.53,138.0,138.75,44908
2015-04-20 00:00:00+05:30,139.5,140.0,135.5,136.1,43092
2015-04-21 00:00:00+05:30,136.93,137.38,135.0,136.15,42822
2015-04-22 00:00:00+05:30,136.95,137.45,134.0,134.6,54680
2015-04-23 00:00:00+05:30,135.5,135.75,133.55,134.15,57774
2015-04-24 00:00:00+05:30,134.55,134.93,131.82,132.13,57808
2015-04-27 00:00:00+05:30,132.25,132.95,126.85,127.3,93406
2015-04-28 00:00:00+05:30,128.0,128.0,126.5,127.7,49750
2015-04-29 00:00:00+05:30,127.75,128.2,126.53,127.33,43604
2015-04-30 00:00:00+05:30,127.18,127.7,126.1,126.75,42112
2015-05-04 00:00:00+05:30,126.83,129.53,126.0,129.15,82550
2015-05-05 00:00:00+05:30,128.25,129.38,127.75,128.07,60940
2015-05-06 00:00:00+05:30,128.0,128.9,125.5,126.38,51352
2015-05-07 00:00:00+05:30,126.4,126.83,124.5,125.0,54994
2015-05-08 00:00:00+05:30,125.25,126.83,124.8,125.05,42660
2015-05-11 00:00:00+05:30,125.3,127.63,125.3,126.08,42168
2015-05-12 00:00:00+05:30,126.1,126.48,124.5,124.83,53286
2015-05-13 00:00:00+05:30,126.0,129.98,125.9,127.63,82782
2015-05-14 00:00:00+05:30,127.58,131.4,126.55,129.43,124968
2015-05-15 00:00:00+05:30,129.98,130.28,128.5,129.4,24820
2015-05-18 00:00:00+05:30,129.88,129.88,128.5,128.85,35706
