date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,13.1,13.2,12.9,13.04,13436
2015-01-02 00:00:00+05:30,12.98,13.45,12.92,13.2,40363
2015-01-05 00:00:00+05:30,13.4,13.4,13.14,13.14,13889
2015-01-06 00:00:00+05:30,12.72,13.14,12.62,12.9,54665
2015-01-07 00:00:00+05:30,12.9,13.2,12.81,13.05,44129
2015-01-08 00:00:00+05:30,13.25,13.45,12.9,13.11,28934
2015-01-09 00:00:00+05:30,13.35,13.35,12.92,13.2,14334
2015-01-12 00:00:00+05:30,13.2,13.44,13.02,13.08,13921
2015-01-13 00:00:00+05:30,13.3,13.3,12.9,12.91,24536
2015-01-14 00:00:00+05:30,13.23,13.23,12.9,13.01,18752
2015-01-15 00:00:00+05:30,13.26,13.29,13.05,13.19,19718
2015-01-16 00:00:00+05:30,13.3,13.39,13.18,13.24,17387
2015-01-19 00:00:00+05:30,13.4,13.47,13.15,13.33,22302
2015-01-20 00:00:00+05:30,13.48,13.5,13.26,13.44,33339
2015-01-21 00:00:00+05:30,13.48,13.48,13.25,13.39,41751
2015-01-22 00:00:00+05:30,13.21,13.6,13.21,13.34,38839
2015-01-23 00:00:00+05:30,13.25,13.48,13.25,13.4,37719
2015-01-27 00:00:00+05:30,13.5,13.69,13.4,13.55,34157
2015-01-28 00:00:00+05:30,13.7,13.8,13.6,13.75,23047
2015-01-29 00:00:00+05:30,13.75,13.75,13.33,13.56,41153
2015-01-30 00:00:00+05:30,13.31,13.73,13.31,13.67,25464
2015-02-02 00:00:00+05:30,13.7,13.89,13.7,13.83,22105
2015-02-03 00:00:00+05:30,13.9,13.9,13.56,13.66,14100
2015-02-04 00:00:00+05:30,13.88,13.88,13.48,13.64,6333
2015-02-05 00:00:00+05:30,13.89,13.9,13.45,13.48,20087
2015-02-06 00:00:00+05:30,13.72,13.72,13.35,13.35,4438
2015-02-09 00:00:00+05:30,13.69,13.69,13.0,13.09,35121
2015-02-10 00:00:00+05:30,13.48,13.48,12.9,13.19,5924
2015-02-11 00:00:00+05:30,13.43,13.43,13.18,13.19,5001
2015-02-12 00:00:00+05:30,13.36,13.45,13.17,13.41,223475
2015-02-13 00:00:00+05:30,13.68,13.68,13.42,13.48,6673
2015-02-16 00:00:00+05:30,13.64,13.7,13.56,13.66,33331
2015-02-18 00:00:00+05:30,13.7,13.7,13.11,13.57,30944
2015-02-19 00:00:00+05:30,13.69,13.8,13.45,13.5,33597
2015-02-20 00:00:00+05:30,13.67,13.73,13.51,13.65,37312
2015-02-23 00:00:00+05:30,13.76,13.76,13.52,13.53,27431
2015-02-24 00:00:00+05:30,13.7,13.7,13.41,13.41,6448
2015-02-25 00:00:00+05:30,13.41,13.73,13.38,13.45,57412
2015-02-26 00:00:00+05:30,13.54,13.54,13.2,13.27,10312
2015-02-27 00:00:00+05:30,13.58,13.58,13.35,13.43,261377
2015-03-02 00:00:00+05:30,13.67,13.77,13.5,13.73,92756
2015-03-03 00:00:00+05:30,13.79,13.91,13.6,13.89,72075
2015-03-04 00:00:00+05:30,13.95,13.99,13.67,13.67,55860
2015-03-05 00:00:00+05:30,13.92,13.92,13.3,13.72,37685
2015-03-09 00:00:00+05:30,13.78,13.78,13.52,13.55,33868
2015-03-10 00:00:00+05:30,13.79,13.79,13.52,13.52,10756
2015-03-11 00:00:00+05:30,13.79,13.79,13.35,13.5,38569
2015-03-12 00:00:00+05:30,13.51,13.74,13.51,13.68,10144
2015-03-13 00:00:00+05:30,13.75,13.85,13.53,13.6,39585
2015-03-16 00:00:00+05:30,13.69,13.69,13.12,13.52,41470
2015-03-17 00:00:00+05:30,13.78,13.78,13.51,13.59,6342
2015-03-18 00:00:00+05:30,13.6,13.75,13.21,13.62,56003
2015-03-19 00:00:00+05:30,13.85,13.85,13.65,13.66,25997
2015-03-20 00:00:00+05:30,13.8,13.8,13.44,13.44,11043
2015-03-23 00:00:00+05:30,13.76,13.76,13.05,13.33,32944
2015-03-24 00:00:00+05:30,13.47,13.47,13.25,13.26,194588
2015-03-25 00:00:00+05:30,13.44,13.44,13.21,13.26,96991
2015-03-26 00:00:00+05:30,13.47,13.47,13.22,13.33,7173
2015-03-27 00:00:00+05:30,13.15,13.48,13.06,13.18,101084
2015-03-30 00:00:00+05:30,13.25,13.35,13.11,13.28,8685
