date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,14.7,16.35,14.7,15.3,4637
2015-01-02 00:00:00+05:30,15.3,16.0,15.25,15.45,6259
2015-01-05 00:00:00+05:30,15.95,16.89,15.45,16.75,26032
2015-01-06 00:00:00+05:30,16.85,16.85,15.8,16.05,13780
2015-01-07 00:00:00+05:30,15.15,17.45,15.1,15.25,9488
2015-01-08 00:00:00+05:30,15.7,15.95,15.5,15.6,5521
2015-01-09 00:00:00+05:30,15.9,15.9,15.4,15.5,2308
2015-01-12 00:00:00+05:30,16.2,16.2,15.15,15.6,2485
2015-01-13 00:00:00+05:30,15.3,16.3,15.3,15.75,14041
2015-01-14 00:00:00+05:30,15.3,15.85,14.85,15.0,10635
2015-01-15 00:00:00+05:30,15.05,15.9,14.85,15.1,7271
2015-01-16 00:00:00+05:30,15.1,16.05,15.1,15.2,2446
2015-01-19 00:00:00+05:30,15.25,16.2,15.25,15.6,10634
2015-01-20 00:00:00+05:30,15.65,16.1,15.65,15.9,7992
2015-01-21 00:00:00+05:30,16.0,16.45,15.85,16.1,7090
2015-01-22 00:00:00+05:30,16.5,16.5,15.9,16.0,4870
2015-01-23 00:00:00+05:30,16.64,16.64,15.2,15.6,6463
2015-01-27 00:00:00+05:30,15.7,15.7,15.6,15.6,719
2015-01-28 00:00:00+05:30,15.5,15.75,15.2,15.45,4510
2015-01-29 00:00:00+05:30,15.2,15.6,14.8,15.6,5054
2015-01-30 00:00:00+05:30,15.35,15.5,14.75,15.35,5086
2015-02-02 00:00:00+05:30,15.5,16.0,14.8,15.0,10205
2015-02-03 00:00:00+05:30,14.95,15.6,14.6,14.75,7412
2015-02-04 00:00:00+05:30,15.35,15.35,14.75,14.85,4062
2015-02-05 00:00:00+05:30,14.9,15.3,14.5,14.55,10427
2015-02-06 00:00:00+05:30,14.6,14.85,14.4,14.8,3951
2015-02-09 00:00:00+05:30,14.8,14.8,14.15,14.8,4035
2015-02-10 00:00:00+05:30,15.8,15.8,13.65,14.8,1922
2015-02-11 00:00:00+05:30,14.5,14.9,14.5,14.9,2470
2015-02-12 00:00:00+05:30,14.5,14.6,13.3,14.35,10190
