date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,203.0,207.9,198.85,200.7,38824
2015-01-02 00:00:00+05:30,199.0,215.0,198.7,211.4,157084
2015-01-05 00:00:00+05:30,214.0,217.5,212.0,212.95,70331
2015-01-06 00:00:00+05:30,207.1,210.05,199.05,201.15,52981
2015-01-07 00:00:00+05:30,200.35,203.9,197.0,200.2,28090
2015-01-08 00:00:00+05:30,201.4,209.8,201.4,208.6,34739
2015-01-09 00:00:00+05:30,207.0,209.9,205.05,206.15,16589
2015-01-12 00:00:00+05:30,203.1,214.0,202.85,210.85,46489
2015-01-13 00:00:00+05:30,211.2,213.85,208.0,210.5,43673
2015-01-14 00:00:00+05:30,209.4,212.4,203.0,205.25,20815
2015-01-15 00:00:00+05:30,205.5,210.7,205.15,207.45,23058
2015-01-16 00:00:00+05:30,206.4,208.9,202.0,205.0,26713
2015-01-19 00:00:00+05:30,205.2,218.95,205.2,214.35,87289
2015-01-20 00:00:00+05:30,214.5,216.5,207.55,209.55,30283
2015-01-21 00:00:00+05:30,208.5,213.6,206.0,208.05,17595
2015-01-22 00:00:00+05:30,209.0,214.0,205.0,206.8,24500
2015-01-23 00:00:00+05:30,206.2,209.7,201.95,206.05,33381
2015-01-27 00:00:00+05:30,210.35,217.35,208.0,215.8,51976
2015-01-28 00:00:00+05:30,214.0,232.9,213.0,224.35,238968
2015-01-29 00:00:00+05:30,224.7,225.9,216.1,218.45,35145
2015-01-30 00:00:00+05:30,219.05,225.25,215.6,217.25,41139
2015-02-02 00:00:00+05:30,216.0,223.7,215.15,216.6,43762
2015-02-03 00:00:00+05:30,217.1,219.7,207.0,209.0,39801
2015-02-04 00:00:00+05:30,211.95,214.9,202.15,203.55,33877
2015-02-05 00:00:00+05:30,205.1,213.3,202.0,203.55,25801
2015-02-06 00:00:00+05:30,204.5,207.7,186.65,188.75,139981
2015-02-09 00:00:00+05:30,188.75,188.75,181.0,182.55,39359
2015-02-10 00:00:00+05:30,182.55,198.5,182.55,190.15,44095
2015-02-11 00:00:00+05:30,190.05,199.7,190.0,198.8,24126
2015-02-12 00:00:00+05:30,199.8,200.95,194.1,196.15,12343
2015-02-13 00:00:00+05:30,196.2,198.45,192.05,194.2,33544
2015-02-16 00:00:00+05:30,196.4,200.0,195.15,196.35,22636
2015-02-18 00:00:00+05:30,195.05,199.9,194.3,196.7,14051
2015-02-19 00:00:00+05:30,196.0,207.65,193.5,201.95,45246
2015-02-20 00:00:00+05:30,206.7,206.7,196.05,199.2,19902
2015-02-23 00:00:00+05:30,200.25,204.0,196.15,199.95,27246
2015-02-24 00:00:00+05:30,199.15,204.0,196.85,201.7,16364
2015-02-25 00:00:00+05:30,203.7,220.0,202.5,216.4,671917
2015-02-26 00:00:00+05:30,216.4,217.4,205.0,209.2,97209
2015-02-27 00:00:00+05:30,210.55,213.0,203.15,204.6,52019
2015-03-02 00:00:00+05:30,200.05,205.0,198.0,198.9,23463
2015-03-03 00:00:00+05:30,199.0,201.75,196.1,197.7,35725
2015-03-04 00:00:00+05:30,198.7,204.0,193.95,196.75,43574
2015-03-05 00:00:00+05:30,197.25,198.7,194.1,196.0,28576
2015-03-09 00:00:00+05:30,195.0,197.6,191.0,192.15,39443
2015-03-10 00:00:00+05:30,191.65,194.65,187.0,187.7,22349
2015-03-11 00:00:00+05:30,189.25,191.55,186.0,186.6,29123
2015-03-12 00:00:00+05:30,187.75,191.5,185.4,186.4,23742
2015-03-13 00:00:00+05:30,186.0,193.75,180.0,181.05,43814
2015-03-16 00:00:00+05:30,184.7,185.5,182.0,183.15,19102
2015-03-17 00:00:00+05:30,183.15,185.0,179.05,179.75,21302
2015-03-18 00:00:00+05:30,180.0,181.5,175.0,176.55,33475
2015-03-19 00:00:00+05:30,178.2,197.2,177.05,186.6,56915
2015-03-20 00:00:00+05:30,186.95,187.4,180.0,180.75,27000
2015-03-23 00:00:00+05:30,181.7,182.45,180.0,181.4,26823
2015-03-24 00:00:00+05:30,180.55,185.65,179.1,181.75,14430
2015-03-25 00:00:00+05:30,181.15,182.6,175.5,179.9,13874
2015-03-26 00:00:00+05:30,177.1,179.9,175.35,175.85,37595
