date,open,high,low,close,volume
2015-01-02 00:00:00+05:30,18.05,18.05,18.05,18.05,200
2015-01-07 00:00:00+05:30,17.2,17.39,17.14,17.14,2020
2015-01-08 00:00:00+05:30,16.75,18.0,16.75,18.0,200
2015-01-09 00:00:00+05:30,18.85,18.85,17.45,18.75,287
2015-01-12 00:00:00+05:30,17.85,17.89,17.85,17.89,120
2015-01-13 00:00:00+05:30,18.64,18.64,17.85,17.85,1427
2015-01-14 00:00:00+05:30,17.85,17.85,17.85,17.85,100
2015-01-15 00:00:00+05:30,17.0,18.5,17.0,18.0,330
2015-01-16 00:00:00+05:30,17.39,17.39,17.1,17.1,2450
2015-01-19 00:00:00+05:30,17.6,17.6,17.14,17.14,3000
2015-01-20 00:00:00+05:30,17.14,18.0,17.14,18.0,410
2015-01-21 00:00:00+05:30,18.0,18.8,17.64,18.8,3681
2015-01-22 00:00:00+05:30,18.0,18.0,18.0,18.0,27
2015-01-23 00:00:00+05:30,17.1,17.1,17.1,17.1,300
2015-01-27 00:00:00+05:30,16.3,17.95,16.3,17.95,102
2015-01-28 00:00:00+05:30,17.1,17.8,17.1,17.8,1002
2015-01-30 00:00:00+05:30,17.1,17.7,17.1,17.7,55
2015-02-04 00:00:00+05:30,17.95,17.95,17.95,17.95,100
2015-02-05 00:00:00+05:30,17.1,17.1,17.1,17.1,20
2015-02-06 00:00:00+05:30,16.0,18.45,16.0,18.0,85
2015-02-09 00:00:00+05:30,19.05,19.05,19.05,19.05,5
2015-02-12 00:00:00+05:30,17.14,17.14,17.14,17.14,300
2015-02-13 00:00:00+05:30,15.65,17.39,15.45,17.39,102
2015-02-18 00:00:00+05:30,15.8,15.8,15.7,15.7,100
2015-02-19 00:00:00+05:30,15.75,16.89,15.75,16.89,730
2015-02-20 00:00:00+05:30,15.6,17.95,15.5,17.64,1455
2015-02-24 00:00:00+05:30,15.9,17.5,15.9,17.5,110
2015-02-25 00:00:00+05:30,15.75,15.75,15.75,15.75,2250
2015-02-26 00:00:00+05:30,16.95,16.95,16.89,16.89,2
2015-02-27 00:00:00+05:30,16.0,16.0,16.0,16.0,2
2015-03-02 00:00:00+05:30,15.7,16.85,15.65,16.8,2401
2015-03-03 00:00:00+05:30,16.0,16.8,16.0,16.8,2332
2015-03-05 00:00:00+05:30,15.5,15.5,15.5,15.5,100
2015-03-09 00:00:00+05:30,12.5,18.6,12.5,15.85,901
2015-03-10 00:00:00+05:30,15.5,18.35,15.5,16.05,72
2015-03-12 00:00:00+05:30,15.5,15.5,15.5,15.5,8
2015-03-13 00:00:00+05:30,16.85,16.85,15.1,15.1,180
2015-03-16 00:00:00+05:30,15.5,15.5,12.2,13.1,16541
2015-03-17 00:00:00+05:30,14.0,15.3,12.8,13.3,1300
2015-03-18 00:00:00+05:30,15.5,15.5,13.5,14.9,5267
2015-03-19 00:00:00+05:30,14.0,16.39,12.4,13.15,2431
2015-03-20 00:00:00+05:30,11.3,15.65,11.3,12.85,5320
2015-03-23 00:00:00+05:30,13.45,15.15,12.0,12.6,7624
2015-03-24 00:00:00+05:30,12.7,14.45,12.7,14.2,110
2015-03-25 00:00:00+05:30,13.5,16.0,13.5,16.0,405
2015-03-26 00:00:00+05:30,14.3,15.0,13.0,13.0,203
2015-03-27 00:00:00+05:30,13.1,13.1,13.1,13.1,100
2015-03-31 00:00:00+05:30,12.2,13.0,12.0,13.0,172
2015-04-01 00:00:00+05:30,14.95,14.95,14.95,14.95,281
2015-04-07 00:00:00+05:30,15.0,15.0,14.5,14.5,1101
2015-04-09 00:00:00+05:30,13.2,15.85,13.1,13.65,193
2015-04-10 00:00:00+05:30,15.0,15.0,15.0,15.0,1000
2015-04-13 00:00:00+05:30,14.25,14.25,14.25,14.25,100
2015-04-17 00:00:00+05:30,14.25,14.55,14.25,14.55,291
2015-04-20 00:00:00+05:30,13.6,13.6,13.6,13.6,30
2015-04-22 00:00:00+05:30,12.3,14.95,12.3,14.9,204
2015-04-23 00:00:00+05:30,13.55,13.55,13.55,13.55,100
2015-04-28 00:00:00+05:30,12.25,12.25,12.25,12.25,300
2015-04-29 00:00:00+05:30,11.7,11.7,11.7,11.7,150
2015-04-30 00:00:00+05:30,11.3,11.3,11.3,11.3,100
2015-05-05 00:00:00+05:30,11.85,11.85,11.85,11.85,110
2015-05-06 00:00:00+05:30,12.4,12.4,12.4,12.4,200
2015-05-07 00:00:00+05:30,13.0,13.0,12.1,13.0,468
2015-05-12 00:00:00+05:30,13.6,13.6,12.35,12.6,347
2015-05-13 00:00:00+05:30,12.0,13.2,12.0,12.0,1259
2015-05-14 00:00:00+05:30,11.75,12.5,11.75,12.5,200
2015-05-18 00:00:00+05:30,13.1,13.1,12.5,12.5,600
2015-05-19 00:00:00+05:30,12.5,12.5,12.35,12.35,150
2015-05-20 00:00:00+05:30,12.25,12.25,12.25,12.25,100
2015-05-21 00:00:00+05:30,12.25,12.25,12.25,12.25,130
2015-05-25 00:00:00+05:30,11.65,11.65,11.65,11.65,10
2015-05-26 00:00:00+05:30,12.0,12.1,12.0,12.1,178
2015-05-27 00:00:00+05:30,12.0,12.0,12.0,12.0,102
