date,open,high,low,close,volume
2015-01-06 00:00:00+05:30,26.0,26.0,24.45,24.75,404
2015-01-09 00:00:00+05:30,27.95,27.95,25.1,27.45,516
2015-01-12 00:00:00+05:30,27.0,27.0,25.0,26.95,275
2015-01-13 00:00:00+05:30,26.5,26.5,25.15,25.25,511
2015-01-14 00:00:00+05:30,25.05,28.05,25.05,27.0,2983
2015-01-15 00:00:00+05:30,26.5,27.45,25.7,26.0,236
2015-01-16 00:00:00+05:30,25.5,28.0,25.0,27.95,3827
2015-01-19 00:00:00+05:30,27.6,27.6,26.8,27.0,991
2015-01-20 00:00:00+05:30,26.8,27.0,26.8,26.8,201
2015-01-21 00:00:00+05:30,27.7,27.7,27.7,27.7,18
2015-01-22 00:00:00+05:30,27.2,28.0,26.6,26.7,302
2015-01-23 00:00:00+05:30,26.2,26.2,25.1,26.0,1401
2015-01-27 00:00:00+05:30,25.75,25.95,25.75,25.95,120
2015-01-28 00:00:00+05:30,25.5,28.5,25.2,27.0,5201
2015-01-29 00:00:00+05:30,26.5,27.0,24.65,25.0,1101
2015-01-30 00:00:00+05:30,24.5,26.7,24.1,24.3,2903
2015-02-02 00:00:00+05:30,24.0,24.65,23.5,23.7,1372
2015-02-03 00:00:00+05:30,23.0,24.0,22.6,24.0,143
2015-02-04 00:00:00+05:30,24.0,24.95,23.5,24.1,3832
2015-02-05 00:00:00+05:30,24.0,25.7,23.25,23.55,12223
2015-02-06 00:00:00+05:30,23.2,24.45,22.4,23.35,2657
2015-02-09 00:00:00+05:30,23.0,23.95,21.65,23.95,411
2015-02-10 00:00:00+05:30,23.0,24.8,23.0,24.8,235
2015-02-11 00:00:00+05:30,24.0,24.95,23.1,24.0,2288
2015-02-13 00:00:00+05:30,23.7,24.7,22.45,23.2,477
2015-02-16 00:00:00+05:30,24.5,24.5,23.05,23.9,238
2015-02-18 00:00:00+05:30,23.5,25.95,22.1,23.55,513
2015-02-19 00:00:00+05:30,23.2,24.55,23.2,24.55,1610
2015-02-20 00:00:00+05:30,24.0,24.0,23.0,23.0,1183
2015-02-23 00:00:00+05:30,23.5,24.7,23.35,24.7,2058
2015-02-24 00:00:00+05:30,24.0,24.5,23.7,24.5,61
2015-02-25 00:00:00+05:30,24.0,24.0,22.85,23.1,907
2015-02-26 00:00:00+05:30,24.3,24.3,23.9,23.9,2
2015-02-27 00:00:00+05:30,23.85,23.95,22.8,23.5,824
2015-03-02 00:00:00+05:30,22.15,23.7,22.05,23.0,10254
2015-03-03 00:00:00+05:30,22.65,24.0,22.65,23.25,790
2015-03-04 00:00:00+05:30,23.05,23.9,22.15,23.55,1614
2015-03-05 00:00:00+05:30,23.0,23.8,21.8,22.45,1468
2015-03-09 00:00:00+05:30,23.95,23.95,22.0,22.15,1335
2015-03-10 00:00:00+05:30,22.05,22.95,22.0,22.95,211
2015-03-11 00:00:00+05:30,22.95,22.95,21.65,21.75,744
2015-03-12 00:00:00+05:30,22.4,23.55,22.4,23.15,1515
2015-03-13 00:00:00+05:30,24.9,24.9,21.8,23.0,2502
2015-03-16 00:00:00+05:30,22.5,25.6,21.55,22.0,36
2015-03-17 00:00:00+05:30,21.7,22.0,20.39,21.15,529
2015-03-18 00:00:00+05:30,22.0,22.0,20.55,21.15,315
2015-03-19 00:00:00+05:30,20.9,23.8,20.0,20.2,6022
2015-03-20 00:00:00+05:30,21.0,21.0,21.0,21.0,1
2015-03-23 00:00:00+05:30,23.95,23.95,19.0,19.39,686
2015-03-24 00:00:00+05:30,20.5,20.5,20.5,20.5,1
2015-03-25 00:00:00+05:30,20.0,21.5,18.75,21.3,75
2015-03-26 00:00:00+05:30,21.0,21.0,18.6,20.3,254
2015-03-27 00:00:00+05:30,20.0,20.0,19.0,20.0,15
2015-03-30 00:00:00+05:30,19.7,21.0,18.39,21.0,2634
2015-03-31 00:00:00+05:30,21.95,21.95,21.95,21.95,1000
2015-04-01 00:00:00+05:30,21.3,22.0,20.5,22.0,116
2015-04-06 00:00:00+05:30,21.3,22.9,20.35,22.9,1838
2015-04-07 00:00:00+05:30,26.65,26.65,23.85,23.85,35
2015-04-08 00:00:00+05:30,23.5,26.95,21.3,22.5,390
2015-04-09 00:00:00+05:30,25.85,25.85,21.4,23.85,1243
2015-04-10 00:00:00+05:30,23.0,24.6,21.5,23.5,6121
2015-04-13 00:00:00+05:30,23.5,23.5,22.1,22.1,2774
2015-04-15 00:00:00+05:30,26.05,26.05,22.0,22.0,4087
2015-04-16 00:00:00+05:30,21.8,22.8,21.5,21.85,300
2015-04-17 00:00:00+05:30,21.5,22.75,19.5,22.05,6897
2015-04-20 00:00:00+05:30,21.75,21.75,21.75,21.75,30
2015-04-21 00:00:00+05:30,23.0,23.5,22.0,22.0,655
2015-04-22 00:00:00+05:30,23.0,23.0,22.1,22.6,1855
2015-04-23 00:00:00+05:30,23.5,23.5,22.5,22.5,110
2015-04-24 00:00:00+05:30,22.5,23.3,22.5,23.0,1065
