date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,97.78,98.85,97.48,98.3,5632
2015-01-02 00:00:00+05:30,98.93,103.23,98.05,100.78,18654
2015-01-05 00:00:00+05:30,100.0,100.45,98.5,98.75,3386
2015-01-06 00:00:00+05:30,99.95,103.0,96.0,97.3,25096
2015-01-07 00:00:00+05:30,99.0,99.83,95.3,97.03,18434
2015-01-08 00:00:00+05:30,97.75,99.88,96.35,97.0,22474
2015-01-09 00:00:00+05:30,98.35,100.25,96.5,98.13,27302
2015-01-12 00:00:00+05:30,97.5,99.8,96.68,99.05,7068
2015-01-13 00:00:00+05:30,99.5,99.5,97.0,97.28,20686
2015-01-14 00:00:00+05:30,98.9,98.9,97.25,97.88,2586
2015-01-15 00:00:00+05:30,97.65,98.0,96.1,96.73,14198
2015-01-16 00:00:00+05:30,96.55,98.0,96.5,96.85,7856
2015-01-19 00:00:00+05:30,97.95,97.98,96.0,96.83,10812
2015-01-20 00:00:00+05:30,97.88,97.88,96.55,96.75,8316
2015-01-21 00:00:00+05:30,97.83,97.83,95.95,96.05,16056
2015-01-22 00:00:00+05:30,96.5,97.0,95.55,96.65,9984
2015-01-23 00:00:00+05:30,96.5,99.75,95.53,97.68,27120
2015-01-27 00:00:00+05:30,98.95,98.95,95.8,96.33,5804
2015-01-28 00:00:00+05:30,96.28,98.15,95.5,97.03,9306
2015-01-29 00:00:00+05:30,96.5,97.9,96.3,96.98,12350
2015-01-30 00:00:00+05:30,96.25,97.03,96.18,96.75,6398
2015-02-02 00:00:00+05:30,93.0,97.03,93.0,96.08,19522
2015-02-03 00:00:00+05:30,97.5,99.25,96.03,97.23,44796
2015-02-04 00:00:00+05:30,97.3,99.5,96.28,98.45,15924
2015-02-05 00:00:00+05:30,98.0,98.75,96.25,96.98,8234
2015-02-06 00:00:00+05:30,96.3,98.4,89.0,90.23,39872
2015-02-09 00:00:00+05:30,94.68,97.35,85.5,95.1,102562
2015-02-10 00:00:00+05:30,94.0,94.45,90.2,92.18,7256
2015-02-11 00:00:00+05:30,92.98,94.43,92.2,92.5,15238
2015-02-12 00:00:00+05:30,92.5,94.45,92.5,93.1,11840
2015-02-13 00:00:00+05:30,93.03,93.5,92.0,92.75,21604
2015-02-16 00:00:00+05:30,92.75,94.0,91.53,92.93,10390
2015-02-18 00:00:00+05:30,92.23,93.95,88.25,92.75,26764
2015-02-19 00:00:00+05:30,92.45,93.45,90.53,92.93,12232
2015-02-20 00:00:00+05:30,93.98,97.5,92.5,95.08,19780
2015-02-23 00:00:00+05:30,95.5,95.5,92.73,94.23,31344
2015-02-24 00:00:00+05:30,94.25,96.0,94.15,94.5,8100
2015-02-25 00:00:00+05:30,93.58,97.33,93.58,95.0,14726
2015-02-26 00:00:00+05:30,94.53,96.18,94.53,94.75,6134
2015-02-27 00:00:00+05:30,94.8,96.18,91.33,94.8,28264
2015-03-02 00:00:00+05:30,95.58,95.58,94.0,94.78,21872
2015-03-03 00:00:00+05:30,96.0,96.0,94.5,95.48,5598
2015-03-04 00:00:00+05:30,94.73,96.18,93.5,94.55,52444
2015-03-05 00:00:00+05:30,94.55,95.0,93.98,94.03,55820
2015-03-09 00:00:00+05:30,95.0,95.93,93.53,94.4,18818
2015-03-10 00:00:00+05:30,94.08,94.5,93.55,93.75,100172
2015-03-11 00:00:00+05:30,94.5,94.5,93.05,94.0,119246
2015-03-12 00:00:00+05:30,93.05,94.73,93.05,94.0,109120
2015-03-13 00:00:00+05:30,93.03,94.43,93.0,94.03,127448
2015-03-16 00:00:00+05:30,93.5,94.1,93.0,93.6,24326
2015-03-17 00:00:00+05:30,93.05,93.9,91.0,92.0,15928
2015-03-18 00:00:00+05:30,92.03,93.93,91.53,91.98,105488
2015-03-19 00:00:00+05:30,95.53,95.53,90.48,90.93,9350
2015-03-20 00:00:00+05:30,90.65,90.78,88.58,88.73,8828
2015-03-23 00:00:00+05:30,92.33,92.33,84.18,86.23,2102770
2015-03-24 00:00:00+05:30,89.95,99.95,89.03,90.95,216998
2015-03-25 00:00:00+05:30,93.98,94.5,89.13,90.05,52770
2015-03-26 00:00:00+05:30,90.03,90.03,87.7,88.38,13480
2015-03-27 00:00:00+05:30,87.78,89.25,87.13,87.18,8196
2015-03-30 00:00:00+05:30,88.05,92.65,87.53,91.13,17988
2015-03-31 00:00:00+05:30,90.53,92.25,88.8,88.95,12958
2015-04-01 00:00:00+05:30,94.63,94.85,88.53,89.5,18092
2015-04-06 00:00:00+05:30,91.53,91.53,88.5,88.93,16500
2015-04-07 00:00:00+05:30,88.48,90.0,87.18,88.98,25242
2015-04-08 00:00:00+05:30,89.75,90.0,88.53,88.83,26108
2015-04-09 00:00:00+05:30,88.28,89.48,88.25,88.48,23434
2015-04-10 00:00:00+05:30,91.0,92.5,88.25,90.68,27234
2015-04-13 00:00:00+05:30,92.03,92.5,89.65,89.88,30366
2015-04-15 00:00:00+05:30,88.13,91.45,87.25,88.1,454986
2015-04-16 00:00:00+05:30,88.98,89.5,87.55,88.78,24722
2015-04-17 00:00:00+05:30,88.98,91.25,88.05,89.43,89208
2015-04-20 00:00:00+05:30,89.0,89.0,87.5,88.55,58830
2015-04-21 00:00:00+05:30,88.48,89.0,88.0,88.23,73268
2015-04-22 00:00:00+05:30,88.48,88.7,86.5,86.83,25294
2015-04-23 00:00:00+05:30,88.48,88.85,86.0,86.45,26590
2015-04-24 00:00:00+05:30,86.53,86.55,83.55,84.3,16586
2015-04-27 00:00:00+05:30,85.98,86.48,82.5,83.35,9884
