date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,123.2,128.4,123.2,127.99,139885
2015-01-02 00:00:00+05:30,128.8,132.0,128.05,130.09,108160
2015-01-05 00:00:00+05:30,131.0,131.8,128.1,130.03,129410
2015-01-06 00:00:00+05:30,129.2,129.99,123.96,127.64,18360
2015-01-07 00:00:00+05:30,126.4,134.74,126.4,132.13,95490
2015-01-08 00:00:00+05:30,132.22,134.58,130.28,131.4,17140
2015-01-09 00:00:00+05:30,133.39,134.0,130.01,132.85,73280
2015-01-12 00:00:00+05:30,133.2,134.4,131.0,132.01,19725
2015-01-13 00:00:00+05:30,134.0,134.4,125.4,129.18,51155
2015-01-14 00:00:00+05:30,130.39,132.89,126.4,128.84,16235
2015-01-15 00:00:00+05:30,128.97,132.0,127.6,129.25,11315
2015-01-16 00:00:00+05:30,132.0,133.2,129.91,130.54,63570
2015-01-19 00:00:00+05:30,132.0,133.3,130.57,132.22,38345
2015-01-20 00:00:00+05:30,133.7,135.0,129.46,130.62,96980
2015-01-21 00:00:00+05:30,146.0,156.74,143.07,147.37,2145265
2015-01-22 00:00:00+05:30,148.0,152.28,144.25,147.51,573360
2015-01-23 00:00:00+05:30,148.0,149.0,143.33,143.73,103250
2015-01-27 00:00:00+05:30,144.02,144.4,140.39,143.68,63855
2015-01-28 00:00:00+05:30,142.24,145.01,141.17,142.13,81570
2015-01-29 00:00:00+05:30,141.05,146.4,141.01,145.37,54255
2015-01-30 00:00:00+05:30,146.4,149.54,145.0,145.93,69890
2015-02-02 00:00:00+05:30,148.0,149.36,140.0,142.59,58185
2015-02-03 00:00:00+05:30,143.03,146.56,140.62,142.62,62205
2015-02-04 00:00:00+05:30,142.0,147.98,141.0,145.28,76070
2015-02-05 00:00:00+05:30,145.59,146.05,140.01,140.95,32575
2015-02-06 00:00:00+05:30,142.0,142.01,136.4,137.17,42580
2015-02-09 00:00:00+05:30,136.4,137.6,129.0,130.3,48635
2015-02-10 00:00:00+05:30,128.2,137.8,128.2,135.39,32230
2015-02-11 00:00:00+05:30,136.14,140.0,132.4,137.46,79845
2015-02-12 00:00:00+05:30,135.01,140.35,135.0,138.08,26535
2015-02-13 00:00:00+05:30,140.79,141.9,138.4,139.66,31570
2015-02-16 00:00:00+05:30,140.59,141.99,137.24,138.51,16355
2015-02-18 00:00:00+05:30,140.0,141.8,137.12,137.74,20180
2015-02-19 00:00:00+05:30,138.24,139.19,137.0,137.81,12515
2015-02-20 00:00:00+05:30,137.02,141.39,137.0,140.07,32705
2015-02-23 00:00:00+05:30,133.0,142.98,133.0,139.87,93760
2015-02-24 00:00:00+05:30,139.87,143.0,138.0,140.02,29340
2015-02-25 00:00:00+05:30,138.34,142.2,138.3,141.08,31215
2015-02-26 00:00:00+05:30,140.41,141.81,139.99,140.05,70340
2015-02-27 00:00:00+05:30,137.6,146.0,136.0,141.83,53820
2015-03-02 00:00:00+05:30,143.23,145.0,140.69,144.55,43020
2015-03-03 00:00:00+05:30,145.97,150.42,142.3,149.2,88345
2015-03-04 00:00:00+05:30,151.98,152.0,146.72,150.44,70685
2015-03-05 00:00:00+05:30,151.98,175.38,145.4,165.89,634325
