date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,36.79,37.35,36.2,37.15,200703
2015-01-02 00:00:00+05:30,37.5,38.2,37.2,37.65,325408
2015-01-05 00:00:00+05:30,38.0,38.29,36.79,36.9,337901
2015-01-06 00:00:00+05:30,37.25,37.75,36.29,36.5,400475
2015-01-07 00:00:00+05:30,36.85,39.29,36.6,37.6,1534299
2015-01-08 00:00:00+05:30,38.04,38.45,36.54,36.79,483528
2015-01-09 00:00:00+05:30,37.2,37.4,36.65,36.9,187991
2015-01-12 00:00:00+05:30,37.25,37.29,36.75,36.9,92233
2015-01-13 00:00:00+05:30,37.25,37.75,36.54,36.79,207096
2015-01-14 00:00:00+05:30,37.2,39.15,37.15,38.4,1199961
2015-01-15 00:00:00+05:30,39.9,40.85,37.6,37.79,970750
2015-01-16 00:00:00+05:30,37.6,38.65,37.5,37.65,237252
2015-01-19 00:00:00+05:30,37.79,39.75,37.7,39.25,1016717
2015-01-20 00:00:00+05:30,39.65,40.29,38.29,38.7,627603
2015-01-21 00:00:00+05:30,38.9,38.95,37.79,37.9,212886
2015-01-22 00:00:00+05:30,37.7,39.25,37.7,38.4,348525
2015-01-23 00:00:00+05:30,38.7,39.29,37.75,37.9,361901
2015-01-27 00:00:00+05:30,37.95,38.35,36.6,37.4,206429
2015-01-28 00:00:00+05:30,37.1,37.75,36.4,36.7,268534
2015-01-29 00:00:00+05:30,36.5,37.25,36.1,36.5,224192
2015-01-30 00:00:00+05:30,36.85,37.35,36.04,36.2,245909
2015-02-02 00:00:00+05:30,36.4,39.7,36.2,39.0,840588
2015-02-03 00:00:00+05:30,40.25,40.7,39.04,39.4,1477815
2015-02-04 00:00:00+05:30,39.79,40.0,38.65,39.1,407109
2015-02-05 00:00:00+05:30,40.0,40.75,37.85,38.6,2366475
2015-02-06 00:00:00+05:30,38.79,38.95,37.2,37.5,582633
2015-02-09 00:00:00+05:30,37.15,37.4,35.7,35.9,349289
2015-02-10 00:00:00+05:30,35.5,36.79,35.5,35.79,282862
2015-02-11 00:00:00+05:30,36.0,36.6,35.25,35.65,309298
2015-02-12 00:00:00+05:30,35.9,36.75,35.7,36.15,400960
2015-02-13 00:00:00+05:30,36.4,36.65,35.75,35.95,224418
2015-02-16 00:00:00+05:30,36.29,36.54,35.0,35.65,220407
2015-02-18 00:00:00+05:30,35.75,40.29,35.54,39.79,2141560
2015-02-19 00:00:00+05:30,41.85,42.8,41.05,41.6,3749041
2015-02-20 00:00:00+05:30,40.9,40.9,39.1,39.25,882893
2015-02-23 00:00:00+05:30,39.4,40.0,38.25,38.5,507304
2015-02-24 00:00:00+05:30,38.25,38.6,37.1,37.25,392750
2015-02-25 00:00:00+05:30,37.7,38.7,37.54,37.9,674789
2015-02-26 00:00:00+05:30,38.2,38.29,36.95,37.1,451378
2015-02-27 00:00:00+05:30,37.45,38.15,36.9,37.75,364778
2015-03-02 00:00:00+05:30,36.6,36.65,35.1,35.29,438611
2015-03-03 00:00:00+05:30,35.6,35.9,35.0,35.4,299980
2015-03-04 00:00:00+05:30,35.79,35.95,34.5,34.65,383155
2015-03-05 00:00:00+05:30,34.6,34.85,33.4,33.65,463325
2015-03-09 00:00:00+05:30,32.5,33.35,32.25,32.4,253009
2015-03-10 00:00:00+05:30,32.79,33.2,32.1,32.25,279086
2015-03-11 00:00:00+05:30,32.54,32.54,31.05,31.2,231947
2015-03-12 00:00:00+05:30,31.5,31.95,31.05,31.4,196368
2015-03-13 00:00:00+05:30,31.75,31.8,30.8,30.9,278295
2015-03-16 00:00:00+05:30,30.65,30.9,29.6,29.9,248376
2015-03-17 00:00:00+05:30,30.05,31.9,29.9,30.55,541941
2015-03-18 00:00:00+05:30,30.7,30.75,29.95,30.25,217844
