date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,27.8,28.4,27.15,27.95,45531
2015-01-02 00:00:00+05:30,27.8,29.3,27.8,28.6,104602
2015-01-05 00:00:00+05:30,28.05,29.0,28.05,28.4,37472
2015-01-06 00:00:00+05:30,28.05,28.5,27.55,27.75,90422
2015-01-07 00:00:00+05:30,27.75,28.8,27.6,28.6,57487
2015-01-08 00:00:00+05:30,28.9,29.7,28.5,29.3,105519
2015-01-09 00:00:00+05:30,29.9,30.3,29.0,29.85,85090
2015-01-12 00:00:00+05:30,29.6,30.8,29.3,30.5,122810
2015-01-13 00:00:00+05:30,30.5,31.25,30.05,30.1,65593
2015-01-14 00:00:00+05:30,30.7,30.7,29.25,29.35,47100
2015-01-15 00:00:00+05:30,30.85,30.85,29.0,29.45,54592
2015-01-16 00:00:00+05:30,29.5,30.45,28.75,28.9,55793
2015-01-19 00:00:00+05:30,30.0,30.0,28.5,28.9,27147
2015-01-20 00:00:00+05:30,29.0,29.45,28.6,28.85,30325
2015-01-21 00:00:00+05:30,29.3,30.0,28.8,28.95,41478
2015-01-22 00:00:00+05:30,29.65,29.65,28.55,28.7,47118
2015-01-23 00:00:00+05:30,28.75,29.7,28.4,29.15,66478
2015-01-27 00:00:00+05:30,29.7,30.5,29.0,29.2,59920
2015-01-28 00:00:00+05:30,29.3,29.9,28.55,28.6,16077
2015-01-29 00:00:00+05:30,29.3,29.4,28.35,29.05,19508
2015-01-30 00:00:00+05:30,29.8,29.8,28.3,28.8,32343
2015-02-02 00:00:00+05:30,29.2,29.2,28.55,28.7,40429
2015-02-03 00:00:00+05:30,28.6,29.1,28.35,28.55,36515
2015-02-04 00:00:00+05:30,28.65,29.85,28.55,29.55,79232
2015-02-05 00:00:00+05:30,30.5,31.4,29.55,29.9,399895
2015-02-06 00:00:00+05:30,30.25,30.5,29.05,29.3,90885
2015-02-09 00:00:00+05:30,29.0,32.0,28.6,30.75,377486
2015-02-10 00:00:00+05:30,30.8,31.4,29.75,30.1,134069
2015-02-11 00:00:00+05:30,30.4,30.45,29.0,29.85,95012
2015-02-12 00:00:00+05:30,30.35,30.75,29.2,30.15,48636
2015-02-13 00:00:00+05:30,30.45,30.7,29.85,30.3,35920
2015-02-16 00:00:00+05:30,30.85,31.7,29.65,31.25,185229
2015-02-18 00:00:00+05:30,31.6,31.7,30.5,30.8,59964
2015-02-19 00:00:00+05:30,30.55,31.0,30.35,30.5,47210
2015-02-20 00:00:00+05:30,31.25,31.25,29.9,30.15,44494
2015-02-23 00:00:00+05:30,30.6,31.25,29.9,30.05,35780
2015-02-24 00:00:00+05:30,30.0,30.15,29.25,29.5,22653
2015-02-25 00:00:00+05:30,29.55,30.4,29.3,29.5,70482
2015-02-26 00:00:00+05:30,29.35,29.8,29.3,29.45,16799
2015-02-27 00:00:00+05:30,29.8,31.85,29.65,30.85,87659
2015-03-02 00:00:00+05:30,30.0,31.0,29.6,30.25,64596
2015-03-03 00:00:00+05:30,30.0,30.4,29.6,29.7,107576
2015-03-04 00:00:00+05:30,30.3,30.35,29.1,29.15,125140
2015-03-05 00:00:00+05:30,29.7,29.7,29.05,29.4,37168
2015-03-09 00:00:00+05:30,29.2,29.6,29.0,29.3,40655
2015-03-10 00:00:00+05:30,29.95,29.95,29.05,29.3,25837
2015-03-11 00:00:00+05:30,29.15,29.45,28.95,29.05,45595
2015-03-12 00:00:00+05:30,29.0,30.35,28.8,29.95,81918
2015-03-13 00:00:00+05:30,29.65,30.6,29.6,29.8,45948
2015-03-16 00:00:00+05:30,30.4,30.45,29.3,29.35,31680
2015-03-17 00:00:00+05:30,29.8,29.8,29.3,29.4,16457
2015-03-18 00:00:00+05:30,29.6,30.3,29.3,29.65,44351
2015-03-19 00:00:00+05:30,30.4,30.4,29.1,29.25,30788
2015-03-20 00:00:00+05:30,29.35,29.55,28.5,29.05,147320
2015-03-23 00:00:00+05:30,26.25,29.4,26.25,29.05,35333
2015-03-24 00:00:00+05:30,29.05,29.35,28.4,28.85,90021
2015-03-25 00:00:00+05:30,29.0,29.2,28.5,28.65,47555
2015-03-26 00:00:00+05:30,28.95,28.95,28.2,28.3,31512
2015-03-27 00:00:00+05:30,29.0,29.0,27.8,27.9,28017
2015-03-30 00:00:00+05:30,29.0,30.25,27.7,30.05,60826
2015-03-31 00:00:00+05:30,30.1,30.45,29.45,29.85,26514
2015-04-01 00:00:00+05:30,30.3,30.3,29.6,30.1,15248
2015-04-06 00:00:00+05:30,30.15,31.5,30.05,31.05,101627
2015-04-07 00:00:00+05:30,31.2,32.0,30.65,31.95,275960
2015-04-08 00:00:00+05:30,32.25,35.5,32.0,34.6,1163812
2015-04-09 00:00:00+05:30,35.0,36.25,34.45,35.2,491488
2015-04-10 00:00:00+05:30,35.5,39.79,35.25,38.45,1008278
2015-04-13 00:00:00+05:30,39.0,41.45,38.7,39.4,620014
2015-04-15 00:00:00+05:30,39.79,40.0,38.1,38.7,299017
2015-04-16 00:00:00+05:30,39.04,39.79,37.1,38.1,202528
2015-04-17 00:00:00+05:30,38.25,39.4,37.6,38.6,179147
2015-04-20 00:00:00+05:30,39.5,41.25,38.75,39.95,391270
2015-04-21 00:00:00+05:30,40.45,41.1,39.25,39.75,184472
2015-04-22 00:00:00+05:30,40.79,40.79,38.0,39.2,107026
2015-04-23 00:00:00+05:30,39.54,41.4,38.2,40.95,206747
2015-04-24 00:00:00+05:30,41.15,41.4,38.75,39.79,330031
2015-04-27 00:00:00+05:30,39.95,41.0,38.29,39.65,282630
2015-04-28 00:00:00+05:30,40.0,47.55,39.1,46.3,1172467
2015-04-29 00:00:00+05:30,46.95,50.0,46.05,49.3,808634
2015-04-30 00:00:00+05:30,49.5,49.9,46.05,46.45,348744
