date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,34.75,37.1,34.29,36.25,995057
2015-01-02 00:00:00+05:30,36.5,37.6,35.9,36.25,972309
2015-01-05 00:00:00+05:30,36.6,37.1,35.54,35.9,706881
2015-01-06 00:00:00+05:30,35.7,35.7,34.04,34.35,651453
2015-01-07 00:00:00+05:30,34.6,34.79,33.6,34.0,557733
2015-01-08 00:00:00+05:30,34.6,35.85,34.29,35.5,719485
2015-01-09 00:00:00+05:30,36.0,40.6,35.2,39.85,5869540
2015-01-12 00:00:00+05:30,39.5,39.7,38.0,38.15,2303231
2015-01-13 00:00:00+05:30,38.25,40.25,37.65,38.6,2627540
2015-01-14 00:00:00+05:30,38.6,39.6,37.65,38.0,887216
2015-01-15 00:00:00+05:30,38.6,39.6,37.75,38.95,1105759
2015-01-16 00:00:00+05:30,38.7,39.2,37.25,37.79,762448
2015-01-19 00:00:00+05:30,38.0,38.75,37.65,37.85,628081
2015-01-20 00:00:00+05:30,37.79,39.35,37.79,38.4,934886
2015-01-21 00:00:00+05:30,38.5,40.5,38.35,38.95,2411441
2015-01-22 00:00:00+05:30,39.25,42.5,39.1,41.8,5026558
2015-01-23 00:00:00+05:30,42.5,42.65,40.0,40.79,2025416
2015-01-27 00:00:00+05:30,41.2,43.0,40.65,42.15,2441472
2015-01-28 00:00:00+05:30,42.0,42.45,39.65,41.0,1794597
2015-01-29 00:00:00+05:30,42.4,42.5,40.65,41.25,3139656
2015-01-30 00:00:00+05:30,41.45,42.3,40.0,40.2,1365568
2015-02-02 00:00:00+05:30,40.0,40.35,39.25,39.4,743789
2015-02-03 00:00:00+05:30,39.5,39.7,37.79,38.04,783016
2015-02-04 00:00:00+05:30,38.25,39.79,37.6,38.1,1267474
2015-02-05 00:00:00+05:30,38.35,39.2,37.5,37.75,748280
2015-02-06 00:00:00+05:30,37.95,38.2,36.5,36.6,591580
2015-02-09 00:00:00+05:30,36.35,36.54,35.2,35.54,443559
2015-02-10 00:00:00+05:30,35.75,36.75,35.1,35.6,616139
2015-02-11 00:00:00+05:30,35.79,37.2,35.5,36.54,506871
2015-02-12 00:00:00+05:30,36.79,39.1,36.5,38.25,985634
2015-02-13 00:00:00+05:30,39.35,40.79,39.04,39.2,2130063
2015-02-16 00:00:00+05:30,39.0,39.4,37.5,37.79,759434
2015-02-18 00:00:00+05:30,37.15,40.15,37.15,38.4,1598691
2015-02-19 00:00:00+05:30,38.6,38.75,37.04,37.65,753789
2015-02-20 00:00:00+05:30,37.6,38.29,37.04,37.15,785605
2015-02-23 00:00:00+05:30,37.25,37.65,36.1,36.25,851415
2015-02-24 00:00:00+05:30,36.4,37.29,35.75,36.1,643284
2015-02-25 00:00:00+05:30,36.4,36.79,35.2,35.35,570133
