date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,290.65,292.95,283.25,290.35,19861
2015-01-02 00:00:00+05:30,290.15,299.15,289.45,292.3,36277
2015-01-05 00:00:00+05:30,294.25,294.25,288.65,290.8,10844
2015-01-06 00:00:00+05:30,292.05,292.1,277.1,279.6,19728
2015-01-07 00:00:00+05:30,274.4,282.1,269.05,273.35,21020
2015-01-08 00:00:00+05:30,278.75,279.7,273.6,277.8,10462
2015-01-09 00:00:00+05:30,276.15,282.25,273.5,275.35,10910
2015-01-12 00:00:00+05:30,278.8,282.15,275.7,279.95,8262
2015-01-13 00:00:00+05:30,279.25,286.75,279.15,281.6,12690
2015-01-14 00:00:00+05:30,283.1,300.95,282.1,293.25,25425
2015-01-15 00:00:00+05:30,293.3,297.3,287.65,288.6,8569
2015-01-16 00:00:00+05:30,287.2,295.25,287.2,291.9,6055
2015-01-19 00:00:00+05:30,294.1,305.35,292.9,301.95,39756
2015-01-20 00:00:00+05:30,304.3,308.0,301.15,301.95,22411
2015-01-21 00:00:00+05:30,305.45,305.95,295.7,304.75,29436
2015-01-22 00:00:00+05:30,305.35,308.8,300.9,301.85,14714
2015-01-23 00:00:00+05:30,306.15,306.2,293.95,300.25,16788
2015-01-27 00:00:00+05:30,297.4,307.95,295.2,300.85,13966
2015-01-28 00:00:00+05:30,300.95,304.4,299.15,300.8,10542
2015-01-29 00:00:00+05:30,303.6,305.3,295.35,298.2,8274
2015-01-30 00:00:00+05:30,296.7,301.75,292.95,294.6,7754
2015-02-02 00:00:00+05:30,306.25,306.25,293.95,296.15,10374
2015-02-03 00:00:00+05:30,296.6,297.25,287.7,289.1,27157
2015-02-04 00:00:00+05:30,289.2,303.95,287.85,301.15,30107
2015-02-05 00:00:00+05:30,301.95,303.1,290.3,293.3,24230
2015-02-06 00:00:00+05:30,297.3,299.15,290.9,295.1,18268
2015-02-09 00:00:00+05:30,288.7,298.75,288.7,293.35,9539
2015-02-10 00:00:00+05:30,292.7,299.05,292.7,295.5,12551
2015-02-11 00:00:00+05:30,296.0,298.0,294.85,297.35,5390
2015-02-12 00:00:00+05:30,295.0,304.4,294.95,298.45,8807
2015-02-13 00:00:00+05:30,302.2,304.05,298.25,301.5,11230
2015-02-16 00:00:00+05:30,301.8,323.75,299.3,320.9,65904
2015-02-18 00:00:00+05:30,322.15,353.15,321.3,345.85,176447
2015-02-19 00:00:00+05:30,343.4,349.15,327.55,333.05,35329
2015-02-20 00:00:00+05:30,333.65,333.65,318.7,322.3,28976
2015-02-23 00:00:00+05:30,324.0,332.6,318.7,322.5,24393
2015-02-24 00:00:00+05:30,322.2,335.9,320.55,325.35,29975
2015-02-25 00:00:00+05:30,327.4,333.7,316.95,322.0,36176
2015-02-26 00:00:00+05:30,322.2,325.55,319.6,322.95,15943
2015-02-27 00:00:00+05:30,322.95,332.7,320.55,328.45,16443
2015-03-02 00:00:00+05:30,330.15,332.75,325.8,328.75,14994
2015-03-03 00:00:00+05:30,329.9,344.8,324.85,339.9,17379
2015-03-04 00:00:00+05:30,342.55,348.65,338.2,339.85,33836
2015-03-05 00:00:00+05:30,341.5,341.65,334.85,337.7,13826
2015-03-09 00:00:00+05:30,331.95,340.75,331.95,334.5,11602
2015-03-10 00:00:00+05:30,334.6,337.2,324.95,326.05,10349
2015-03-11 00:00:00+05:30,326.55,326.55,318.6,320.7,11650
2015-03-12 00:00:00+05:30,323.45,334.55,323.0,333.5,9733
2015-03-13 00:00:00+05:30,332.4,336.85,326.7,331.15,10250
2015-03-16 00:00:00+05:30,336.35,340.25,329.35,337.3,14879
2015-03-17 00:00:00+05:30,339.9,339.9,332.9,334.9,5166
2015-03-18 00:00:00+05:30,339.9,340.75,332.2,340.5,8919
2015-03-19 00:00:00+05:30,341.55,341.85,337.8,339.85,8616
2015-03-20 00:00:00+05:30,338.9,340.75,326.35,332.25,11471
2015-03-23 00:00:00+05:30,339.65,339.65,326.75,328.3,10602
2015-03-24 00:00:00+05:30,332.8,332.8,313.3,316.9,32109
2015-03-25 00:00:00+05:30,318.65,325.7,316.85,322.3,13959
2015-03-26 00:00:00+05:30,317.9,328.3,317.75,325.6,12917
2015-03-27 00:00:00+05:30,323.95,327.45,322.2,325.95,16222
2015-03-30 00:00:00+05:30,332.75,338.95,318.55,330.4,67973
2015-03-31 00:00:00+05:30,334.5,366.45,329.25,358.1,74249
2015-04-01 00:00:00+05:30,362.65,375.0,355.9,368.0,49905
2015-04-06 00:00:00+05:30,367.3,386.8,367.3,385.15,50532
2015-04-07 00:00:00+05:30,388.5,388.5,376.25,382.25,26317
2015-04-08 00:00:00+05:30,380.8,389.35,378.05,386.1,11087
2015-04-09 00:00:00+05:30,385.45,396.5,385.45,390.85,33987
2015-04-10 00:00:00+05:30,392.3,405.4,381.9,397.9,27197
2015-04-13 00:00:00+05:30,405.35,429.2,402.7,420.2,64701
2015-04-15 00:00:00+05:30,422.2,473.45,420.55,447.35,168029
2015-04-16 00:00:00+05:30,452.0,464.7,438.1,446.3,35999
2015-04-17 00:00:00+05:30,451.35,463.8,426.65,430.0,13519
2015-04-20 00:00:00+05:30,431.95,438.1,424.95,426.85,13403
2015-04-21 00:00:00+05:30,433.9,433.9,408.1,410.0,26381
2015-04-22 00:00:00+05:30,416.9,419.85,402.7,407.7,13802
2015-04-23 00:00:00+05:30,410.65,450.95,410.65,437.6,114470
2015-04-24 00:00:00+05:30,445.8,450.5,412.55,416.7,87923
2015-04-27 00:00:00+05:30,434.05,437.05,409.1,410.95,100455
2015-04-28 00:00:00+05:30,407.15,417.75,398.45,403.2,12544
2015-04-29 00:00:00+05:30,398.3,411.35,367.75,378.25,59779
2015-04-30 00:00:00+05:30,373.5,392.1,371.75,383.95,26560
2015-05-04 00:00:00+05:30,392.1,400.05,385.0,397.05,18717
2015-05-05 00:00:00+05:30,398.1,402.65,396.5,399.65,15258
2015-05-06 00:00:00+05:30,401.8,402.7,389.8,393.85,71125
2015-05-07 00:00:00+05:30,391.7,391.7,329.25,378.1,33280
2015-05-08 00:00:00+05:30,372.65,372.65,363.45,370.1,11434
2015-05-11 00:00:00+05:30,380.55,380.55,369.15,372.15,6133
2015-05-12 00:00:00+05:30,368.25,371.7,362.0,365.5,10559
2015-05-13 00:00:00+05:30,365.45,373.4,363.05,368.75,15314
2015-05-14 00:00:00+05:30,368.8,375.7,368.05,373.4,6205
2015-05-15 00:00:00+05:30,369.95,384.15,368.2,380.75,11366
2015-05-18 00:00:00+05:30,377.05,385.85,369.95,374.75,14326
2015-05-19 00:00:00+05:30,376.4,382.8,376.05,378.05,6194
2015-05-20 00:00:00+05:30,382.4,383.25,371.55,373.05,8993
2015-05-21 00:00:00+05:30,373.1,380.5,373.1,378.7,5164
2015-05-22 00:00:00+05:30,375.3,396.9,374.85,389.05,17308
2015-05-25 00:00:00+05:30,389.05,391.1,369.95,378.25,24535
2015-05-26 00:00:00+05:30,373.5,379.45,373.45,377.25,6956
2015-05-27 00:00:00+05:30,374.55,378.5,374.55,375.85,4457
2015-05-28 00:00:00+05:30,374.5,384.1,373.6,377.8,5135
2015-05-29 00:00:00+05:30,377.1,378.8,362.6,373.6,2980
2015-06-01 00:00:00+05:30,376.35,376.35,370.1,373.8,3238
2015-06-02 00:00:00+05:30,374.3,374.4,362.9,366.85,6838
2015-06-03 00:00:00+05:30,367.3,372.1,355.0,361.8,7050
2015-06-04 00:00:00+05:30,360.6,362.9,355.3,356.5,8243
2015-06-05 00:00:00+05:30,362.8,362.8,350.7,356.05,6687
2015-06-08 00:00:00+05:30,362.8,362.8,347.95,353.15,8964
2015-06-09 00:00:00+05:30,360.25,360.25,348.95,349.15,3171
2015-06-10 00:00:00+05:30,353.15,358.4,347.35,351.95,2316
2015-06-11 00:00:00+05:30,350.65,353.05,338.1,338.25,6069
2015-06-12 00:00:00+05:30,334.55,344.2,332.9,340.75,2338
2015-06-15 00:00:00+05:30,343.4,343.4,328.55,338.5,4307
2015-06-16 00:00:00+05:30,339.8,342.15,335.05,340.5,2538
2015-06-17 00:00:00+05:30,353.1,353.1,342.65,349.55,3914
