date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,57.75,59.25,57.75,58.5,5965
2015-01-02 00:00:00+05:30,58.25,59.0,57.65,57.75,9453
2015-01-05 00:00:00+05:30,57.95,57.95,55.8,57.0,10771
2015-01-06 00:00:00+05:30,56.5,56.5,54.25,55.55,19667
2015-01-07 00:00:00+05:30,54.6,56.4,53.5,54.7,10134
2015-01-08 00:00:00+05:30,55.95,56.9,55.0,55.85,8348
2015-01-09 00:00:00+05:30,56.4,57.4,55.1,55.45,8247
2015-01-12 00:00:00+05:30,55.0,56.7,53.75,56.4,9440
2015-01-13 00:00:00+05:30,56.4,59.0,56.3,56.5,16313
2015-01-14 00:00:00+05:30,57.0,57.25,54.0,55.75,13850
2015-01-15 00:00:00+05:30,56.25,56.5,54.05,56.25,14658
2015-01-16 00:00:00+05:30,55.6,56.9,55.6,56.0,3672
2015-01-19 00:00:00+05:30,56.0,65.2,56.0,62.2,80110
2015-01-20 00:00:00+05:30,64.8,66.59,60.65,63.8,84437
2015-01-21 00:00:00+05:30,65.5,65.5,60.8,61.0,22738
2015-01-22 00:00:00+05:30,62.9,64.45,61.0,62.0,16879
2015-01-23 00:00:00+05:30,61.6,64.59,61.25,63.3,60768
2015-01-27 00:00:00+05:30,59.6,59.6,53.05,54.15,110074
2015-01-28 00:00:00+05:30,54.9,54.9,51.15,52.65,22160
2015-01-29 00:00:00+05:30,52.65,53.2,51.1,52.1,13058
2015-01-30 00:00:00+05:30,52.05,53.9,49.15,50.0,15591
2015-02-02 00:00:00+05:30,50.0,52.25,50.0,51.05,32027
2015-02-03 00:00:00+05:30,50.85,51.75,50.1,50.25,7320
2015-02-04 00:00:00+05:30,51.2,51.2,49.1,49.85,8703
2015-02-05 00:00:00+05:30,49.75,51.05,48.65,48.85,20851
2015-02-06 00:00:00+05:30,49.25,49.5,46.35,46.55,10941
2015-02-09 00:00:00+05:30,44.75,47.45,44.15,45.25,14839
2015-02-10 00:00:00+05:30,45.2,46.5,44.4,44.85,14514
2015-02-11 00:00:00+05:30,45.3,45.9,44.5,45.15,4991
2015-02-12 00:00:00+05:30,44.7,47.0,43.2,45.65,11562
2015-02-13 00:00:00+05:30,45.45,46.9,44.8,45.9,14523
2015-02-16 00:00:00+05:30,47.5,47.65,46.05,46.5,5740
2015-02-18 00:00:00+05:30,46.2,47.45,44.5,46.3,7410
2015-02-19 00:00:00+05:30,47.3,47.5,45.15,45.85,5165
2015-02-20 00:00:00+05:30,49.9,49.9,46.2,46.5,4442
2015-02-23 00:00:00+05:30,47.2,49.5,46.4,46.8,9544
2015-02-24 00:00:00+05:30,47.25,47.9,45.55,46.2,8975
2015-02-25 00:00:00+05:30,45.9,47.7,45.5,46.6,7443
2015-02-26 00:00:00+05:30,47.1,47.5,43.65,45.7,9419
2015-02-27 00:00:00+05:30,45.7,46.5,45.0,45.95,2698
2015-03-02 00:00:00+05:30,45.9,46.9,45.0,46.65,4015
2015-03-03 00:00:00+05:30,46.3,46.75,45.55,45.85,9201
2015-03-04 00:00:00+05:30,46.7,46.85,45.25,45.3,6049
2015-03-05 00:00:00+05:30,45.05,47.0,45.0,45.75,2974
2015-03-09 00:00:00+05:30,45.3,46.45,44.75,44.75,7545
2015-03-10 00:00:00+05:30,44.5,45.95,43.7,45.65,3086
2015-03-11 00:00:00+05:30,45.0,45.35,43.3,44.25,9241
2015-03-12 00:00:00+05:30,44.5,44.9,44.5,44.7,6468
2015-03-13 00:00:00+05:30,44.05,45.15,43.5,44.1,4237
2015-03-16 00:00:00+05:30,43.55,44.7,42.6,43.75,19328
2015-03-17 00:00:00+05:30,45.45,45.45,43.7,43.75,570
2015-03-18 00:00:00+05:30,43.7,44.7,42.8,43.25,6402
2015-03-19 00:00:00+05:30,43.6,44.25,43.5,44.1,4101
2015-03-20 00:00:00+05:30,43.55,44.0,41.55,42.05,4168
2015-03-23 00:00:00+05:30,41.6,43.9,40.5,42.25,5772
2015-03-24 00:00:00+05:30,41.5,43.8,40.1,40.95,3721
2015-03-25 00:00:00+05:30,41.5,41.5,39.54,40.25,8660
2015-03-26 00:00:00+05:30,41.4,41.95,39.2,40.7,9882
2015-03-27 00:00:00+05:30,40.0,40.5,39.04,39.75,21686
2015-03-30 00:00:00+05:30,40.1,43.1,40.0,42.65,9514
2015-03-31 00:00:00+05:30,42.95,45.0,41.05,41.35,4768
2015-04-01 00:00:00+05:30,42.75,42.9,41.25,41.9,4593
2015-04-06 00:00:00+05:30,42.0,44.0,41.5,43.35,8843
2015-04-07 00:00:00+05:30,43.0,43.95,41.2,43.95,1774
2015-04-08 00:00:00+05:30,43.3,44.95,43.0,44.05,1697
2015-04-09 00:00:00+05:30,44.0,46.9,42.15,45.6,7945
2015-04-10 00:00:00+05:30,45.0,46.7,44.9,46.3,3153
2015-04-13 00:00:00+05:30,45.5,48.85,45.3,47.9,24077
2015-04-15 00:00:00+05:30,47.4,48.05,46.95,47.6,4402
2015-04-16 00:00:00+05:30,47.5,47.5,45.5,46.75,3782
2015-04-17 00:00:00+05:30,46.3,46.95,45.3,45.75,2046
2015-04-20 00:00:00+05:30,45.3,47.35,43.6,44.55,10556
2015-04-21 00:00:00+05:30,45.0,45.1,43.2,43.8,4021
2015-04-22 00:00:00+05:30,43.45,44.15,42.5,43.1,4790
2015-04-23 00:00:00+05:30,42.35,44.0,42.35,42.55,1336
2015-04-24 00:00:00+05:30,43.8,43.85,38.65,40.4,20945
2015-04-27 00:00:00+05:30,42.1,42.1,38.25,39.04,4205
2015-04-28 00:00:00+05:30,38.5,39.75,38.04,39.0,9055
2015-04-29 00:00:00+05:30,40.5,41.0,39.0,40.5,1267
2015-04-30 00:00:00+05:30,40.5,43.0,39.1,40.2,724
2015-05-04 00:00:00+05:30,40.9,42.5,40.65,41.0,9324
2015-05-05 00:00:00+05:30,40.75,41.0,40.5,40.54,5857
2015-05-06 00:00:00+05:30,40.6,40.75,38.29,38.75,2988
2015-05-07 00:00:00+05:30,39.5,39.5,37.5,37.75,4020
2015-05-08 00:00:00+05:30,37.25,40.95,36.2,40.65,3398
2015-05-11 00:00:00+05:30,40.0,40.79,39.2,39.54,5111
2015-05-12 00:00:00+05:30,39.1,39.35,38.29,38.54,1301
2015-05-13 00:00:00+05:30,38.1,39.4,38.1,39.1,5866
2015-05-14 00:00:00+05:30,39.45,40.0,38.9,39.0,1695
2015-05-15 00:00:00+05:30,39.9,40.4,38.54,39.95,5115
2015-05-18 00:00:00+05:30,39.5,40.7,39.5,40.45,2965
2015-05-19 00:00:00+05:30,39.7,42.0,39.7,41.75,4606
2015-05-20 00:00:00+05:30,41.5,42.4,40.6,41.8,4844
2015-05-21 00:00:00+05:30,41.25,41.9,39.65,40.9,7581
2015-05-22 00:00:00+05:30,42.0,49.0,40.54,43.55,15824
2015-05-25 00:00:00+05:30,49.9,49.9,45.1,47.05,68389
2015-05-26 00:00:00+05:30,47.9,48.95,44.3,44.85,25933
2015-05-27 00:00:00+05:30,45.75,45.75,44.5,45.1,3640
