date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,33.0,37.0,33.0,34.6,1685442
2015-01-02 00:00:00+05:30,34.0,35.4,32.25,32.95,376874
2015-01-05 00:00:00+05:30,33.45,33.79,31.25,31.8,103269
2015-01-06 00:00:00+05:30,31.0,31.4,29.0,29.7,230766
2015-01-07 00:00:00+05:30,30.5,30.55,29.7,30.25,60457
2015-01-08 00:00:00+05:30,31.0,31.7,30.6,30.85,35856
2015-01-09 00:00:00+05:30,31.6,32.7,30.7,30.85,117027
2015-01-12 00:00:00+05:30,31.0,31.7,30.65,31.15,43543
2015-01-13 00:00:00+05:30,31.0,32.7,30.7,31.35,60868
2015-01-14 00:00:00+05:30,32.25,32.45,30.15,30.95,74409
2015-01-15 00:00:00+05:30,31.0,32.75,31.0,31.85,157995
2015-01-16 00:00:00+05:30,31.7,32.35,31.0,31.7,72544
2015-01-19 00:00:00+05:30,31.7,34.79,31.0,33.6,197639
2015-01-20 00:00:00+05:30,34.65,34.65,32.6,33.25,111123
2015-01-21 00:00:00+05:30,33.1,34.6,32.85,33.79,142934
2015-01-22 00:00:00+05:30,35.29,35.29,33.35,34.25,134185
2015-01-23 00:00:00+05:30,34.25,35.1,33.6,34.25,161700
2015-01-27 00:00:00+05:30,35.15,35.15,32.54,33.7,55241
2015-01-28 00:00:00+05:30,33.6,33.9,32.65,32.9,48883
2015-01-29 00:00:00+05:30,33.45,34.75,32.75,33.79,46471
2015-01-30 00:00:00+05:30,34.4,35.2,33.79,34.2,185529
2015-02-02 00:00:00+05:30,34.5,35.0,33.95,34.1,72803
2015-02-03 00:00:00+05:30,36.7,40.0,35.5,36.5,561575
2015-02-04 00:00:00+05:30,37.35,37.5,35.45,35.95,111412
2015-02-05 00:00:00+05:30,37.35,37.5,34.5,35.65,136507
2015-02-06 00:00:00+05:30,36.45,36.45,34.0,34.25,115843
2015-02-09 00:00:00+05:30,35.79,35.79,31.55,31.95,90710
2015-02-10 00:00:00+05:30,32.9,33.0,31.5,32.7,63641
2015-02-11 00:00:00+05:30,34.0,34.79,32.29,33.9,57334
