date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,73.09,74.25,69.9,71.59,670121
2015-01-02 00:00:00+05:30,71.2,73.84,71.2,73.2,829625
2015-01-05 00:00:00+05:30,72.5,76.2,72.25,73.45,1030013
2015-01-06 00:00:00+05:30,72.9,76.2,71.0,73.25,1581321
2015-01-07 00:00:00+05:30,73.25,75.75,73.05,74.59,1232018
2015-01-08 00:00:00+05:30,75.0,81.09,74.9,80.4,3136895
2015-01-09 00:00:00+05:30,83.5,88.4,81.5,88.4,4098442
2015-01-12 00:00:00+05:30,90.8,93.0,83.9,85.9,3167217
2015-01-13 00:00:00+05:30,85.7,87.0,85.0,85.55,1259846
2015-01-14 00:00:00+05:30,86.0,86.55,79.15,80.2,1140117
2015-01-15 00:00:00+05:30,81.3,87.2,77.7,83.75,3054147
2015-01-16 00:00:00+05:30,84.0,84.95,80.4,81.09,948906
2015-01-19 00:00:00+05:30,81.84,83.0,78.45,78.7,838816
2015-01-20 00:00:00+05:30,78.7,80.84,76.7,77.09,682795
2015-01-21 00:00:00+05:30,77.0,78.55,71.65,73.45,1033178
2015-01-22 00:00:00+05:30,73.09,78.75,73.09,77.3,1301779
2015-01-23 00:00:00+05:30,78.4,78.8,74.59,75.84,686966
2015-01-27 00:00:00+05:30,76.0,77.34,73.2,73.8,659534
2015-01-28 00:00:00+05:30,74.45,75.5,72.5,73.09,1300719
2015-01-29 00:00:00+05:30,73.5,80.4,69.5,80.4,2769532
2015-01-30 00:00:00+05:30,82.45,85.85,78.7,83.5,2256225
2015-02-02 00:00:00+05:30,83.65,87.75,81.0,85.95,1589603
2015-02-03 00:00:00+05:30,85.05,86.5,84.05,84.65,854451
2015-02-04 00:00:00+05:30,86.15,90.65,84.75,87.25,1990961
2015-02-05 00:00:00+05:30,87.7,90.0,85.9,86.8,1127659
2015-02-06 00:00:00+05:30,97.05,99.8,88.5,90.75,4117142
2015-02-09 00:00:00+05:30,89.5,94.5,87.1,92.5,1584778
2015-02-10 00:00:00+05:30,91.8,93.4,87.8,88.35,912420
2015-02-11 00:00:00+05:30,89.25,90.5,84.85,88.45,1020440
2015-02-12 00:00:00+05:30,89.05,90.2,87.1,88.1,747691
2015-02-13 00:00:00+05:30,88.8,94.0,87.15,88.8,1438403
2015-02-16 00:00:00+05:30,89.9,90.55,88.1,88.5,355403
2015-02-18 00:00:00+05:30,89.0,91.4,87.0,87.85,411385
2015-02-19 00:00:00+05:30,89.4,89.4,85.5,86.8,375508
2015-02-20 00:00:00+05:30,86.95,88.7,84.85,85.9,333259
2015-02-23 00:00:00+05:30,86.5,88.2,82.8,84.15,404126
2015-02-24 00:00:00+05:30,84.4,85.7,82.85,83.35,327013
2015-02-25 00:00:00+05:30,84.25,84.4,80.95,81.2,213757
2015-02-26 00:00:00+05:30,82.9,82.9,77.34,77.84,308891
2015-02-27 00:00:00+05:30,79.0,83.45,76.55,79.15,932928
2015-03-02 00:00:00+05:30,80.4,83.2,79.34,81.2,626904
2015-03-03 00:00:00+05:30,81.4,81.84,78.3,79.09,409710
2015-03-04 00:00:00+05:30,79.4,81.45,76.7,77.55,437564
2015-03-05 00:00:00+05:30,79.7,79.7,75.75,76.5,251908
2015-03-09 00:00:00+05:30,76.0,76.15,73.5,73.84,287646
2015-03-10 00:00:00+05:30,73.95,77.0,73.0,73.34,560971
2015-03-11 00:00:00+05:30,73.25,76.0,73.0,74.5,397134
2015-03-12 00:00:00+05:30,75.45,75.45,72.7,73.25,334883
2015-03-13 00:00:00+05:30,73.95,74.5,71.5,71.84,357011
2015-03-16 00:00:00+05:30,72.0,72.34,61.85,67.0,1500347
2015-03-17 00:00:00+05:30,68.0,70.95,67.09,69.3,829369
2015-03-18 00:00:00+05:30,69.8,69.8,67.4,67.9,337467
2015-03-19 00:00:00+05:30,68.8,72.8,68.15,71.09,1997657
2015-03-20 00:00:00+05:30,71.65,72.8,65.75,67.0,644833
2015-03-23 00:00:00+05:30,68.9,79.3,68.5,77.95,4697978
2015-03-24 00:00:00+05:30,78.5,81.9,72.3,73.3,2962808
2015-03-25 00:00:00+05:30,74.75,76.34,72.3,73.3,729294
2015-03-26 00:00:00+05:30,74.0,74.84,71.3,72.2,476807
2015-03-27 00:00:00+05:30,73.2,73.65,67.15,70.7,906754
2015-03-30 00:00:00+05:30,70.0,74.5,70.0,74.09,554698
2015-03-31 00:00:00+05:30,74.4,74.84,72.59,72.95,433601
2015-04-01 00:00:00+05:30,72.95,76.0,71.8,74.95,629730
2015-04-06 00:00:00+05:30,75.0,77.84,73.25,76.09,565465
2015-04-07 00:00:00+05:30,76.8,76.8,74.5,75.2,302725
2015-04-08 00:00:00+05:30,75.95,78.9,74.7,76.45,677371
2015-04-09 00:00:00+05:30,77.2,80.34,76.3,78.7,888672
2015-04-10 00:00:00+05:30,79.09,89.7,77.5,87.75,2296384
2015-04-13 00:00:00+05:30,87.6,94.2,84.4,91.3,2742282
2015-04-15 00:00:00+05:30,91.8,91.95,86.75,87.95,930222
2015-04-16 00:00:00+05:30,87.15,88.5,82.5,84.65,591472
2015-04-17 00:00:00+05:30,84.8,91.25,82.4,87.15,1457343
2015-04-20 00:00:00+05:30,86.9,87.0,81.4,82.2,529453
2015-04-21 00:00:00+05:30,82.35,83.9,80.0,80.55,716781
2015-04-22 00:00:00+05:30,80.9,83.4,80.0,82.2,555366
2015-04-23 00:00:00+05:30,82.95,84.25,81.2,81.7,402364
2015-04-24 00:00:00+05:30,80.59,82.0,74.5,75.25,488260
2015-04-27 00:00:00+05:30,74.75,75.7,71.75,72.4,395599
2015-04-28 00:00:00+05:30,72.5,78.25,70.5,77.55,544585
2015-04-29 00:00:00+05:30,77.95,79.3,75.55,76.65,599158
2015-04-30 00:00:00+05:30,75.5,77.7,75.09,76.0,327042
2015-05-04 00:00:00+05:30,77.0,79.0,76.5,78.05,334487
2015-05-05 00:00:00+05:30,78.05,83.4,77.5,82.0,772218
2015-05-06 00:00:00+05:30,82.0,86.0,77.7,78.65,1385417
2015-05-07 00:00:00+05:30,78.59,79.5,74.8,75.9,499647
2015-05-08 00:00:00+05:30,79.4,79.45,76.65,77.4,378070
2015-05-11 00:00:00+05:30,77.95,80.84,77.4,77.7,413388
2015-05-12 00:00:00+05:30,77.7,77.95,74.9,75.25,279987
2015-05-13 00:00:00+05:30,75.95,77.09,74.59,75.59,337170
2015-05-14 00:00:00+05:30,74.59,76.84,74.09,76.2,351478
2015-05-15 00:00:00+05:30,76.65,78.75,76.15,77.2,371187
2015-05-18 00:00:00+05:30,76.34,79.3,75.7,77.45,424529
2015-05-19 00:00:00+05:30,77.3,78.7,76.45,76.84,244239
2015-05-20 00:00:00+05:30,77.8,78.8,75.84,76.3,294602
2015-05-21 00:00:00+05:30,76.8,78.45,75.95,76.59,413924
2015-05-22 00:00:00+05:30,76.59,77.55,74.5,74.84,210231
2015-05-25 00:00:00+05:30,74.84,76.34,74.05,74.34,182251
2015-05-26 00:00:00+05:30,74.95,78.3,74.3,76.75,638465
2015-05-27 00:00:00+05:30,75.7,77.2,75.09,75.59,274169
2015-05-28 00:00:00+05:30,76.34,77.5,72.84,73.8,378427
2015-05-29 00:00:00+05:30,69.95,78.9,67.8,76.65,1697129
2015-06-01 00:00:00+05:30,77.2,84.0,77.2,78.4,528634
2015-06-02 00:00:00+05:30,78.8,90.5,78.3,86.6,3610894
2015-06-03 00:00:00+05:30,87.35,88.75,75.5,78.0,1806919
2015-06-04 00:00:00+05:30,79.2,85.8,78.3,82.25,1701453
2015-06-05 00:00:00+05:30,81.7,83.8,80.0,80.3,752524
2015-06-08 00:00:00+05:30,80.7,82.2,79.3,80.3,435438
2015-06-09 00:00:00+05:30,80.95,81.75,77.59,80.25,407215
2015-06-10 00:00:00+05:30,80.25,86.4,80.25,84.4,940122
2015-06-11 00:00:00+05:30,85.0,85.75,78.9,80.0,541410
2015-06-12 00:00:00+05:30,80.0,82.9,78.5,81.2,528805
2015-06-15 00:00:00+05:30,81.0,82.3,79.34,79.8,335377
2015-06-16 00:00:00+05:30,80.7,80.7,78.09,79.45,357749
2015-06-17 00:00:00+05:30,80.34,83.35,79.09,81.95,946788
2015-06-18 00:00:00+05:30,82.5,84.15,80.7,81.65,484726
2015-06-19 00:00:00+05:30,82.05,83.35,81.5,82.35,290230
2015-06-22 00:00:00+05:30,82.9,89.9,82.9,86.85,1279458
2015-06-23 00:00:00+05:30,87.6,91.6,85.0,89.55,1264949
2015-06-24 00:00:00+05:30,89.95,96.5,88.0,91.1,3118562
2015-06-25 00:00:00+05:30,90.95,95.4,90.5,92.5,1476161
2015-06-26 00:00:00+05:30,92.3,93.45,88.7,89.75,672100
2015-06-29 00:00:00+05:30,86.0,86.75,83.2,84.15,758710
2015-06-30 00:00:00+05:30,84.35,85.9,82.05,82.7,812064
2015-07-01 00:00:00+05:30,83.65,87.7,83.1,85.15,1160971
2015-07-02 00:00:00+05:30,85.75,86.75,83.65,84.2,546308
2015-07-03 00:00:00+05:30,84.2,85.9,82.25,82.95,557917
2015-07-06 00:00:00+05:30,80.59,85.0,80.5,84.25,698257
2015-07-07 00:00:00+05:30,84.95,88.0,84.4,86.3,1010625
2015-07-08 00:00:00+05:30,85.45,87.35,82.5,83.5,768155
2015-07-09 00:00:00+05:30,84.15,86.5,83.05,83.55,955841
2015-07-10 00:00:00+05:30,84.4,100.25,84.0,97.2,4120835
2015-07-13 00:00:00+05:30,101.8,105.95,96.55,104.6,6603140
2015-07-14 00:00:00+05:30,103.65,108.0,101.1,105.25,3322399
2015-07-15 00:00:00+05:30,105.0,106.8,100.7,102.55,1449398
2015-07-16 00:00:00+05:30,102.75,104.5,101.1,102.3,1044019
2015-07-17 00:00:00+05:30,102.5,104.5,100.6,101.6,977628
2015-07-20 00:00:00+05:30,102.0,104.45,100.25,101.9,1117370
2015-07-21 00:00:00+05:30,102.0,103.2,96.75,97.45,636284
2015-07-22 00:00:00+05:30,97.0,101.2,97.0,99.9,799823
2015-07-23 00:00:00+05:30,99.1,110.75,99.1,107.1,3611575
2015-07-24 00:00:00+05:30,107.65,112.1,107.1,109.65,2503692
2015-07-27 00:00:00+05:30,109.6,109.7,106.25,107.35,865834
2015-07-28 00:00:00+05:30,107.0,116.3,106.4,113.25,2515687
2015-07-29 00:00:00+05:30,113.5,115.95,111.1,112.35,1295767
2015-07-30 00:00:00+05:30,113.2,113.5,107.4,108.25,1050733
2015-07-31 00:00:00+05:30,107.0,112.75,102.7,104.8,2074119
2015-08-03 00:00:00+05:30,105.7,107.9,102.1,102.75,701313
2015-08-04 00:00:00+05:30,102.75,103.8,98.8,99.65,1046673
2015-08-05 00:00:00+05:30,100.5,107.4,100.1,104.8,1716938
2015-08-06 00:00:00+05:30,105.5,108.45,104.7,105.3,965049
2015-08-07 00:00:00+05:30,104.0,105.7,101.7,102.5,711816
2015-08-10 00:00:00+05:30,102.55,105.5,100.0,101.8,618008
2015-08-11 00:00:00+05:30,102.4,103.7,98.5,98.9,624204
2015-08-12 00:00:00+05:30,98.25,99.55,93.55,94.35,787930
2015-08-13 00:00:00+05:30,95.2,98.75,92.05,92.85,719329
2015-08-14 00:00:00+05:30,93.25,97.0,92.2,94.7,553541
2015-08-17 00:00:00+05:30,95.0,95.6,91.8,93.15,528021
2015-08-18 00:00:00+05:30,93.85,98.6,93.85,97.4,628588
2015-08-19 00:00:00+05:30,97.65,102.95,96.2,101.35,1299503
2015-08-20 00:00:00+05:30,100.0,103.9,96.0,97.2,805493
2015-08-21 00:00:00+05:30,96.25,96.6,91.8,96.2,405003
2015-08-24 00:00:00+05:30,91.45,92.4,77.0,77.3,1015508
2015-08-25 00:00:00+05:30,78.75,81.05,68.3,79.15,1337314
2015-08-26 00:00:00+05:30,79.2,83.9,76.7,81.45,664874
2015-08-27 00:00:00+05:30,82.95,84.65,82.0,83.45,440627
2015-08-28 00:00:00+05:30,85.0,86.4,81.05,81.84,409505
2015-08-31 00:00:00+05:30,80.84,83.15,79.2,79.75,347218
2015-09-01 00:00:00+05:30,79.0,80.0,75.75,78.3,478074
2015-09-02 00:00:00+05:30,78.95,80.75,76.09,77.45,556743
2015-09-03 00:00:00+05:30,79.4,81.8,78.4,80.84,387847
2015-09-04 00:00:00+05:30,80.8,81.5,75.09,77.7,431216
2015-09-07 00:00:00+05:30,78.15,79.7,75.0,75.4,254903
2015-09-08 00:00:00+05:30,76.0,76.9,72.9,75.7,348197
2015-09-09 00:00:00+05:30,76.65,80.34,76.65,79.25,554630
2015-09-10 00:00:00+05:30,76.7,80.5,76.05,78.45,333969
2015-09-11 00:00:00+05:30,78.84,80.0,77.0,77.75,442548
2015-09-14 00:00:00+05:30,78.2,80.55,78.2,79.15,324897
2015-09-15 00:00:00+05:30,80.45,80.5,77.5,77.95,192480
2015-09-16 00:00:00+05:30,78.5,80.9,77.3,79.15,372736
2015-09-18 00:00:00+05:30,79.5,82.5,79.3,80.09,459706
2015-09-21 00:00:00+05:30,78.3,81.25,78.3,80.2,455872
2015-09-22 00:00:00+05:30,82.1,85.9,80.5,81.55,1043780
2015-09-23 00:00:00+05:30,80.0,87.8,80.0,86.0,792976
2015-09-24 00:00:00+05:30,86.8,89.25,85.3,87.9,702265
2015-09-28 00:00:00+05:30,87.05,88.6,82.5,84.15,345229
2015-09-29 00:00:00+05:30,82.5,88.25,81.15,86.5,693527
2015-09-30 00:00:00+05:30,87.35,88.0,86.0,86.4,288168
2015-10-01 00:00:00+05:30,87.0,91.75,86.45,88.75,909926
2015-10-05 00:00:00+05:30,89.7,93.8,87.8,92.9,874091
2015-10-06 00:00:00+05:30,93.5,93.7,90.0,90.75,966432
2015-10-07 00:00:00+05:30,91.05,94.1,90.3,91.45,448336
2015-10-08 00:00:00+05:30,91.5,95.45,90.05,93.45,819969
2015-10-09 00:00:00+05:30,93.95,95.25,90.8,92.0,445589
2015-10-12 00:00:00+05:30,92.8,97.0,91.25,96.25,945772
2015-10-13 00:00:00+05:30,97.5,98.4,94.0,95.5,855621
2015-10-14 00:00:00+05:30,95.0,97.45,94.1,94.5,382805
2015-10-15 00:00:00+05:30,95.35,100.9,94.3,99.0,1775622
