date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,99.0,104.0,99.0,102.35,8440
2015-01-02 00:00:00+05:30,101.3,107.5,101.3,104.35,32934
2015-01-05 00:00:00+05:30,103.5,106.0,102.0,103.15,6222
2015-01-06 00:00:00+05:30,102.15,102.95,98.15,99.05,9240
2015-01-07 00:00:00+05:30,99.7,100.5,96.55,98.9,7458
2015-01-08 00:00:00+05:30,99.9,102.5,98.75,101.95,5911
2015-01-09 00:00:00+05:30,102.95,103.95,98.2,102.45,12693
2015-01-12 00:00:00+05:30,101.2,103.95,99.0,99.55,6862
2015-01-13 00:00:00+05:30,101.95,102.0,99.9,100.2,7991
2015-01-14 00:00:00+05:30,99.5,110.0,99.05,105.2,30692
2015-01-15 00:00:00+05:30,105.2,109.8,103.0,103.2,7575
2015-01-16 00:00:00+05:30,103.5,112.0,102.95,108.95,80265
2015-01-19 00:00:00+05:30,108.95,111.65,107.0,107.95,8991
2015-01-20 00:00:00+05:30,107.0,109.5,104.9,105.2,6229
2015-01-21 00:00:00+05:30,107.0,111.75,104.0,105.9,7526
2015-01-22 00:00:00+05:30,106.05,108.5,99.05,102.15,19295
2015-01-23 00:00:00+05:30,100.2,103.85,100.2,102.3,5483
2015-01-27 00:00:00+05:30,101.0,112.8,101.0,110.55,53599
2015-01-28 00:00:00+05:30,110.55,113.0,106.25,108.7,18680
2015-01-29 00:00:00+05:30,108.0,109.95,105.7,107.25,5610
2015-01-30 00:00:00+05:30,106.0,109.0,102.0,103.45,18500
2015-02-02 00:00:00+05:30,102.0,107.45,102.0,105.95,11878
2015-02-03 00:00:00+05:30,107.0,108.6,104.3,104.75,4014
2015-02-04 00:00:00+05:30,104.25,105.1,100.1,101.65,9443
2015-02-05 00:00:00+05:30,101.75,105.0,101.5,102.15,6205
2015-02-06 00:00:00+05:30,100.5,100.5,96.05,97.0,17757
2015-02-09 00:00:00+05:30,96.0,96.0,94.1,94.95,4699
2015-02-10 00:00:00+05:30,94.0,98.25,93.0,94.1,8404
2015-02-11 00:00:00+05:30,94.05,99.5,94.05,98.8,6832
2015-02-12 00:00:00+05:30,98.05,98.9,95.6,96.9,3452
2015-02-13 00:00:00+05:30,96.2,98.8,96.2,97.25,3591
2015-02-16 00:00:00+05:30,98.9,103.8,98.0,98.25,17817
2015-02-18 00:00:00+05:30,101.0,104.5,97.5,101.4,13767
