date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,27.1,27.2,26.55,26.7,56430
2015-01-02 00:00:00+05:30,27.0,27.75,26.6,26.75,96360
2015-01-05 00:00:00+05:30,27.4,27.8,26.3,26.65,127355
2015-01-06 00:00:00+05:30,26.6,26.8,25.1,25.7,70096
2015-01-07 00:00:00+05:30,25.2,26.2,24.5,24.85,73145
2015-01-08 00:00:00+05:30,25.6,26.65,24.7,25.05,135918
2015-01-09 00:00:00+05:30,25.3,25.8,23.8,24.8,214917
2015-01-12 00:00:00+05:30,25.25,25.25,24.3,24.45,62237
2015-01-13 00:00:00+05:30,25.05,25.05,23.55,23.65,112528
2015-01-14 00:00:00+05:30,24.15,24.75,23.55,24.0,103171
2015-01-15 00:00:00+05:30,24.1,24.9,23.45,23.6,106813
2015-01-16 00:00:00+05:30,23.5,24.7,23.15,24.3,400755
2015-01-19 00:00:00+05:30,24.5,25.65,24.5,25.1,131537
2015-01-20 00:00:00+05:30,25.9,25.9,25.0,25.05,131750
2015-01-21 00:00:00+05:30,25.4,27.9,25.0,27.0,830822
2015-01-22 00:00:00+05:30,27.15,27.9,26.8,27.0,234003
2015-01-23 00:00:00+05:30,27.05,27.85,25.8,26.25,222959
2015-01-27 00:00:00+05:30,26.9,26.9,25.25,25.7,56486
2015-01-28 00:00:00+05:30,25.65,26.2,24.9,24.95,62089
2015-01-29 00:00:00+05:30,25.0,25.95,24.8,24.95,38767
2015-01-30 00:00:00+05:30,25.05,25.8,24.4,24.6,50637
2015-02-02 00:00:00+05:30,24.6,25.9,24.6,24.8,72247
2015-02-03 00:00:00+05:30,25.3,25.5,23.0,23.5,267096
2015-02-04 00:00:00+05:30,23.9,23.9,22.4,23.0,419970
2015-02-05 00:00:00+05:30,23.3,23.8,22.7,22.8,123004
2015-02-06 00:00:00+05:30,22.85,23.0,21.1,21.5,226952
2015-02-09 00:00:00+05:30,21.9,23.4,21.05,21.35,110485
2015-02-10 00:00:00+05:30,21.5,22.45,21.05,21.65,1316406
2015-02-11 00:00:00+05:30,21.55,22.3,21.5,21.7,1404332
2015-02-12 00:00:00+05:30,22.5,22.5,21.1,21.35,216244
2015-02-13 00:00:00+05:30,21.85,22.3,21.25,22.15,397494
2015-02-16 00:00:00+05:30,21.2,23.0,21.2,22.65,645327
2015-02-18 00:00:00+05:30,23.0,23.65,22.15,22.45,146514
2015-02-19 00:00:00+05:30,22.2,22.5,21.6,21.9,178688
2015-02-20 00:00:00+05:30,21.95,22.5,21.65,22.05,30959
2015-02-23 00:00:00+05:30,21.8,22.4,21.35,21.6,238939
2015-02-24 00:00:00+05:30,22.0,23.0,21.6,22.3,169549
2015-02-25 00:00:00+05:30,22.1,22.9,21.7,22.25,36206
2015-02-26 00:00:00+05:30,21.95,22.25,21.05,21.3,76706
2015-02-27 00:00:00+05:30,21.6,21.9,21.2,21.35,66072
2015-03-02 00:00:00+05:30,21.15,21.9,21.15,21.5,87750
2015-03-03 00:00:00+05:30,21.55,21.75,20.55,21.35,200315
2015-03-04 00:00:00+05:30,21.35,21.7,20.55,20.75,103397
2015-03-05 00:00:00+05:30,21.25,21.3,20.5,20.9,378310
2015-03-09 00:00:00+05:30,21.25,21.5,20.6,20.9,123324
2015-03-10 00:00:00+05:30,20.7,21.35,19.89,20.14,145544
2015-03-11 00:00:00+05:30,20.14,20.14,19.6,19.85,52882
2015-03-12 00:00:00+05:30,20.14,20.6,19.5,19.85,165539
2015-03-13 00:00:00+05:30,20.5,20.5,19.0,19.1,193858
2015-03-16 00:00:00+05:30,19.5,19.89,19.0,19.25,113054
2015-03-17 00:00:00+05:30,19.85,21.15,19.25,20.0,323811
2015-03-18 00:00:00+05:30,20.8,23.5,20.0,22.2,2033789
2015-03-19 00:00:00+05:30,22.9,25.0,22.75,24.05,1062779
2015-03-20 00:00:00+05:30,23.95,24.7,22.2,23.65,374040
2015-03-23 00:00:00+05:30,23.1,24.7,22.55,22.8,337901
2015-03-24 00:00:00+05:30,22.4,23.5,22.4,22.5,144482
2015-03-25 00:00:00+05:30,22.4,23.5,21.65,22.85,291190
2015-03-26 00:00:00+05:30,23.0,24.4,22.7,23.9,323831
2015-03-27 00:00:00+05:30,24.25,24.25,22.2,23.1,184890
2015-03-30 00:00:00+05:30,22.9,23.45,22.5,23.0,126841
2015-03-31 00:00:00+05:30,23.0,23.35,23.0,23.0,71958
2015-04-01 00:00:00+05:30,23.0,24.85,22.6,24.1,431113
2015-04-06 00:00:00+05:30,24.0,27.35,23.8,26.65,570400
2015-04-07 00:00:00+05:30,26.65,28.65,26.65,28.25,657809
2015-04-08 00:00:00+05:30,28.6,29.6,28.5,29.2,651590
2015-04-09 00:00:00+05:30,29.5,31.0,27.55,28.6,726842
2015-04-10 00:00:00+05:30,27.7,28.95,27.65,28.2,141251
2015-04-13 00:00:00+05:30,28.4,28.4,27.25,27.9,127390
2015-04-15 00:00:00+05:30,27.65,32.45,27.65,30.1,2368139
2015-04-16 00:00:00+05:30,30.9,31.45,29.25,30.2,757884
2015-04-17 00:00:00+05:30,30.25,30.95,29.2,30.55,342982
2015-04-20 00:00:00+05:30,30.85,30.95,28.5,29.15,271008
2015-04-21 00:00:00+05:30,29.75,29.75,28.5,28.75,106383
2015-04-22 00:00:00+05:30,29.0,29.5,28.0,28.6,242334
2015-04-23 00:00:00+05:30,28.15,30.8,28.15,28.75,840264
2015-04-24 00:00:00+05:30,29.4,29.4,26.3,27.1,360242
2015-04-27 00:00:00+05:30,27.3,27.3,24.65,25.1,335709
2015-04-28 00:00:00+05:30,24.95,26.5,24.35,25.95,242880
2015-04-29 00:00:00+05:30,25.9,27.35,25.9,26.9,176101
2015-04-30 00:00:00+05:30,26.95,27.1,26.15,26.45,91022
2015-05-04 00:00:00+05:30,26.5,27.8,26.5,27.5,142486
2015-05-05 00:00:00+05:30,27.15,27.65,25.1,26.55,245038
2015-05-06 00:00:00+05:30,26.0,26.7,25.0,25.15,105826
2015-05-07 00:00:00+05:30,25.1,25.9,23.5,24.05,441660
2015-05-08 00:00:00+05:30,24.8,26.6,24.3,26.1,154511
2015-05-11 00:00:00+05:30,26.2,27.2,25.0,26.75,227408
2015-05-12 00:00:00+05:30,28.0,28.05,25.5,25.75,350481
2015-05-13 00:00:00+05:30,26.1,27.3,25.5,26.8,284696
2015-05-14 00:00:00+05:30,26.95,27.65,26.15,27.25,122438
2015-05-15 00:00:00+05:30,27.05,27.6,26.6,26.95,89792
2015-05-18 00:00:00+05:30,27.0,27.6,27.0,27.35,86473
2015-05-19 00:00:00+05:30,27.35,27.85,26.75,27.05,81406
2015-05-20 00:00:00+05:30,27.0,27.45,26.3,26.85,112878
2015-05-21 00:00:00+05:30,26.8,27.0,26.1,26.5,17527
2015-05-22 00:00:00+05:30,26.5,27.0,26.1,26.9,126672
2015-05-25 00:00:00+05:30,26.1,28.25,26.1,26.6,293255
2015-05-26 00:00:00+05:30,26.4,27.1,26.4,26.8,60558
2015-05-27 00:00:00+05:30,26.8,26.95,26.1,26.25,37006
2015-05-28 00:00:00+05:30,26.0,26.7,25.55,25.75,77867
2015-05-29 00:00:00+05:30,25.9,26.85,25.4,25.7,95561
2015-06-01 00:00:00+05:30,26.25,26.25,24.55,25.35,63040
2015-06-02 00:00:00+05:30,25.5,25.75,23.75,24.15,85802
2015-06-03 00:00:00+05:30,24.2,24.6,22.1,23.45,144631
2015-06-04 00:00:00+05:30,23.7,23.85,22.5,23.05,83249
2015-06-05 00:00:00+05:30,23.5,25.5,23.0,23.6,191583
2015-06-08 00:00:00+05:30,24.85,24.85,22.5,22.75,145406
2015-06-09 00:00:00+05:30,23.1,23.5,22.65,22.8,42963
2015-06-10 00:00:00+05:30,23.0,23.5,22.8,22.95,62091
2015-06-11 00:00:00+05:30,23.05,23.4,21.0,22.7,117644
2015-06-12 00:00:00+05:30,23.4,23.4,22.15,22.5,26677
2015-06-15 00:00:00+05:30,23.9,23.9,22.4,22.6,72093
2015-06-16 00:00:00+05:30,22.6,23.45,22.15,23.0,335659
2015-06-17 00:00:00+05:30,23.0,24.3,23.0,23.8,138680
2015-06-18 00:00:00+05:30,23.5,26.6,23.35,25.7,577743
2015-06-19 00:00:00+05:30,25.4,27.0,24.6,26.25,260090
2015-06-22 00:00:00+05:30,25.8,26.7,25.25,25.5,215418
2015-06-23 00:00:00+05:30,25.5,26.35,25.15,25.35,113936
2015-06-24 00:00:00+05:30,25.3,28.0,25.15,26.7,588675
2015-06-25 00:00:00+05:30,26.5,27.55,25.75,26.45,180735
2015-06-26 00:00:00+05:30,26.4,26.7,25.2,25.8,168209
2015-06-29 00:00:00+05:30,25.1,26.9,24.1,25.95,225004
2015-06-30 00:00:00+05:30,26.0,26.4,25.6,25.9,73918
2015-07-01 00:00:00+05:30,26.0,26.5,25.8,26.0,130579
2015-07-02 00:00:00+05:30,26.0,27.4,25.85,26.2,166065
2015-07-03 00:00:00+05:30,26.25,27.0,25.2,25.35,153129
2015-07-06 00:00:00+05:30,25.0,25.9,24.5,25.55,187231
2015-07-07 00:00:00+05:30,25.35,27.5,25.35,26.8,398465
2015-07-08 00:00:00+05:30,26.3,27.65,25.7,26.1,500543
2015-07-09 00:00:00+05:30,25.8,27.5,25.8,26.35,604246
2015-07-10 00:00:00+05:30,27.65,27.9,26.65,27.3,638608
2015-07-13 00:00:00+05:30,27.5,27.95,27.2,27.6,292932
2015-07-14 00:00:00+05:30,27.9,28.0,26.85,27.1,392497
2015-07-15 00:00:00+05:30,27.3,27.65,26.4,26.7,237476
2015-07-16 00:00:00+05:30,26.9,27.6,26.8,27.4,240651
2015-07-17 00:00:00+05:30,27.4,29.3,27.1,28.15,1519054
2015-07-20 00:00:00+05:30,28.0,28.9,27.65,27.9,427790
2015-07-21 00:00:00+05:30,28.2,28.2,26.55,26.65,247698
2015-07-22 00:00:00+05:30,26.5,27.15,26.3,26.95,363789
2015-07-23 00:00:00+05:30,27.4,28.2,26.9,27.1,493087
2015-07-24 00:00:00+05:30,27.35,29.55,27.1,28.25,1462965
2015-07-27 00:00:00+05:30,28.45,29.0,23.2,27.8,689143
2015-07-28 00:00:00+05:30,28.0,29.15,27.7,28.05,458488
2015-07-29 00:00:00+05:30,28.45,29.8,28.2,29.55,1092105
2015-07-30 00:00:00+05:30,30.0,30.6,29.4,29.95,1404456
2015-07-31 00:00:00+05:30,30.0,31.45,29.2,29.5,2542825
2015-08-03 00:00:00+05:30,29.9,30.15,29.05,29.45,603073
2015-08-04 00:00:00+05:30,29.45,31.8,29.15,30.3,1724758
2015-08-05 00:00:00+05:30,30.7,32.29,29.65,30.5,3784837
2015-08-06 00:00:00+05:30,30.75,31.5,30.0,31.25,1602275
2015-08-07 00:00:00+05:30,31.6,31.9,30.75,31.0,754270
2015-08-10 00:00:00+05:30,31.1,33.45,30.8,33.04,2071912
2015-08-11 00:00:00+05:30,33.1,33.9,31.65,32.0,1333187
2015-08-12 00:00:00+05:30,31.85,31.9,30.7,31.3,977616
2015-08-13 00:00:00+05:30,31.75,31.9,27.85,28.45,790911
2015-08-14 00:00:00+05:30,29.0,30.5,28.55,30.15,418163
2015-08-17 00:00:00+05:30,29.85,30.9,29.05,30.4,318514
2015-08-18 00:00:00+05:30,30.75,31.35,30.15,30.85,317727
2015-08-19 00:00:00+05:30,30.9,31.15,30.1,30.4,294703
2015-08-20 00:00:00+05:30,30.1,30.45,28.6,28.95,316692
2015-08-21 00:00:00+05:30,28.0,29.65,27.4,29.15,392758
2015-08-24 00:00:00+05:30,28.0,28.05,26.2,27.05,808623
2015-08-25 00:00:00+05:30,27.4,27.55,24.8,26.3,744654
2015-08-26 00:00:00+05:30,26.5,27.3,26.0,26.7,183452
2015-08-27 00:00:00+05:30,26.95,28.0,26.5,27.85,202958
2015-08-28 00:00:00+05:30,28.0,28.65,27.2,27.3,202033
2015-08-31 00:00:00+05:30,27.2,27.25,25.55,26.1,249660
2015-09-01 00:00:00+05:30,26.4,26.4,25.25,25.7,161430
