date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,97.4,98.2,96.6,97.2,176297
2015-01-02 00:00:00+05:30,97.85,100.4,97.0,98.05,278198
2015-01-05 00:00:00+05:30,98.8,101.9,98.1,100.85,422816
2015-01-06 00:00:00+05:30,99.5,99.5,95.0,95.45,249666
2015-01-07 00:00:00+05:30,95.0,97.15,93.15,94.55,161490
2015-01-08 00:00:00+05:30,95.5,99.5,95.5,96.9,141958
2015-01-09 00:00:00+05:30,98.0,98.05,95.15,95.75,169739
2015-01-12 00:00:00+05:30,95.9,96.35,94.15,95.85,138128
2015-01-13 00:00:00+05:30,95.5,96.55,93.65,94.15,143850
2015-01-14 00:00:00+05:30,93.7,94.75,92.3,92.6,121848
2015-01-15 00:00:00+05:30,95.0,96.45,93.3,95.75,353209
2015-01-16 00:00:00+05:30,96.0,99.5,94.2,98.7,613666
2015-01-19 00:00:00+05:30,99.3,99.6,97.0,97.5,176998
2015-01-20 00:00:00+05:30,98.3,98.9,96.25,96.85,170335
2015-01-21 00:00:00+05:30,97.0,97.8,94.65,95.65,158818
2015-01-22 00:00:00+05:30,95.65,96.3,94.05,94.25,136955
2015-01-23 00:00:00+05:30,95.0,95.9,92.2,92.85,147288
2015-01-27 00:00:00+05:30,93.75,94.5,92.8,93.5,127212
2015-01-28 00:00:00+05:30,93.5,93.95,91.3,91.9,154377
2015-01-29 00:00:00+05:30,91.85,98.5,91.1,96.55,471600
2015-01-30 00:00:00+05:30,98.2,100.0,93.4,99.25,651427
2015-02-02 00:00:00+05:30,99.45,101.8,98.45,99.2,520835
2015-02-03 00:00:00+05:30,100.0,100.0,95.45,97.75,231115
2015-02-04 00:00:00+05:30,97.9,97.9,95.2,95.85,148784
2015-02-05 00:00:00+05:30,96.0,96.4,92.0,92.8,160012
2015-02-06 00:00:00+05:30,93.2,94.25,90.15,91.2,183497
2015-02-09 00:00:00+05:30,91.0,91.0,86.05,86.75,193419
2015-02-10 00:00:00+05:30,87.05,90.7,86.6,87.55,153496
2015-02-11 00:00:00+05:30,88.4,88.6,84.1,84.85,242209
2015-02-12 00:00:00+05:30,85.1,91.55,84.85,89.95,439990
