date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,71.05,72.1,69.25,69.75,1223985
2015-01-02 00:00:00+05:30,69.7,71.9,68.65,69.55,1052459
2015-01-05 00:00:00+05:30,69.0,70.95,65.45,67.05,859698
2015-01-06 00:00:00+05:30,66.25,66.25,62.0,62.75,713726
2015-01-07 00:00:00+05:30,62.55,65.05,61.65,62.1,927898
2015-01-08 00:00:00+05:30,63.6,66.15,63.6,64.9,575757
2015-01-09 00:00:00+05:30,65.55,65.95,62.85,63.4,349015
2015-01-12 00:00:00+05:30,63.65,66.7,63.0,64.9,688099
2015-01-13 00:00:00+05:30,64.65,66.45,63.95,64.3,469141
2015-01-14 00:00:00+05:30,63.8,67.0,57.5,65.0,913109
2015-01-15 00:00:00+05:30,65.4,66.35,63.5,64.05,444323
2015-01-16 00:00:00+05:30,64.1,65.7,62.95,63.2,511976
2015-01-19 00:00:00+05:30,63.8,64.7,61.7,62.55,306045
2015-01-20 00:00:00+05:30,62.95,70.6,62.6,67.75,2385070
2015-01-21 00:00:00+05:30,68.4,69.5,66.0,66.55,748291
2015-01-22 00:00:00+05:30,66.25,66.9,64.15,64.7,302615
2015-01-23 00:00:00+05:30,65.3,65.7,62.15,63.0,273416
2015-01-27 00:00:00+05:30,63.9,64.85,62.8,63.1,235150
2015-01-28 00:00:00+05:30,63.0,66.1,61.9,62.15,456837
2015-01-29 00:00:00+05:30,61.85,63.9,60.25,61.1,419818
2015-01-30 00:00:00+05:30,61.5,62.55,59.3,60.35,283799
2015-02-02 00:00:00+05:30,59.85,62.45,58.9,59.6,215596
2015-02-03 00:00:00+05:30,60.15,60.65,57.8,59.7,397518
2015-02-04 00:00:00+05:30,59.95,61.05,59.3,59.55,157113
2015-02-05 00:00:00+05:30,59.7,61.1,57.25,57.95,200285
2015-02-06 00:00:00+05:30,58.35,61.2,54.75,55.6,499754
2015-02-09 00:00:00+05:30,54.25,55.9,52.45,53.8,262535
2015-02-10 00:00:00+05:30,51.5,59.8,51.5,56.4,487827
2015-02-11 00:00:00+05:30,57.75,60.25,57.0,59.5,311858
2015-02-12 00:00:00+05:30,59.95,61.1,59.1,59.7,259035
2015-02-13 00:00:00+05:30,63.95,65.15,62.1,62.55,890697
2015-02-16 00:00:00+05:30,63.05,63.75,60.1,60.5,344622
2015-02-18 00:00:00+05:30,60.75,61.65,57.1,58.5,243138
