date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,224.0,224.5,223.0,223.45,1044
2015-01-02 00:00:00+05:30,226.0,226.0,223.15,223.3,1066
2015-01-05 00:00:00+05:30,224.05,224.05,222.5,222.5,1413
2015-01-06 00:00:00+05:30,223.05,223.8,218.0,220.55,2980
2015-01-07 00:00:00+05:30,221.0,221.05,220.0,221.0,307
2015-01-08 00:00:00+05:30,223.0,224.0,221.0,222.0,1852
2015-01-09 00:00:00+05:30,222.9,225.05,221.0,222.0,1998
2015-01-12 00:00:00+05:30,210.0,246.35,210.0,226.25,4443
2015-01-13 00:00:00+05:30,232.5,250.0,230.0,234.7,6975
2015-01-14 00:00:00+05:30,236.05,236.05,233.75,235.4,1472
2015-01-15 00:00:00+05:30,234.95,240.0,234.95,237.1,2034
2015-01-16 00:00:00+05:30,234.95,238.05,232.8,236.15,2232
2015-01-19 00:00:00+05:30,237.1,245.05,237.0,243.35,6123
2015-01-20 00:00:00+05:30,231.0,257.95,231.0,245.15,4049
2015-01-21 00:00:00+05:30,245.05,247.05,239.1,242.5,1778
2015-01-22 00:00:00+05:30,242.05,242.55,230.1,232.0,2224
2015-01-23 00:00:00+05:30,234.0,234.0,230.0,230.0,3161
2015-01-27 00:00:00+05:30,229.0,230.5,225.0,228.35,3040
2015-01-28 00:00:00+05:30,228.0,230.0,227.0,227.0,489
2015-01-29 00:00:00+05:30,227.15,228.0,225.0,225.05,1074
2015-01-30 00:00:00+05:30,224.0,225.05,222.1,222.1,701
2015-02-02 00:00:00+05:30,222.0,222.0,219.0,222.0,3602
2015-02-03 00:00:00+05:30,222.0,224.0,221.0,221.3,817
2015-02-04 00:00:00+05:30,222.0,223.5,220.0,220.95,6353
2015-02-05 00:00:00+05:30,220.05,221.5,218.1,219.75,5807
2015-02-06 00:00:00+05:30,219.0,219.0,215.0,218.0,3249
2015-02-09 00:00:00+05:30,204.0,218.3,204.0,218.0,424
2015-02-10 00:00:00+05:30,218.0,218.0,217.0,217.55,712
2015-02-11 00:00:00+05:30,217.0,218.0,216.0,216.25,922
2015-02-12 00:00:00+05:30,216.0,217.5,214.0,215.95,3103
2015-02-13 00:00:00+05:30,216.0,216.9,214.0,216.9,695
2015-02-16 00:00:00+05:30,227.0,227.0,213.0,218.45,3088
2015-02-18 00:00:00+05:30,223.05,233.0,222.0,230.3,14416
2015-02-19 00:00:00+05:30,232.0,236.3,232.0,233.3,3776
2015-02-20 00:00:00+05:30,236.0,243.05,234.0,238.9,12895
2015-02-23 00:00:00+05:30,241.9,255.1,238.0,250.0,14293
2015-02-24 00:00:00+05:30,258.89,264.89,253.4,255.9,15088
2015-02-25 00:00:00+05:30,254.0,259.0,247.0,256.5,13186
2015-02-26 00:00:00+05:30,258.0,260.0,253.0,255.5,6218
2015-02-27 00:00:00+05:30,258.0,262.0,254.0,259.6,6225
2015-03-02 00:00:00+05:30,267.2,267.5,246.0,251.55,15531
2015-03-03 00:00:00+05:30,259.8,266.75,259.0,260.14,6800
2015-03-04 00:00:00+05:30,266.0,266.0,260.0,260.14,6735
2015-03-05 00:00:00+05:30,264.85,264.85,260.0,261.45,7395
2015-03-09 00:00:00+05:30,261.0,264.0,260.0,260.1,30125
2015-03-10 00:00:00+05:30,261.0,262.5,259.1,260.0,31976
2015-03-11 00:00:00+05:30,261.0,262.0,258.0,259.55,34031
2015-03-12 00:00:00+05:30,260.0,263.95,259.5,259.5,16956
2015-03-13 00:00:00+05:30,260.2,260.8,252.0,253.55,25299
2015-03-16 00:00:00+05:30,253.0,253.45,247.0,251.45,108394
2015-03-17 00:00:00+05:30,252.0,261.14,240.4,247.2,18579
2015-03-18 00:00:00+05:30,243.0,251.45,243.0,248.35,41210
2015-03-19 00:00:00+05:30,249.0,253.0,244.0,244.6,37323
2015-03-20 00:00:00+05:30,249.0,249.5,244.0,247.2,42532
2015-03-23 00:00:00+05:30,247.5,248.2,245.0,245.95,11138
2015-03-24 00:00:00+05:30,246.5,248.2,246.0,246.0,31284
2015-03-25 00:00:00+05:30,246.1,249.4,245.0,245.85,22812
2015-03-26 00:00:00+05:30,246.1,246.2,243.2,244.7,18825
2015-03-27 00:00:00+05:30,245.0,248.5,243.1,243.95,8742
2015-03-30 00:00:00+05:30,245.0,258.0,245.0,252.7,28946
2015-03-31 00:00:00+05:30,252.1,259.7,229.0,245.75,38853
2015-04-01 00:00:00+05:30,247.0,258.95,246.1,254.0,8346
2015-04-06 00:00:00+05:30,254.0,270.0,253.0,257.2,26697
2015-04-07 00:00:00+05:30,258.0,262.8,254.1,257.55,21284
2015-04-08 00:00:00+05:30,258.5,264.7,255.15,255.25,6974
2015-04-09 00:00:00+05:30,256.0,271.3,255.4,266.3,14948
2015-04-10 00:00:00+05:30,266.1,277.95,266.0,274.89,11515
2015-04-13 00:00:00+05:30,271.1,283.8,270.0,271.95,8174
2015-04-15 00:00:00+05:30,271.1,272.6,254.55,264.7,4877
