date,open,high,low,close,volume
2018-01-31 00:00:00+05:30,162.0,170.1,153.9,153.9,53109
2018-02-01 00:00:00+05:30,146.2,146.2,146.2,146.2,650
2018-02-02 00:00:00+05:30,138.9,138.9,138.9,138.9,915
2018-02-05 00:00:00+05:30,131.95,131.95,131.95,131.95,189
2018-02-06 00:00:00+05:30,125.4,125.4,125.4,125.4,31
2018-02-07 00:00:00+05:30,119.1,119.1,119.1,119.1,4865
2018-02-08 00:00:00+05:30,113.2,113.2,113.2,113.2,280
2018-02-09 00:00:00+05:30,107.55,107.55,107.55,107.55,1076
2018-02-12 00:00:00+05:30,102.15,102.15,102.15,102.15,3867
2018-02-14 00:00:00+05:30,97.05,97.05,97.05,97.05,1150
2018-02-15 00:00:00+05:30,87.35,103.55,87.35,99.05,3140757
2018-02-16 00:00:00+05:30,104.65,108.95,95.4,99.45,758381
2018-02-19 00:00:00+05:30,100.45,100.45,89.85,94.05,396562
2018-02-20 00:00:00+05:30,93.95,93.95,87.2,88.55,475676
2018-02-21 00:00:00+05:30,89.65,90.2,82.1,87.95,363032
2018-02-22 00:00:00+05:30,86.0,89.65,84.9,87.3,294087
2018-02-23 00:00:00+05:30,86.4,91.8,82.6,89.35,330051
2018-02-26 00:00:00+05:30,88.0,89.35,85.3,86.25,96595
2018-02-27 00:00:00+05:30,84.8,87.65,84.3,85.5,169269
2018-02-28 00:00:00+05:30,83.7,87.15,83.7,86.25,256538
2018-03-01 00:00:00+05:30,88.0,94.85,86.55,94.85,83565
2018-03-05 00:00:00+05:30,96.1,96.15,86.6,89.8,169886
2018-03-06 00:00:00+05:30,90.2,92.85,87.05,88.85,125566
2018-03-07 00:00:00+05:30,86.4,88.55,83.7,85.35,21715
2018-03-08 00:00:00+05:30,89.05,89.85,81.6,87.7,37195
2018-03-09 00:00:00+05:30,85.35,87.85,84.0,86.35,79139
2018-03-12 00:00:00+05:30,85.35,88.55,85.3,87.25,18086
2018-03-13 00:00:00+05:30,85.3,90.7,85.3,87.4,274361
2018-03-14 00:00:00+05:30,86.95,88.35,86.4,87.95,19375
2018-03-15 00:00:00+05:30,85.95,95.6,85.95,92.55,148535
2018-03-16 00:00:00+05:30,92.35,92.9,85.2,88.4,393884
2018-03-19 00:00:00+05:30,87.0,91.45,86.95,90.45,35292
2018-03-20 00:00:00+05:30,87.0,91.55,87.0,89.9,37814
2018-03-21 00:00:00+05:30,89.1,98.85,89.1,98.85,57213
2018-03-22 00:00:00+05:30,106.4,108.75,95.6,100.9,238988
2018-03-23 00:00:00+05:30,96.1,99.05,93.95,97.05,103481
2018-03-26 00:00:00+05:30,92.9,98.7,92.9,96.6,37844
2018-03-27 00:00:00+05:30,96.6,105.3,96.35,97.7,38794
2018-03-28 00:00:00+05:30,94.7,98.55,92.35,96.2,2501885
2018-04-02 00:00:00+05:30,96.45,105.8,96.45,105.8,41529
2018-04-03 00:00:00+05:30,112.3,116.35,105.8,116.35,67059
