date,open,high,low,close,volume
2015-01-13 00:00:00+05:30,8.05,8.05,8.05,8.05,50
2015-01-20 00:00:00+05:30,8.05,8.05,8.0,8.0,226
2015-01-23 00:00:00+05:30,8.35,8.35,8.35,8.35,95
2015-03-12 00:00:00+05:30,8.75,8.75,8.75,8.75,100
2015-03-18 00:00:00+05:30,9.15,9.15,9.1,9.1,309
2015-03-25 00:00:00+05:30,9.55,9.55,9.55,9.55,4
2015-03-26 00:00:00+05:30,10.0,10.0,10.0,10.0,72
2015-03-27 00:00:00+05:30,10.5,10.5,10.5,10.5,10
2015-03-30 00:00:00+05:30,11.0,11.0,11.0,11.0,10
2015-04-01 00:00:00+05:30,11.55,11.55,11.55,11.55,200
2015-04-06 00:00:00+05:30,12.1,12.1,12.1,12.1,39
2015-04-08 00:00:00+05:30,12.7,12.7,12.7,12.7,60
2015-04-09 00:00:00+05:30,13.3,13.3,13.3,13.3,100
2015-04-13 00:00:00+05:30,13.95,13.95,13.95,13.95,300
2015-04-15 00:00:00+05:30,14.0,14.0,14.0,14.0,275
2015-04-16 00:00:00+05:30,14.0,14.7,14.0,14.7,589
2015-04-17 00:00:00+05:30,14.8,15.4,14.5,15.35,642
2015-04-28 00:00:00+05:30,14.6,14.6,14.6,14.6,92
2015-04-29 00:00:00+05:30,13.9,15.3,13.9,15.3,601
2015-05-04 00:00:00+05:30,14.55,15.5,14.55,15.5,150
2015-05-05 00:00:00+05:30,15.5,16.25,14.75,15.55,2050
2015-05-06 00:00:00+05:30,15.45,15.45,15.45,15.45,1000
2015-05-08 00:00:00+05:30,16.2,16.2,16.2,16.2,70
2015-05-12 00:00:00+05:30,16.2,16.2,16.2,16.2,50
2015-05-13 00:00:00+05:30,16.2,16.2,16.2,16.2,7
2015-05-15 00:00:00+05:30,16.39,16.39,16.39,16.39,50
2015-05-29 00:00:00+05:30,17.2,17.2,17.2,17.2,50
2015-06-01 00:00:00+05:30,18.05,18.05,17.5,17.5,204
2015-06-02 00:00:00+05:30,18.35,18.35,17.0,17.0,800
2015-06-19 00:00:00+05:30,18.7,18.7,18.55,18.55,776
2015-06-22 00:00:00+05:30,20.0,20.0,18.7,18.7,1126
2015-06-23 00:00:00+05:30,16.85,16.85,16.85,16.85,440
2015-06-24 00:00:00+05:30,16.0,17.7,15.2,15.8,2392
2015-06-25 00:00:00+05:30,16.45,16.45,16.45,16.45,200
2015-07-02 00:00:00+05:30,16.39,16.39,16.39,16.39,20
2015-07-03 00:00:00+05:30,16.1,16.1,16.1,16.1,1
2015-07-08 00:00:00+05:30,15.35,15.5,15.35,15.5,300
2015-07-09 00:00:00+05:30,15.05,16.25,14.75,16.2,508
2015-07-10 00:00:00+05:30,15.4,16.14,15.4,15.85,153
2015-07-13 00:00:00+05:30,16.14,16.14,16.14,16.14,1
2015-07-14 00:00:00+05:30,15.35,15.35,15.35,15.35,3
2015-07-15 00:00:00+05:30,15.05,15.05,14.6,14.6,3
2015-07-16 00:00:00+05:30,14.6,14.6,14.0,14.25,601
2015-07-17 00:00:00+05:30,13.7,13.9,13.7,13.9,41
2015-07-22 00:00:00+05:30,13.9,13.9,13.9,13.9,50
2015-07-29 00:00:00+05:30,13.35,13.5,13.35,13.4,47
2015-07-31 00:00:00+05:30,13.0,14.05,12.75,13.35,2452
2015-08-03 00:00:00+05:30,13.35,14.0,13.35,14.0,350
2015-08-04 00:00:00+05:30,13.35,13.35,13.35,13.35,23
2015-08-06 00:00:00+05:30,14.0,14.0,13.1,13.1,250
2015-08-17 00:00:00+05:30,13.75,13.75,13.75,13.75,48
2015-08-27 00:00:00+05:30,14.4,14.4,14.4,14.4,150
2015-08-28 00:00:00+05:30,15.1,15.1,15.1,15.1,6
2015-09-01 00:00:00+05:30,15.85,15.85,15.85,15.85,500
2015-09-02 00:00:00+05:30,15.25,15.25,15.25,15.25,200
2015-09-14 00:00:00+05:30,16.0,16.0,16.0,16.0,1
2015-09-21 00:00:00+05:30,15.25,15.25,15.25,15.25,1
2015-09-23 00:00:00+05:30,15.25,15.25,15.25,15.25,500
2015-09-28 00:00:00+05:30,16.0,16.0,14.5,14.5,3
2015-10-05 00:00:00+05:30,13.8,13.8,13.8,13.8,5
2015-10-06 00:00:00+05:30,13.15,13.15,13.15,13.15,150
2015-10-26 00:00:00+05:30,13.8,13.8,13.8,13.8,1000
2015-10-27 00:00:00+05:30,14.45,14.45,14.45,14.45,200
2015-10-28 00:00:00+05:30,15.15,15.15,15.15,15.15,1
2015-10-29 00:00:00+05:30,15.9,15.9,15.9,15.9,30
2015-10-30 00:00:00+05:30,16.64,16.64,16.64,16.64,1
2015-11-02 00:00:00+05:30,17.45,17.45,17.45,17.45,1
2015-11-03 00:00:00+05:30,18.3,18.3,18.3,18.3,1
2015-11-05 00:00:00+05:30,19.2,19.2,19.2,19.2,1
2015-11-09 00:00:00+05:30,20.14,20.14,20.14,20.14,75
2015-11-10 00:00:00+05:30,21.15,21.15,21.15,21.15,40
2015-11-11 00:00:00+05:30,20.1,20.1,20.1,20.1,1990
2015-11-13 00:00:00+05:30,21.1,21.1,21.1,21.1,1
2015-11-19 00:00:00+05:30,22.15,22.15,22.15,22.15,70
2015-11-20 00:00:00+05:30,21.25,21.25,21.25,21.25,1
2015-11-23 00:00:00+05:30,20.25,20.25,20.25,20.25,300
2015-12-03 00:00:00+05:30,21.25,21.25,21.25,21.25,136
2015-12-08 00:00:00+05:30,22.3,22.3,22.3,22.3,2
2015-12-14 00:00:00+05:30,22.0,22.0,21.2,21.2,600
2015-12-15 00:00:00+05:30,22.25,22.25,22.25,22.25,20
2016-01-01 00:00:00+05:30,23.35,23.35,23.35,23.35,7000
2016-01-04 00:00:00+05:30,24.5,24.5,24.5,24.5,10
2016-01-05 00:00:00+05:30,25.7,25.7,25.7,25.7,5
2016-01-07 00:00:00+05:30,26.95,26.95,26.95,26.95,150
2016-01-08 00:00:00+05:30,28.25,28.25,28.25,28.25,100
2016-01-13 00:00:00+05:30,29.65,29.65,29.65,29.65,798
2016-01-14 00:00:00+05:30,31.0,31.0,31.0,31.0,170
2016-01-15 00:00:00+05:30,31.0,31.0,31.0,31.0,4000
2016-01-18 00:00:00+05:30,29.45,29.45,29.45,29.45,55
2016-01-20 00:00:00+05:30,28.0,28.0,28.0,28.0,500
2016-01-25 00:00:00+05:30,29.4,29.4,29.4,29.4,4
2016-01-27 00:00:00+05:30,30.85,30.85,30.85,30.85,273
2016-01-28 00:00:00+05:30,31.75,31.75,30.85,30.85,284
2016-02-04 00:00:00+05:30,32.0,32.0,32.0,32.0,3
2016-02-17 00:00:00+05:30,30.4,30.4,30.4,30.4,100
2016-02-22 00:00:00+05:30,28.9,28.9,28.9,28.9,26776
2016-02-23 00:00:00+05:30,27.5,27.5,27.5,27.5,340
2016-02-24 00:00:00+05:30,26.15,26.15,26.15,26.15,34
2016-02-25 00:00:00+05:30,24.85,27.4,24.85,27.4,22
2016-03-02 00:00:00+05:30,27.2,27.5,27.2,27.5,520
2016-03-03 00:00:00+05:30,26.15,26.15,26.15,26.15,8
2016-03-04 00:00:00+05:30,28.65,28.65,23.55,27.75,456
2016-03-09 00:00:00+05:30,28.95,28.95,28.9,28.9,4
2016-03-10 00:00:00+05:30,28.85,30.0,28.85,30.0,400
2016-03-16 00:00:00+05:30,27.0,27.0,27.0,27.0,239
2016-03-18 00:00:00+05:30,27.0,27.0,24.3,24.3,111
2016-03-21 00:00:00+05:30,24.3,25.0,24.0,25.0,921
2016-03-22 00:00:00+05:30,26.5,27.0,25.5,27.0,185
2016-03-23 00:00:00+05:30,24.3,29.0,24.3,28.5,13
2016-03-28 00:00:00+05:30,28.0,28.0,25.65,25.65,682
2016-03-29 00:00:00+05:30,23.15,23.15,23.1,23.1,840
2016-03-30 00:00:00+05:30,23.1,23.1,22.0,22.05,4351
2016-04-01 00:00:00+05:30,23.15,23.15,22.0,22.0,300
2016-04-11 00:00:00+05:30,22.0,22.0,22.0,22.0,2
2016-04-13 00:00:00+05:30,23.1,23.1,22.0,22.0,125
2016-04-18 00:00:00+05:30,23.1,23.1,21.05,23.1,300
2016-04-25 00:00:00+05:30,22.0,22.0,22.0,22.0,10
2016-04-26 00:00:00+05:30,21.0,21.25,21.0,21.1,2100
2016-04-27 00:00:00+05:30,20.55,21.05,20.55,21.05,375
2016-05-17 00:00:00+05:30,20.5,20.5,20.5,20.5,5
2016-05-20 00:00:00+05:30,19.55,19.55,19.55,19.55,541
2016-05-23 00:00:00+05:30,20.5,20.5,19.05,19.05,130
2016-05-24 00:00:00+05:30,18.1,18.1,18.1,18.1,10
