date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,62.7,64.15,62.35,63.35,237104
2015-01-02 00:00:00+05:30,63.9,65.0,63.3,63.75,277518
2015-01-05 00:00:00+05:30,63.55,64.5,62.5,62.95,104721
2015-01-06 00:00:00+05:30,63.6,63.9,60.5,60.85,168086
2015-01-07 00:00:00+05:30,61.45,61.5,60.2,60.8,93503
2015-01-08 00:00:00+05:30,61.55,62.9,61.05,61.65,105400
2015-01-09 00:00:00+05:30,61.8,62.6,60.4,60.65,89765
2015-01-12 00:00:00+05:30,61.15,61.9,60.65,61.55,112397
2015-01-13 00:00:00+05:30,62.05,62.35,60.85,61.15,110776
2015-01-14 00:00:00+05:30,60.85,61.8,59.85,60.5,86713
2015-01-15 00:00:00+05:30,62.35,64.4,62.25,62.5,213149
2015-01-16 00:00:00+05:30,61.5,62.7,61.35,61.55,88222
2015-01-19 00:00:00+05:30,61.55,65.0,61.55,64.7,418769
2015-01-20 00:00:00+05:30,65.5,66.2,64.9,65.5,1242575
2015-01-21 00:00:00+05:30,65.84,66.0,64.3,64.65,221675
2015-01-22 00:00:00+05:30,64.9,64.95,63.2,63.65,141583
2015-01-23 00:00:00+05:30,63.8,64.95,62.5,62.7,159488
2015-01-27 00:00:00+05:30,62.15,62.75,61.2,61.45,170851
2015-01-28 00:00:00+05:30,61.25,62.2,60.7,60.9,130915
2015-01-29 00:00:00+05:30,60.5,61.25,60.05,60.45,109037
2015-01-30 00:00:00+05:30,60.65,62.0,59.75,60.15,267942
2015-02-02 00:00:00+05:30,60.0,61.25,59.65,60.8,84394
2015-02-03 00:00:00+05:30,60.85,61.75,59.2,59.4,157063
2015-02-04 00:00:00+05:30,60.0,60.4,58.8,59.0,100493
2015-02-05 00:00:00+05:30,59.0,59.75,58.0,58.4,108336
2015-02-06 00:00:00+05:30,58.65,61.9,56.3,57.6,972768
2015-02-09 00:00:00+05:30,55.7,56.75,55.55,55.85,172094
2015-02-10 00:00:00+05:30,55.6,55.9,54.0,54.45,200502
2015-02-11 00:00:00+05:30,55.35,55.35,53.5,53.85,207606
2015-02-12 00:00:00+05:30,53.8,54.05,53.1,53.7,188939
2015-02-13 00:00:00+05:30,53.7,55.8,53.35,55.5,172859
2015-02-16 00:00:00+05:30,55.6,56.1,54.15,55.15,104563
2015-02-18 00:00:00+05:30,54.1,55.4,54.1,54.85,83886
2015-02-19 00:00:00+05:30,54.55,55.15,54.25,54.75,63141
2015-02-20 00:00:00+05:30,54.5,56.85,54.3,55.75,184064
2015-02-23 00:00:00+05:30,56.3,56.45,54.5,54.75,73345
2015-02-24 00:00:00+05:30,54.25,55.0,54.05,54.3,66601
2015-02-25 00:00:00+05:30,54.3,54.95,54.05,54.25,47556
2015-02-26 00:00:00+05:30,54.25,54.5,53.55,53.65,45535
2015-02-27 00:00:00+05:30,53.5,55.1,53.5,54.7,119205
2015-03-02 00:00:00+05:30,55.1,55.5,54.3,54.6,92021
2015-03-03 00:00:00+05:30,54.5,55.5,54.35,55.25,120600
2015-03-04 00:00:00+05:30,56.5,58.2,54.7,55.0,211471
2015-03-05 00:00:00+05:30,54.8,54.8,53.75,53.95,89924
2015-03-09 00:00:00+05:30,53.0,53.5,52.5,52.6,111672
2015-03-10 00:00:00+05:30,52.0,53.4,52.0,52.5,62247
2015-03-11 00:00:00+05:30,52.0,52.6,51.85,52.25,117180
2015-03-12 00:00:00+05:30,52.45,52.85,52.25,52.45,82217
2015-03-13 00:00:00+05:30,52.95,52.95,51.1,51.4,100507
2015-03-16 00:00:00+05:30,51.35,51.45,50.85,51.05,60812
2015-03-17 00:00:00+05:30,51.6,51.6,50.7,50.9,127605
2015-03-18 00:00:00+05:30,51.15,51.15,50.0,50.3,126448
2015-03-19 00:00:00+05:30,50.7,50.8,49.85,50.05,64550
2015-03-20 00:00:00+05:30,50.05,50.05,48.75,48.85,115559
2015-03-23 00:00:00+05:30,49.25,49.25,46.5,46.75,229202
2015-03-24 00:00:00+05:30,46.75,46.75,45.05,45.3,209092
2015-03-25 00:00:00+05:30,45.45,45.5,44.1,44.5,204565
2015-03-26 00:00:00+05:30,44.45,45.65,44.05,45.25,122884
2015-03-27 00:00:00+05:30,45.2,45.45,44.25,44.6,198750
2015-03-30 00:00:00+05:30,44.6,45.6,44.6,45.55,152870
2015-03-31 00:00:00+05:30,45.8,46.4,45.4,45.65,121094
2015-04-01 00:00:00+05:30,45.85,47.5,45.2,47.15,116544
2015-04-06 00:00:00+05:30,47.2,48.25,46.95,47.75,104192
2015-04-07 00:00:00+05:30,48.45,48.45,47.1,47.35,121681
2015-04-08 00:00:00+05:30,47.65,48.55,47.5,48.1,110072
2015-04-09 00:00:00+05:30,48.3,49.4,47.9,49.1,122771
2015-04-10 00:00:00+05:30,49.0,54.9,48.7,53.95,668904
2015-04-13 00:00:00+05:30,55.4,56.2,54.15,55.05,1000206
2015-04-15 00:00:00+05:30,55.75,56.0,53.8,54.3,230141
2015-04-16 00:00:00+05:30,54.85,54.85,52.7,52.9,140280
2015-04-17 00:00:00+05:30,53.8,53.8,52.3,52.7,200919
2015-04-20 00:00:00+05:30,52.15,52.85,50.8,51.0,115703
2015-04-21 00:00:00+05:30,51.65,51.9,50.1,50.35,143071
2015-04-22 00:00:00+05:30,50.4,51.2,50.1,50.55,91590
2015-04-23 00:00:00+05:30,50.95,51.15,50.0,50.1,84173
2015-04-24 00:00:00+05:30,50.1,50.1,49.0,49.15,77577
2015-04-27 00:00:00+05:30,49.5,49.5,47.35,47.85,104999
2015-04-28 00:00:00+05:30,47.8,48.5,47.7,48.2,77883
2015-04-29 00:00:00+05:30,48.75,49.1,48.0,48.85,79797
2015-04-30 00:00:00+05:30,48.6,49.65,48.2,49.1,51089
