date,open,high,low,close,volume
2020-05-22 00:00:00+05:30,39.3,39.3,36.4,37.3,38825
2020-05-26 00:00:00+05:30,38.8,38.8,35.1,35.85,20560
2020-05-27 00:00:00+05:30,35.8,36.6,34.4,34.8,31470
2020-05-28 00:00:00+05:30,35.9,36.4,35.3,36.2,75390
2020-05-29 00:00:00+05:30,36.2,37.8,36.2,37.0,71880
2020-06-01 00:00:00+05:30,37.4,38.55,37.3,38.4,31720
2020-06-02 00:00:00+05:30,38.75,43.0,33.2,41.25,118490
2020-06-03 00:00:00+05:30,44.4,49.45,37.0,43.0,220385
2020-06-04 00:00:00+05:30,43.2,43.2,40.6,42.5,41275
2020-06-05 00:00:00+05:30,42.0,44.8,41.4,44.05,39400
2020-06-08 00:00:00+05:30,44.4,46.4,43.75,44.9,64825
2020-06-09 00:00:00+05:30,45.0,45.7,43.2,43.75,38110
2020-06-10 00:00:00+05:30,43.75,45.95,43.75,45.65,46475
2020-06-11 00:00:00+05:30,46.0,46.6,43.1,43.85,44505
2020-06-12 00:00:00+05:30,40.5,43.85,40.5,43.1,20885
2020-06-15 00:00:00+05:30,42.8,44.0,42.7,43.0,7340
2020-06-16 00:00:00+05:30,42.8,44.8,42.6,43.6,13215
2020-06-17 00:00:00+05:30,44.0,44.0,42.75,43.0,9185
2020-06-18 00:00:00+05:30,42.6,43.6,42.4,42.95,4515
2020-06-19 00:00:00+05:30,43.6,44.55,42.8,44.2,16885
2020-06-22 00:00:00+05:30,46.4,46.4,43.05,44.65,14390
2020-06-23 00:00:00+05:30,45.0,45.8,43.7,44.4,37450
2020-06-24 00:00:00+05:30,44.2,45.0,43.25,43.3,12925
2020-06-25 00:00:00+05:30,44.0,44.0,42.4,42.6,12945
2020-06-26 00:00:00+05:30,43.8,44.0,42.8,43.65,9135
2020-06-29 00:00:00+05:30,43.0,43.85,42.0,42.75,15570
2020-06-30 00:00:00+05:30,45.0,45.0,42.6,43.35,21315
2020-07-01 00:00:00+05:30,42.9,44.8,42.9,44.6,23140
2020-07-02 00:00:00+05:30,44.6,45.6,42.6,44.65,13055
2020-07-03 00:00:00+05:30,45.9,53.4,44.4,49.55,267645
2020-07-06 00:00:00+05:30,50.6,53.0,47.4,52.2,78235
2020-07-07 00:00:00+05:30,55.25,55.25,52.4,53.85,114635
2020-07-08 00:00:00+05:30,55.4,55.6,52.0,53.5,43290
2020-07-09 00:00:00+05:30,55.4,55.4,50.8,52.2,20175
2020-07-10 00:00:00+05:30,52.0,53.55,47.2,51.3,41885
2020-07-13 00:00:00+05:30,51.3,51.75,46.55,48.15,46885
2020-07-14 00:00:00+05:30,48.15,48.15,46.75,47.35,15775
2020-07-15 00:00:00+05:30,48.8,56.8,47.8,51.95,541720
2020-07-16 00:00:00+05:30,50.4,51.4,47.8,49.1,133450
2020-07-17 00:00:00+05:30,49.95,53.8,48.35,49.95,26015
2020-07-20 00:00:00+05:30,50.8,51.95,48.25,49.9,30440
2020-07-21 00:00:00+05:30,50.0,54.8,48.85,51.4,94550
2020-07-22 00:00:00+05:30,50.2,51.6,49.4,50.05,23095
2020-07-23 00:00:00+05:30,50.65,51.35,49.25,50.25,10610
2020-07-24 00:00:00+05:30,51.0,53.8,48.6,52.7,115635
2020-07-27 00:00:00+05:30,52.5,53.0,49.8,52.35,24875
2020-07-28 00:00:00+05:30,53.2,53.4,51.0,51.65,10165
2020-07-29 00:00:00+05:30,52.7,54.6,50.0,52.55,28530
2020-07-30 00:00:00+05:30,52.05,53.5,50.05,51.15,24960
2020-07-31 00:00:00+05:30,51.0,51.0,48.8,49.75,35370
2020-08-03 00:00:00+05:30,50.0,50.0,47.85,48.9,33665
2020-08-04 00:00:00+05:30,47.8,50.8,47.8,50.0,8655
2020-08-05 00:00:00+05:30,50.6,54.95,48.8,51.25,32365
2020-08-06 00:00:00+05:30,52.0,52.0,49.2,50.2,10360
2020-08-07 00:00:00+05:30,50.4,53.0,50.05,52.1,18550
2020-08-10 00:00:00+05:30,54.0,59.8,51.0,58.1,156790
2020-08-11 00:00:00+05:30,61.95,63.9,57.75,58.55,43210
2020-08-12 00:00:00+05:30,59.8,59.8,55.4,58.9,18905
2020-10-01 00:00:00+05:30,62.8,66.1,62.8,63.75,15830
2020-10-05 00:00:00+05:30,63.0,67.7,62.2,66.55,41210
2020-10-06 00:00:00+05:30,67.0,69.0,65.0,65.7,37760
2020-10-07 00:00:00+05:30,65.7,68.15,65.05,65.2,6035
2020-10-08 00:00:00+05:30,65.2,66.5,64.35,65.25,2750
2020-10-09 00:00:00+05:30,64.3,65.8,63.4,64.45,10880
2020-10-12 00:00:00+05:30,63.55,64.8,63.35,64.1,4015
2020-10-13 00:00:00+05:30,64.4,66.4,62.4,64.55,11890
2020-10-14 00:00:00+05:30,64.4,66.8,62.5,64.6,193645
2020-10-15 00:00:00+05:30,65.0,66.05,64.0,64.85,22755
2020-10-16 00:00:00+05:30,64.0,65.7,64.0,65.25,14790
2020-10-19 00:00:00+05:30,67.2,67.2,65.0,66.35,13245
2020-10-20 00:00:00+05:30,66.5,67.5,65.0,66.9,37735
2020-10-21 00:00:00+05:30,67.75,69.9,66.3,69.25,430105
2020-10-22 00:00:00+05:30,70.7,79.6,60.75,75.45,797445
2020-10-23 00:00:00+05:30,76.6,78.8,72.1,73.4,162990
2020-10-26 00:00:00+05:30,75.4,77.0,72.9,75.2,63855
2020-10-27 00:00:00+05:30,75.2,78.45,73.55,76.2,107135
2020-10-28 00:00:00+05:30,77.95,78.35,72.8,74.1,68165
2020-10-29 00:00:00+05:30,76.6,76.6,70.35,71.95,129395
2020-10-30 00:00:00+05:30,71.95,73.95,68.95,69.5,69795
2020-11-02 00:00:00+05:30,70.0,71.05,66.0,66.65,46390
2020-11-03 00:00:00+05:30,67.05,68.95,66.0,67.25,35670
2020-11-04 00:00:00+05:30,66.45,67.8,65.6,65.75,31345
2020-11-05 00:00:00+05:30,65.4,68.0,65.35,66.7,38735
2020-11-06 00:00:00+05:30,68.8,73.8,66.75,72.8,108665
2020-11-09 00:00:00+05:30,73.8,74.0,70.5,71.25,57815
2020-11-10 00:00:00+05:30,72.2,73.35,68.6,68.85,49570
2020-11-11 00:00:00+05:30,69.0,70.0,68.1,68.4,16615
2020-11-12 00:00:00+05:30,68.3,72.6,67.65,72.0,28980
2020-11-13 00:00:00+05:30,74.95,83.4,74.9,81.5,386055
2020-11-14 00:00:00+05:30,82.3,86.0,81.8,85.5,112850
2020-11-17 00:00:00+05:30,85.8,89.9,85.8,87.2,202620
2020-11-18 00:00:00+05:30,88.0,89.4,86.3,88.3,57710
2020-11-19 00:00:00+05:30,88.3,92.0,86.8,88.05,80265
2020-11-20 00:00:00+05:30,87.0,88.0,85.65,87.45,32375
2020-11-23 00:00:00+05:30,88.05,91.0,82.0,82.95,72595
2020-11-24 00:00:00+05:30,83.0,84.9,82.2,82.45,27130
2020-11-25 00:00:00+05:30,85.95,85.95,78.4,81.5,58235
2020-11-26 00:00:00+05:30,82.5,83.6,75.6,81.65,76790
2020-11-27 00:00:00+05:30,81.8,83.85,80.4,81.35,33115
2020-12-01 00:00:00+05:30,83.0,83.0,78.6,80.4,78725
2020-12-02 00:00:00+05:30,80.4,86.0,80.4,85.2,72965
2020-12-03 00:00:00+05:30,87.2,91.95,84.45,88.3,95520
2020-12-04 00:00:00+05:30,88.0,88.0,84.0,84.95,106800
2020-12-07 00:00:00+05:30,86.0,88.1,84.05,86.2,48475
2020-12-08 00:00:00+05:30,86.0,87.75,84.6,85.35,26315
2020-12-09 00:00:00+05:30,87.1,87.1,83.2,83.75,40985
2020-12-10 00:00:00+05:30,86.95,86.95,81.4,83.55,34625
2020-12-11 00:00:00+05:30,82.4,84.75,82.0,83.35,36940
2020-12-14 00:00:00+05:30,83.7,85.8,83.4,85.05,54855
2020-12-15 00:00:00+05:30,85.05,86.4,83.75,85.95,15885
2020-12-16 00:00:00+05:30,88.0,90.4,86.1,89.7,102995
2020-12-17 00:00:00+05:30,90.3,90.3,86.8,87.4,40680
2020-12-18 00:00:00+05:30,89.45,89.45,85.0,86.45,30795
2020-12-21 00:00:00+05:30,87.6,89.6,80.4,83.9,70960
2020-12-22 00:00:00+05:30,82.0,85.8,78.4,83.55,73995
2020-12-23 00:00:00+05:30,85.8,87.0,82.2,85.0,10830
2020-12-24 00:00:00+05:30,87.0,87.0,84.25,86.0,19865
2020-12-28 00:00:00+05:30,87.4,88.0,85.8,86.15,11440
2020-12-29 00:00:00+05:30,87.75,89.0,86.25,88.7,30965
2020-12-30 00:00:00+05:30,88.6,89.8,86.55,87.05,34970
2020-12-31 00:00:00+05:30,89.0,95.55,87.2,87.95,32715
2021-01-01 00:00:00+05:30,88.95,91.6,87.9,88.65,57805
2021-01-04 00:00:00+05:30,91.6,91.6,88.05,88.6,31730
2021-01-05 00:00:00+05:30,88.2,89.75,87.0,88.6,24115
2021-01-06 00:00:00+05:30,89.3,89.4,88.7,88.85,29645
2021-01-07 00:00:00+05:30,89.2,91.0,88.8,90.05,39075
2021-01-08 00:00:00+05:30,91.25,92.0,89.25,89.7,34120
2021-01-11 00:00:00+05:30,91.3,91.3,88.1,89.1,68960
2021-01-12 00:00:00+05:30,88.8,90.6,88.8,89.65,39925
2021-01-13 00:00:00+05:30,91.6,94.0,88.8,89.5,60295
2021-01-14 00:00:00+05:30,89.1,90.5,89.0,89.6,36790
2021-01-15 00:00:00+05:30,89.8,91.4,88.9,90.95,33985
2021-01-18 00:00:00+05:30,89.3,93.0,89.3,90.45,27090
2021-01-19 00:00:00+05:30,91.15,92.0,90.0,90.4,93730
2021-01-20 00:00:00+05:30,90.95,94.0,90.0,93.5,50725
2021-01-21 00:00:00+05:30,95.0,104.8,93.95,100.2,530345
2021-01-22 00:00:00+05:30,100.7,108.8,100.7,105.5,248715
2021-01-25 00:00:00+05:30,107.0,118.8,105.1,112.15,302775
2021-01-27 00:00:00+05:30,110.3,112.0,101.5,102.65,152645
2021-01-28 00:00:00+05:30,102.1,108.9,100.1,105.8,98905
2021-01-29 00:00:00+05:30,109.0,113.95,109.0,110.15,103750
2021-02-01 00:00:00+05:30,112.35,113.0,104.85,111.8,106925
2021-02-02 00:00:00+05:30,112.6,113.95,109.65,110.85,77385
2021-02-03 00:00:00+05:30,110.85,112.0,108.1,109.15,63855
2021-02-04 00:00:00+05:30,109.4,117.0,109.4,114.6,107425
2021-02-05 00:00:00+05:30,117.8,117.8,110.25,111.1,91545
2021-02-08 00:00:00+05:30,112.0,115.65,112.0,113.65,22800
2021-02-09 00:00:00+05:30,114.0,116.0,113.8,114.2,43685
2021-02-10 00:00:00+05:30,115.35,115.35,112.0,112.65,41515
2021-02-11 00:00:00+05:30,112.05,115.8,110.2,111.75,67095
2021-02-12 00:00:00+05:30,113.55,113.55,111.65,111.8,21485
2021-02-15 00:00:00+05:30,113.0,113.0,110.35,111.15,31680
2021-02-16 00:00:00+05:30,112.2,115.6,110.0,113.8,50980
2021-02-17 00:00:00+05:30,111.0,115.95,111.0,111.55,23270
2021-02-18 00:00:00+05:30,113.4,115.15,111.6,112.85,38175
2021-02-19 00:00:00+05:30,112.8,114.2,109.0,109.85,69400
2021-02-22 00:00:00+05:30,111.0,113.75,106.6,108.3,54990
2021-02-23 00:00:00+05:30,107.05,109.75,106.35,107.6,37695
2021-02-24 00:00:00+05:30,107.7,111.65,107.2,109.5,19470
2021-02-25 00:00:00+05:30,109.85,111.8,108.95,109.75,20800
2021-02-26 00:00:00+05:30,110.0,111.25,107.55,110.2,15290
2021-03-01 00:00:00+05:30,112.6,131.2,112.45,124.6,299145
2021-03-02 00:00:00+05:30,129.95,135.3,121.85,124.9,158595
2021-03-03 00:00:00+05:30,127.4,128.0,124.2,126.4,30645
2021-03-04 00:00:00+05:30,126.5,135.6,123.6,129.55,52250
2021-03-05 00:00:00+05:30,132.0,133.5,129.55,130.55,62125
2021-03-08 00:00:00+05:30,132.55,132.55,128.55,129.55,54745
2021-03-09 00:00:00+05:30,130.05,131.0,125.5,125.75,60165
2021-03-10 00:00:00+05:30,124.25,127.8,124.25,127.3,26715
2021-03-12 00:00:00+05:30,128.3,151.7,127.35,144.05,1020270
2021-03-15 00:00:00+05:30,150.0,160.65,145.05,153.05,750890
2021-03-16 00:00:00+05:30,155.0,160.0,150.65,159.1,406750
2021-03-17 00:00:00+05:30,157.8,164.8,156.0,161.8,240805
2021-03-18 00:00:00+05:30,162.4,164.9,151.9,153.9,224775
2021-03-19 00:00:00+05:30,153.8,153.8,148.0,151.6,108200
2021-03-22 00:00:00+05:30,152.8,168.0,152.8,167.25,263990
2021-03-23 00:00:00+05:30,168.0,175.8,160.0,163.25,152205
2021-03-24 00:00:00+05:30,165.8,169.6,160.2,162.1,95545
2021-03-25 00:00:00+05:30,164.95,164.95,154.0,157.15,75375
2021-03-26 00:00:00+05:30,160.0,161.4,151.5,154.7,47910
2021-03-30 00:00:00+05:30,160.6,160.6,154.25,155.4,35605
2021-03-31 00:00:00+05:30,155.6,160.2,155.6,156.7,43245
2021-04-01 00:00:00+05:30,158.4,159.4,152.25,154.4,50360
2021-04-05 00:00:00+05:30,154.6,157.9,152.75,156.0,43525
2021-04-06 00:00:00+05:30,155.8,156.4,153.05,154.4,22980
2021-04-07 00:00:00+05:30,154.6,177.35,154.6,160.35,138840
