date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,125.5,126.55,124.5,125.9,2048687
2015-01-02 00:00:00+05:30,125.95,129.15,125.25,125.6,3836530
2015-01-05 00:00:00+05:30,125.65,126.4,124.75,125.25,4518095
2015-01-06 00:00:00+05:30,124.9,124.9,119.35,119.95,4128828
2015-01-07 00:00:00+05:30,120.15,121.25,116.45,119.2,5979364
2015-01-08 00:00:00+05:30,120.4,122.4,116.35,120.35,7959558
2015-01-09 00:00:00+05:30,120.05,120.8,117.85,118.2,4003538
2015-01-12 00:00:00+05:30,120.0,120.1,117.45,118.2,3925183
2015-01-13 00:00:00+05:30,119.1,119.25,116.2,116.6,5424193
2015-01-14 00:00:00+05:30,117.4,118.9,116.25,117.05,3912738
2015-01-15 00:00:00+05:30,119.25,125.45,118.5,122.9,12690346
2015-01-16 00:00:00+05:30,122.25,124.35,120.6,122.35,4620018
2015-01-19 00:00:00+05:30,122.35,125.55,122.35,123.45,4186066
2015-01-20 00:00:00+05:30,124.15,124.65,120.5,120.7,3673055
2015-01-21 00:00:00+05:30,121.05,123.25,120.8,121.8,5930300
2015-01-22 00:00:00+05:30,120.95,122.45,117.55,119.4,5808951
2015-01-23 00:00:00+05:30,120.55,122.3,118.15,119.3,6465985
2015-01-27 00:00:00+05:30,120.3,123.0,117.75,122.4,8273585
2015-01-28 00:00:00+05:30,122.9,130.0,122.05,127.75,14049791
2015-01-29 00:00:00+05:30,128.2,131.2,126.55,127.6,12694506
2015-01-30 00:00:00+05:30,128.65,130.9,123.8,124.9,7427483
2015-02-02 00:00:00+05:30,124.9,130.5,123.75,129.45,5573492
2015-02-03 00:00:00+05:30,131.15,131.85,125.0,126.15,5808321
2015-02-04 00:00:00+05:30,126.55,127.3,123.45,124.1,4556332
2015-02-05 00:00:00+05:30,124.15,126.05,119.65,120.55,3597695
2015-02-06 00:00:00+05:30,121.15,124.15,120.0,122.95,4130895
2015-02-09 00:00:00+05:30,121.15,122.2,117.6,118.45,3743730
2015-02-10 00:00:00+05:30,117.4,123.75,117.1,121.75,5970183
2015-02-11 00:00:00+05:30,122.7,123.2,120.1,122.25,3562460
2015-02-12 00:00:00+05:30,123.05,123.35,120.4,121.9,3111458
2015-02-13 00:00:00+05:30,122.45,126.45,120.55,122.15,7676089
2015-02-16 00:00:00+05:30,122.8,127.9,122.1,126.9,9034110
2015-02-18 00:00:00+05:30,126.75,126.75,117.55,118.35,9214390
2015-02-19 00:00:00+05:30,119.15,119.95,115.3,118.7,7369547
2015-02-20 00:00:00+05:30,119.65,121.05,117.25,119.2,4744239
2015-02-23 00:00:00+05:30,119.3,120.1,117.6,118.25,7400238
2015-02-24 00:00:00+05:30,118.55,120.5,117.25,120.15,6398404
2015-02-25 00:00:00+05:30,120.4,121.0,119.15,119.55,4312444
2015-02-26 00:00:00+05:30,120.4,121.45,119.0,120.8,6187265
2015-02-27 00:00:00+05:30,121.75,125.85,121.0,125.4,6967529
2015-03-02 00:00:00+05:30,125.1,137.25,124.15,135.85,13348522
2015-03-03 00:00:00+05:30,136.85,138.9,132.95,134.95,8306179
2015-03-04 00:00:00+05:30,136.1,139.4,129.4,131.05,14432860
2015-03-05 00:00:00+05:30,131.05,133.05,129.3,131.55,4814697
2015-03-09 00:00:00+05:30,130.0,131.75,127.45,128.25,3406938
2015-03-10 00:00:00+05:30,127.9,132.1,127.35,129.45,6319500
2015-03-11 00:00:00+05:30,129.75,133.1,127.05,130.5,7153625
2015-03-12 00:00:00+05:30,131.75,132.4,130.3,130.9,4660159
2015-03-13 00:00:00+05:30,132.1,132.1,122.85,123.7,4291591
2015-03-16 00:00:00+05:30,124.45,126.0,122.15,122.8,2483218
2015-03-17 00:00:00+05:30,124.15,128.9,123.75,128.25,9753774
2015-03-18 00:00:00+05:30,128.25,131.2,126.55,130.2,6062388
2015-03-19 00:00:00+05:30,131.2,132.35,126.75,127.55,5171929
2015-03-20 00:00:00+05:30,127.9,129.3,123.85,125.3,4694993
2015-03-23 00:00:00+05:30,126.0,127.5,122.35,123.55,3226101
2015-03-24 00:00:00+05:30,124.15,126.95,123.8,125.9,4625058
2015-03-25 00:00:00+05:30,126.9,126.9,124.0,124.75,2813810
2015-03-26 00:00:00+05:30,124.15,125.4,122.05,122.75,8424443
2015-03-27 00:00:00+05:30,123.35,125.2,119.25,120.15,6653444
2015-03-30 00:00:00+05:30,121.9,124.6,121.0,122.75,2679946
2015-03-31 00:00:00+05:30,123.2,125.9,122.65,124.95,3868151
2015-04-01 00:00:00+05:30,124.9,126.8,123.95,126.6,3871751
2015-04-06 00:00:00+05:30,127.0,127.6,123.85,126.05,5564817
2015-04-07 00:00:00+05:30,121.35,123.0,120.0,120.45,15208231
2015-04-08 00:00:00+05:30,119.25,125.25,119.2,123.85,29079131
2015-04-09 00:00:00+05:30,128.5,130.0,125.05,126.15,45899509
2015-04-10 00:00:00+05:30,125.8,129.85,125.6,129.05,21072843
2015-04-13 00:00:00+05:30,128.9,130.45,127.35,127.95,7470771
2015-04-15 00:00:00+05:30,127.8,128.5,124.9,125.65,8119337
2015-04-16 00:00:00+05:30,125.95,126.15,123.1,124.05,6398582
2015-04-17 00:00:00+05:30,124.15,125.1,123.0,124.0,5619492
2015-04-20 00:00:00+05:30,124.45,124.5,121.5,121.9,4018164
2015-04-21 00:00:00+05:30,122.2,123.25,121.15,121.35,3983804
2015-04-22 00:00:00+05:30,121.9,123.0,119.85,122.25,4599895
2015-04-23 00:00:00+05:30,123.0,123.4,120.75,121.05,5505020
2015-04-24 00:00:00+05:30,121.3,121.5,118.0,120.7,9045430
2015-04-27 00:00:00+05:30,120.55,121.1,116.8,117.75,7053324
2015-04-28 00:00:00+05:30,117.7,119.4,116.95,118.95,5274687
