date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,15.25,15.65,15.2,15.55,2636803
2015-01-02 00:00:00+05:30,15.6,15.9,15.55,15.6,3890652
2015-01-05 00:00:00+05:30,15.55,15.95,15.55,15.8,2663035
2015-01-06 00:00:00+05:30,15.65,16.45,15.35,15.6,8412414
2015-01-07 00:00:00+05:30,15.55,16.05,15.3,15.5,4322240
2015-01-08 00:00:00+05:30,15.65,15.85,15.5,15.6,2482288
2015-01-09 00:00:00+05:30,15.8,16.0,15.5,15.7,3191136
2015-01-12 00:00:00+05:30,15.9,16.45,15.75,16.2,4716381
2015-01-13 00:00:00+05:30,16.25,16.35,15.75,16.05,3468784
2015-01-14 00:00:00+05:30,16.0,16.25,15.55,15.7,2967944
2015-01-15 00:00:00+05:30,15.7,16.0,15.65,15.75,2537645
2015-01-16 00:00:00+05:30,15.75,16.39,15.45,15.75,5583915
2015-01-19 00:00:00+05:30,15.8,16.14,15.7,15.75,2549074
2015-01-20 00:00:00+05:30,15.75,16.0,15.6,15.75,2251428
2015-01-21 00:00:00+05:30,15.9,16.35,15.75,16.2,4918546
2015-01-22 00:00:00+05:30,16.25,16.45,15.9,16.0,4153831
2015-01-23 00:00:00+05:30,16.14,16.2,15.65,15.75,2456595
2015-01-27 00:00:00+05:30,15.8,17.2,15.6,17.0,7417359
2015-01-28 00:00:00+05:30,17.39,17.55,16.39,16.5,9736973
2015-01-29 00:00:00+05:30,16.35,16.7,16.14,16.35,2999378
2015-01-30 00:00:00+05:30,16.39,16.75,16.2,16.3,3754344
2015-02-02 00:00:00+05:30,16.25,16.55,16.2,16.3,1922869
2015-02-03 00:00:00+05:30,16.45,16.5,16.0,16.1,2623268
2015-02-04 00:00:00+05:30,16.2,16.35,15.85,15.95,3646195
2015-02-05 00:00:00+05:30,16.0,16.2,15.55,15.65,3159937
2015-02-06 00:00:00+05:30,15.7,15.75,15.25,15.35,3444650
2015-02-09 00:00:00+05:30,15.25,15.55,15.0,15.1,2599693
2015-02-10 00:00:00+05:30,15.35,15.45,14.9,15.15,2317878
2015-02-11 00:00:00+05:30,15.3,15.85,15.1,15.45,2947538
2015-02-12 00:00:00+05:30,15.55,15.8,15.2,15.35,3168110
2015-02-13 00:00:00+05:30,15.4,15.55,15.25,15.4,2175144
2015-02-16 00:00:00+05:30,15.9,15.9,15.45,15.55,2290065
2015-02-18 00:00:00+05:30,15.65,16.7,15.45,16.39,8320114
2015-02-19 00:00:00+05:30,16.6,16.64,16.0,16.35,5430914
2015-02-20 00:00:00+05:30,17.05,17.39,16.45,16.55,9195521
2015-02-23 00:00:00+05:30,16.75,16.75,16.1,16.14,2778049
2015-02-24 00:00:00+05:30,16.1,16.2,15.75,15.9,2377989
2015-02-25 00:00:00+05:30,16.0,16.2,15.75,15.8,2321921
2015-02-26 00:00:00+05:30,15.85,16.1,15.7,15.75,2218613
2015-02-27 00:00:00+05:30,15.85,16.3,15.8,16.14,3393791
2015-03-02 00:00:00+05:30,15.95,16.2,15.45,15.95,3233332
2015-03-03 00:00:00+05:30,16.05,16.3,15.8,16.14,2550336
2015-03-04 00:00:00+05:30,16.3,16.35,15.8,15.9,3541270
2015-03-05 00:00:00+05:30,15.95,16.3,15.75,16.05,4859818
2015-03-09 00:00:00+05:30,16.05,16.35,15.8,16.0,2399869
2015-03-10 00:00:00+05:30,16.0,16.1,15.65,15.7,2147903
2015-03-11 00:00:00+05:30,15.75,15.9,15.3,15.4,4369853
2015-03-12 00:00:00+05:30,15.55,15.7,15.4,15.55,1869391
2015-03-13 00:00:00+05:30,15.65,15.65,14.35,14.5,8645813
2015-03-16 00:00:00+05:30,14.8,14.8,14.0,14.1,3174516
2015-03-17 00:00:00+05:30,14.3,14.3,13.5,13.65,5762291
2015-03-18 00:00:00+05:30,13.75,13.9,13.5,13.55,3551770
2015-03-19 00:00:00+05:30,13.7,13.8,13.2,13.35,3068051
2015-03-20 00:00:00+05:30,13.35,13.35,12.6,12.65,5016433
2015-03-23 00:00:00+05:30,12.75,12.8,12.05,12.1,3517120
2015-03-24 00:00:00+05:30,12.2,12.45,12.0,12.3,3659507
2015-03-25 00:00:00+05:30,12.3,13.0,12.25,12.6,4488592
2015-03-26 00:00:00+05:30,12.65,12.7,12.35,12.4,2138893
2015-03-27 00:00:00+05:30,12.6,12.75,12.3,12.35,3177048
2015-03-30 00:00:00+05:30,12.4,12.75,12.4,12.6,1694824
2015-03-31 00:00:00+05:30,12.75,13.15,12.6,12.85,2797394
2015-04-01 00:00:00+05:30,12.8,12.95,12.55,12.7,2367520
2015-04-06 00:00:00+05:30,12.9,13.75,12.8,13.65,4973583
2015-04-07 00:00:00+05:30,13.8,13.8,13.25,13.55,2334701
2015-04-08 00:00:00+05:30,13.55,14.65,13.55,13.9,10138653
2015-04-09 00:00:00+05:30,14.05,14.05,13.3,13.4,4273601
2015-04-10 00:00:00+05:30,13.45,13.8,13.35,13.4,3264593
2015-04-13 00:00:00+05:30,13.45,13.65,13.25,13.35,3086058
2015-04-15 00:00:00+05:30,13.4,13.5,13.1,13.15,2561058
2015-04-16 00:00:00+05:30,13.4,13.75,13.15,13.25,5579946
2015-04-17 00:00:00+05:30,13.3,13.4,13.0,13.15,2235159
2015-04-20 00:00:00+05:30,13.15,13.3,12.7,12.95,2919356
2015-04-21 00:00:00+05:30,13.0,13.1,12.65,12.8,1931062
2015-04-22 00:00:00+05:30,12.95,13.15,12.7,12.9,2209785
2015-04-23 00:00:00+05:30,13.0,13.1,12.5,12.65,6816284
2015-04-24 00:00:00+05:30,12.65,12.7,12.25,12.4,2565210
2015-04-27 00:00:00+05:30,12.5,13.0,12.0,12.45,5859566
2015-04-28 00:00:00+05:30,12.35,13.0,12.1,12.65,9950906
2015-04-29 00:00:00+05:30,12.7,13.2,12.6,12.7,10788707
2015-04-30 00:00:00+05:30,12.8,12.8,12.3,12.35,3832999
2015-05-04 00:00:00+05:30,12.4,12.65,12.15,12.2,2757639
2015-05-05 00:00:00+05:30,12.25,12.3,11.8,12.1,7175764
2015-05-06 00:00:00+05:30,12.2,12.3,11.75,11.95,5062587
2015-05-07 00:00:00+05:30,11.8,11.85,11.5,11.6,2649847
2015-05-08 00:00:00+05:30,11.75,12.1,11.55,11.8,2601213
2015-05-11 00:00:00+05:30,11.9,12.0,11.75,11.85,1840992
2015-05-12 00:00:00+05:30,11.9,11.9,11.5,11.55,1814551
2015-05-13 00:00:00+05:30,11.6,11.7,11.15,11.35,2205443
2015-05-14 00:00:00+05:30,11.3,11.5,11.2,11.35,1375806
2015-05-15 00:00:00+05:30,11.35,11.45,11.1,11.15,2759022
2015-05-18 00:00:00+05:30,11.2,11.4,11.1,11.2,2150519
2015-05-19 00:00:00+05:30,11.25,11.35,11.1,11.15,2506736
2015-05-20 00:00:00+05:30,11.25,11.35,11.15,11.25,1764389
2015-05-21 00:00:00+05:30,11.3,11.65,11.15,11.3,2375834
2015-05-22 00:00:00+05:30,12.2,12.25,11.8,11.85,9595859
2015-05-25 00:00:00+05:30,12.05,12.05,11.5,11.6,1930416
2015-05-26 00:00:00+05:30,11.7,11.7,11.2,11.3,2596879
2015-05-27 00:00:00+05:30,11.15,11.45,11.1,11.35,1870429
2015-05-28 00:00:00+05:30,11.45,11.6,11.25,11.35,1944921
2015-05-29 00:00:00+05:30,11.45,11.45,11.25,11.3,1660528
2015-06-01 00:00:00+05:30,11.3,11.35,11.1,11.2,1538710
2015-06-02 00:00:00+05:30,11.15,11.25,10.9,10.95,1740057
2015-06-03 00:00:00+05:30,11.1,11.15,9.0,10.15,4591845
2015-06-04 00:00:00+05:30,10.35,10.35,9.4,9.9,2530743
2015-06-05 00:00:00+05:30,10.05,10.4,9.85,10.19,2415220
2015-06-08 00:00:00+05:30,10.25,10.65,9.94,10.3,1657229
2015-06-09 00:00:00+05:30,10.3,10.4,10.05,10.1,960464
2015-06-10 00:00:00+05:30,10.05,11.8,10.05,10.9,16382047
2015-06-11 00:00:00+05:30,11.15,11.15,10.25,10.35,2857921
2015-06-12 00:00:00+05:30,10.19,10.5,10.0,10.15,1881469
2015-06-15 00:00:00+05:30,10.15,10.35,9.94,10.25,1057164
2015-06-16 00:00:00+05:30,10.15,10.45,10.1,10.35,1403197
2015-06-17 00:00:00+05:30,10.45,10.8,10.3,10.6,1772472
2015-06-18 00:00:00+05:30,10.75,10.8,10.4,10.45,1340679
2015-06-19 00:00:00+05:30,10.5,10.8,10.25,10.6,1958020
2015-06-22 00:00:00+05:30,10.7,10.8,10.5,10.6,1439987
2015-06-23 00:00:00+05:30,10.6,10.8,10.5,10.7,1677087
2015-06-24 00:00:00+05:30,10.7,10.8,10.4,10.5,1016018
2015-06-25 00:00:00+05:30,10.5,10.55,10.3,10.4,1282840
2015-06-26 00:00:00+05:30,10.35,10.45,10.25,10.35,1124475
2015-06-29 00:00:00+05:30,9.9,10.19,9.8,10.05,1313288
2015-06-30 00:00:00+05:30,10.05,10.4,10.05,10.19,1285529
2015-07-01 00:00:00+05:30,10.19,10.4,10.19,10.25,1421624
2015-07-02 00:00:00+05:30,10.3,10.4,10.05,10.1,2285797
2015-07-03 00:00:00+05:30,10.1,10.19,10.0,10.05,1372434
2015-07-06 00:00:00+05:30,9.94,10.8,9.85,10.35,4175009
2015-07-07 00:00:00+05:30,10.5,10.6,10.25,10.4,3791883
2015-07-08 00:00:00+05:30,10.3,10.4,9.9,10.05,3978168
2015-07-09 00:00:00+05:30,10.05,10.55,10.05,10.19,2795419
2015-07-10 00:00:00+05:30,10.3,10.3,9.9,9.94,3116319
2015-07-13 00:00:00+05:30,10.05,10.15,10.0,10.05,1311523
2015-07-14 00:00:00+05:30,10.15,10.35,9.94,10.05,2957361
2015-07-15 00:00:00+05:30,10.1,10.3,10.05,10.05,3891542
2015-07-16 00:00:00+05:30,10.1,10.19,9.94,10.0,2122908
2015-07-17 00:00:00+05:30,10.0,10.1,9.9,9.9,1809676
2015-07-20 00:00:00+05:30,10.0,10.0,9.6,9.85,2866825
2015-07-21 00:00:00+05:30,9.85,9.9,9.44,9.44,2865230
2015-07-22 00:00:00+05:30,9.44,9.44,9.15,9.3,3303393
2015-07-23 00:00:00+05:30,9.3,9.6,9.15,9.19,2716177
2015-07-24 00:00:00+05:30,9.19,9.25,8.9,9.0,2767520
2015-07-27 00:00:00+05:30,9.0,9.3,8.8,8.85,4084157
2015-07-28 00:00:00+05:30,8.94,9.0,8.44,8.5,3153782
2015-07-29 00:00:00+05:30,8.6,8.65,8.25,8.3,2223810
2015-07-30 00:00:00+05:30,8.4,8.69,8.3,8.5,4217733
2015-07-31 00:00:00+05:30,8.8,9.1,8.65,8.9,5985880
2015-08-03 00:00:00+05:30,9.1,9.19,8.94,9.05,5199453
2015-08-04 00:00:00+05:30,9.05,9.1,8.75,8.8,3747261
2015-08-05 00:00:00+05:30,8.85,9.69,8.8,9.4,11113509
2015-08-06 00:00:00+05:30,9.5,9.55,9.05,9.15,7443451
2015-08-07 00:00:00+05:30,9.1,9.35,9.1,9.19,3583778
2015-08-10 00:00:00+05:30,9.3,9.55,9.25,9.35,3021087
2015-08-11 00:00:00+05:30,9.44,9.65,9.19,9.25,4095204
2015-08-12 00:00:00+05:30,9.25,9.44,9.0,9.05,4803484
2015-08-13 00:00:00+05:30,9.4,9.4,8.85,8.9,7349172
2015-08-14 00:00:00+05:30,8.9,8.9,8.55,8.69,3317090
2015-08-17 00:00:00+05:30,8.85,8.85,8.6,8.65,1437066
2015-08-18 00:00:00+05:30,8.75,8.8,8.65,8.65,1831061
2015-08-19 00:00:00+05:30,8.65,8.69,8.5,8.55,2812846
2015-08-20 00:00:00+05:30,8.65,8.65,8.3,8.4,2299058
2015-08-21 00:00:00+05:30,8.35,8.35,7.95,8.1,2324671
2015-08-24 00:00:00+05:30,8.0,8.0,7.25,7.35,4077435
2015-08-25 00:00:00+05:30,7.4,7.6,7.05,7.4,2670708
2015-08-26 00:00:00+05:30,7.35,7.45,7.25,7.3,1524094
2015-08-27 00:00:00+05:30,7.5,7.55,7.3,7.35,1498703
2015-08-28 00:00:00+05:30,7.4,7.5,7.25,7.3,2515627
2015-08-31 00:00:00+05:30,7.3,7.65,7.15,7.45,1741857
2015-09-01 00:00:00+05:30,7.4,7.55,7.15,7.25,1536943
2015-09-02 00:00:00+05:30,7.3,8.1,7.2,7.7,6029506
2015-09-03 00:00:00+05:30,7.8,7.9,7.5,7.55,2879489
2015-09-04 00:00:00+05:30,7.5,7.55,7.1,7.2,2176004
2015-09-07 00:00:00+05:30,7.2,7.6,7.2,7.35,2719265
2015-09-08 00:00:00+05:30,7.4,7.4,7.25,7.3,1505669
2015-09-09 00:00:00+05:30,7.4,7.45,7.3,7.35,1041078
2015-09-10 00:00:00+05:30,7.35,7.4,7.2,7.35,682614
2015-09-11 00:00:00+05:30,7.3,7.6,7.3,7.45,2084055
2015-09-14 00:00:00+05:30,7.5,7.5,7.35,7.4,719679
2015-09-15 00:00:00+05:30,7.4,7.55,7.35,7.5,1372154
2015-09-16 00:00:00+05:30,7.5,7.6,7.3,7.35,1039440
2015-09-18 00:00:00+05:30,7.45,7.55,7.3,7.45,3409328
2015-09-21 00:00:00+05:30,7.45,7.6,7.35,7.55,1613961
2015-09-22 00:00:00+05:30,7.55,7.8,7.4,7.45,1786319
2015-09-23 00:00:00+05:30,7.5,7.6,7.35,7.45,857244
2015-09-24 00:00:00+05:30,7.5,7.55,7.4,7.4,858686
2015-09-28 00:00:00+05:30,7.5,8.0,7.4,7.7,3980869
2015-09-29 00:00:00+05:30,7.5,7.75,7.3,7.45,3979933
2015-09-30 00:00:00+05:30,7.55,7.85,7.2,7.2,4953239
2015-10-01 00:00:00+05:30,7.35,7.5,7.25,7.35,2984023
2015-10-05 00:00:00+05:30,7.5,7.6,7.45,7.55,1927754
2015-10-06 00:00:00+05:30,7.6,8.69,7.55,8.55,9623425
2015-10-07 00:00:00+05:30,8.65,10.19,8.6,10.1,21162205
2015-10-08 00:00:00+05:30,10.6,11.05,10.35,10.95,20631174
2015-10-09 00:00:00+05:30,11.2,11.85,11.1,11.5,14703237
2015-10-12 00:00:00+05:30,11.6,11.9,10.55,10.75,7745226
2015-10-13 00:00:00+05:30,10.75,11.25,10.15,11.05,10392523
2015-10-14 00:00:00+05:30,11.1,11.35,10.9,10.95,4859594
2015-10-15 00:00:00+05:30,10.95,11.15,10.6,10.65,4485679
2015-10-16 00:00:00+05:30,10.75,10.8,10.55,10.65,3202389
2015-10-19 00:00:00+05:30,10.75,11.1,10.75,10.8,3132539
2015-10-20 00:00:00+05:30,10.9,11.8,10.8,11.45,11784984
2015-10-21 00:00:00+05:30,11.7,12.45,11.65,12.15,18620993
2015-10-23 00:00:00+05:30,12.5,12.75,12.05,12.4,13934320
2015-10-26 00:00:00+05:30,12.35,12.45,11.7,11.85,5118210
2015-10-27 00:00:00+05:30,11.9,12.35,11.75,12.0,6685563
2015-10-28 00:00:00+05:30,12.15,12.15,11.6,11.75,3736882
2015-10-29 00:00:00+05:30,11.8,12.05,11.7,11.75,3536030
2015-10-30 00:00:00+05:30,11.9,11.95,11.3,11.45,2969538
2015-11-02 00:00:00+05:30,11.6,11.7,11.15,11.45,3447064
2015-11-03 00:00:00+05:30,11.6,11.95,11.6,11.8,3286234
2015-11-04 00:00:00+05:30,11.85,12.05,11.5,11.6,3378954
2015-11-05 00:00:00+05:30,11.7,11.7,11.1,11.15,2553752
2015-11-06 00:00:00+05:30,11.2,11.4,11.1,11.25,2978473
2015-11-09 00:00:00+05:30,10.9,11.95,10.45,11.85,5193451
2015-11-10 00:00:00+05:30,11.65,12.0,11.35,11.4,2700693
2015-11-11 00:00:00+05:30,11.25,11.5,11.2,11.45,792678
2015-11-13 00:00:00+05:30,11.4,12.4,11.1,12.25,10294932
2015-11-16 00:00:00+05:30,12.4,13.75,12.35,13.5,23697639
2015-11-17 00:00:00+05:30,14.1,16.2,14.1,16.05,59783257
2015-11-18 00:00:00+05:30,16.25,17.8,16.25,17.35,61789287
2015-11-19 00:00:00+05:30,17.45,18.05,15.65,15.65,38938015
2015-11-20 00:00:00+05:30,15.4,16.45,15.0,15.5,25238680
2015-11-23 00:00:00+05:30,15.5,15.95,15.2,15.35,10532934
2015-11-24 00:00:00+05:30,15.4,15.8,14.55,15.3,21957339
2015-11-26 00:00:00+05:30,15.35,15.35,14.8,14.9,8936961
2015-11-27 00:00:00+05:30,14.9,15.2,14.5,14.55,8396232
2015-11-30 00:00:00+05:30,14.7,14.95,13.1,13.1,13576668
2015-12-01 00:00:00+05:30,13.0,13.25,12.15,12.5,21544888
2015-12-02 00:00:00+05:30,12.6,13.2,12.55,12.8,25244837
2015-12-03 00:00:00+05:30,12.95,13.05,12.65,12.7,8733917
2015-12-04 00:00:00+05:30,12.6,12.75,12.2,12.3,10874978
2015-12-07 00:00:00+05:30,12.55,12.7,12.4,12.5,5384060
