date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,12.2,12.4,12.15,12.4,9815
2015-01-02 00:00:00+05:30,12.3,13.6,12.3,12.6,21205
2015-01-05 00:00:00+05:30,12.45,12.8,12.25,12.45,16090
2015-01-06 00:00:00+05:30,12.35,13.0,12.05,12.3,24095
2015-01-07 00:00:00+05:30,11.95,12.35,11.95,12.05,15325
2015-01-08 00:00:00+05:30,12.05,12.4,12.05,12.3,30545
2015-01-09 00:00:00+05:30,12.15,12.4,12.1,12.2,5820
2015-01-12 00:00:00+05:30,12.45,12.45,12.1,12.1,4775
2015-01-13 00:00:00+05:30,12.05,12.7,12.05,12.1,62765
2015-01-14 00:00:00+05:30,11.95,12.7,11.95,11.95,35160
2015-01-15 00:00:00+05:30,11.95,12.25,11.95,12.15,15140
2015-01-16 00:00:00+05:30,11.95,12.1,11.8,11.9,24255
2015-01-19 00:00:00+05:30,11.9,12.3,11.9,12.2,18035
2015-01-20 00:00:00+05:30,12.15,12.4,12.05,12.15,27205
2015-01-21 00:00:00+05:30,12.0,12.9,12.0,12.45,67180
2015-01-22 00:00:00+05:30,12.6,12.6,12.1,12.25,16895
2015-01-23 00:00:00+05:30,12.15,12.2,11.95,12.05,15385
2015-01-27 00:00:00+05:30,12.05,12.45,12.05,12.25,21365
2015-01-28 00:00:00+05:30,12.1,12.3,12.05,12.05,12310
2015-01-29 00:00:00+05:30,14.5,14.5,14.5,14.5,99405
2015-01-30 00:00:00+05:30,16.75,17.35,15.9,16.7,1435270
2015-02-02 00:00:00+05:30,17.0,19.7,16.8,19.0,1374240
2015-02-03 00:00:00+05:30,19.55,20.8,19.0,19.7,1245035
2015-02-04 00:00:00+05:30,20.55,21.0,19.05,19.35,353960
2015-02-05 00:00:00+05:30,19.2,19.2,17.4,17.5,357900
2015-02-06 00:00:00+05:30,17.9,18.8,17.05,17.2,319825
2015-02-09 00:00:00+05:30,17.4,17.5,16.45,16.65,90420
2015-02-10 00:00:00+05:30,16.2,17.15,16.2,16.75,62370
2015-02-11 00:00:00+05:30,16.6,17.3,16.4,16.5,63590
2015-02-12 00:00:00+05:30,16.4,17.0,16.4,16.7,26980
2015-02-13 00:00:00+05:30,17.1,18.35,16.4,16.45,38075
2015-02-16 00:00:00+05:30,16.4,17.15,16.3,16.45,29820
2015-02-18 00:00:00+05:30,16.3,17.8,16.05,17.2,163545
2015-02-19 00:00:00+05:30,17.4,18.65,17.1,17.7,272340
2015-02-20 00:00:00+05:30,18.3,18.6,17.2,17.45,147720
2015-02-23 00:00:00+05:30,17.8,18.2,16.6,16.8,99180
2015-02-24 00:00:00+05:30,16.7,17.0,16.3,16.4,39795
2015-02-25 00:00:00+05:30,16.75,16.75,15.7,15.9,44615
2015-02-26 00:00:00+05:30,16.4,16.4,15.65,16.0,22310
2015-02-27 00:00:00+05:30,16.1,16.25,15.85,16.1,34875
2015-03-02 00:00:00+05:30,16.7,16.7,15.3,15.95,18555
2015-03-03 00:00:00+05:30,16.0,16.55,15.85,16.35,38505
2015-03-04 00:00:00+05:30,16.2,16.55,16.05,16.15,25095
2015-03-05 00:00:00+05:30,15.8,16.4,15.6,16.1,40280
2015-03-09 00:00:00+05:30,16.1,17.6,16.0,17.35,102170
2015-03-10 00:00:00+05:30,17.55,17.55,16.05,16.35,82550
2015-03-11 00:00:00+05:30,16.45,16.7,16.2,16.55,25405
2015-03-12 00:00:00+05:30,16.3,16.7,16.2,16.55,30695
2015-03-13 00:00:00+05:30,16.3,16.75,16.15,16.2,36485
2015-03-16 00:00:00+05:30,16.8,17.3,16.2,16.4,105485
2015-03-17 00:00:00+05:30,16.4,16.55,16.25,16.3,14590
2015-03-18 00:00:00+05:30,16.6,16.75,15.8,16.45,24615
2015-03-19 00:00:00+05:30,16.6,17.55,16.4,16.7,110075
2015-03-20 00:00:00+05:30,16.5,16.5,16.0,16.15,55135
2015-03-23 00:00:00+05:30,16.1,16.2,15.2,15.55,51255
2015-03-24 00:00:00+05:30,15.4,15.9,15.4,15.65,12705
2015-03-25 00:00:00+05:30,15.4,15.75,14.95,15.05,53105
2015-03-26 00:00:00+05:30,14.9,15.4,14.2,14.3,36965
2015-03-27 00:00:00+05:30,14.4,14.6,13.65,14.3,47770
2015-03-30 00:00:00+05:30,16.2,16.2,13.7,14.4,28065
2015-03-31 00:00:00+05:30,14.5,14.8,14.0,14.35,32935
2015-04-01 00:00:00+05:30,14.2,17.25,14.2,17.25,861390
2015-04-06 00:00:00+05:30,17.55,17.95,16.1,16.95,411860
2015-04-07 00:00:00+05:30,16.85,16.85,16.25,16.45,13480
2015-04-08 00:00:00+05:30,16.55,19.7,16.5,18.35,518715
2015-04-09 00:00:00+05:30,18.3,20.8,17.8,19.3,635545
2015-04-10 00:00:00+05:30,19.35,21.4,19.35,19.9,700195
2015-04-13 00:00:00+05:30,20.0,22.1,20.0,21.4,486065
2015-04-15 00:00:00+05:30,22.0,22.0,19.65,19.95,144700
2015-04-16 00:00:00+05:30,20.35,20.4,19.1,19.2,54335
2015-04-17 00:00:00+05:30,19.8,19.8,18.9,19.0,29975
2015-04-20 00:00:00+05:30,19.2,19.55,18.35,18.4,39025
2015-04-21 00:00:00+05:30,18.25,19.2,18.25,18.8,14895
2015-04-22 00:00:00+05:30,18.6,19.15,18.0,18.6,24295
2015-04-23 00:00:00+05:30,18.7,19.5,18.25,18.5,17935
2015-04-24 00:00:00+05:30,19.3,19.3,18.05,18.05,17570
2015-04-27 00:00:00+05:30,18.8,18.8,17.2,17.5,24365
2015-04-28 00:00:00+05:30,17.6,18.5,17.2,17.75,6870
2015-04-29 00:00:00+05:30,17.3,18.25,17.3,17.8,12390
2015-04-30 00:00:00+05:30,18.3,18.3,17.4,17.65,20845
2015-05-04 00:00:00+05:30,17.7,18.75,17.7,18.4,19010
2015-05-05 00:00:00+05:30,19.25,19.25,18.0,18.2,2345
2015-05-06 00:00:00+05:30,19.2,19.2,17.45,17.7,15995
2015-05-07 00:00:00+05:30,17.7,17.7,17.15,17.45,7080
2015-05-08 00:00:00+05:30,17.2,17.8,17.2,17.25,7060
2015-05-11 00:00:00+05:30,17.2,18.0,17.0,17.5,7840
2015-05-12 00:00:00+05:30,17.2,17.5,17.1,17.15,3095
2015-05-13 00:00:00+05:30,18.6,18.6,16.8,17.3,3820
2015-05-14 00:00:00+05:30,17.1,17.3,17.0,17.25,12550
2015-05-15 00:00:00+05:30,19.0,19.0,16.8,17.3,11945
2015-05-18 00:00:00+05:30,18.7,18.7,17.3,17.45,10790
2015-05-19 00:00:00+05:30,18.4,19.35,17.5,18.25,50230
2015-05-20 00:00:00+05:30,18.4,19.45,18.4,18.7,130730
2015-05-21 00:00:00+05:30,19.15,19.15,17.95,18.3,22510
2015-05-22 00:00:00+05:30,18.5,18.5,17.9,18.2,16510
2015-05-25 00:00:00+05:30,18.2,18.4,17.15,17.15,71165
2015-05-26 00:00:00+05:30,17.05,18.2,17.05,17.3,19235
2015-05-27 00:00:00+05:30,17.0,17.0,15.25,15.5,96035
2015-05-28 00:00:00+05:30,16.0,16.0,14.7,15.25,20840
2015-05-29 00:00:00+05:30,15.2,15.4,13.9,14.9,51690
2015-06-01 00:00:00+05:30,15.9,15.9,14.2,14.3,26375
2015-06-02 00:00:00+05:30,14.35,14.8,14.2,14.25,12370
2015-06-03 00:00:00+05:30,14.95,14.95,13.0,13.4,76525
2015-06-04 00:00:00+05:30,13.4,14.0,12.75,13.1,87110
2015-06-05 00:00:00+05:30,13.8,13.8,12.95,13.6,33355
2015-06-08 00:00:00+05:30,13.0,13.8,13.0,13.2,7315
2015-06-09 00:00:00+05:30,13.25,13.65,12.8,13.1,31270
2015-06-10 00:00:00+05:30,14.75,14.75,12.85,12.95,39375
2015-06-11 00:00:00+05:30,13.2,13.2,12.4,12.65,15905
2015-06-12 00:00:00+05:30,12.45,12.8,12.45,12.65,8170
