date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,6.0,6.25,5.95,6.05,2107
2015-01-02 00:00:00+05:30,6.1,6.35,6.05,6.25,17154
2015-01-05 00:00:00+05:30,6.4,6.6,6.15,6.25,15629
2015-01-06 00:00:00+05:30,6.05,6.35,6.05,6.05,9718
2015-01-07 00:00:00+05:30,6.0,6.25,5.8,6.1,2240
2015-01-08 00:00:00+05:30,6.2,6.35,6.05,6.2,2651
2015-01-09 00:00:00+05:30,6.05,6.35,6.05,6.35,8595
2015-01-12 00:00:00+05:30,6.0,6.5,5.95,6.0,5610
2015-01-13 00:00:00+05:30,5.95,6.45,5.95,6.05,1797
2015-01-14 00:00:00+05:30,6.25,6.25,5.9,5.9,2055
2015-01-15 00:00:00+05:30,5.9,6.2,5.9,5.95,2206
2015-01-16 00:00:00+05:30,5.85,6.0,5.35,5.95,8374
2015-01-19 00:00:00+05:30,6.0,6.8,6.0,6.2,19389
2015-01-20 00:00:00+05:30,6.25,7.0,6.1,6.65,40264
2015-01-21 00:00:00+05:30,6.55,6.6,6.2,6.55,10989
2015-01-22 00:00:00+05:30,6.45,6.45,6.05,6.25,411
2015-01-23 00:00:00+05:30,6.15,7.2,6.15,6.15,2879
2015-01-27 00:00:00+05:30,6.15,6.3,5.9,6.0,3266
2015-01-28 00:00:00+05:30,6.0,6.1,5.35,5.7,13812
2015-01-29 00:00:00+05:30,6.0,6.0,5.7,6.0,6785
2015-01-30 00:00:00+05:30,5.9,5.95,5.65,5.75,15320
2015-02-02 00:00:00+05:30,5.7,6.05,5.5,5.95,4422
2015-02-03 00:00:00+05:30,5.8,6.1,5.4,5.9,9311
2015-02-04 00:00:00+05:30,5.8,6.15,5.65,6.05,3063
2015-02-05 00:00:00+05:30,5.75,6.15,5.5,5.75,12291
2015-02-06 00:00:00+05:30,5.8,5.9,5.45,5.5,7814
2015-02-09 00:00:00+05:30,5.55,5.55,5.3,5.3,7810
2015-02-10 00:00:00+05:30,5.35,5.7,5.09,5.09,3946
2015-02-11 00:00:00+05:30,5.2,5.4,4.95,5.4,3081
2015-02-12 00:00:00+05:30,5.35,5.35,5.05,5.2,5081
2015-02-13 00:00:00+05:30,5.5,5.5,4.95,5.05,17849
2015-02-16 00:00:00+05:30,5.09,5.09,4.9,4.95,8372
2015-02-18 00:00:00+05:30,5.35,5.35,4.95,5.09,5679
2015-02-19 00:00:00+05:30,4.95,5.75,4.95,5.25,6171
2015-02-20 00:00:00+05:30,5.25,5.8,4.95,5.7,15225
2015-02-23 00:00:00+05:30,5.5,5.75,5.09,5.15,5742
2015-02-24 00:00:00+05:30,5.5,5.55,4.8,5.09,14379
2015-02-25 00:00:00+05:30,5.15,5.6,5.0,5.05,2404
2015-02-26 00:00:00+05:30,5.09,5.09,4.7,4.8,17438
2015-02-27 00:00:00+05:30,4.7,5.25,4.65,5.05,19833
2015-03-02 00:00:00+05:30,5.0,5.25,4.8,5.15,6957
2015-03-03 00:00:00+05:30,4.95,5.09,4.95,5.09,4117
2015-03-04 00:00:00+05:30,5.09,5.3,4.8,5.25,11384
2015-03-05 00:00:00+05:30,5.25,5.4,5.0,5.09,4409
2015-03-09 00:00:00+05:30,5.05,5.05,5.0,5.0,3567
2015-03-10 00:00:00+05:30,5.0,5.0,4.3,4.45,57872
2015-03-11 00:00:00+05:30,4.45,4.75,4.34,4.55,6474
2015-03-12 00:00:00+05:30,4.75,4.75,4.45,4.55,7703
2015-03-13 00:00:00+05:30,4.59,4.59,4.3,4.45,5184
2015-03-16 00:00:00+05:30,4.5,4.65,4.3,4.5,4086
2015-03-17 00:00:00+05:30,4.4,4.65,4.4,4.65,5481
2015-03-18 00:00:00+05:30,4.59,4.59,4.4,4.4,2739
2015-03-19 00:00:00+05:30,4.5,4.59,4.34,4.55,15760
2015-03-20 00:00:00+05:30,4.34,4.59,4.3,4.45,2006
2015-03-23 00:00:00+05:30,4.34,4.55,4.05,4.05,3302
2015-03-24 00:00:00+05:30,4.09,4.5,4.0,4.2,4967
2015-03-25 00:00:00+05:30,4.55,4.55,4.15,4.5,3586
2015-03-26 00:00:00+05:30,4.4,4.5,3.75,4.0,10863
2015-03-27 00:00:00+05:30,3.9,4.34,3.85,3.85,18740
2015-03-30 00:00:00+05:30,4.25,4.55,4.05,4.34,9614
