date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,90.0,94.0,89.15,92.7,6517
2015-01-02 00:00:00+05:30,96.6,98.8,91.95,92.35,5973
2015-01-05 00:00:00+05:30,91.5,93.6,90.15,91.4,5795
2015-01-06 00:00:00+05:30,91.0,91.0,86.5,88.3,4291
2015-01-07 00:00:00+05:30,88.5,88.5,85.2,86.8,5509
2015-01-08 00:00:00+05:30,90.8,92.0,86.5,89.85,10259
2015-01-09 00:00:00+05:30,93.2,93.2,90.35,92.2,18416
2015-01-12 00:00:00+05:30,89.0,96.1,89.0,95.85,61427
2015-01-13 00:00:00+05:30,97.0,101.0,96.1,99.5,50508
2015-01-14 00:00:00+05:30,102.0,106.9,100.3,103.25,103018
2015-01-15 00:00:00+05:30,103.35,103.95,97.7,100.1,11208
2015-01-16 00:00:00+05:30,99.55,101.1,98.15,99.95,13685
2015-01-19 00:00:00+05:30,101.9,106.4,98.1,99.0,6969
2015-01-20 00:00:00+05:30,100.0,105.95,100.0,100.75,24619
2015-01-21 00:00:00+05:30,102.0,104.7,101.05,102.2,30662
2015-01-22 00:00:00+05:30,103.9,107.1,101.3,103.25,101818
2015-01-23 00:00:00+05:30,104.35,107.0,98.15,99.25,322933
2015-01-27 00:00:00+05:30,98.5,102.8,98.0,99.25,72748
2015-01-28 00:00:00+05:30,98.65,101.1,98.65,100.0,89264
2015-01-29 00:00:00+05:30,98.65,102.5,98.0,100.65,50933
2015-01-30 00:00:00+05:30,100.3,101.85,99.5,100.05,20414
2015-02-02 00:00:00+05:30,100.0,102.0,98.05,100.65,37435
2015-02-03 00:00:00+05:30,103.2,106.9,100.9,103.9,106237
2015-02-04 00:00:00+05:30,105.9,124.65,104.5,124.0,632625
2015-02-05 00:00:00+05:30,126.5,126.7,112.0,113.3,238885
2015-02-06 00:00:00+05:30,112.0,132.0,107.3,118.55,370796
2015-02-09 00:00:00+05:30,118.8,126.85,114.2,117.4,64063
2015-02-10 00:00:00+05:30,118.05,122.0,111.4,113.65,39272
2015-02-11 00:00:00+05:30,115.05,124.7,115.0,118.2,72558
2015-02-12 00:00:00+05:30,118.0,123.5,118.0,118.9,44518
2015-02-13 00:00:00+05:30,121.0,122.55,116.65,117.6,17504
2015-02-16 00:00:00+05:30,117.85,121.9,117.1,118.65,16382
2015-02-18 00:00:00+05:30,117.0,122.5,114.05,116.5,28100
2015-02-19 00:00:00+05:30,117.95,121.0,114.15,114.95,38060
2015-02-20 00:00:00+05:30,117.0,118.0,112.6,113.75,14033
2015-02-23 00:00:00+05:30,113.75,120.0,113.75,116.2,59579
2015-02-24 00:00:00+05:30,115.5,119.6,114.05,114.7,18738
2015-02-25 00:00:00+05:30,114.25,121.5,114.25,116.8,34186
2015-02-26 00:00:00+05:30,116.3,118.45,113.05,113.9,12211
2015-02-27 00:00:00+05:30,114.0,116.7,110.0,112.1,15149
2015-03-02 00:00:00+05:30,110.5,113.5,108.0,109.6,12312
2015-03-03 00:00:00+05:30,110.45,114.75,109.05,111.5,18766
2015-03-04 00:00:00+05:30,110.6,114.0,109.2,109.55,7934
2015-03-05 00:00:00+05:30,109.0,120.0,109.0,111.7,71405
2015-03-09 00:00:00+05:30,111.7,114.0,107.9,108.75,24274
2015-03-10 00:00:00+05:30,108.65,113.9,108.65,109.8,28500
2015-03-11 00:00:00+05:30,110.0,112.0,108.9,109.2,10950
2015-03-12 00:00:00+05:30,109.5,110.9,109.1,109.55,13966
2015-03-13 00:00:00+05:30,110.4,111.65,104.9,105.15,16464
2015-03-16 00:00:00+05:30,105.0,118.25,101.85,114.35,127437
2015-03-17 00:00:00+05:30,115.4,126.9,115.0,124.4,294005
2015-03-18 00:00:00+05:30,125.6,128.0,122.0,124.9,170480
2015-03-19 00:00:00+05:30,127.05,144.85,127.05,137.5,847882
2015-03-20 00:00:00+05:30,137.5,139.69,128.0,129.9,121541
2015-03-23 00:00:00+05:30,129.0,143.5,129.0,137.65,284659
2015-03-24 00:00:00+05:30,139.0,149.69,135.1,138.8,307487
2015-03-25 00:00:00+05:30,139.75,151.0,137.55,148.75,468614
2015-03-26 00:00:00+05:30,151.0,153.44,141.6,148.05,356001
2015-03-27 00:00:00+05:30,149.75,159.8,149.75,155.6,588529
2015-03-30 00:00:00+05:30,159.0,166.6,153.5,163.15,533092
2015-03-31 00:00:00+05:30,163.4,169.0,161.5,165.3,266975
2015-04-01 00:00:00+05:30,166.0,170.0,158.3,168.5,209539
2015-04-06 00:00:00+05:30,169.35,172.7,165.6,167.15,106773
2015-04-07 00:00:00+05:30,168.1,172.35,166.0,168.5,101557
2015-04-08 00:00:00+05:30,169.25,175.0,167.05,168.45,141648
2015-04-09 00:00:00+05:30,169.25,170.15,163.3,164.75,71755
