date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,198.0,212.0,196.0,207.75,70960
2015-01-02 00:00:00+05:30,209.0,211.0,199.7,201.15,33134
2015-01-05 00:00:00+05:30,202.75,204.5,201.1,202.55,13291
2015-01-06 00:00:00+05:30,200.7,200.7,194.7,195.75,22231
2015-01-07 00:00:00+05:30,195.0,197.2,193.25,194.45,17889
2015-01-08 00:00:00+05:30,195.9,198.5,195.15,197.05,34828
2015-01-09 00:00:00+05:30,198.4,199.9,196.0,196.0,3597
2015-01-12 00:00:00+05:30,197.75,197.8,195.25,196.4,6754
2015-01-13 00:00:00+05:30,196.3,200.0,195.0,195.45,11280
2015-01-14 00:00:00+05:30,196.85,197.7,194.1,195.35,14533
2015-01-15 00:00:00+05:30,196.35,204.45,196.0,201.0,50586
2015-01-16 00:00:00+05:30,200.0,205.0,200.0,203.5,24291
2015-01-19 00:00:00+05:30,204.0,209.75,203.8,204.95,32806
2015-01-20 00:00:00+05:30,204.05,209.3,204.05,207.05,15398
2015-01-21 00:00:00+05:30,206.0,209.15,204.0,204.25,10243
2015-01-22 00:00:00+05:30,203.0,208.7,202.95,205.3,11652
2015-01-23 00:00:00+05:30,206.95,206.95,199.35,199.95,28781
2015-01-27 00:00:00+05:30,202.0,203.3,198.05,198.6,8212
2015-01-28 00:00:00+05:30,199.55,204.9,199.3,200.05,9555
2015-01-29 00:00:00+05:30,201.5,204.7,198.15,203.85,9758
2015-01-30 00:00:00+05:30,204.0,207.55,201.25,202.55,14323
2015-02-02 00:00:00+05:30,202.85,203.85,200.2,201.35,7113
2015-02-03 00:00:00+05:30,201.85,204.95,200.55,201.35,11445
2015-02-04 00:00:00+05:30,203.7,205.0,201.1,204.0,12827
2015-02-05 00:00:00+05:30,202.0,211.95,202.0,206.85,40114
2015-02-06 00:00:00+05:30,205.15,209.5,201.6,202.6,13439
2015-02-09 00:00:00+05:30,202.0,203.0,199.55,200.0,18908
2015-02-10 00:00:00+05:30,200.3,203.75,197.85,200.4,21513
2015-02-11 00:00:00+05:30,202.85,220.0,202.85,217.9,96013
2015-02-12 00:00:00+05:30,217.95,218.3,212.0,216.9,51432
2015-02-13 00:00:00+05:30,217.7,218.0,214.0,216.2,17455
2015-02-16 00:00:00+05:30,216.0,222.7,214.25,221.0,53054
2015-02-18 00:00:00+05:30,220.0,228.2,219.95,225.15,41860
2015-02-19 00:00:00+05:30,225.95,225.95,216.1,223.95,22148
2015-02-20 00:00:00+05:30,223.95,234.45,220.25,225.35,36643
2015-02-23 00:00:00+05:30,225.15,226.7,217.5,218.85,20058
2015-02-24 00:00:00+05:30,223.0,225.0,215.0,216.05,21311
2015-02-25 00:00:00+05:30,217.1,220.4,214.95,215.6,11181
2015-02-26 00:00:00+05:30,218.85,218.85,212.2,215.55,12324
2015-02-27 00:00:00+05:30,217.0,220.9,215.05,217.6,19463
2015-03-02 00:00:00+05:30,215.6,220.0,214.55,218.35,19055
2015-03-03 00:00:00+05:30,219.55,229.9,218.0,225.45,50412
2015-03-04 00:00:00+05:30,228.8,232.0,220.2,220.85,26708
2015-03-05 00:00:00+05:30,221.0,224.8,217.65,222.65,12601
2015-03-09 00:00:00+05:30,220.55,224.05,219.05,220.1,13982
2015-03-10 00:00:00+05:30,223.95,224.1,216.1,218.0,8745
2015-03-11 00:00:00+05:30,217.05,220.0,214.05,218.45,19607
2015-03-12 00:00:00+05:30,217.2,228.5,217.2,227.65,37235
2015-03-13 00:00:00+05:30,228.45,239.0,220.0,222.1,41763
2015-03-16 00:00:00+05:30,221.75,225.05,215.6,218.35,13914
2015-03-17 00:00:00+05:30,219.75,219.8,215.15,216.2,22852
2015-03-18 00:00:00+05:30,216.15,218.25,215.0,215.45,28414
2015-03-19 00:00:00+05:30,218.5,219.2,214.5,215.6,21929
2015-03-20 00:00:00+05:30,217.15,217.15,208.95,210.55,16916
2015-03-23 00:00:00+05:30,209.15,212.05,208.05,210.9,12412
2015-03-24 00:00:00+05:30,209.55,213.95,208.25,209.85,10145
2015-03-25 00:00:00+05:30,211.9,212.0,209.0,209.5,13510
2015-03-26 00:00:00+05:30,210.75,212.85,207.0,209.35,15993
2015-03-27 00:00:00+05:30,210.9,210.95,206.0,208.2,9433
2015-03-30 00:00:00+05:30,208.0,219.5,208.0,215.35,15243
2015-03-31 00:00:00+05:30,215.95,219.7,213.1,214.35,6277
2015-04-01 00:00:00+05:30,216.95,227.95,216.05,225.95,45860
2015-04-06 00:00:00+05:30,225.0,230.0,224.95,228.0,18632
2015-04-07 00:00:00+05:30,227.1,230.9,222.55,226.85,12014
2015-04-08 00:00:00+05:30,226.15,238.2,226.15,235.1,49580
2015-04-09 00:00:00+05:30,239.85,250.6,236.7,240.45,54282
2015-04-10 00:00:00+05:30,242.95,266.35,241.0,264.3,158573
2015-04-13 00:00:00+05:30,266.6,282.0,261.7,277.25,152377
2015-04-15 00:00:00+05:30,278.5,284.89,258.5,275.05,96284
2015-04-16 00:00:00+05:30,276.0,286.85,268.0,272.3,54192
2015-04-17 00:00:00+05:30,274.75,282.0,270.0,274.5,30606
2015-04-20 00:00:00+05:30,278.95,278.95,256.75,260.14,27605
2015-04-21 00:00:00+05:30,264.85,265.05,254.0,259.8,15069
2015-04-22 00:00:00+05:30,263.7,265.0,256.89,260.35,18947
2015-04-23 00:00:00+05:30,264.7,271.85,262.0,264.35,17587
2015-04-24 00:00:00+05:30,262.14,262.75,252.0,252.8,14492
2015-04-27 00:00:00+05:30,252.3,256.5,233.5,242.35,47582
2015-04-28 00:00:00+05:30,242.35,256.0,242.3,249.1,29918
2015-04-29 00:00:00+05:30,247.5,254.45,247.5,252.05,15712
2015-04-30 00:00:00+05:30,251.95,263.0,250.15,261.8,46886
2015-05-04 00:00:00+05:30,261.39,273.85,261.39,271.0,36001
2015-05-05 00:00:00+05:30,272.95,273.8,264.55,267.1,9891
2015-05-06 00:00:00+05:30,267.0,269.0,253.45,254.95,36547
2015-05-07 00:00:00+05:30,255.0,258.0,244.05,249.35,22278
2015-05-08 00:00:00+05:30,247.55,263.0,244.0,261.7,60447
2015-05-11 00:00:00+05:30,259.2,260.0,245.0,252.9,30756
2015-05-12 00:00:00+05:30,250.0,251.0,241.0,242.85,17997
2015-05-13 00:00:00+05:30,247.0,247.9,238.15,240.85,19045
2015-05-14 00:00:00+05:30,244.0,244.0,236.65,239.55,9844
2015-05-15 00:00:00+05:30,239.05,246.5,239.05,241.95,10056
2015-05-18 00:00:00+05:30,242.75,245.95,242.2,244.9,4138
2015-05-19 00:00:00+05:30,240.55,248.95,240.55,243.7,5598
2015-05-20 00:00:00+05:30,243.75,252.25,243.75,249.15,16127
