date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,9.9,10.35,9.9,10.15,865625
2015-01-02 00:00:00+05:30,10.19,10.65,10.19,10.45,1092404
2015-01-05 00:00:00+05:30,10.35,10.75,9.75,9.94,2187012
2015-01-06 00:00:00+05:30,9.9,10.0,9.75,9.8,1157798
2015-01-07 00:00:00+05:30,9.85,9.85,9.3,9.6,1041256
2015-01-08 00:00:00+05:30,9.69,9.85,9.55,9.69,1182066
2015-01-09 00:00:00+05:30,9.69,10.0,9.5,9.55,986191
2015-01-12 00:00:00+05:30,9.55,9.8,9.4,9.6,789197
2015-01-13 00:00:00+05:30,9.6,9.75,9.4,9.44,986910
2015-01-14 00:00:00+05:30,9.44,9.69,9.25,9.4,734480
2015-01-15 00:00:00+05:30,9.5,9.6,9.15,9.44,1637670
2015-01-16 00:00:00+05:30,9.4,9.6,9.19,9.44,960692
2015-01-19 00:00:00+05:30,9.35,9.69,9.35,9.35,915428
2015-01-20 00:00:00+05:30,9.4,9.6,9.3,9.44,916546
2015-01-21 00:00:00+05:30,9.4,9.6,9.25,9.4,739042
2015-01-22 00:00:00+05:30,9.5,9.69,9.3,9.55,856412
2015-01-23 00:00:00+05:30,9.5,10.5,9.35,10.35,3532725
2015-01-27 00:00:00+05:30,10.35,10.7,10.0,10.5,2123533
2015-01-28 00:00:00+05:30,10.7,10.7,9.9,10.0,1921085
2015-01-29 00:00:00+05:30,10.0,10.55,10.0,10.4,1215902
2015-01-30 00:00:00+05:30,10.4,11.5,10.1,11.25,4481301
2015-02-02 00:00:00+05:30,11.2,11.65,11.05,11.35,1917439
2015-02-03 00:00:00+05:30,11.5,12.35,11.45,11.85,3948233
2015-02-04 00:00:00+05:30,12.15,12.25,11.45,11.55,2027466
2015-02-05 00:00:00+05:30,11.55,11.7,10.55,10.7,3379238
2015-02-06 00:00:00+05:30,10.8,10.8,10.25,10.3,1060490
2015-02-09 00:00:00+05:30,10.19,10.4,10.0,10.1,988509
2015-02-10 00:00:00+05:30,10.15,10.55,9.8,10.0,1067857
2015-02-11 00:00:00+05:30,10.1,10.25,10.0,10.05,540208
2015-02-12 00:00:00+05:30,10.0,10.35,9.9,10.1,1035435
2015-02-13 00:00:00+05:30,10.15,10.3,10.0,10.05,714222
2015-02-16 00:00:00+05:30,9.94,9.94,9.65,9.69,1321039
2015-02-18 00:00:00+05:30,9.69,11.25,9.55,11.1,4424783
2015-02-19 00:00:00+05:30,11.2,11.25,10.85,11.2,2696588
2015-02-20 00:00:00+05:30,11.3,11.3,10.9,11.0,2760488
2015-02-23 00:00:00+05:30,11.1,11.25,10.45,10.55,1622898
2015-02-24 00:00:00+05:30,10.6,10.8,10.25,10.4,1278378
2015-02-25 00:00:00+05:30,10.4,10.7,10.05,10.15,771242
2015-02-26 00:00:00+05:30,10.19,10.3,9.94,10.05,953370
2015-02-27 00:00:00+05:30,10.1,10.4,9.94,10.25,1942979
2015-03-02 00:00:00+05:30,10.65,10.65,10.1,10.3,1059857
2015-03-03 00:00:00+05:30,10.4,10.5,10.0,10.19,1126684
2015-03-04 00:00:00+05:30,10.35,10.5,10.05,10.1,1126274
2015-03-05 00:00:00+05:30,10.19,10.45,10.0,10.25,1310716
2015-03-09 00:00:00+05:30,10.3,10.55,10.15,10.3,1148189
2015-03-10 00:00:00+05:30,10.4,10.65,10.19,10.25,819286
2015-03-11 00:00:00+05:30,10.3,10.4,10.1,10.15,895994
2015-03-12 00:00:00+05:30,10.15,10.3,9.94,10.0,1491900
2015-03-13 00:00:00+05:30,10.0,10.19,9.75,9.8,991809
2015-03-16 00:00:00+05:30,9.8,10.0,9.6,9.65,810217
2015-03-17 00:00:00+05:30,9.65,9.85,9.5,9.55,909605
2015-03-18 00:00:00+05:30,9.55,9.8,9.44,9.69,1437101
2015-03-19 00:00:00+05:30,10.4,10.4,9.75,9.8,1699727
2015-03-20 00:00:00+05:30,9.8,9.9,9.44,9.5,768292
2015-03-23 00:00:00+05:30,9.6,9.65,9.15,9.19,1135237
2015-03-24 00:00:00+05:30,9.25,9.3,9.0,9.05,784022
2015-03-25 00:00:00+05:30,9.05,9.15,8.85,8.9,2677230
2015-03-26 00:00:00+05:30,8.9,9.0,8.69,8.8,785144
2015-03-27 00:00:00+05:30,9.0,9.05,8.6,8.69,1057558
2015-03-30 00:00:00+05:30,8.69,9.1,8.69,8.9,626874
2015-03-31 00:00:00+05:30,9.0,9.19,8.85,8.94,1149689
2015-04-01 00:00:00+05:30,9.0,9.4,8.94,9.3,654474
2015-04-06 00:00:00+05:30,9.4,9.55,9.25,9.35,827144
2015-04-07 00:00:00+05:30,9.5,9.5,9.19,9.44,672959
2015-04-08 00:00:00+05:30,9.44,9.65,9.35,9.55,665618
2015-04-09 00:00:00+05:30,9.55,9.69,9.4,9.44,653343
2015-04-10 00:00:00+05:30,9.55,9.55,9.19,9.44,1271753
2015-04-13 00:00:00+05:30,9.44,9.6,9.3,9.5,1508508
2015-04-15 00:00:00+05:30,9.55,9.6,9.35,9.35,1381694
2015-04-16 00:00:00+05:30,9.4,9.4,9.1,9.15,505566
2015-04-17 00:00:00+05:30,9.15,9.4,9.05,9.19,571462
2015-04-20 00:00:00+05:30,9.0,9.3,8.85,9.0,573162
2015-04-21 00:00:00+05:30,9.05,9.8,8.8,9.19,9341169
2015-04-22 00:00:00+05:30,9.4,9.5,9.15,9.3,1068197
2015-04-23 00:00:00+05:30,9.3,9.5,9.15,9.25,595946
2015-04-24 00:00:00+05:30,9.3,9.35,9.1,9.15,723354
2015-04-27 00:00:00+05:30,9.15,9.19,8.85,8.9,1154303
2015-04-28 00:00:00+05:30,8.9,9.05,8.75,8.94,558226
2015-04-29 00:00:00+05:30,9.0,9.05,8.9,8.9,670005
2015-04-30 00:00:00+05:30,8.9,9.0,8.85,8.9,282160
2015-05-04 00:00:00+05:30,9.0,9.15,8.9,9.05,552985
2015-05-05 00:00:00+05:30,9.1,9.19,9.0,9.05,627973
2015-05-06 00:00:00+05:30,9.15,9.15,8.9,8.94,970953
2015-05-07 00:00:00+05:30,9.0,9.0,8.85,8.85,1214368
2015-05-08 00:00:00+05:30,8.94,9.05,8.8,8.94,810346
2015-05-11 00:00:00+05:30,8.94,9.05,8.9,9.0,362962
2015-05-12 00:00:00+05:30,9.0,9.05,8.55,8.6,512995
2015-05-13 00:00:00+05:30,8.69,8.75,8.55,8.65,331335
2015-05-14 00:00:00+05:30,8.69,8.69,8.44,8.6,336789
2015-05-15 00:00:00+05:30,8.8,8.8,8.6,8.65,239801
2015-05-18 00:00:00+05:30,8.6,8.8,8.6,8.65,477545
2015-05-19 00:00:00+05:30,8.75,8.9,8.65,8.75,348587
2015-05-20 00:00:00+05:30,8.94,9.0,8.65,8.65,248200
2015-05-21 00:00:00+05:30,8.69,8.69,8.55,8.55,309618
2015-05-22 00:00:00+05:30,8.6,8.75,8.44,8.5,393385
2015-05-25 00:00:00+05:30,8.5,8.69,8.15,8.19,751722
2015-05-26 00:00:00+05:30,8.19,8.3,7.95,7.95,694588
2015-05-27 00:00:00+05:30,8.0,8.25,7.85,8.05,622180
2015-05-28 00:00:00+05:30,8.19,8.3,8.05,8.19,374684
2015-05-29 00:00:00+05:30,8.19,8.25,8.05,8.1,828354
2015-06-01 00:00:00+05:30,8.5,8.5,8.0,8.3,409117
2015-06-02 00:00:00+05:30,8.1,8.5,8.1,8.19,642962
2015-06-03 00:00:00+05:30,8.4,8.4,6.6,7.75,1534942
2015-06-04 00:00:00+05:30,7.8,8.1,7.75,7.95,423935
2015-06-05 00:00:00+05:30,7.8,8.0,7.65,7.75,972787
2015-06-08 00:00:00+05:30,7.9,7.9,7.05,7.2,1073591
2015-06-09 00:00:00+05:30,7.2,7.25,7.0,7.1,530839
2015-06-10 00:00:00+05:30,7.15,7.5,6.95,7.05,1245215
2015-06-11 00:00:00+05:30,7.2,7.35,6.9,7.2,1262077
2015-06-12 00:00:00+05:30,7.05,7.2,6.75,6.9,1371384
2015-06-15 00:00:00+05:30,7.0,7.0,6.55,6.6,1884261
2015-06-16 00:00:00+05:30,6.7,6.75,6.2,6.35,1889767
2015-06-17 00:00:00+05:30,6.5,6.5,6.2,6.25,1022693
2015-06-18 00:00:00+05:30,6.4,7.5,6.25,7.45,5091999
2015-06-19 00:00:00+05:30,7.9,7.9,7.15,7.3,1953814
2015-06-22 00:00:00+05:30,7.55,8.15,7.3,7.5,2906871
2015-06-23 00:00:00+05:30,7.8,7.95,7.5,7.6,1403020
2015-06-24 00:00:00+05:30,7.75,7.85,7.4,7.5,1464420
2015-06-25 00:00:00+05:30,7.3,7.65,7.3,7.5,579050
2015-06-26 00:00:00+05:30,7.5,7.6,7.3,7.3,734824
2015-06-29 00:00:00+05:30,7.2,7.2,6.9,7.1,472479
2015-06-30 00:00:00+05:30,6.95,7.5,6.95,7.3,490097
2015-07-01 00:00:00+05:30,7.45,7.8,7.4,7.75,885330
2015-07-02 00:00:00+05:30,7.8,7.95,7.45,7.7,770716
2015-07-03 00:00:00+05:30,7.85,7.9,7.4,7.55,603939
2015-07-06 00:00:00+05:30,7.45,8.25,7.2,8.15,917902
2015-07-07 00:00:00+05:30,8.3,8.35,8.0,8.05,778099
2015-07-08 00:00:00+05:30,8.0,8.0,7.45,7.7,889187
2015-07-09 00:00:00+05:30,7.6,7.95,7.6,7.7,510613
2015-07-10 00:00:00+05:30,7.85,8.1,7.7,8.0,1183005
2015-07-13 00:00:00+05:30,8.25,8.25,7.8,7.9,415974
2015-07-14 00:00:00+05:30,7.9,8.9,7.8,8.25,2451684
2015-07-15 00:00:00+05:30,8.44,8.44,7.95,8.0,1025948
2015-07-16 00:00:00+05:30,8.25,8.25,7.9,8.0,605360
2015-07-17 00:00:00+05:30,8.05,8.15,7.8,7.85,1277532
2015-07-20 00:00:00+05:30,8.05,8.35,7.8,7.85,806682
2015-07-21 00:00:00+05:30,7.95,8.0,7.45,7.5,889895
2015-07-22 00:00:00+05:30,7.55,7.65,7.1,7.15,2076274
2015-07-23 00:00:00+05:30,7.3,7.5,7.1,7.35,738911
2015-07-24 00:00:00+05:30,7.2,7.85,7.2,7.7,1468238
2015-07-27 00:00:00+05:30,7.75,7.75,7.3,7.4,500885
2015-07-28 00:00:00+05:30,7.6,7.6,7.25,7.25,570100
2015-07-29 00:00:00+05:30,7.25,7.5,7.25,7.25,481446
2015-07-30 00:00:00+05:30,7.3,7.6,7.3,7.45,1211226
2015-07-31 00:00:00+05:30,7.5,7.55,7.35,7.35,436996
2015-08-03 00:00:00+05:30,7.4,7.8,7.35,7.6,1215946
2015-08-04 00:00:00+05:30,7.6,7.9,7.45,7.6,624003
2015-08-05 00:00:00+05:30,7.75,7.85,7.55,7.65,681239
2015-08-06 00:00:00+05:30,7.85,8.1,7.6,7.8,1936111
2015-08-07 00:00:00+05:30,7.9,8.19,7.75,7.95,1086507
2015-08-10 00:00:00+05:30,8.0,8.44,7.9,8.0,1222369
2015-08-11 00:00:00+05:30,8.1,8.25,7.75,7.8,617422
2015-08-12 00:00:00+05:30,7.75,8.15,7.25,7.35,2125306
2015-08-13 00:00:00+05:30,7.4,7.65,7.25,7.3,871328
2015-08-14 00:00:00+05:30,7.3,7.55,7.15,7.4,1187986
2015-08-17 00:00:00+05:30,7.3,7.5,7.05,7.15,1266126
2015-08-18 00:00:00+05:30,7.35,7.4,7.05,7.15,729109
