date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,13.2,15.35,13.2,15.35,184060
2015-01-02 00:00:00+05:30,17.0,18.45,15.9,18.45,81540
2015-01-05 00:00:00+05:30,20.25,20.25,20.25,20.25,67180
2015-01-06 00:00:00+05:30,21.5,22.3,19.25,22.25,1251280
2015-01-07 00:00:00+05:30,22.8,22.8,20.05,20.2,1284120
2015-01-08 00:00:00+05:30,20.4,22.2,18.6,22.05,986310
2015-01-09 00:00:00+05:30,23.0,23.4,21.1,21.35,464190
2015-01-12 00:00:00+05:30,21.0,21.6,20.45,20.95,154500
2015-01-13 00:00:00+05:30,20.95,20.95,19.1,19.75,70000
2015-01-14 00:00:00+05:30,19.45,20.6,19.05,19.9,75150
2015-01-15 00:00:00+05:30,19.9,20.5,19.2,19.65,65680
2015-01-16 00:00:00+05:30,20.5,20.5,19.4,19.55,56010
2015-01-19 00:00:00+05:30,19.1,20.25,19.1,19.8,71490
2015-01-20 00:00:00+05:30,18.9,20.0,18.5,18.95,86510
2015-01-21 00:00:00+05:30,19.05,19.5,18.0,18.25,73220
2015-01-22 00:00:00+05:30,18.0,19.0,17.6,18.15,58770
2015-01-23 00:00:00+05:30,18.5,18.6,16.5,17.45,56270
2015-01-27 00:00:00+05:30,17.2,17.8,16.05,16.55,39160
2015-01-28 00:00:00+05:30,16.1,17.0,15.35,15.55,63660
2015-01-29 00:00:00+05:30,15.5,16.3,15.5,16.3,37580
2015-01-30 00:00:00+05:30,17.15,17.15,16.7,17.15,106170
2015-02-02 00:00:00+05:30,18.0,18.0,17.5,17.75,255160
2015-02-03 00:00:00+05:30,17.9,18.35,16.85,16.95,46700
2015-02-04 00:00:00+05:30,17.8,17.8,17.1,17.8,325620
2015-02-05 00:00:00+05:30,18.4,18.4,17.1,17.45,112160
2015-02-06 00:00:00+05:30,17.85,17.85,16.6,16.6,29750
2015-02-09 00:00:00+05:30,16.6,16.9,15.8,15.9,37350
2015-02-10 00:00:00+05:30,16.35,16.35,15.25,15.55,75330
2015-02-11 00:00:00+05:30,16.0,16.35,14.8,16.35,133030
2015-02-12 00:00:00+05:30,16.15,16.75,15.8,16.15,6570
2015-02-13 00:00:00+05:30,16.95,16.95,16.2,16.45,17010
2015-02-16 00:00:00+05:30,17.2,17.2,16.2,16.55,60070
2015-02-18 00:00:00+05:30,16.05,17.4,16.05,17.35,224940
2015-02-19 00:00:00+05:30,17.3,17.9,16.8,17.3,37730
2015-02-20 00:00:00+05:30,17.0,17.4,17.0,17.4,16110
2015-02-23 00:00:00+05:30,17.8,18.1,16.75,16.9,14880
2015-02-24 00:00:00+05:30,17.5,17.5,16.2,16.8,18910
2015-02-25 00:00:00+05:30,16.0,16.8,16.0,16.4,13350
2015-02-26 00:00:00+05:30,15.9,16.8,15.85,16.2,11580
2015-02-27 00:00:00+05:30,16.4,16.4,15.4,15.45,33270
2015-03-02 00:00:00+05:30,15.3,15.8,15.3,15.3,12620
2015-03-03 00:00:00+05:30,14.6,16.0,14.6,15.95,13900
2015-03-04 00:00:00+05:30,16.0,16.0,15.5,15.55,7620
2015-03-05 00:00:00+05:30,14.85,16.0,14.85,15.6,18170
2015-03-09 00:00:00+05:30,15.15,16.25,15.15,16.0,16440
2015-03-10 00:00:00+05:30,16.4,16.4,15.3,15.4,23700
2015-03-11 00:00:00+05:30,15.5,15.65,14.9,15.2,35720
