date,open,high,low,close,volume
2017-07-25 00:00:00+05:30,12.5,13.1,12.5,13.1,14594140
2017-07-26 00:00:00+05:30,13.8,13.8,13.8,13.8,218920
2017-07-27 00:00:00+05:30,14.45,14.45,13.1,13.1,7725880
2017-07-28 00:00:00+05:30,12.45,12.45,12.45,12.45,301980
2017-07-31 00:00:00+05:30,11.8,12.5,11.8,12.25,11267860
2017-08-01 00:00:00+05:30,12.05,12.85,11.6,12.7,5081420
2017-08-02 00:00:00+05:30,12.7,12.75,12.2,12.55,1422640
2017-08-03 00:00:00+05:30,12.5,12.5,12.05,12.2,1522300
2017-08-04 00:00:00+05:30,12.2,12.75,12.05,12.65,2281300
2017-08-07 00:00:00+05:30,12.7,13.1,12.4,12.45,1668360
2017-08-08 00:00:00+05:30,12.6,12.7,11.05,11.45,7696720
2017-08-09 00:00:00+05:30,11.0,12.0,10.95,11.2,5186420
2017-08-10 00:00:00+05:30,11.0,12.75,10.85,11.45,16476420
2017-08-11 00:00:00+05:30,11.15,11.45,10.7,10.85,4560740
2017-08-14 00:00:00+05:30,11.0,11.65,11.0,11.45,4625400
2017-08-16 00:00:00+05:30,11.45,11.5,11.0,11.1,2366980
2017-08-17 00:00:00+05:30,11.1,11.4,10.6,10.75,2281080
2017-08-18 00:00:00+05:30,10.75,10.8,10.3,10.45,2730720
2017-08-21 00:00:00+05:30,10.45,10.85,10.05,10.25,3178480
2017-08-22 00:00:00+05:30,10.3,10.35,9.9,10.05,1872520
2017-08-23 00:00:00+05:30,10.1,10.25,10.05,10.15,479760
2017-08-24 00:00:00+05:30,10.15,10.3,9.95,10.05,705260
2017-08-28 00:00:00+05:30,10.05,10.85,10.05,10.6,2557240
2017-08-29 00:00:00+05:30,10.7,11.05,10.5,10.8,1771380
2017-08-30 00:00:00+05:30,10.85,11.15,10.85,11.0,1418400
2017-08-31 00:00:00+05:30,11.1,11.1,10.8,10.9,862420
2017-09-01 00:00:00+05:30,10.9,11.5,10.9,11.2,2497620
2017-09-04 00:00:00+05:30,11.25,11.85,11.1,11.6,9179260
2017-09-05 00:00:00+05:30,11.9,12.7,11.6,12.65,18503400
2017-09-06 00:00:00+05:30,12.55,13.95,12.3,13.45,17971320
2017-09-07 00:00:00+05:30,13.55,13.85,12.95,13.05,7127700
2017-09-08 00:00:00+05:30,13.1,13.45,12.7,12.95,2933160
2017-09-11 00:00:00+05:30,13.0,13.3,12.65,12.8,2074960
2017-09-12 00:00:00+05:30,12.85,13.7,12.75,13.25,11660680
2017-09-13 00:00:00+05:30,13.35,13.65,12.85,13.1,7736880
2017-09-14 00:00:00+05:30,13.05,13.8,13.0,13.6,9174080
2017-09-15 00:00:00+05:30,13.35,14.25,13.35,14.15,11895560
2017-09-18 00:00:00+05:30,14.3,16.6,14.3,15.65,31717240
2017-09-19 00:00:00+05:30,15.8,16.7,15.1,15.95,28908140
2017-09-20 00:00:00+05:30,15.9,16.1,15.2,15.7,7677340
2017-09-21 00:00:00+05:30,15.7,15.85,14.75,15.4,8279220
2017-09-22 00:00:00+05:30,15.35,15.35,14.2,14.35,6479560
2017-09-25 00:00:00+05:30,14.5,14.5,12.65,13.55,6245720
2017-09-26 00:00:00+05:30,13.7,13.95,13.25,13.45,4462040
2017-09-27 00:00:00+05:30,13.5,13.75,12.9,13.0,2034480
2017-11-16 00:00:00+05:30,13.5,13.8,13.25,13.65,1202500
2017-11-17 00:00:00+05:30,13.85,13.85,13.5,13.65,1551500
2017-11-20 00:00:00+05:30,13.5,13.85,13.3,13.45,430280
2017-11-21 00:00:00+05:30,13.35,13.85,13.35,13.6,397340
2017-11-22 00:00:00+05:30,13.85,13.85,13.35,13.4,575000
2017-11-23 00:00:00+05:30,13.7,14.5,13.4,14.3,1984180
2017-11-24 00:00:00+05:30,14.3,14.6,14.2,14.3,1372040
2017-11-27 00:00:00+05:30,14.0,14.35,14.0,14.05,332340
2017-11-28 00:00:00+05:30,14.1,14.4,14.05,14.1,548380
2017-11-29 00:00:00+05:30,14.05,14.25,13.95,14.0,463320
2017-11-30 00:00:00+05:30,14.0,14.2,13.65,14.0,410480
2017-12-01 00:00:00+05:30,14.1,14.25,13.65,13.7,438020
2017-12-04 00:00:00+05:30,13.9,14.1,13.45,13.7,272200
2017-12-05 00:00:00+05:30,13.7,13.7,13.2,13.4,527100
2017-12-06 00:00:00+05:30,13.35,13.65,13.3,13.45,282100
2017-12-07 00:00:00+05:30,13.5,13.65,13.5,13.6,219420
2017-12-08 00:00:00+05:30,13.8,13.85,13.65,13.75,256720
2017-12-11 00:00:00+05:30,14.0,14.25,13.8,14.15,875560
2017-12-12 00:00:00+05:30,14.15,14.5,14.0,14.25,1233960
2017-12-13 00:00:00+05:30,14.1,14.85,14.05,14.3,1288820
2017-12-14 00:00:00+05:30,14.45,14.6,13.85,13.9,941700
2017-12-15 00:00:00+05:30,14.2,14.35,13.95,14.05,413600
2017-12-18 00:00:00+05:30,14.05,14.25,13.55,14.15,411020
2017-12-19 00:00:00+05:30,14.2,14.45,14.15,14.2,470400
2017-12-20 00:00:00+05:30,14.2,14.3,14.15,14.2,556840
2017-12-21 00:00:00+05:30,14.3,14.65,14.1,14.5,435080
2017-12-22 00:00:00+05:30,14.85,14.85,14.3,14.75,1335600
2017-12-26 00:00:00+05:30,15.0,15.0,14.6,14.65,578020
2017-12-27 00:00:00+05:30,14.65,15.4,14.55,15.15,2843780
