date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,495.0,501.0,482.6,485.9,1364
2015-01-02 00:00:00+05:30,489.0,498.0,485.4,486.5,2182
2015-01-05 00:00:00+05:30,489.95,494.0,482.05,484.0,2783
2015-01-06 00:00:00+05:30,481.0,481.0,466.2,472.4,1486
2015-01-07 00:00:00+05:30,468.0,485.0,465.0,481.75,862
2015-01-08 00:00:00+05:30,485.85,507.95,482.0,493.55,2001
2015-01-09 00:00:00+05:30,499.9,505.45,488.0,501.85,1775
2015-01-12 00:00:00+05:30,498.8,500.0,491.25,499.7,358
2015-01-13 00:00:00+05:30,489.05,529.0,489.05,508.65,2982
2015-01-14 00:00:00+05:30,503.55,527.95,503.5,510.5,1915
2015-01-15 00:00:00+05:30,505.0,534.0,505.0,510.7,1209
2015-01-16 00:00:00+05:30,512.04,574.0,511.35,553.29,33836
2015-01-19 00:00:00+05:30,565.0,573.29,536.15,545.4,3415
2015-01-20 00:00:00+05:30,535.0,556.0,525.0,532.04,2477
2015-01-21 00:00:00+05:30,542.0,543.95,521.15,527.29,2331
2015-01-22 00:00:00+05:30,537.25,537.25,522.2,527.65,728
2015-01-23 00:00:00+05:30,532.95,544.0,514.0,532.45,3087
2015-01-27 00:00:00+05:30,535.0,539.95,515.15,527.0,1450
2015-01-28 00:00:00+05:30,515.0,532.0,506.1,526.04,4308
2015-01-29 00:00:00+05:30,534.95,561.85,505.5,534.5,17045
2015-01-30 00:00:00+05:30,549.95,554.95,521.5,535.29,2421
2015-02-02 00:00:00+05:30,539.9,560.0,522.0,557.2,7870
2015-02-03 00:00:00+05:30,555.0,561.95,535.1,550.9,3930
2015-02-04 00:00:00+05:30,546.0,574.9,546.0,561.35,4281
2015-02-05 00:00:00+05:30,567.4,574.0,545.45,549.75,1017
2015-02-06 00:00:00+05:30,531.1,566.2,531.04,545.25,2322
2015-02-09 00:00:00+05:30,542.0,569.0,536.4,540.45,2211
2015-02-10 00:00:00+05:30,551.65,570.4,540.04,550.65,3957
2015-02-11 00:00:00+05:30,550.65,560.0,540.0,547.1,1286
2015-02-12 00:00:00+05:30,545.0,559.0,533.85,546.85,1060
2015-02-13 00:00:00+05:30,540.0,542.7,521.0,523.75,2352
2015-02-16 00:00:00+05:30,543.75,543.75,525.0,532.45,360
2015-02-18 00:00:00+05:30,536.0,547.45,525.0,533.7,1078
2015-02-19 00:00:00+05:30,530.04,544.4,520.0,524.25,642
2015-02-20 00:00:00+05:30,532.45,544.95,520.0,529.04,1358
2015-02-23 00:00:00+05:30,540.0,546.95,530.0,538.0,499
2015-02-24 00:00:00+05:30,535.25,541.5,521.0,533.25,914
2015-02-25 00:00:00+05:30,541.0,549.4,523.0,529.7,491
2015-02-26 00:00:00+05:30,534.95,535.2,513.4,527.0,1443
2015-02-27 00:00:00+05:30,520.04,534.79,515.25,528.4,359
2015-03-02 00:00:00+05:30,515.0,523.75,490.0,498.9,2194
2015-03-03 00:00:00+05:30,505.0,514.45,495.0,508.4,792
2015-03-04 00:00:00+05:30,515.1,515.1,497.5,504.2,1184
2015-03-05 00:00:00+05:30,503.0,519.6,493.0,510.15,539
2015-03-09 00:00:00+05:30,486.95,513.7,486.95,498.15,524
2015-03-10 00:00:00+05:30,502.0,514.0,496.0,507.2,611
2015-03-11 00:00:00+05:30,504.0,512.5,488.05,500.6,937
2015-03-12 00:00:00+05:30,495.0,508.5,490.3,492.3,754
2015-03-13 00:00:00+05:30,505.5,505.5,490.0,494.25,493
2015-03-16 00:00:00+05:30,498.05,522.04,498.05,512.0,1192
2015-03-17 00:00:00+05:30,520.0,522.04,490.0,513.5,768
2015-03-18 00:00:00+05:30,520.65,521.9,496.2,508.6,186
2015-03-19 00:00:00+05:30,500.5,521.5,500.0,509.15,1095
2015-03-20 00:00:00+05:30,506.05,509.95,491.0,501.8,929
2015-03-23 00:00:00+05:30,499.0,514.0,493.05,499.45,1314
2015-03-24 00:00:00+05:30,492.9,507.0,492.25,499.5,243
2015-03-25 00:00:00+05:30,505.0,505.0,505.0,505.0,20
2015-03-26 00:00:00+05:30,519.0,519.0,482.0,501.2,1285
2015-03-27 00:00:00+05:30,501.0,506.0,483.0,491.05,319
2015-03-30 00:00:00+05:30,505.0,509.9,499.5,508.35,115
2015-03-31 00:00:00+05:30,503.0,518.25,499.0,501.0,157
2015-04-01 00:00:00+05:30,499.0,519.0,495.0,512.2,238
2015-04-06 00:00:00+05:30,518.95,531.0,510.0,519.95,306
2015-04-07 00:00:00+05:30,522.04,522.04,501.0,517.0,607
2015-04-08 00:00:00+05:30,510.0,521.75,496.1,506.95,927
2015-04-09 00:00:00+05:30,511.0,512.0,490.15,504.25,1948
2015-04-10 00:00:00+05:30,508.85,534.95,504.0,528.79,2683
2015-04-13 00:00:00+05:30,530.4,563.0,530.4,553.65,3327
2015-04-15 00:00:00+05:30,565.0,630.0,564.95,580.79,41780
2015-04-16 00:00:00+05:30,580.79,589.5,565.0,572.6,4736
2015-04-17 00:00:00+05:30,577.75,578.4,555.0,561.85,1017
2015-04-20 00:00:00+05:30,560.0,601.95,560.0,571.54,4657
2015-04-21 00:00:00+05:30,574.0,592.0,569.9,573.65,745
2015-04-22 00:00:00+05:30,585.0,590.0,553.9,576.45,2366
2015-04-23 00:00:00+05:30,584.95,598.9,570.0,575.85,1041
2015-04-24 00:00:00+05:30,579.85,579.9,543.7,559.95,1916
2015-04-27 00:00:00+05:30,573.0,575.0,477.0,540.6,857
2015-04-28 00:00:00+05:30,546.0,546.0,504.0,515.85,2180
2015-04-29 00:00:00+05:30,529.85,552.4,504.05,540.29,2098
2015-04-30 00:00:00+05:30,537.95,565.0,537.95,553.79,1015
2015-05-04 00:00:00+05:30,545.04,580.0,527.95,558.54,1545
2015-05-05 00:00:00+05:30,563.0,574.0,546.0,554.6,1224
2015-05-06 00:00:00+05:30,548.1,552.04,520.0,533.45,1359
2015-05-07 00:00:00+05:30,540.0,544.0,516.04,524.75,407
2015-05-08 00:00:00+05:30,544.95,549.0,524.0,535.85,1387
2015-05-11 00:00:00+05:30,535.0,554.95,521.1,539.4,562
2015-05-12 00:00:00+05:30,540.0,540.0,517.15,522.0,955
2015-05-13 00:00:00+05:30,510.15,530.0,506.25,526.95,1226
2015-05-14 00:00:00+05:30,521.0,545.1,521.0,533.85,434
2015-05-15 00:00:00+05:30,544.79,548.95,517.0,540.29,324
2015-05-18 00:00:00+05:30,542.0,543.0,527.25,535.65,344
2015-05-19 00:00:00+05:30,538.7,558.04,530.0,539.85,1532
2015-05-20 00:00:00+05:30,549.85,549.9,533.0,537.9,441
2015-05-21 00:00:00+05:30,544.0,545.0,530.0,538.0,272
2015-05-22 00:00:00+05:30,533.25,560.0,530.5,545.4,1517
2015-05-25 00:00:00+05:30,550.0,550.0,535.0,538.85,833
2015-05-26 00:00:00+05:30,536.2,545.0,520.4,530.54,1701
2015-05-27 00:00:00+05:30,549.45,624.9,540.0,593.1,20303
2015-05-28 00:00:00+05:30,609.0,609.0,559.95,574.4,2215
2015-05-29 00:00:00+05:30,593.35,597.04,552.0,556.15,810
2015-06-01 00:00:00+05:30,555.0,567.5,550.0,559.7,861
2015-06-02 00:00:00+05:30,556.0,560.0,537.6,550.35,907
2015-06-03 00:00:00+05:30,557.0,560.0,535.0,543.79,1070
2015-06-04 00:00:00+05:30,543.0,560.0,525.0,530.45,3119
