date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,14.0,14.9,14.0,14.9,74530
2015-01-02 00:00:00+05:30,15.2,15.5,14.75,15.15,184560
2015-01-05 00:00:00+05:30,15.0,16.0,15.0,15.45,141180
2015-01-06 00:00:00+05:30,15.0,15.4,14.65,14.8,31860
2015-01-07 00:00:00+05:30,14.65,15.5,14.35,14.7,32270
2015-01-08 00:00:00+05:30,14.75,15.3,14.7,15.0,76570
2015-01-09 00:00:00+05:30,15.0,15.4,14.8,15.05,70090
2015-01-12 00:00:00+05:30,14.9,16.4,14.9,15.75,354780
2015-01-13 00:00:00+05:30,15.6,16.15,15.6,15.95,139880
2015-01-14 00:00:00+05:30,15.8,16.6,15.8,16.35,184840
2015-01-15 00:00:00+05:30,16.4,16.95,16.4,16.65,129060
2015-01-16 00:00:00+05:30,16.2,17.4,16.2,16.9,197660
2015-01-19 00:00:00+05:30,16.1,17.5,16.1,17.05,83230
2015-01-20 00:00:00+05:30,17.5,18.1,16.85,17.35,373310
2015-01-21 00:00:00+05:30,17.8,17.8,16.55,16.75,157310
2015-01-22 00:00:00+05:30,17.0,17.45,16.75,17.25,89160
2015-01-23 00:00:00+05:30,16.9,17.4,16.9,17.1,65460
2015-01-27 00:00:00+05:30,16.9,17.2,16.4,16.6,86730
2015-01-28 00:00:00+05:30,16.4,17.1,15.75,15.95,77610
2015-01-29 00:00:00+05:30,15.8,16.55,15.8,15.85,57810
2015-01-30 00:00:00+05:30,16.1,16.3,15.6,15.9,51360
2015-02-02 00:00:00+05:30,15.9,16.6,15.9,16.05,44420
2015-02-03 00:00:00+05:30,15.75,16.5,15.5,16.25,79280
2015-02-04 00:00:00+05:30,16.0,16.7,15.75,16.5,75660
2015-02-05 00:00:00+05:30,16.0,16.9,15.8,16.05,60650
2015-02-06 00:00:00+05:30,15.75,16.7,15.55,15.65,52270
2015-02-09 00:00:00+05:30,15.3,15.7,15.3,15.45,51730
2015-02-10 00:00:00+05:30,16.4,16.4,15.3,15.45,56860
2015-02-11 00:00:00+05:30,15.55,16.1,15.55,15.8,28530
2015-02-12 00:00:00+05:30,15.3,16.65,15.1,16.15,102720
2015-02-13 00:00:00+05:30,16.0,16.6,15.7,16.35,15510
2015-02-16 00:00:00+05:30,16.35,16.5,15.25,15.6,140390
2015-02-18 00:00:00+05:30,15.3,16.0,15.3,15.85,7640
2015-02-19 00:00:00+05:30,15.6,16.4,15.5,15.65,27320
2015-02-20 00:00:00+05:30,15.5,15.85,15.15,15.45,72100
2015-02-23 00:00:00+05:30,15.35,16.25,15.15,15.45,24250
2015-02-24 00:00:00+05:30,15.3,15.8,15.0,15.25,70730
2015-02-25 00:00:00+05:30,15.15,15.9,14.0,14.5,252280
2015-02-26 00:00:00+05:30,14.5,14.95,14.0,14.45,93880
2015-02-27 00:00:00+05:30,14.5,14.85,14.5,14.65,11260
2015-03-02 00:00:00+05:30,14.15,14.9,14.15,14.5,51850
2015-03-03 00:00:00+05:30,14.5,14.85,14.5,14.6,17940
2015-03-04 00:00:00+05:30,14.5,14.55,14.0,14.05,48190
2015-03-05 00:00:00+05:30,14.1,14.6,14.1,14.35,67770
2015-03-09 00:00:00+05:30,14.2,14.4,13.1,13.65,429080
2015-03-10 00:00:00+05:30,14.5,14.5,13.1,13.4,250810
2015-03-11 00:00:00+05:30,13.4,14.4,13.1,13.5,279290
2015-03-12 00:00:00+05:30,13.35,14.1,13.35,13.7,231150
2015-03-13 00:00:00+05:30,13.6,13.7,13.1,13.25,102330
2015-03-16 00:00:00+05:30,13.05,13.6,12.55,13.05,150700
2015-03-17 00:00:00+05:30,13.05,13.5,12.8,12.9,19160
2015-03-18 00:00:00+05:30,13.0,14.0,12.9,13.35,35750
2015-03-19 00:00:00+05:30,13.4,14.05,13.15,13.3,174600
2015-03-20 00:00:00+05:30,13.3,13.4,13.0,13.1,17180
2015-03-23 00:00:00+05:30,13.8,13.85,12.8,12.8,450280
2015-03-24 00:00:00+05:30,12.7,12.9,12.2,12.6,115950
2015-03-25 00:00:00+05:30,12.6,13.0,12.2,12.3,140440
2015-03-26 00:00:00+05:30,12.75,12.75,11.55,12.05,105090
2015-03-27 00:00:00+05:30,11.9,12.45,11.5,11.75,185870
2015-03-30 00:00:00+05:30,12.3,12.5,12.0,12.25,21100
2015-03-31 00:00:00+05:30,12.3,12.45,12.1,12.25,11750
2015-04-01 00:00:00+05:30,12.25,12.9,12.25,12.7,32770
2015-04-06 00:00:00+05:30,12.5,14.25,12.5,13.65,215650
