date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,45.8,47.5,44.23,44.95,633150
2015-01-02 00:00:00+05:30,45.3,45.88,43.8,45.04,167100
2015-01-05 00:00:00+05:30,45.4,45.4,44.11,44.6,89930
2015-01-06 00:00:00+05:30,44.3,44.5,43.05,43.28,22790
2015-01-07 00:00:00+05:30,43.0,44.4,41.51,42.76,146870
2015-01-08 00:00:00+05:30,42.75,43.5,42.12,43.03,26930
2015-01-09 00:00:00+05:30,42.24,44.6,42.24,44.3,21350
2015-01-12 00:00:00+05:30,44.0,46.98,43.86,44.11,33150
2015-01-13 00:00:00+05:30,43.89,44.8,43.89,44.0,8370
2015-01-14 00:00:00+05:30,43.5,44.5,43.01,44.0,11970
2015-01-15 00:00:00+05:30,44.5,44.88,44.0,44.01,8640
2015-01-16 00:00:00+05:30,43.65,45.0,43.61,44.71,129350
2015-01-19 00:00:00+05:30,44.26,44.8,43.57,44.04,28760
2015-01-20 00:00:00+05:30,44.5,44.5,43.5,43.5,217100
2015-01-21 00:00:00+05:30,44.5,44.5,42.0,42.25,13890
2015-01-22 00:00:00+05:30,43.5,43.5,42.0,42.08,35070
2015-01-23 00:00:00+05:30,41.9,42.5,41.1,41.55,95380
2015-01-27 00:00:00+05:30,41.5,42.21,41.0,41.87,84390
2015-01-28 00:00:00+05:30,42.4,42.5,42.1,42.1,46520
2015-01-29 00:00:00+05:30,43.0,43.47,42.21,42.43,59760
2015-01-30 00:00:00+05:30,42.43,43.5,42.1,42.34,29050
2015-02-02 00:00:00+05:30,42.19,43.0,41.49,42.85,113890
2015-02-03 00:00:00+05:30,43.0,43.46,41.51,41.57,6870
2015-02-04 00:00:00+05:30,42.3,42.44,40.8,41.15,14390
2015-02-05 00:00:00+05:30,41.1,41.3,41.01,41.01,6940
2015-02-06 00:00:00+05:30,42.35,43.35,41.01,41.65,30160
2015-02-09 00:00:00+05:30,41.61,42.05,40.24,41.89,41360
2015-02-10 00:00:00+05:30,41.13,42.37,40.0,40.24,10570
2015-02-11 00:00:00+05:30,40.76,40.76,37.05,37.3,48440
2015-02-12 00:00:00+05:30,37.32,39.2,36.52,38.1,46140
2015-02-13 00:00:00+05:30,38.5,40.9,37.2,38.93,53640
2015-02-16 00:00:00+05:30,40.07,40.07,38.55,39.05,10410
2015-02-18 00:00:00+05:30,39.97,40.28,38.3,38.98,31930
2015-02-19 00:00:00+05:30,38.81,39.27,38.38,38.59,47400
2015-02-20 00:00:00+05:30,39.99,39.99,38.5,38.91,20880
2015-02-23 00:00:00+05:30,39.0,39.48,38.53,38.62,5670
2015-02-24 00:00:00+05:30,38.5,38.97,38.02,38.11,5500
2015-02-25 00:00:00+05:30,38.2,39.6,38.2,39.0,19810
2015-02-26 00:00:00+05:30,38.21,38.78,37.02,37.36,30200
2015-02-27 00:00:00+05:30,37.65,38.26,36.4,36.61,14080
2015-03-02 00:00:00+05:30,37.4,38.9,35.8,36.1,34430
2015-03-03 00:00:00+05:30,37.0,39.5,36.99,38.84,38970
2015-03-04 00:00:00+05:30,38.9,39.36,38.1,38.53,29420
2015-03-05 00:00:00+05:30,39.4,39.4,37.02,38.52,8130
2015-03-09 00:00:00+05:30,39.4,39.4,36.8,37.46,20050
2015-03-10 00:00:00+05:30,37.8,39.0,37.5,38.5,22640
2015-03-11 00:00:00+05:30,39.2,40.3,37.4,38.76,64490
2015-03-12 00:00:00+05:30,38.81,42.0,38.8,39.97,58040
2015-03-13 00:00:00+05:30,39.5,40.6,38.28,39.0,42950
2015-03-16 00:00:00+05:30,39.83,39.89,38.09,38.99,12230
2015-03-17 00:00:00+05:30,38.95,38.95,38.2,38.24,40670
2015-03-18 00:00:00+05:30,38.4,39.9,37.8,38.56,3480
2015-03-19 00:00:00+05:30,38.9,39.5,38.0,38.11,4070
2015-03-20 00:00:00+05:30,38.11,38.8,37.3,37.67,9550
2015-03-23 00:00:00+05:30,38.4,39.8,37.3,38.81,29550
2015-03-24 00:00:00+05:30,39.45,39.45,37.62,37.98,37150
2015-03-25 00:00:00+05:30,37.91,37.91,37.1,37.19,290820
2015-03-26 00:00:00+05:30,37.2,37.5,36.7,36.72,39610
2015-03-27 00:00:00+05:30,36.0,37.49,35.86,36.51,4900
2015-03-30 00:00:00+05:30,35.8,38.05,35.8,37.0,13310
2015-03-31 00:00:00+05:30,37.03,38.3,37.0,37.0,16430
2015-04-01 00:00:00+05:30,37.6,38.5,37.5,37.79,30860
2015-04-06 00:00:00+05:30,37.9,39.7,37.81,39.45,9010
2015-04-07 00:00:00+05:30,39.8,39.88,38.05,38.76,3760
2015-04-08 00:00:00+05:30,40.3,42.49,38.5,42.05,78760
2015-04-09 00:00:00+05:30,42.09,48.2,41.0,47.34,1731600
2015-04-10 00:00:00+05:30,47.62,48.4,45.06,45.7,116620
2015-04-13 00:00:00+05:30,46.75,48.0,46.22,46.95,112640
2015-04-15 00:00:00+05:30,48.2,48.4,45.3,45.96,64460
2015-04-16 00:00:00+05:30,45.81,46.01,44.73,45.05,15620
2015-04-17 00:00:00+05:30,44.8,46.3,44.8,45.7,25000
2015-04-20 00:00:00+05:30,44.5,46.75,41.8,42.06,22920
2015-04-21 00:00:00+05:30,43.2,43.31,41.8,42.62,11610
2015-04-22 00:00:00+05:30,42.4,43.6,41.8,42.38,14290
2015-04-23 00:00:00+05:30,42.53,43.4,41.8,42.37,8600
2015-04-24 00:00:00+05:30,41.85,42.95,39.36,41.0,17680
2015-04-27 00:00:00+05:30,42.4,44.04,40.11,40.46,13820
2015-04-28 00:00:00+05:30,41.09,41.1,38.81,39.2,12120
2015-04-29 00:00:00+05:30,39.5,40.89,39.31,40.2,7420
2015-04-30 00:00:00+05:30,40.0,42.0,40.0,41.75,6810
2015-05-04 00:00:00+05:30,41.2,42.5,41.01,42.31,11520
2015-05-05 00:00:00+05:30,41.54,43.0,41.53,42.09,17960
2015-05-06 00:00:00+05:30,42.0,42.51,40.81,41.75,3470
2015-05-07 00:00:00+05:30,41.2,41.8,40.8,41.34,6060
2015-05-08 00:00:00+05:30,42.6,42.98,40.7,42.07,2140
2015-05-11 00:00:00+05:30,41.8,42.4,41.0,41.32,12500
2015-05-12 00:00:00+05:30,42.2,42.2,41.0,41.7,2860
2015-05-13 00:00:00+05:30,41.01,42.9,41.01,41.11,6190
2015-05-14 00:00:00+05:30,40.6,41.98,40.6,41.79,490
2015-05-15 00:00:00+05:30,41.4,45.21,41.01,44.72,30750
2015-05-18 00:00:00+05:30,43.4,43.5,42.5,42.7,123940
2015-05-19 00:00:00+05:30,42.3,43.9,42.3,43.4,710
2015-05-20 00:00:00+05:30,42.52,44.49,42.5,43.86,20980
2015-05-21 00:00:00+05:30,42.6,44.0,42.52,43.01,5840
2015-05-22 00:00:00+05:30,42.6,44.4,42.25,42.85,6800
2015-05-25 00:00:00+05:30,42.4,43.79,42.09,42.57,8090
2015-05-26 00:00:00+05:30,42.1,43.5,41.67,41.7,3730
2015-05-27 00:00:00+05:30,41.3,43.0,40.4,42.01,2200
2015-05-28 00:00:00+05:30,41.6,46.6,41.6,45.01,20090
2015-05-29 00:00:00+05:30,46.45,47.0,44.51,45.87,36920
2015-06-01 00:00:00+05:30,47.0,47.4,43.0,44.5,150550
2015-06-02 00:00:00+05:30,44.1,45.98,42.3,44.5,55630
2015-06-03 00:00:00+05:30,44.1,45.75,43.7,44.91,32930
2015-06-04 00:00:00+05:30,44.5,44.51,43.15,43.15,2490
2015-06-05 00:00:00+05:30,42.7,45.0,42.7,43.62,3850
2015-06-08 00:00:00+05:30,43.2,44.5,41.88,43.31,7240
2015-06-09 00:00:00+05:30,43.7,45.0,42.57,43.19,3120
2015-06-10 00:00:00+05:30,42.8,44.8,42.8,43.06,3570
2015-06-11 00:00:00+05:30,42.87,42.87,41.47,41.73,46650
2015-06-12 00:00:00+05:30,42.99,42.99,42.8,42.8,290
2015-06-15 00:00:00+05:30,42.0,42.9,42.0,42.13,26820
2015-06-16 00:00:00+05:30,42.99,43.0,42.99,43.0,31980
2015-06-17 00:00:00+05:30,42.94,43.69,42.4,42.99,23870
2015-06-18 00:00:00+05:30,42.99,44.6,42.4,44.0,111070
2015-06-19 00:00:00+05:30,44.0,45.95,43.01,44.92,5450
2015-06-22 00:00:00+05:30,45.3,45.3,43.5,43.74,81350
2015-06-23 00:00:00+05:30,43.5,44.2,42.98,43.0,84790
2015-06-24 00:00:00+05:30,42.8,44.5,42.8,43.02,3710
2015-06-25 00:00:00+05:30,43.0,44.4,43.0,43.62,32670
2015-06-26 00:00:00+05:30,43.13,43.7,43.0,43.19,14610
2015-06-29 00:00:00+05:30,43.4,43.4,42.0,42.17,17470
2015-06-30 00:00:00+05:30,42.98,44.32,41.7,43.0,32940
2015-07-01 00:00:00+05:30,43.79,45.3,42.3,42.55,57720
2015-07-02 00:00:00+05:30,42.65,43.37,42.02,42.5,12400
2015-07-03 00:00:00+05:30,42.99,44.3,42.7,42.98,36020
2015-07-06 00:00:00+05:30,42.94,44.79,42.94,44.03,430000
2015-07-07 00:00:00+05:30,44.0,44.0,42.73,43.07,9290
2015-07-08 00:00:00+05:30,43.4,43.4,41.47,43.0,2630
2015-07-09 00:00:00+05:30,42.6,44.82,42.6,44.12,44330
2015-07-10 00:00:00+05:30,43.7,47.46,43.7,46.0,72530
2015-07-13 00:00:00+05:30,46.0,50.21,46.0,49.87,90680
2015-07-14 00:00:00+05:30,50.87,52.85,50.0,50.61,54730
2015-07-15 00:00:00+05:30,49.0,51.79,48.0,50.97,35330
2015-07-16 00:00:00+05:30,50.1,53.8,50.1,52.22,290500
2015-07-17 00:00:00+05:30,52.22,55.54,51.82,54.67,70850
2015-07-20 00:00:00+05:30,55.0,59.88,55.0,57.72,92240
2015-07-21 00:00:00+05:30,58.0,61.3,54.3,57.93,81300
2015-07-22 00:00:00+05:30,57.5,58.9,56.21,58.62,7800
2015-07-23 00:00:00+05:30,57.3,60.4,57.3,59.34,339990
2015-07-24 00:00:00+05:30,59.0,61.85,59.0,60.64,254650
2015-07-27 00:00:00+05:30,59.02,61.89,57.86,61.2,122440
2015-07-28 00:00:00+05:30,60.0,62.0,60.0,60.85,288130
2015-07-29 00:00:00+05:30,60.5,61.8,59.5,61.59,46330
2015-07-30 00:00:00+05:30,62.6,63.0,60.25,61.07,7850
2015-07-31 00:00:00+05:30,62.5,63.0,53.22,59.21,111160
2015-08-03 00:00:00+05:30,59.7,59.89,56.51,57.4,12520
2015-08-04 00:00:00+05:30,59.0,59.7,56.4,58.2,44230
2015-08-05 00:00:00+05:30,59.4,69.85,58.69,69.54,588000
2015-08-06 00:00:00+05:30,71.0,71.0,64.2,65.54,167440
2015-08-07 00:00:00+05:30,64.13,69.9,63.9,67.73,44630
2015-08-10 00:00:00+05:30,67.8,69.5,65.0,65.43,42230
2015-08-11 00:00:00+05:30,65.5,65.5,63.0,63.93,34400
2015-08-12 00:00:00+05:30,64.0,64.0,60.5,61.06,14740
2015-08-13 00:00:00+05:30,61.06,63.3,60.3,61.23,23590
2015-08-14 00:00:00+05:30,61.1,61.5,60.6,61.48,41630
2015-08-17 00:00:00+05:30,62.5,62.5,60.53,61.2,2530
2015-08-18 00:00:00+05:30,60.2,61.9,60.2,61.31,15120
2015-08-19 00:00:00+05:30,61.52,64.4,60.62,64.0,16700
2015-08-20 00:00:00+05:30,62.6,65.9,61.61,62.6,23700
2015-08-21 00:00:00+05:30,61.5,62.9,61.4,62.02,2290
2015-08-24 00:00:00+05:30,59.8,61.0,55.5,55.94,36410
2015-08-25 00:00:00+05:30,55.9,56.98,46.5,51.24,61860
2015-08-26 00:00:00+05:30,55.5,55.5,52.21,53.38,10490
2015-08-27 00:00:00+05:30,54.7,58.22,54.0,58.15,31300
2015-08-28 00:00:00+05:30,58.8,58.8,55.51,56.62,20680
2015-08-31 00:00:00+05:30,56.0,58.0,56.0,56.93,3500
2015-09-01 00:00:00+05:30,57.42,57.99,52.5,53.75,16730
2015-09-02 00:00:00+05:30,53.3,56.0,53.3,54.0,2880
2015-09-03 00:00:00+05:30,54.5,57.8,54.5,56.2,30460
2015-09-04 00:00:00+05:30,55.8,55.8,52.0,52.98,30550
2015-09-07 00:00:00+05:30,54.0,54.7,50.96,51.39,910
2015-09-08 00:00:00+05:30,50.9,54.8,49.0,50.6,22030
2015-09-09 00:00:00+05:30,51.87,52.9,51.2,51.82,13340
2015-09-10 00:00:00+05:30,51.87,53.7,51.02,51.69,8660
2015-09-11 00:00:00+05:30,54.5,56.34,52.12,53.8,38200
2015-09-14 00:00:00+05:30,53.9,53.9,52.2,53.89,180
2015-09-15 00:00:00+05:30,53.89,53.89,52.17,52.3,1290
2015-09-16 00:00:00+05:30,52.1,53.9,52.1,52.7,24390
2015-09-18 00:00:00+05:30,54.5,56.0,53.5,53.72,17490
2015-09-21 00:00:00+05:30,55.99,55.99,53.5,54.0,22000
2015-09-22 00:00:00+05:30,54.05,54.05,51.3,51.75,15750
2015-09-23 00:00:00+05:30,53.0,53.0,51.7,51.7,1570
2015-09-24 00:00:00+05:30,51.8,52.49,51.25,51.87,8480
2015-09-28 00:00:00+05:30,52.2,53.0,51.1,51.8,4360
2015-09-29 00:00:00+05:30,51.25,51.6,50.5,50.56,20720
2015-09-30 00:00:00+05:30,52.48,52.48,51.11,51.8,11060
2015-10-01 00:00:00+05:30,52.6,52.6,51.01,51.94,490
2015-10-05 00:00:00+05:30,51.0,52.47,50.61,51.53,3720
2015-10-06 00:00:00+05:30,52.1,52.1,48.26,48.57,38460
2015-10-07 00:00:00+05:30,49.5,49.5,47.8,48.63,11450
2015-10-08 00:00:00+05:30,49.5,49.5,48.54,48.92,5990
2015-10-09 00:00:00+05:30,49.5,49.5,47.8,47.92,11670
2015-10-12 00:00:00+05:30,49.9,50.79,47.31,47.5,30820
2015-10-13 00:00:00+05:30,48.9,48.9,47.52,48.06,19750
2015-10-14 00:00:00+05:30,48.6,50.1,48.12,49.45,145780
2015-10-15 00:00:00+05:30,50.5,51.48,50.0,50.17,37710
2015-10-16 00:00:00+05:30,51.98,51.98,50.5,50.64,19080
2015-10-19 00:00:00+05:30,50.5,52.0,49.02,49.69,34540
2015-10-20 00:00:00+05:30,49.7,59.63,49.69,52.35,348230
2015-10-21 00:00:00+05:30,53.0,54.0,52.62,53.49,48570
2015-10-23 00:00:00+05:30,54.0,54.9,50.37,51.52,84700
2015-10-26 00:00:00+05:30,51.9,52.8,50.13,50.46,36590
2015-10-27 00:00:00+05:30,50.6,52.1,50.6,51.85,43850
2015-10-28 00:00:00+05:30,51.9,52.33,50.33,51.08,31150
2015-10-29 00:00:00+05:30,53.0,53.0,51.1,51.3,63843
2015-10-30 00:00:00+05:30,52.0,55.5,51.8,52.85,406907
2015-11-02 00:00:00+05:30,57.45,60.5,53.0,57.65,278088
2015-11-03 00:00:00+05:30,58.45,58.65,55.3,56.65,91071
2015-11-04 00:00:00+05:30,56.05,57.3,55.0,55.45,40058
2015-11-05 00:00:00+05:30,55.3,56.8,53.1,53.6,72374
2015-11-06 00:00:00+05:30,54.0,55.4,52.4,53.35,62751
2015-11-09 00:00:00+05:30,53.05,56.2,51.1,54.9,56445
2015-11-10 00:00:00+05:30,55.0,55.6,53.35,53.65,30496
2015-11-11 00:00:00+05:30,53.75,56.0,53.65,55.3,30222
2015-11-13 00:00:00+05:30,54.65,56.5,53.7,55.05,45937
2015-11-16 00:00:00+05:30,57.0,57.0,54.2,54.4,10151
2015-11-17 00:00:00+05:30,54.3,55.5,54.25,54.55,22206
2015-11-18 00:00:00+05:30,54.35,55.4,51.8,53.3,25470
2015-11-19 00:00:00+05:30,53.25,54.45,52.6,52.85,42359
2015-11-20 00:00:00+05:30,53.5,55.0,52.85,54.05,41778
2015-11-23 00:00:00+05:30,53.35,57.05,52.0,55.9,96944
2015-11-24 00:00:00+05:30,56.5,58.5,54.9,57.5,126416
2015-11-26 00:00:00+05:30,57.5,58.75,56.5,57.1,49829
2015-11-27 00:00:00+05:30,56.95,58.05,56.65,57.0,16936
2015-11-30 00:00:00+05:30,58.75,58.8,56.55,58.4,49612
2015-12-01 00:00:00+05:30,58.4,59.9,58.4,59.55,57276
2015-12-02 00:00:00+05:30,59.55,65.5,59.5,64.7,140326
2015-12-03 00:00:00+05:30,65.55,69.0,63.55,64.2,113959
2015-12-04 00:00:00+05:30,63.85,69.8,63.1,65.7,182691
2015-12-07 00:00:00+05:30,67.0,69.05,66.84,68.05,103329
2015-12-08 00:00:00+05:30,67.95,69.5,64.55,65.05,37017
2015-12-09 00:00:00+05:30,64.15,64.15,61.0,61.4,47530
2015-12-10 00:00:00+05:30,61.5,62.7,60.45,62.45,21411
2015-12-11 00:00:00+05:30,62.65,64.9,61.25,62.9,47863
2015-12-14 00:00:00+05:30,62.9,63.5,61.0,62.85,13683
2015-12-15 00:00:00+05:30,63.95,75.4,63.8,73.65,1198148
2015-12-16 00:00:00+05:30,75.0,75.8,70.5,71.7,344408
2015-12-17 00:00:00+05:30,72.5,77.4,72.5,75.0,542732
2015-12-18 00:00:00+05:30,75.25,76.2,73.9,74.4,232175
2015-12-21 00:00:00+05:30,74.45,76.5,74.45,75.7,59434
2015-12-22 00:00:00+05:30,75.7,76.75,75.2,76.3,66360
2015-12-23 00:00:00+05:30,77.0,82.75,76.5,78.75,157608
2015-12-24 00:00:00+05:30,79.8,82.8,78.15,79.25,158990
2015-12-28 00:00:00+05:30,79.5,80.75,78.0,78.75,49500
2015-12-29 00:00:00+05:30,78.05,79.0,76.0,76.8,36004
2015-12-30 00:00:00+05:30,79.0,81.9,76.5,78.45,74064
2015-12-31 00:00:00+05:30,79.0,80.25,78.0,78.15,44764
2016-01-01 00:00:00+05:30,78.8,79.0,77.55,78.1,21668
2016-01-04 00:00:00+05:30,78.95,83.4,78.05,82.9,251071
2016-01-05 00:00:00+05:30,84.1,90.0,83.1,88.35,295612
2016-01-06 00:00:00+05:30,89.4,91.2,83.9,85.7,175856
2016-01-07 00:00:00+05:30,84.0,85.0,79.2,80.4,118456
2016-01-08 00:00:00+05:30,82.0,85.0,79.4,81.85,142647
2016-01-11 00:00:00+05:30,79.8,79.8,74.0,74.95,277314
2016-01-12 00:00:00+05:30,75.1,78.5,69.0,70.0,316073
2016-01-13 00:00:00+05:30,71.4,73.3,60.0,65.5,323469
2016-01-14 00:00:00+05:30,63.8,65.2,60.5,64.7,174450
2016-01-15 00:00:00+05:30,65.3,67.0,58.65,59.55,196949
2016-01-18 00:00:00+05:30,61.0,61.0,55.55,59.4,70795
2016-01-19 00:00:00+05:30,60.9,60.9,57.15,58.05,147249
2016-01-20 00:00:00+05:30,58.0,59.7,50.2,55.7,141227
2016-01-21 00:00:00+05:30,59.9,62.0,55.1,59.55,118486
2016-01-22 00:00:00+05:30,60.9,64.0,60.05,62.75,240288
2016-01-25 00:00:00+05:30,66.75,67.75,59.25,60.2,321737
2016-01-27 00:00:00+05:30,60.9,65.75,58.85,64.7,179989
2016-01-28 00:00:00+05:30,65.8,65.8,60.6,61.25,83633
2016-01-29 00:00:00+05:30,61.9,63.0,60.75,61.85,45993
2016-02-01 00:00:00+05:30,62.3,63.75,59.9,61.15,62177
2016-02-02 00:00:00+05:30,61.85,62.5,60.9,61.2,55965
2016-02-03 00:00:00+05:30,60.5,61.25,57.95,58.65,51748
2016-02-04 00:00:00+05:30,59.35,60.5,57.25,57.9,52414
2016-02-05 00:00:00+05:30,58.8,63.0,56.85,62.6,101975
2016-02-08 00:00:00+05:30,62.1,62.8,59.8,60.1,33526
2016-02-09 00:00:00+05:30,59.05,59.85,57.25,57.8,39831
2016-02-10 00:00:00+05:30,58.1,59.0,56.0,57.6,81408
2016-02-11 00:00:00+05:30,57.05,57.05,50.2,51.5,120980
2016-02-12 00:00:00+05:30,54.6,57.2,48.0,55.85,214351
2016-02-15 00:00:00+05:30,57.2,59.9,57.2,58.75,39349
2016-02-16 00:00:00+05:30,58.4,59.95,55.25,55.65,34161
2016-02-17 00:00:00+05:30,56.25,56.9,54.05,55.8,20953
2016-02-18 00:00:00+05:30,56.85,58.0,54.8,56.45,44170
2016-02-19 00:00:00+05:30,55.05,56.45,54.6,55.45,12489
2016-02-22 00:00:00+05:30,56.85,58.0,55.55,56.7,20657
2016-02-23 00:00:00+05:30,57.9,57.9,55.25,56.55,18940
2016-02-24 00:00:00+05:30,56.1,56.9,52.15,53.2,30877
2016-02-25 00:00:00+05:30,53.2,54.25,52.1,52.55,16203
2016-02-26 00:00:00+05:30,52.85,54.4,50.0,51.2,56564
2016-02-29 00:00:00+05:30,50.05,52.2,50.05,51.8,23383
2016-03-01 00:00:00+05:30,51.75,59.4,51.35,58.4,74069
2016-03-02 00:00:00+05:30,58.0,60.2,57.4,57.75,35141
2016-03-03 00:00:00+05:30,57.45,59.0,56.55,58.2,24976
2016-03-04 00:00:00+05:30,59.1,63.05,59.1,61.4,89636
2016-03-08 00:00:00+05:30,61.9,64.0,60.6,62.0,56476
2016-03-09 00:00:00+05:30,62.05,62.05,59.4,61.65,21677
2016-03-10 00:00:00+05:30,61.9,62.9,60.6,61.3,18484
2016-03-11 00:00:00+05:30,61.05,65.25,60.0,63.95,186919
2016-03-14 00:00:00+05:30,64.0,66.9,63.9,65.8,115002
2016-03-15 00:00:00+05:30,65.8,68.25,64.6,66.45,82495
2016-03-16 00:00:00+05:30,67.8,68.3,64.0,65.6,33677
2016-03-17 00:00:00+05:30,65.9,66.9,64.0,64.45,22050
2016-03-18 00:00:00+05:30,64.9,66.85,62.7,65.2,93621
2016-03-21 00:00:00+05:30,64.4,66.45,62.2,63.65,51011
2016-03-22 00:00:00+05:30,63.25,63.95,60.8,61.55,45739
2016-03-23 00:00:00+05:30,61.55,66.8,60.75,63.3,108486
