date,open,high,low,close,volume
2021-11-23 00:00:00+05:30,3.65,4.25,3.25,4.25,325060
2021-11-24 00:00:00+05:30,4.65,4.7,4.65,4.7,443200
2021-11-25 00:00:00+05:30,4.9,5.15,4.85,5.15,2614980
2021-11-26 00:00:00+05:30,5.3,5.65,5.3,5.65,1964020
2021-11-29 00:00:00+05:30,5.75,5.9,5.4,5.4,2550560
2021-11-30 00:00:00+05:30,5.15,5.65,5.15,5.55,2449060
2021-12-01 00:00:00+05:30,5.65,5.65,5.45,5.5,1840400
2021-12-02 00:00:00+05:30,5.5,5.7,5.35,5.4,1844860
2021-12-03 00:00:00+05:30,5.15,5.5,5.15,5.35,1359820
2021-12-06 00:00:00+05:30,5.3,5.5,5.2,5.25,1698580
2021-12-07 00:00:00+05:30,5.25,5.45,5.25,5.35,500280
2021-12-08 00:00:00+05:30,5.35,5.65,5.35,5.5,722940
2021-12-09 00:00:00+05:30,5.25,5.75,5.25,5.4,648400
2021-12-10 00:00:00+05:30,5.4,5.6,5.35,5.55,748760
2021-12-13 00:00:00+05:30,5.65,5.85,5.5,5.65,483000
2021-12-14 00:00:00+05:30,5.65,5.9,5.65,5.75,749220
2021-12-15 00:00:00+05:30,5.8,6.0,5.7,5.8,580560
2021-12-16 00:00:00+05:30,6.0,6.0,5.75,5.75,408860
2021-12-17 00:00:00+05:30,5.85,5.85,5.55,5.65,757960
2021-12-20 00:00:00+05:30,5.65,5.65,5.4,5.45,471820
2021-12-21 00:00:00+05:30,5.65,5.65,5.6,5.65,317380
2021-12-22 00:00:00+05:30,5.7,5.7,5.7,5.7,418220
2021-12-23 00:00:00+05:30,5.85,5.85,5.8,5.8,565260
2021-12-24 00:00:00+05:30,5.9,5.9,5.8,5.85,455480
2021-12-27 00:00:00+05:30,6.05,6.15,5.9,6.15,49620
2021-12-28 00:00:00+05:30,6.45,6.45,6.45,6.45,222460
2021-12-29 00:00:00+05:30,6.75,6.75,6.75,6.75,3719980
2021-12-30 00:00:00+05:30,7.1,7.1,7.1,7.1,2521540
2021-12-31 00:00:00+05:30,7.45,7.45,7.35,7.45,3221140
2022-01-03 00:00:00+05:30,7.8,7.8,7.8,7.8,422040
2022-01-04 00:00:00+05:30,8.2,8.2,7.8,8.2,8229880
2022-01-05 00:00:00+05:30,8.6,8.6,8.1,8.6,4478260
2022-01-06 00:00:00+05:30,8.65,9.0,8.45,9.0,8204120
2022-01-07 00:00:00+05:30,9.45,9.45,9.2,9.45,5164240
2022-01-10 00:00:00+05:30,9.95,9.95,9.95,9.95,3322980
2022-01-11 00:00:00+05:30,10.4,10.4,9.45,9.45,17459200
2022-01-12 00:00:00+05:30,8.95,8.95,8.95,8.95,444680
2022-01-13 00:00:00+05:30,8.5,8.5,8.5,8.5,180900
2022-01-14 00:00:00+05:30,8.1,8.1,8.1,8.1,894680
2022-01-17 00:00:00+05:30,7.7,8.5,7.7,8.5,4088920
2022-01-18 00:00:00+05:30,8.9,8.9,8.5,8.65,1980420
2022-01-19 00:00:00+05:30,8.85,8.85,8.45,8.75,1096440
2022-01-20 00:00:00+05:30,8.65,8.65,8.3,8.3,969800
2022-01-21 00:00:00+05:30,7.9,8.7,7.9,8.5,1716420
2022-01-24 00:00:00+05:30,8.85,8.9,8.05,8.1,751140
2022-01-25 00:00:00+05:30,7.85,8.5,7.7,8.4,641880
2022-01-27 00:00:00+05:30,8.0,8.4,8.0,8.2,677180
2022-01-28 00:00:00+05:30,8.2,8.6,7.8,8.55,2183720
2022-01-31 00:00:00+05:30,8.8,8.9,8.6,8.85,4985700
2022-02-01 00:00:00+05:30,9.1,9.1,8.4,8.4,871440
2022-02-02 00:00:00+05:30,8.15,8.75,8.0,8.4,703340
2022-02-03 00:00:00+05:30,8.15,8.4,8.0,8.15,781400
2022-02-04 00:00:00+05:30,8.15,8.2,7.75,8.05,1347280
2022-02-07 00:00:00+05:30,8.05,8.35,7.65,8.15,3092340
2022-02-08 00:00:00+05:30,8.35,8.5,8.2,8.25,1935460
2022-02-09 00:00:00+05:30,8.25,8.25,7.8,8.0,1645200
2022-02-10 00:00:00+05:30,8.05,8.05,7.6,7.7,1143760
2022-02-11 00:00:00+05:30,7.85,8.0,7.35,7.4,2182460
2022-02-14 00:00:00+05:30,7.4,7.4,7.0,7.0,1078040
2022-02-15 00:00:00+05:30,6.75,6.85,6.65,6.65,753160
2022-02-16 00:00:00+05:30,6.35,7.0,6.35,7.0,1790520
2022-02-17 00:00:00+05:30,7.35,7.35,7.15,7.35,3953480
2022-02-18 00:00:00+05:30,7.5,7.55,7.35,7.5,2487100
