date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,720.0,720.0,702.2,706.5,7415
2015-01-02 00:00:00+05:30,710.8,720.0,710.8,717.95,5160
2015-01-05 00:00:00+05:30,722.0,722.4,707.35,711.0,34635
2015-01-06 00:00:00+05:30,710.0,715.4,693.0,698.0,2930
2015-01-07 00:00:00+05:30,693.0,711.6,685.8,694.15,6255
2015-01-08 00:00:00+05:30,687.4,718.2,687.4,692.8,5950
2015-01-09 00:00:00+05:30,696.05,701.6,684.3,694.65,3230
2015-01-12 00:00:00+05:30,687.2,698.8,684.5,692.05,15785
2015-01-13 00:00:00+05:30,698.0,708.7,678.0,684.35,9100
2015-01-14 00:00:00+05:30,684.2,705.0,684.2,694.75,36405
2015-01-15 00:00:00+05:30,700.0,710.0,700.0,705.35,9695
2015-01-16 00:00:00+05:30,698.5,710.0,696.0,706.85,12320
2015-01-19 00:00:00+05:30,710.0,715.5,709.0,709.5,6235
2015-01-20 00:00:00+05:30,719.8,725.0,705.25,713.4,9795
2015-01-21 00:00:00+05:30,719.0,722.0,710.2,718.9,8845
2015-01-22 00:00:00+05:30,706.7,728.6,687.0,724.7,17855
2015-01-23 00:00:00+05:30,734.15,754.0,721.35,744.0,12170
2015-01-27 00:00:00+05:30,744.0,784.05,743.5,774.9,15005
2015-01-28 00:00:00+05:30,782.4,782.4,747.7,761.35,18445
2015-01-29 00:00:00+05:30,761.35,774.0,760.0,764.0,3855
2015-01-30 00:00:00+05:30,771.9,772.25,754.6,763.9,3335
2015-02-02 00:00:00+05:30,763.95,763.95,750.0,753.35,4735
2015-02-03 00:00:00+05:30,744.3,793.3,742.95,779.85,28620
2015-02-04 00:00:00+05:30,770.05,832.0,770.05,791.5,72460
2015-02-05 00:00:00+05:30,780.0,792.0,757.0,771.5,185670
2015-02-06 00:00:00+05:30,757.4,774.0,742.0,754.75,7870
2015-02-09 00:00:00+05:30,748.05,748.05,726.0,730.1,6570
2015-02-10 00:00:00+05:30,725.0,747.0,723.0,726.0,6690
2015-02-11 00:00:00+05:30,737.95,757.8,726.25,746.05,13675
2015-02-12 00:00:00+05:30,746.0,764.0,746.0,760.1,9215
2015-02-13 00:00:00+05:30,762.0,770.0,753.05,761.45,15520
2015-02-16 00:00:00+05:30,777.8,788.0,752.2,781.9,11025
2015-02-18 00:00:00+05:30,770.5,790.0,766.45,772.5,4580
2015-02-19 00:00:00+05:30,773.0,789.6,760.2,781.95,4630
2015-02-20 00:00:00+05:30,787.0,789.6,776.2,784.35,11145
2015-02-23 00:00:00+05:30,788.0,789.65,772.0,772.95,18515
2015-02-24 00:00:00+05:30,762.8,783.0,762.5,770.4,5150
2015-02-25 00:00:00+05:30,778.0,782.2,761.0,761.5,91465
2015-02-26 00:00:00+05:30,780.0,807.8,780.0,795.3,20940
2015-02-27 00:00:00+05:30,792.0,798.0,780.2,782.2,4150
2015-03-02 00:00:00+05:30,780.4,828.4,780.2,809.65,43190
2015-03-03 00:00:00+05:30,810.0,883.25,803.5,847.35,32830
2015-03-04 00:00:00+05:30,840.2,890.0,836.0,842.05,185495
2015-03-05 00:00:00+05:30,849.4,855.6,830.2,844.25,4250
