date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,103.4,105.15,100.7,103.9,43728
2015-01-02 00:00:00+05:30,104.15,106.35,100.95,104.4,44692
2015-01-05 00:00:00+05:30,105.85,105.9,102.4,102.65,43040
2015-01-06 00:00:00+05:30,104.9,105.35,100.65,101.35,42765
2015-01-07 00:00:00+05:30,101.15,103.9,99.95,103.05,42476
2015-01-08 00:00:00+05:30,104.9,105.6,101.4,102.8,42482
2015-01-09 00:00:00+05:30,101.4,104.3,101.4,102.75,42296
2015-01-12 00:00:00+05:30,101.35,102.9,97.9,100.05,43495
2015-01-13 00:00:00+05:30,99.45,102.35,99.0,102.3,42492
2015-01-14 00:00:00+05:30,100.85,103.4,99.7,103.35,42927
2015-01-15 00:00:00+05:30,102.9,102.9,100.65,101.7,42765
2015-01-16 00:00:00+05:30,102.0,103.25,99.4,101.1,44190
2015-01-19 00:00:00+05:30,101.65,103.3,99.5,101.75,42577
2015-01-20 00:00:00+05:30,101.95,102.9,99.55,100.9,42996
2015-01-21 00:00:00+05:30,101.4,102.4,99.7,101.2,42513
2015-01-22 00:00:00+05:30,101.65,102.8,99.6,100.0,42335
2015-01-23 00:00:00+05:30,100.9,102.7,98.1,100.05,42701
2015-01-27 00:00:00+05:30,98.95,101.4,98.45,99.25,44934
2015-01-28 00:00:00+05:30,99.9,101.4,98.95,100.35,45842
2015-01-29 00:00:00+05:30,99.9,101.4,99.05,100.4,42929
2015-01-30 00:00:00+05:30,100.35,102.9,99.45,102.5,43717
2015-02-02 00:00:00+05:30,101.85,107.25,99.95,103.85,42854
2015-02-03 00:00:00+05:30,101.4,103.85,101.4,103.6,42264
2015-02-04 00:00:00+05:30,102.85,104.9,100.65,103.85,43301
2015-02-05 00:00:00+05:30,102.9,103.8,100.65,101.45,43451
2015-02-06 00:00:00+05:30,101.65,103.65,99.6,102.8,42149
2015-02-09 00:00:00+05:30,101.4,103.3,100.25,100.85,42691
2015-02-10 00:00:00+05:30,100.85,101.9,98.0,101.15,43473
2015-02-11 00:00:00+05:30,101.15,103.9,99.45,103.1,41840
2015-02-12 00:00:00+05:30,102.15,106.3,99.8,102.25,43255
2015-02-13 00:00:00+05:30,101.65,103.4,100.4,101.4,42090
2015-02-16 00:00:00+05:30,101.65,103.8,99.3,100.45,42994
2015-02-18 00:00:00+05:30,101.15,103.8,99.25,101.65,43477
2015-02-19 00:00:00+05:30,101.9,102.4,99.25,100.45,41997
2015-02-20 00:00:00+05:30,100.9,102.65,99.55,100.5,43626
2015-02-23 00:00:00+05:30,100.9,104.9,99.95,100.55,46426
2015-02-24 00:00:00+05:30,100.9,104.7,97.9,102.3,47572
2015-02-25 00:00:00+05:30,101.4,103.35,97.7,98.15,45684
2015-02-26 00:00:00+05:30,99.45,100.4,96.45,98.0,44540
