date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,25.0,25.1,24.9,24.95,768300
2015-01-02 00:00:00+05:30,25.0,25.2,24.9,25.1,254900
2015-01-05 00:00:00+05:30,25.1,25.3,25.1,25.25,277600
2015-01-06 00:00:00+05:30,25.35,25.6,25.3,25.55,386200
2015-01-07 00:00:00+05:30,25.55,25.6,25.45,25.5,285700
2015-01-08 00:00:00+05:30,25.5,25.5,25.15,25.25,164000
2015-01-09 00:00:00+05:30,25.15,25.25,25.05,25.2,859200
2015-01-12 00:00:00+05:30,25.65,25.65,25.25,25.35,239500
2015-01-13 00:00:00+05:30,25.4,25.65,25.4,25.6,214400
2015-01-14 00:00:00+05:30,25.5,25.5,25.3,25.35,1027700
2015-01-15 00:00:00+05:30,25.35,25.5,25.05,25.3,235600
2015-01-16 00:00:00+05:30,25.6,25.95,25.6,25.9,618600
2015-01-19 00:00:00+05:30,26.0,26.15,25.95,26.15,355600
2015-01-20 00:00:00+05:30,26.1,26.4,26.05,26.4,428200
2015-01-21 00:00:00+05:30,26.4,26.55,26.35,26.5,377400
2015-01-22 00:00:00+05:30,26.05,26.5,26.05,26.3,279900
2015-01-23 00:00:00+05:30,26.25,26.45,26.25,26.4,508900
2015-01-27 00:00:00+05:30,26.3,26.35,26.05,26.15,206200
2015-01-28 00:00:00+05:30,26.2,26.35,26.1,26.3,427700
2015-01-29 00:00:00+05:30,26.2,26.3,26.1,26.15,235700
2015-01-30 00:00:00+05:30,26.1,26.15,25.9,26.0,242800
2015-02-02 00:00:00+05:30,26.3,26.35,26.0,26.25,577000
2015-02-03 00:00:00+05:30,26.25,27.0,26.05,26.2,1762800
2015-02-04 00:00:00+05:30,26.1,26.1,25.9,25.95,920400
2015-02-05 00:00:00+05:30,26.0,26.2,26.0,26.0,260600
2015-02-06 00:00:00+05:30,26.1,26.15,25.7,26.1,400900
2015-02-09 00:00:00+05:30,25.8,26.0,25.5,25.8,188500
2015-02-10 00:00:00+05:30,25.85,25.9,25.7,25.8,93100
2015-02-11 00:00:00+05:30,25.9,25.9,25.6,25.65,92200
2015-02-12 00:00:00+05:30,25.6,25.65,25.35,25.45,974600
2015-02-13 00:00:00+05:30,25.55,25.7,25.4,25.45,916900
2015-02-16 00:00:00+05:30,25.45,25.8,25.45,25.6,312500
2015-02-18 00:00:00+05:30,25.25,25.45,25.1,25.3,213800
2015-02-19 00:00:00+05:30,25.3,25.4,25.3,25.3,94300
2015-02-20 00:00:00+05:30,25.25,25.4,25.2,25.4,111500
2015-02-23 00:00:00+05:30,25.4,25.5,25.1,25.15,214300
2015-02-24 00:00:00+05:30,25.2,25.3,24.8,24.85,878200
2015-02-25 00:00:00+05:30,25.0,25.1,24.9,25.0,207100
2015-02-26 00:00:00+05:30,24.75,25.15,24.75,24.95,111500
2015-02-27 00:00:00+05:30,24.85,25.0,24.7,24.75,373100
2015-03-02 00:00:00+05:30,25.25,25.25,25.0,25.15,241000
2015-03-03 00:00:00+05:30,25.15,30.0,24.85,24.9,519500
2015-03-04 00:00:00+05:30,25.0,25.0,24.85,24.9,150700
2015-03-05 00:00:00+05:30,24.85,25.05,24.8,24.9,276500
2015-03-09 00:00:00+05:30,24.7,24.85,24.6,24.7,490000
2015-03-10 00:00:00+05:30,24.7,24.7,24.5,24.65,255800
2015-03-11 00:00:00+05:30,24.65,24.75,24.5,24.5,176900
2015-03-12 00:00:00+05:30,24.7,24.7,24.4,24.6,184300
2015-03-13 00:00:00+05:30,24.6,24.6,24.4,24.4,410200
2015-03-16 00:00:00+05:30,24.5,24.7,24.45,24.55,208700
2015-03-17 00:00:00+05:30,24.55,24.6,24.45,24.6,161000
2015-03-18 00:00:00+05:30,24.55,24.6,24.4,24.45,161500
2015-03-19 00:00:00+05:30,24.65,24.9,24.5,24.5,178100
2015-03-20 00:00:00+05:30,24.55,24.65,24.55,24.6,125600
2015-03-23 00:00:00+05:30,24.85,24.85,24.55,24.6,186100
2015-03-24 00:00:00+05:30,24.6,24.7,24.55,24.6,119600
2015-03-25 00:00:00+05:30,24.6,24.7,24.55,24.65,185200
2015-03-26 00:00:00+05:30,24.65,25.25,24.65,25.15,354800
2015-03-27 00:00:00+05:30,25.1,25.1,24.75,24.8,392800
2015-03-30 00:00:00+05:30,24.7,24.9,24.65,24.75,260900
2015-03-31 00:00:00+05:30,24.7,25.0,24.5,24.75,113500
2015-04-01 00:00:00+05:30,24.7,24.85,24.6,24.7,104700
2015-04-06 00:00:00+05:30,24.9,25.3,24.8,25.2,439800
2015-04-07 00:00:00+05:30,25.3,25.4,25.0,25.1,135400
2015-04-08 00:00:00+05:30,25.1,25.2,25.05,25.1,82800
2015-04-09 00:00:00+05:30,25.0,25.0,24.65,24.75,766800
2015-04-10 00:00:00+05:30,24.85,25.0,24.75,24.95,244400
2015-04-13 00:00:00+05:30,24.95,25.1,24.9,24.95,199000
2015-04-15 00:00:00+05:30,23.9,24.95,23.9,24.75,166000
2015-04-16 00:00:00+05:30,24.8,25.1,24.8,25.0,259100
2015-04-17 00:00:00+05:30,25.0,25.1,24.8,25.05,138200
2015-04-20 00:00:00+05:30,25.05,25.2,25.0,25.15,1780900
2015-04-21 00:00:00+05:30,25.1,25.55,25.1,25.5,774600
2015-04-22 00:00:00+05:30,25.5,25.5,25.0,25.1,653200
2015-04-23 00:00:00+05:30,25.0,25.1,24.9,25.0,154700
2015-04-24 00:00:00+05:30,25.0,25.2,24.9,25.15,198800
2015-04-27 00:00:00+05:30,25.15,25.15,24.9,25.0,1506700
2015-04-28 00:00:00+05:30,25.4,25.4,25.05,25.2,240300
2015-04-29 00:00:00+05:30,25.5,25.5,25.15,25.25,200800
2015-04-30 00:00:00+05:30,25.3,25.4,25.2,25.35,211900
2015-05-04 00:00:00+05:30,25.1,25.25,24.7,25.15,170200
2015-05-05 00:00:00+05:30,25.15,25.2,25.0,25.1,100600
2015-05-06 00:00:00+05:30,25.15,25.35,25.1,25.15,254900
2015-05-07 00:00:00+05:30,25.05,25.25,25.05,25.25,198100
2015-05-08 00:00:00+05:30,25.2,25.25,25.1,25.2,720900
2015-05-11 00:00:00+05:30,25.15,25.25,25.1,25.2,185500
2015-05-12 00:00:00+05:30,25.2,25.35,25.15,25.3,158800
2015-05-13 00:00:00+05:30,25.55,25.55,25.3,25.4,885900
2015-05-14 00:00:00+05:30,25.55,25.75,25.5,25.7,455400
2015-05-15 00:00:00+05:30,25.6,25.7,25.6,25.65,184700
2015-05-18 00:00:00+05:30,25.7,25.95,25.6,25.85,491200
2015-05-19 00:00:00+05:30,25.85,25.85,25.65,25.7,163000
2015-05-20 00:00:00+05:30,25.6,25.6,25.4,25.5,462800
2015-05-21 00:00:00+05:30,25.5,25.6,25.45,25.55,98900
2015-05-22 00:00:00+05:30,25.5,25.5,25.35,25.35,599700
2015-05-25 00:00:00+05:30,25.45,25.45,25.2,25.4,196100
2015-05-26 00:00:00+05:30,25.45,25.45,25.2,25.3,787500
2015-05-27 00:00:00+05:30,25.25,25.35,25.2,25.25,110700
2015-05-28 00:00:00+05:30,25.25,25.3,25.15,25.2,117100
2015-05-29 00:00:00+05:30,25.3,25.3,25.1,25.15,975400
2015-06-01 00:00:00+05:30,25.15,25.25,25.1,25.2,180700
2015-06-02 00:00:00+05:30,25.2,25.25,25.0,25.2,128000
2015-06-03 00:00:00+05:30,25.2,25.3,25.15,25.2,1130500
2015-06-04 00:00:00+05:30,25.2,25.25,25.1,25.15,187400
2015-06-05 00:00:00+05:30,25.1,25.15,24.95,25.0,111500
2015-06-08 00:00:00+05:30,25.0,25.05,24.9,25.0,251400
2015-06-09 00:00:00+05:30,25.0,25.05,24.9,25.0,200100
2015-06-10 00:00:00+05:30,24.95,25.1,24.9,25.05,356500
2015-06-11 00:00:00+05:30,25.0,25.15,24.8,24.95,132400
2015-06-12 00:00:00+05:30,24.85,25.05,24.85,24.9,689600
2015-06-15 00:00:00+05:30,24.9,25.05,24.9,24.95,312500
2015-06-16 00:00:00+05:30,25.0,25.15,25.0,25.0,163200
2015-06-17 00:00:00+05:30,25.0,25.05,24.9,24.95,75200
