date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,2.29,2.45,2.29,2.29,32914
2015-01-02 00:00:00+05:30,2.29,2.4,2.29,2.4,47770
2015-01-05 00:00:00+05:30,2.5,2.5,2.45,2.45,77867
2015-01-06 00:00:00+05:30,2.5,2.54,2.35,2.35,89079
2015-01-07 00:00:00+05:30,2.29,2.45,2.25,2.35,60898
2015-01-08 00:00:00+05:30,2.35,2.45,2.35,2.4,65661
2015-01-09 00:00:00+05:30,2.5,2.5,2.29,2.29,68914
2015-01-12 00:00:00+05:30,2.4,2.4,2.2,2.2,80605
2015-01-13 00:00:00+05:30,2.2,2.29,2.1,2.2,55990
2015-01-14 00:00:00+05:30,2.2,2.29,2.15,2.15,30606
2015-01-15 00:00:00+05:30,2.15,2.25,2.1,2.15,67548
2015-01-16 00:00:00+05:30,2.1,2.25,2.04,2.1,46405
2015-01-19 00:00:00+05:30,2.0,2.2,2.0,2.04,60866
2015-01-20 00:00:00+05:30,2.15,2.15,2.0,2.15,21871
2015-01-21 00:00:00+05:30,2.2,2.2,2.04,2.04,77306
2015-01-22 00:00:00+05:30,2.1,2.1,1.95,2.0,74660
2015-01-23 00:00:00+05:30,2.1,2.1,1.9,1.95,41936
2015-01-27 00:00:00+05:30,1.95,2.0,1.9,1.9,151770
2015-01-28 00:00:00+05:30,1.9,1.9,1.85,1.85,90121
2015-01-29 00:00:00+05:30,1.8,1.85,1.8,1.85,43718
2015-01-30 00:00:00+05:30,1.8,1.9,1.8,1.9,73634
2015-02-02 00:00:00+05:30,1.95,1.95,1.85,1.95,15282
2015-02-03 00:00:00+05:30,2.0,2.0,2.0,2.0,11474
2015-02-04 00:00:00+05:30,2.1,2.1,2.1,2.1,16204
2015-02-05 00:00:00+05:30,2.2,2.2,2.2,2.2,20320
2015-02-06 00:00:00+05:30,2.35,2.4,2.29,2.4,105112
2015-02-09 00:00:00+05:30,2.4,2.45,2.29,2.4,69006
2015-02-10 00:00:00+05:30,2.6,2.6,2.2,2.2,91392
2015-02-11 00:00:00+05:30,2.25,2.25,2.0,2.04,111637
2015-02-12 00:00:00+05:30,2.1,2.25,1.9,2.25,74747
2015-02-13 00:00:00+05:30,2.4,2.4,2.2,2.35,54363
2015-02-16 00:00:00+05:30,2.4,2.54,2.15,2.15,77264
2015-02-18 00:00:00+05:30,2.35,2.35,2.15,2.25,37484
2015-02-19 00:00:00+05:30,2.35,2.35,2.04,2.04,166916
2015-02-20 00:00:00+05:30,2.15,2.2,2.0,2.1,83592
2015-02-23 00:00:00+05:30,1.95,2.29,1.9,2.25,69691
2015-02-24 00:00:00+05:30,2.2,2.29,2.1,2.1,54620
2015-02-25 00:00:00+05:30,2.0,2.25,2.0,2.15,82882
2015-02-26 00:00:00+05:30,2.29,2.29,2.1,2.15,92985
2015-02-27 00:00:00+05:30,2.1,2.29,2.1,2.25,40541
2015-03-02 00:00:00+05:30,2.25,2.25,2.04,2.04,66332
2015-03-03 00:00:00+05:30,2.1,2.1,2.0,2.04,85962
2015-03-04 00:00:00+05:30,2.15,2.15,2.04,2.1,41744
2015-03-05 00:00:00+05:30,2.15,2.2,2.0,2.0,79256
2015-03-09 00:00:00+05:30,2.0,2.04,1.95,2.0,38546
2015-03-10 00:00:00+05:30,1.95,2.15,1.85,1.9,99638
2015-03-11 00:00:00+05:30,1.9,1.9,1.8,1.85,58339
2015-03-12 00:00:00+05:30,1.8,2.0,1.8,1.9,27926
2015-03-13 00:00:00+05:30,1.9,2.0,1.8,1.95,62694
2015-03-16 00:00:00+05:30,2.1,2.1,1.85,1.85,33962
2015-03-17 00:00:00+05:30,1.95,1.95,1.8,1.85,115240
2015-03-18 00:00:00+05:30,1.95,2.0,1.8,1.9,71205
2015-03-19 00:00:00+05:30,2.1,2.1,1.8,1.8,56863
2015-03-20 00:00:00+05:30,1.8,1.9,1.65,1.75,114127
2015-03-23 00:00:00+05:30,2.0,2.0,1.65,1.75,197985
2015-03-24 00:00:00+05:30,1.7,1.75,1.65,1.7,30358
2015-03-25 00:00:00+05:30,1.6,1.75,1.6,1.6,142296
2015-03-26 00:00:00+05:30,1.45,1.7,1.45,1.5,25097
2015-03-27 00:00:00+05:30,1.8,1.8,1.5,1.5,30244
2015-03-30 00:00:00+05:30,1.7,1.75,1.3,1.75,159178
2015-03-31 00:00:00+05:30,2.0,2.0,1.8,1.9,40841
2015-04-01 00:00:00+05:30,2.15,2.15,1.65,1.8,45083
2015-04-06 00:00:00+05:30,2.0,2.0,1.75,1.9,12224
2015-04-07 00:00:00+05:30,2.04,2.04,1.75,1.8,50523
2015-04-08 00:00:00+05:30,1.95,2.0,1.75,1.9,111473
2015-04-09 00:00:00+05:30,2.04,2.04,1.8,1.9,34832
2015-04-10 00:00:00+05:30,1.9,2.04,1.9,2.0,32996
2015-04-13 00:00:00+05:30,2.04,2.1,1.9,1.9,17615
2015-04-15 00:00:00+05:30,2.0,2.1,1.9,2.1,107678
2015-04-16 00:00:00+05:30,2.5,2.5,2.29,2.5,508465
2015-04-17 00:00:00+05:30,2.8,3.0,2.7,3.0,383484
2015-04-20 00:00:00+05:30,3.3,3.3,3.2,3.3,623686
2015-04-21 00:00:00+05:30,3.55,3.55,3.0,3.0,630585
2015-04-22 00:00:00+05:30,3.1,3.1,2.7,2.7,74549
2015-04-23 00:00:00+05:30,2.45,2.95,2.45,2.95,286844
2015-04-24 00:00:00+05:30,3.0,3.2,2.8,2.8,315817
2015-04-27 00:00:00+05:30,2.75,2.9,2.6,2.6,62596
2015-04-28 00:00:00+05:30,2.54,2.85,2.54,2.75,67951
2015-04-29 00:00:00+05:30,2.85,3.0,2.6,2.65,61126
2015-04-30 00:00:00+05:30,2.45,2.7,2.4,2.54,95551
2015-05-04 00:00:00+05:30,2.7,2.7,2.5,2.54,36466
2015-05-05 00:00:00+05:30,2.65,2.7,2.5,2.65,45824
2015-05-06 00:00:00+05:30,2.85,2.85,2.4,2.45,138263
2015-05-07 00:00:00+05:30,2.4,2.5,2.35,2.45,54039
2015-05-08 00:00:00+05:30,2.54,2.54,2.29,2.29,176881
2015-05-11 00:00:00+05:30,2.4,2.45,2.2,2.4,90955
2015-05-12 00:00:00+05:30,2.5,2.5,2.2,2.35,98446
2015-05-13 00:00:00+05:30,2.4,2.4,2.25,2.35,27985
2015-05-14 00:00:00+05:30,2.4,2.4,2.25,2.29,60981
2015-05-15 00:00:00+05:30,2.45,2.5,2.25,2.5,132124
2015-05-18 00:00:00+05:30,2.6,2.75,2.45,2.75,84019
2015-05-19 00:00:00+05:30,2.8,2.9,2.54,2.6,23381
2015-05-20 00:00:00+05:30,2.8,2.8,2.6,2.6,22004
2015-05-21 00:00:00+05:30,2.75,2.75,2.35,2.5,60153
2015-05-22 00:00:00+05:30,2.65,2.65,2.29,2.29,105416
2015-05-25 00:00:00+05:30,2.2,2.5,2.2,2.35,31633
2015-05-26 00:00:00+05:30,2.5,2.5,2.35,2.35,21144
2015-05-27 00:00:00+05:30,2.45,2.5,2.29,2.4,10482
2015-05-28 00:00:00+05:30,2.35,2.5,2.29,2.35,40004
2015-05-29 00:00:00+05:30,2.35,2.45,2.29,2.4,42597
2015-06-01 00:00:00+05:30,2.29,2.5,2.2,2.2,84624
