date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,2.2,2.2,2.2,2.2,2
2015-01-07 00:00:00+05:30,2.29,2.29,2.29,2.29,4
2015-01-08 00:00:00+05:30,2.35,2.35,2.35,2.35,2
2015-01-09 00:00:00+05:30,2.35,2.35,2.35,2.35,2
2015-01-12 00:00:00+05:30,2.45,2.45,2.45,2.45,2
2015-01-13 00:00:00+05:30,2.54,2.54,2.54,2.54,1
2015-01-22 00:00:00+05:30,2.45,2.45,2.45,2.45,1000
2015-01-30 00:00:00+05:30,2.54,2.54,2.54,2.54,1
2015-02-27 00:00:00+05:30,2.45,2.45,2.45,2.45,2505
2015-03-13 00:00:00+05:30,2.35,2.45,2.35,2.45,2
2015-04-10 00:00:00+05:30,2.35,2.35,2.35,2.35,1
2015-04-13 00:00:00+05:30,2.25,2.25,2.25,2.25,1
2015-04-15 00:00:00+05:30,2.25,2.25,2.25,2.25,200
2015-04-16 00:00:00+05:30,2.15,2.15,2.15,2.15,1
2015-04-20 00:00:00+05:30,2.25,2.25,2.25,2.25,168
2015-04-23 00:00:00+05:30,2.15,2.15,2.15,2.15,100
2015-04-24 00:00:00+05:30,2.15,2.15,2.15,2.15,325
2015-04-27 00:00:00+05:30,2.04,2.25,2.04,2.15,3900
2015-04-28 00:00:00+05:30,2.15,2.25,2.04,2.25,6903
2015-04-29 00:00:00+05:30,2.2,2.35,2.15,2.35,1324
2015-04-30 00:00:00+05:30,2.29,2.45,2.25,2.29,5771
2015-05-04 00:00:00+05:30,2.29,2.4,2.29,2.4,4776
2015-05-05 00:00:00+05:30,2.29,2.5,2.29,2.5,10846
2015-05-07 00:00:00+05:30,2.4,2.4,2.4,2.4,2120
2015-05-08 00:00:00+05:30,2.29,2.29,2.29,2.29,4102
2015-05-11 00:00:00+05:30,2.4,2.4,2.29,2.29,818
2015-05-12 00:00:00+05:30,2.2,2.4,2.2,2.4,630
2015-05-13 00:00:00+05:30,2.35,2.35,2.29,2.35,1892
2015-05-14 00:00:00+05:30,2.4,2.4,2.4,2.4,2200
2015-05-15 00:00:00+05:30,2.45,2.45,2.45,2.45,20
2015-05-18 00:00:00+05:30,2.54,2.54,2.54,2.54,1
2015-05-19 00:00:00+05:30,2.65,2.65,2.65,2.65,301
2015-05-20 00:00:00+05:30,2.75,2.75,2.75,2.75,109
2015-05-21 00:00:00+05:30,2.85,2.85,2.85,2.85,636
