date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,6.3,6.3,6.3,6.3,154
2015-01-02 00:00:00+05:30,6.15,6.65,6.15,6.4,4900
2015-01-05 00:00:00+05:30,5.8,6.9,5.8,6.9,200
2015-01-06 00:00:00+05:30,6.35,6.5,6.35,6.5,2138
2015-01-07 00:00:00+05:30,7.05,7.05,6.3,6.35,150
2015-01-08 00:00:00+05:30,6.0,6.75,6.0,6.35,1656
2015-01-09 00:00:00+05:30,6.8,6.8,6.8,6.8,30
2015-01-12 00:00:00+05:30,6.35,6.35,6.35,6.35,300
2015-01-14 00:00:00+05:30,6.85,6.85,6.5,6.5,52
2015-01-15 00:00:00+05:30,6.25,6.25,6.15,6.15,400
2015-01-16 00:00:00+05:30,6.0,6.65,6.0,6.65,159
2015-01-19 00:00:00+05:30,6.0,6.9,6.0,6.2,1986
2015-01-20 00:00:00+05:30,6.7,6.7,6.0,6.1,1004
2015-01-21 00:00:00+05:30,6.15,6.3,6.15,6.15,1111
2015-01-23 00:00:00+05:30,6.6,6.6,6.0,6.15,927
2015-01-27 00:00:00+05:30,6.2,6.25,6.0,6.25,305
2015-01-28 00:00:00+05:30,5.8,5.85,5.7,5.7,910
2015-01-29 00:00:00+05:30,5.3,5.95,5.25,5.25,203
2015-01-30 00:00:00+05:30,5.2,5.6,4.75,5.2,7791
2015-02-04 00:00:00+05:30,5.3,5.5,5.3,5.4,3327
2015-02-05 00:00:00+05:30,5.3,5.3,5.0,5.15,2000
2015-02-06 00:00:00+05:30,5.0,5.0,4.65,4.8,7565
2015-02-09 00:00:00+05:30,5.0,5.25,4.7,5.2,5860
2015-02-10 00:00:00+05:30,4.7,4.7,4.7,4.7,10
2015-02-11 00:00:00+05:30,5.15,5.15,5.15,5.15,1
2015-02-13 00:00:00+05:30,4.75,5.45,4.65,5.45,700
2015-02-16 00:00:00+05:30,5.0,5.3,5.0,5.0,432
2015-02-18 00:00:00+05:30,4.65,5.0,4.5,5.0,650
2015-02-19 00:00:00+05:30,5.3,5.3,5.3,5.3,1172
2015-02-23 00:00:00+05:30,4.84,4.84,4.84,4.84,1695
2015-02-24 00:00:00+05:30,5.3,5.3,5.3,5.3,700
2015-02-25 00:00:00+05:30,5.0,5.2,4.8,4.8,3880
2015-02-26 00:00:00+05:30,5.2,5.2,4.55,5.09,516
2015-02-27 00:00:00+05:30,5.4,5.55,5.15,5.15,1100
2015-03-02 00:00:00+05:30,4.55,5.2,4.55,5.2,37
2015-03-03 00:00:00+05:30,5.2,5.35,4.8,5.35,100
2015-03-04 00:00:00+05:30,5.2,5.55,5.2,5.25,679
2015-03-05 00:00:00+05:30,5.05,5.05,5.05,5.05,500
2015-03-09 00:00:00+05:30,4.8,5.4,4.8,5.05,1603
2015-03-10 00:00:00+05:30,4.84,4.84,4.84,4.84,680
2015-03-11 00:00:00+05:30,5.3,5.3,5.3,5.3,1
2015-03-12 00:00:00+05:30,5.0,5.3,5.0,5.3,1064
2015-03-13 00:00:00+05:30,4.8,5.5,4.8,4.8,485
2015-03-17 00:00:00+05:30,4.8,5.2,4.55,4.55,1021
2015-03-18 00:00:00+05:30,4.59,5.0,4.59,5.0,1219
2015-03-19 00:00:00+05:30,4.65,4.75,4.65,4.75,547
2015-03-20 00:00:00+05:30,4.55,5.0,4.55,5.0,749
2015-03-23 00:00:00+05:30,4.5,5.5,4.5,5.4,501
2015-03-24 00:00:00+05:30,5.25,5.55,5.2,5.55,2000
2015-03-25 00:00:00+05:30,5.3,5.5,5.3,5.5,1000
2015-03-26 00:00:00+05:30,5.2,5.2,4.95,4.95,2039
2015-03-27 00:00:00+05:30,4.55,4.7,4.55,4.59,1164
2015-03-30 00:00:00+05:30,4.2,4.59,4.2,4.59,1951
2015-04-01 00:00:00+05:30,4.7,4.7,4.7,4.7,1000
2015-04-06 00:00:00+05:30,4.55,4.75,4.55,4.75,14
2015-04-07 00:00:00+05:30,4.5,4.75,4.5,4.75,400
2015-04-08 00:00:00+05:30,4.84,4.84,4.84,4.84,116
2015-04-09 00:00:00+05:30,5.0,5.0,4.75,4.75,960
2015-04-10 00:00:00+05:30,4.65,4.65,4.65,4.65,1900
2015-04-13 00:00:00+05:30,4.59,5.09,4.25,4.9,3428
2015-04-15 00:00:00+05:30,4.55,5.3,4.55,5.25,1070
2015-04-16 00:00:00+05:30,4.95,5.15,4.95,5.15,412
2015-04-17 00:00:00+05:30,4.7,5.15,4.65,5.15,3750
2015-04-20 00:00:00+05:30,4.75,5.45,4.75,5.45,3888
2015-04-21 00:00:00+05:30,5.95,5.95,5.45,5.6,981
2015-04-22 00:00:00+05:30,5.7,5.7,5.7,5.7,100
2015-04-23 00:00:00+05:30,5.2,5.2,5.15,5.15,650
2015-04-24 00:00:00+05:30,5.5,5.5,5.5,5.5,500
2015-04-27 00:00:00+05:30,5.09,5.09,5.09,5.09,650
2015-04-28 00:00:00+05:30,5.09,5.4,5.09,5.2,300
2015-04-29 00:00:00+05:30,5.5,5.5,5.5,5.5,100
2015-04-30 00:00:00+05:30,5.45,5.45,5.09,5.25,34
2015-05-05 00:00:00+05:30,5.5,5.5,4.8,4.8,1102
2015-05-06 00:00:00+05:30,4.59,5.09,4.55,5.05,1281
2015-05-07 00:00:00+05:30,5.0,5.0,4.65,4.65,179
2015-05-08 00:00:00+05:30,4.65,4.65,4.59,4.59,50
2015-05-11 00:00:00+05:30,4.65,4.65,4.59,4.59,600
2015-05-14 00:00:00+05:30,4.4,4.55,4.4,4.5,150
2015-05-15 00:00:00+05:30,4.55,4.55,4.4,4.4,505
2015-05-20 00:00:00+05:30,4.3,4.59,4.3,4.59,2798
2015-05-21 00:00:00+05:30,4.59,4.59,4.59,4.59,100
2015-05-22 00:00:00+05:30,4.5,4.5,4.5,4.5,75
