date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,357.35,359.35,353.13,356.1,49686
2015-01-02 00:00:00+05:30,356.5,357.98,352.55,354.63,37542
2015-01-05 00:00:00+05:30,356.95,363.5,355.05,356.3,36858
2015-01-06 00:00:00+05:30,357.53,357.53,343.0,345.25,37430
2015-01-07 00:00:00+05:30,345.5,352.43,340.25,342.68,31448
2015-01-08 00:00:00+05:30,350.0,384.0,348.98,370.43,103324
2015-01-09 00:00:00+05:30,369.25,374.4,360.05,372.33,34794
2015-01-12 00:00:00+05:30,376.2,382.03,362.63,379.98,35072
2015-01-13 00:00:00+05:30,374.0,407.0,372.8,400.43,78840
2015-01-14 00:00:00+05:30,403.2,449.98,403.2,434.2,464016
2015-01-15 00:00:00+05:30,441.5,449.5,424.0,429.28,141336
2015-01-16 00:00:00+05:30,431.45,445.0,427.5,442.08,93106
2015-01-19 00:00:00+05:30,454.5,462.5,445.0,458.6,167098
2015-01-20 00:00:00+05:30,458.88,499.0,458.88,481.05,293380
2015-01-21 00:00:00+05:30,484.95,497.0,462.5,473.88,129688
2015-01-22 00:00:00+05:30,472.73,492.4,472.73,482.75,76944
2015-01-23 00:00:00+05:30,485.38,490.0,460.55,468.15,84586
2015-01-27 00:00:00+05:30,470.0,471.95,447.15,454.28,63036
2015-01-28 00:00:00+05:30,454.0,461.5,442.0,446.78,68042
2015-01-29 00:00:00+05:30,446.85,449.45,440.0,446.75,44782
2015-01-30 00:00:00+05:30,446.35,461.5,446.0,448.48,32792
2015-02-02 00:00:00+05:30,450.0,474.4,448.5,469.4,65606
2015-02-03 00:00:00+05:30,471.0,481.5,464.0,470.48,38192
2015-02-04 00:00:00+05:30,472.0,477.75,458.1,461.9,61452
2015-02-05 00:00:00+05:30,461.5,467.0,445.55,450.55,18718
2015-02-06 00:00:00+05:30,451.85,455.95,435.0,437.88,34194
2015-02-09 00:00:00+05:30,436.5,438.75,425.25,426.7,19840
2015-02-10 00:00:00+05:30,425.0,441.23,415.13,428.43,39248
2015-02-11 00:00:00+05:30,427.5,452.0,425.13,444.53,24220
2015-02-12 00:00:00+05:30,446.18,477.95,446.18,465.1,30524
2015-02-13 00:00:00+05:30,466.5,479.0,466.5,471.43,65158
2015-02-16 00:00:00+05:30,461.5,467.98,444.1,447.63,62528
2015-02-18 00:00:00+05:30,448.98,455.5,443.03,445.78,30446
2015-02-19 00:00:00+05:30,447.45,452.53,434.5,437.3,30240
2015-02-20 00:00:00+05:30,439.0,444.0,434.5,435.2,14030
2015-02-23 00:00:00+05:30,434.03,440.1,415.58,421.25,31896
2015-02-24 00:00:00+05:30,421.0,425.0,402.53,408.38,37332
2015-02-25 00:00:00+05:30,409.95,419.0,402.73,407.73,21330
2015-02-26 00:00:00+05:30,409.0,410.5,402.5,403.83,13086
2015-02-27 00:00:00+05:30,405.0,419.8,402.5,413.98,35280
2015-03-02 00:00:00+05:30,408.5,412.48,403.5,408.9,17664
2015-03-03 00:00:00+05:30,410.48,410.48,381.18,389.88,104358
2015-03-04 00:00:00+05:30,392.98,400.08,390.4,393.03,39378
2015-03-05 00:00:00+05:30,391.5,394.5,383.5,386.93,19196
2015-03-09 00:00:00+05:30,383.5,399.48,383.5,392.48,42318
2015-03-10 00:00:00+05:30,401.5,470.95,401.5,462.58,504454
2015-03-11 00:00:00+05:30,464.95,509.0,441.1,491.98,726430
2015-03-12 00:00:00+05:30,492.45,499.0,476.8,493.73,233732
2015-03-13 00:00:00+05:30,495.0,512.5,486.08,488.65,242028
2015-03-16 00:00:00+05:30,490.25,495.0,475.15,477.4,47866
2015-03-17 00:00:00+05:30,482.0,509.0,477.5,500.4,154452
2015-03-18 00:00:00+05:30,504.0,529.0,502.48,511.2,214164
2015-03-19 00:00:00+05:30,519.38,524.75,491.0,495.1,53904
2015-03-20 00:00:00+05:30,492.5,497.33,470.0,473.05,57150
2015-03-23 00:00:00+05:30,474.35,496.85,474.35,479.53,46292
2015-03-24 00:00:00+05:30,480.88,486.48,473.3,476.5,32750
2015-03-25 00:00:00+05:30,479.9,487.5,465.25,467.7,21372
2015-03-26 00:00:00+05:30,467.5,468.0,451.0,458.48,38082
2015-03-27 00:00:00+05:30,459.5,485.0,459.5,471.18,39552
2015-03-30 00:00:00+05:30,479.85,485.0,475.0,476.45,19706
2015-03-31 00:00:00+05:30,482.5,502.48,468.3,496.58,51538
2015-04-01 00:00:00+05:30,503.5,521.0,492.5,515.25,118064
2015-04-06 00:00:00+05:30,527.5,527.5,496.03,506.48,42868
2015-04-07 00:00:00+05:30,503.0,524.4,496.0,504.63,49692
2015-04-08 00:00:00+05:30,509.48,523.25,502.5,505.68,54142
2015-04-09 00:00:00+05:30,511.35,519.67,491.55,495.1,37580
