date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,77.0,78.0,75.3,77.0,109
2015-01-02 00:00:00+05:30,77.0,79.0,75.75,75.75,3262
2015-01-05 00:00:00+05:30,78.0,79.7,75.0,76.59,6113
2015-01-06 00:00:00+05:30,75.05,77.0,75.0,76.0,1303
2015-01-07 00:00:00+05:30,70.3,77.0,70.0,71.9,3066
2015-01-09 00:00:00+05:30,74.0,77.84,71.7,72.55,1370
2015-01-12 00:00:00+05:30,83.9,84.0,74.55,76.4,2735
2015-01-13 00:00:00+05:30,78.7,78.7,76.5,77.0,390
2015-01-14 00:00:00+05:30,76.55,76.55,75.55,75.55,100
2015-01-16 00:00:00+05:30,75.59,75.59,75.59,75.59,200
2015-01-19 00:00:00+05:30,75.05,78.45,75.0,78.45,54
2015-01-21 00:00:00+05:30,73.45,74.75,73.45,74.75,178
2015-01-22 00:00:00+05:30,75.2,77.0,75.09,77.0,225
2015-01-23 00:00:00+05:30,75.0,76.0,75.0,76.0,411
2015-01-28 00:00:00+05:30,78.5,78.5,78.5,78.5,1
2015-01-30 00:00:00+05:30,73.05,75.95,73.05,75.95,201
2015-02-02 00:00:00+05:30,70.05,75.95,70.0,75.84,225
2015-02-03 00:00:00+05:30,72.2,74.45,71.75,74.45,680
2015-02-04 00:00:00+05:30,69.95,75.2,69.95,75.09,86
2015-02-05 00:00:00+05:30,74.9,74.9,72.5,72.5,200
2015-02-06 00:00:00+05:30,75.0,75.0,67.0,72.0,122
2015-02-09 00:00:00+05:30,65.0,69.95,63.0,66.25,144
2015-02-10 00:00:00+05:30,66.95,66.95,66.95,66.95,50
2015-02-11 00:00:00+05:30,67.09,67.09,67.05,67.05,40
2015-02-13 00:00:00+05:30,65.0,72.0,64.4,72.0,402
2015-02-16 00:00:00+05:30,67.2,75.0,67.2,69.55,1052
2015-02-18 00:00:00+05:30,72.0,74.84,71.9,72.05,8218
2015-02-19 00:00:00+05:30,72.05,72.05,72.0,72.0,250
2015-02-20 00:00:00+05:30,74.59,75.0,74.59,75.0,2
