date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,35.29,35.29,33.54,33.95,263550
2015-01-02 00:00:00+05:30,33.95,34.5,33.29,33.95,331672
2015-01-05 00:00:00+05:30,33.5,34.4,33.45,33.54,162457
2015-01-06 00:00:00+05:30,33.4,33.4,31.75,32.54,390308
2015-01-07 00:00:00+05:30,32.04,32.95,31.8,32.5,284909
2015-01-08 00:00:00+05:30,32.2,34.15,32.2,33.75,253655
2015-01-09 00:00:00+05:30,33.79,35.95,33.7,35.0,1009086
2015-01-12 00:00:00+05:30,34.7,35.0,34.2,34.79,286627
2015-01-13 00:00:00+05:30,34.6,35.15,33.6,34.1,335216
2015-01-14 00:00:00+05:30,33.9,34.5,33.2,34.2,264657
2015-01-15 00:00:00+05:30,34.5,34.75,33.65,34.5,524621
2015-01-16 00:00:00+05:30,34.4,34.75,33.75,34.5,323587
2015-01-19 00:00:00+05:30,34.5,34.79,34.0,34.6,170265
2015-01-20 00:00:00+05:30,34.1,36.45,34.1,34.6,737266
2015-01-21 00:00:00+05:30,34.6,35.2,34.2,34.7,788719
2015-01-22 00:00:00+05:30,34.85,35.65,34.54,35.35,277606
2015-01-23 00:00:00+05:30,35.0,36.5,34.54,36.15,664602
2015-01-27 00:00:00+05:30,37.0,37.0,35.4,35.75,271936
2015-01-28 00:00:00+05:30,35.75,36.0,34.7,35.2,969208
2015-01-29 00:00:00+05:30,35.04,35.9,34.4,35.4,238904
2015-01-30 00:00:00+05:30,35.4,35.95,34.0,35.04,237090
2015-02-02 00:00:00+05:30,35.04,35.25,34.5,35.0,192948
2015-02-03 00:00:00+05:30,35.29,35.35,33.6,34.54,613599
2015-02-04 00:00:00+05:30,34.9,34.9,33.7,34.0,1116827
2015-02-05 00:00:00+05:30,33.79,34.2,32.75,33.54,737310
2015-02-06 00:00:00+05:30,33.75,33.75,32.54,32.95,904661
2015-02-09 00:00:00+05:30,33.9,33.9,26.4,32.79,451304
2015-02-10 00:00:00+05:30,32.7,33.5,32.29,33.0,2555067
2015-02-11 00:00:00+05:30,32.75,34.4,32.5,33.95,436313
2015-02-12 00:00:00+05:30,33.95,35.4,33.5,34.65,536702
2015-02-13 00:00:00+05:30,34.95,35.95,34.1,35.6,921383
2015-02-16 00:00:00+05:30,35.04,36.4,34.9,35.7,548338
2015-02-18 00:00:00+05:30,35.0,36.9,34.9,36.65,832931
2015-02-19 00:00:00+05:30,36.7,37.4,35.85,37.04,1031476
2015-02-20 00:00:00+05:30,37.1,37.45,36.5,36.85,420417
2015-02-23 00:00:00+05:30,37.29,37.29,34.85,36.15,1487506
2015-02-24 00:00:00+05:30,35.29,36.6,35.2,36.29,938972
2015-02-25 00:00:00+05:30,36.25,36.6,34.95,36.15,1477538
2015-02-26 00:00:00+05:30,35.6,36.95,35.6,36.54,722697
2015-02-27 00:00:00+05:30,36.45,36.95,35.5,36.25,1613926
2015-03-02 00:00:00+05:30,36.65,36.65,35.45,35.9,1174612
2015-03-03 00:00:00+05:30,36.1,36.5,35.75,36.35,898935
2015-03-04 00:00:00+05:30,36.5,38.5,35.9,37.29,1183181
2015-03-05 00:00:00+05:30,36.54,38.4,36.54,37.95,634416
2015-03-09 00:00:00+05:30,38.25,38.5,37.1,37.35,308605
2015-03-10 00:00:00+05:30,37.6,39.2,37.4,38.6,923063
2015-03-11 00:00:00+05:30,38.75,39.25,37.29,37.5,293566
2015-03-12 00:00:00+05:30,37.2,37.75,36.79,37.2,389567
2015-03-13 00:00:00+05:30,37.0,37.35,36.2,36.45,392360
2015-03-16 00:00:00+05:30,36.04,36.79,35.45,36.5,445855
2015-03-17 00:00:00+05:30,36.5,36.79,35.79,36.6,325138
2015-03-18 00:00:00+05:30,37.04,37.04,36.2,36.7,253199
2015-03-19 00:00:00+05:30,36.4,38.75,35.95,36.79,3632789
2015-03-20 00:00:00+05:30,36.9,37.7,36.35,37.04,299292
2015-03-23 00:00:00+05:30,36.35,37.4,35.54,36.0,431002
2015-03-24 00:00:00+05:30,36.4,37.0,36.0,36.75,523711
2015-03-25 00:00:00+05:30,36.29,37.5,35.7,37.15,510347
2015-03-26 00:00:00+05:30,37.45,37.6,36.5,36.95,627552
2015-03-27 00:00:00+05:30,36.29,37.65,36.29,37.25,484533
2015-03-30 00:00:00+05:30,37.15,37.7,36.85,37.2,270545
2015-03-31 00:00:00+05:30,37.04,37.7,36.65,37.2,234693
2015-04-01 00:00:00+05:30,37.54,37.54,36.65,37.0,285212
2015-04-06 00:00:00+05:30,36.2,37.25,36.2,37.0,209098
2015-04-07 00:00:00+05:30,37.04,37.04,36.65,37.0,200073
