date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,185.99,189.0,185.6,188.03,27705
2015-01-02 00:00:00+05:30,189.2,192.0,188.6,191.49,33570
2015-01-05 00:00:00+05:30,190.2,193.2,189.81,192.51,27175
2015-01-06 00:00:00+05:30,191.2,193.5,184.99,191.17,54195
2015-01-07 00:00:00+05:30,188.61,194.46,186.8,190.14,13840
2015-01-08 00:00:00+05:30,189.01,196.0,182.46,189.58,23795
2015-01-09 00:00:00+05:30,192.14,192.99,184.01,186.58,14230
2015-01-12 00:00:00+05:30,183.17,193.8,182.26,192.96,15280
2015-01-13 00:00:00+05:30,192.45,194.8,190.0,192.47,16665
2015-01-14 00:00:00+05:30,187.01,199.8,187.01,198.05,31165
2015-01-15 00:00:00+05:30,199.06,203.6,195.04,196.65,35470
2015-01-16 00:00:00+05:30,198.74,208.0,195.0,205.73,44860
2015-01-19 00:00:00+05:30,208.8,209.6,199.99,201.39,38775
2015-01-20 00:00:00+05:30,200.07,208.2,200.06,207.65,28015
2015-01-21 00:00:00+05:30,208.1,209.6,205.03,207.82,15600
2015-01-22 00:00:00+05:30,196.0,197.8,190.41,196.4,194335
2015-01-23 00:00:00+05:30,197.0,200.0,195.8,198.94,24165
2015-01-27 00:00:00+05:30,198.2,202.0,192.37,198.57,24295
2015-01-28 00:00:00+05:30,197.82,200.56,197.81,198.17,34550
2015-01-29 00:00:00+05:30,197.6,201.8,197.47,199.94,28315
2015-01-30 00:00:00+05:30,199.2,199.8,192.17,198.5,7895
2015-02-02 00:00:00+05:30,198.0,200.0,197.59,198.65,6375
2015-02-03 00:00:00+05:30,199.4,199.4,192.6,195.63,1505
2015-02-04 00:00:00+05:30,196.38,199.2,192.22,194.14,4905
2015-02-05 00:00:00+05:30,193.4,194.8,188.0,188.44,4880
2015-02-06 00:00:00+05:30,189.2,192.39,184.0,185.37,7550
2015-02-09 00:00:00+05:30,184.81,184.81,174.0,177.09,9290
2015-02-10 00:00:00+05:30,181.99,186.0,173.2,183.84,13630
2015-02-11 00:00:00+05:30,184.38,187.6,182.79,184.26,2125
2015-02-12 00:00:00+05:30,184.98,184.99,181.0,182.45,4240
2015-02-13 00:00:00+05:30,181.8,184.0,174.01,182.58,14740
2015-02-16 00:00:00+05:30,182.02,183.8,180.0,182.02,8035
2015-02-18 00:00:00+05:30,182.58,184.0,176.01,182.28,11685
2015-02-19 00:00:00+05:30,183.0,185.0,175.61,184.2,17305
2015-02-20 00:00:00+05:30,183.6,189.0,180.4,186.46,30295
2015-02-23 00:00:00+05:30,185.8,189.43,180.0,183.14,26150
2015-02-24 00:00:00+05:30,183.78,188.4,182.4,187.56,18900
2015-02-25 00:00:00+05:30,186.8,191.99,183.03,189.91,32015
2015-02-26 00:00:00+05:30,190.59,195.0,184.42,189.33,36530
2015-02-27 00:00:00+05:30,188.62,190.33,185.61,188.57,5730
2015-03-02 00:00:00+05:30,187.4,187.4,180.0,180.72,16200
2015-03-03 00:00:00+05:30,181.4,187.8,181.01,183.98,15820
2015-03-04 00:00:00+05:30,184.6,187.8,180.7,185.16,27920
2015-03-05 00:00:00+05:30,184.6,186.0,182.0,184.52,8845
2015-03-09 00:00:00+05:30,183.8,186.0,183.6,185.01,5385
2015-03-10 00:00:00+05:30,185.6,185.6,180.21,181.51,5610
2015-03-11 00:00:00+05:30,180.8,185.0,180.8,183.25,6140
2015-03-12 00:00:00+05:30,182.62,188.0,181.0,186.33,10795
2015-03-13 00:00:00+05:30,185.62,185.62,180.0,182.68,173275
2015-03-16 00:00:00+05:30,182.02,183.62,180.01,180.67,5715
2015-03-17 00:00:00+05:30,181.39,181.99,177.0,180.79,13150
2015-03-18 00:00:00+05:30,183.4,187.53,182.0,183.96,12155
2015-03-19 00:00:00+05:30,190.0,190.0,176.0,180.07,17220
2015-03-20 00:00:00+05:30,180.01,181.59,168.0,176.38,14880
2015-03-23 00:00:00+05:30,180.0,188.0,177.2,180.51,28775
2015-03-24 00:00:00+05:30,180.0,180.0,168.0,175.68,8585
2015-03-25 00:00:00+05:30,176.0,180.0,173.6,179.28,6380
2015-03-26 00:00:00+05:30,177.99,180.02,171.0,173.39,14900
2015-03-27 00:00:00+05:30,172.01,180.0,172.0,175.0,7930
2015-03-30 00:00:00+05:30,176.0,180.0,172.0,178.39,7280
2015-03-31 00:00:00+05:30,180.0,180.0,174.6,175.82,10545
2015-04-01 00:00:00+05:30,175.61,182.39,175.6,179.74,116210
2015-04-06 00:00:00+05:30,180.42,198.22,180.2,191.75,49330
2015-04-07 00:00:00+05:30,195.99,201.0,194.22,198.78,19955
2015-04-08 00:00:00+05:30,198.03,201.8,196.0,196.88,10975
2015-04-09 00:00:00+05:30,197.2,199.0,190.2,195.87,18115
2015-04-10 00:00:00+05:30,194.06,197.8,192.2,193.56,5215
2015-04-13 00:00:00+05:30,194.14,197.6,188.0,189.07,16280
