date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,93.45,97.5,93.45,96.7,117864
2015-01-02 00:00:00+05:30,98.25,99.65,98.1,99.1,211787
2015-01-05 00:00:00+05:30,100.6,100.65,96.1,97.15,204264
2015-01-06 00:00:00+05:30,95.45,97.9,93.75,96.6,189435
2015-01-07 00:00:00+05:30,98.45,98.45,94.4,95.8,109439
2015-01-08 00:00:00+05:30,97.3,98.4,96.5,97.6,119912
2015-01-09 00:00:00+05:30,99.3,99.7,92.0,93.8,244753
2015-01-12 00:00:00+05:30,95.25,96.0,92.0,94.85,220824
2015-01-13 00:00:00+05:30,94.95,95.65,93.0,93.9,100085
2015-01-14 00:00:00+05:30,95.25,96.25,93.75,94.85,90751
2015-01-15 00:00:00+05:30,94.9,95.95,91.7,93.9,98071
2015-01-16 00:00:00+05:30,95.2,95.2,93.25,94.1,54755
2015-01-19 00:00:00+05:30,94.5,100.45,94.5,97.25,407379
2015-01-20 00:00:00+05:30,97.85,99.75,95.5,95.95,162031
2015-01-21 00:00:00+05:30,95.95,96.5,93.85,94.55,100443
2015-01-22 00:00:00+05:30,94.9,96.5,93.85,94.45,120107
2015-01-23 00:00:00+05:30,95.2,95.95,92.25,93.25,120497
2015-01-27 00:00:00+05:30,93.75,94.9,92.05,94.6,143035
2015-01-28 00:00:00+05:30,93.4,94.45,91.95,92.55,127732
2015-01-29 00:00:00+05:30,91.9,94.15,90.45,91.15,129099
2015-01-30 00:00:00+05:30,90.2,92.2,90.0,91.15,93753
2015-02-02 00:00:00+05:30,91.9,96.4,91.5,94.35,293749
2015-02-03 00:00:00+05:30,95.2,96.35,93.1,93.7,189731
2015-02-04 00:00:00+05:30,93.7,95.75,92.4,93.45,262687
2015-02-05 00:00:00+05:30,95.25,95.65,93.0,93.8,160367
2015-02-06 00:00:00+05:30,95.1,108.75,93.85,106.75,4127482
2015-02-09 00:00:00+05:30,107.65,112.15,105.85,107.55,1938120
2015-02-10 00:00:00+05:30,108.0,116.65,90.55,114.5,1774958
2015-02-11 00:00:00+05:30,116.1,117.75,113.35,114.4,878150
2015-02-12 00:00:00+05:30,114.75,115.0,110.05,111.4,352615
2015-02-13 00:00:00+05:30,111.75,111.75,106.75,109.4,309185
2015-02-16 00:00:00+05:30,109.8,111.0,105.4,106.25,297391
2015-02-18 00:00:00+05:30,107.1,109.15,106.3,107.5,279645
2015-02-19 00:00:00+05:30,108.6,115.5,108.2,112.9,973969
2015-02-20 00:00:00+05:30,115.85,120.0,112.5,114.8,1164934
2015-02-23 00:00:00+05:30,115.15,117.3,112.5,113.6,394304
2015-02-24 00:00:00+05:30,114.6,115.15,108.75,110.05,342333
2015-02-25 00:00:00+05:30,109.65,111.0,106.25,108.4,346481
2015-02-26 00:00:00+05:30,108.55,109.15,106.65,107.3,193633
2015-02-27 00:00:00+05:30,108.45,111.0,108.0,110.0,256537
2015-03-02 00:00:00+05:30,108.9,112.2,108.4,110.45,197985
2015-03-03 00:00:00+05:30,110.65,116.95,110.0,110.75,741733
2015-03-04 00:00:00+05:30,111.55,114.1,110.25,111.45,258767
2015-03-05 00:00:00+05:30,112.15,118.5,110.5,116.75,564687
2015-03-09 00:00:00+05:30,114.75,115.75,111.0,111.4,294835
2015-03-10 00:00:00+05:30,112.0,120.0,111.15,119.3,957565
2015-03-11 00:00:00+05:30,120.0,124.5,118.2,119.05,1283733
2015-03-12 00:00:00+05:30,119.65,127.1,119.35,126.3,1335554
2015-03-13 00:00:00+05:30,129.3,130.9,120.4,122.2,928950
2015-03-16 00:00:00+05:30,121.5,129.5,121.5,128.7,1260640
2015-03-17 00:00:00+05:30,129.1,132.6,121.5,123.85,5832165
2015-03-18 00:00:00+05:30,126.75,129.75,125.35,129.05,1001586
2015-03-19 00:00:00+05:30,129.35,130.8,120.1,122.55,666667
2015-03-20 00:00:00+05:30,122.7,124.3,116.25,117.75,366068
2015-03-23 00:00:00+05:30,119.1,124.75,117.05,120.85,451753
2015-03-24 00:00:00+05:30,121.65,123.4,120.15,120.85,211368
2015-03-25 00:00:00+05:30,120.0,122.85,118.6,119.7,201117
2015-03-26 00:00:00+05:30,119.25,123.4,118.35,121.75,260439
2015-03-27 00:00:00+05:30,122.3,126.35,121.35,124.6,322224
2015-03-30 00:00:00+05:30,127.5,131.25,126.0,129.55,522301
2015-03-31 00:00:00+05:30,130.0,134.65,129.25,133.85,788141
2015-04-01 00:00:00+05:30,134.5,135.55,130.75,131.2,385521
2015-04-06 00:00:00+05:30,131.8,132.7,128.85,130.45,293192
2015-04-07 00:00:00+05:30,130.5,132.75,129.2,132.0,270632
2015-04-08 00:00:00+05:30,132.4,136.95,131.25,134.75,582849
2015-04-09 00:00:00+05:30,132.9,134.85,130.5,133.4,387836
2015-04-10 00:00:00+05:30,133.4,134.5,131.2,131.85,329555
2015-04-13 00:00:00+05:30,132.1,135.25,132.1,133.65,262233
2015-04-15 00:00:00+05:30,133.65,134.65,132.65,133.45,243441
2015-04-16 00:00:00+05:30,132.0,133.95,127.5,129.0,704414
2015-04-17 00:00:00+05:30,127.6,130.15,127.6,129.15,267485
2015-04-20 00:00:00+05:30,129.45,130.45,122.55,123.4,262691
2015-04-21 00:00:00+05:30,122.25,124.5,118.5,123.05,345192
2015-04-22 00:00:00+05:30,124.6,127.05,121.5,123.75,453651
2015-04-23 00:00:00+05:30,123.75,123.75,120.75,122.2,192579
2015-04-24 00:00:00+05:30,121.95,121.95,113.3,115.0,205413
2015-04-27 00:00:00+05:30,115.0,118.35,107.5,116.1,344259
2015-04-28 00:00:00+05:30,116.75,116.75,111.1,112.45,182653
2015-04-29 00:00:00+05:30,112.45,119.85,111.0,118.85,872518
2015-04-30 00:00:00+05:30,117.75,118.5,114.75,116.05,148519
2015-05-04 00:00:00+05:30,119.25,121.3,117.45,119.65,158307
2015-05-05 00:00:00+05:30,118.9,121.0,114.05,117.25,132360
2015-05-06 00:00:00+05:30,117.85,119.25,110.1,117.65,333245
2015-05-07 00:00:00+05:30,117.7,117.7,110.7,111.35,253240
2015-05-08 00:00:00+05:30,113.95,116.25,112.5,114.4,137375
2015-05-11 00:00:00+05:30,114.65,116.55,110.95,111.6,256115
2015-05-12 00:00:00+05:30,112.5,112.5,109.0,110.5,157585
2015-05-13 00:00:00+05:30,111.05,113.8,109.9,111.6,133353
2015-05-14 00:00:00+05:30,111.7,114.75,109.6,112.75,194619
2015-05-15 00:00:00+05:30,113.85,116.35,113.25,114.7,204951
2015-05-18 00:00:00+05:30,115.15,121.9,114.15,121.0,268404
2015-05-19 00:00:00+05:30,122.2,127.6,121.95,124.3,463875
2015-05-20 00:00:00+05:30,127.35,127.8,117.9,119.75,1043370
2015-05-21 00:00:00+05:30,119.85,119.85,114.9,117.2,332395
2015-05-22 00:00:00+05:30,117.8,119.55,111.5,113.95,257547
2015-05-25 00:00:00+05:30,113.95,116.1,112.55,114.25,257056
2015-05-26 00:00:00+05:30,114.25,115.25,111.5,112.25,145652
2015-05-27 00:00:00+05:30,111.4,111.9,96.7,108.0,345281
2015-05-28 00:00:00+05:30,109.5,109.55,100.95,107.35,643063
2015-05-29 00:00:00+05:30,108.0,111.3,106.65,109.25,219249
2015-06-01 00:00:00+05:30,109.5,110.2,105.0,108.7,288213
2015-06-02 00:00:00+05:30,108.75,109.9,106.9,109.0,214213
2015-06-03 00:00:00+05:30,107.4,109.35,101.35,104.55,203337
2015-06-04 00:00:00+05:30,107.25,107.9,105.0,107.6,236531
2015-06-05 00:00:00+05:30,106.55,107.45,104.75,105.25,117221
2015-06-08 00:00:00+05:30,106.5,107.65,104.35,105.0,71155
2015-06-09 00:00:00+05:30,102.5,104.85,102.5,103.45,100591
2015-06-10 00:00:00+05:30,102.05,107.45,102.05,105.55,170401
2015-06-11 00:00:00+05:30,105.9,106.8,100.05,100.9,231768
2015-06-12 00:00:00+05:30,100.9,102.25,96.4,98.0,222203
2015-06-15 00:00:00+05:30,98.2,100.9,95.65,97.05,244989
2015-06-16 00:00:00+05:30,97.5,99.6,96.75,98.4,143661
2015-06-17 00:00:00+05:30,98.15,102.7,97.6,102.1,252139
2015-06-18 00:00:00+05:30,101.35,106.6,101.35,105.15,322393
2015-06-19 00:00:00+05:30,105.4,106.45,102.35,103.55,185745
2015-06-22 00:00:00+05:30,105.15,105.2,103.5,104.6,270600
2015-06-23 00:00:00+05:30,104.05,106.45,103.15,103.6,187396
2015-06-24 00:00:00+05:30,104.45,107.1,104.25,104.85,220180
2015-06-25 00:00:00+05:30,103.5,105.25,101.85,102.1,148884
2015-06-26 00:00:00+05:30,103.15,103.15,99.45,100.05,190195
2015-06-29 00:00:00+05:30,100.45,100.45,95.25,96.7,219776
2015-06-30 00:00:00+05:30,96.85,98.55,95.75,96.35,162261
2015-07-01 00:00:00+05:30,96.75,99.0,96.5,97.85,202913
2015-07-02 00:00:00+05:30,98.7,101.95,98.7,100.95,337341
2015-07-03 00:00:00+05:30,101.25,102.6,99.4,101.95,208179
2015-07-06 00:00:00+05:30,99.4,101.75,99.4,100.75,135400
2015-07-07 00:00:00+05:30,100.9,103.35,100.9,102.7,205787
2015-07-08 00:00:00+05:30,101.95,102.0,100.0,100.75,228384
2015-07-09 00:00:00+05:30,101.75,101.75,98.1,98.6,246965
2015-07-10 00:00:00+05:30,99.5,101.1,98.2,100.25,170749
2015-07-13 00:00:00+05:30,101.25,104.65,99.55,103.15,368200
2015-07-14 00:00:00+05:30,102.75,105.75,102.55,103.9,397784
2015-07-15 00:00:00+05:30,104.25,113.65,104.25,112.25,790564
2015-07-16 00:00:00+05:30,113.95,115.0,110.7,111.55,486631
2015-07-17 00:00:00+05:30,111.75,113.0,109.55,111.6,274127
