date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,23.55,23.9,23.25,23.6,293613
2015-01-02 00:00:00+05:30,23.65,24.4,23.3,23.75,480179
2015-01-05 00:00:00+05:30,23.25,24.15,23.15,23.25,311061
2015-01-06 00:00:00+05:30,23.25,23.25,22.1,22.2,424560
2015-01-07 00:00:00+05:30,22.45,23.15,22.15,22.4,725982
2015-01-08 00:00:00+05:30,22.9,23.4,22.65,22.8,418535
2015-01-09 00:00:00+05:30,23.2,23.4,22.5,23.0,359570
2015-01-12 00:00:00+05:30,23.0,24.9,22.7,23.75,1507166
2015-01-13 00:00:00+05:30,24.0,24.0,23.1,23.3,219088
2015-01-14 00:00:00+05:30,23.2,23.7,22.65,22.8,304526
2015-01-15 00:00:00+05:30,23.0,23.35,22.65,22.8,217170
2015-01-16 00:00:00+05:30,22.7,23.05,22.55,22.6,267996
2015-01-19 00:00:00+05:30,22.5,23.0,22.5,22.75,409055
2015-01-20 00:00:00+05:30,23.0,23.4,22.3,22.4,509274
2015-01-21 00:00:00+05:30,22.35,22.65,21.6,21.7,477833
2015-01-22 00:00:00+05:30,21.9,22.3,21.3,21.55,483412
2015-01-23 00:00:00+05:30,21.85,21.9,21.05,21.2,303144
2015-01-27 00:00:00+05:30,21.65,21.65,20.55,20.6,297089
2015-01-28 00:00:00+05:30,20.7,21.2,20.05,21.05,443546
2015-01-29 00:00:00+05:30,20.9,21.3,20.25,20.6,246516
2015-01-30 00:00:00+05:30,20.39,21.2,20.39,20.95,243156
2015-02-02 00:00:00+05:30,21.15,22.9,20.6,22.7,859314
2015-02-03 00:00:00+05:30,22.85,22.85,21.1,21.3,579797
2015-02-04 00:00:00+05:30,21.6,21.6,21.15,21.35,104237
2015-02-05 00:00:00+05:30,21.35,21.8,20.8,21.1,269461
2015-02-06 00:00:00+05:30,21.1,21.25,20.45,20.7,247909
2015-02-09 00:00:00+05:30,21.0,21.0,20.1,20.3,251646
2015-02-10 00:00:00+05:30,20.2,20.8,19.3,19.5,265016
2015-02-11 00:00:00+05:30,19.55,19.89,19.1,19.8,195099
2015-02-12 00:00:00+05:30,19.45,20.39,19.14,19.8,455224
2015-02-13 00:00:00+05:30,20.75,21.5,20.5,21.05,1491347
2015-02-16 00:00:00+05:30,21.45,21.45,19.89,20.05,448784
2015-02-18 00:00:00+05:30,20.14,20.35,19.75,20.0,694452
2015-02-19 00:00:00+05:30,20.3,21.6,20.3,20.85,1354062
2015-02-20 00:00:00+05:30,21.5,21.6,20.2,20.5,888560
2015-02-23 00:00:00+05:30,20.8,21.9,20.55,21.05,1032549
2015-02-24 00:00:00+05:30,21.2,21.35,20.6,20.65,251710
2015-02-25 00:00:00+05:30,20.55,21.6,20.39,20.5,373243
2015-02-26 00:00:00+05:30,20.6,20.7,20.2,20.3,121589
2015-02-27 00:00:00+05:30,20.3,20.65,20.0,20.14,184239
2015-03-02 00:00:00+05:30,20.3,20.45,19.6,19.8,220728
2015-03-03 00:00:00+05:30,19.7,20.05,19.7,19.85,213203
2015-03-04 00:00:00+05:30,20.0,20.25,19.45,19.5,291491
2015-03-05 00:00:00+05:30,19.8,19.85,19.39,19.6,156641
2015-03-09 00:00:00+05:30,19.35,19.6,19.2,19.35,242435
2015-03-10 00:00:00+05:30,19.45,19.75,18.8,19.0,580084
2015-03-11 00:00:00+05:30,19.1,19.2,18.5,18.64,191121
2015-03-12 00:00:00+05:30,18.75,19.2,18.64,19.05,239638
2015-03-13 00:00:00+05:30,19.05,19.25,18.45,18.55,276778
2015-03-16 00:00:00+05:30,19.0,19.0,17.55,17.64,416781
2015-03-17 00:00:00+05:30,17.8,17.89,17.25,17.5,265551
2015-03-18 00:00:00+05:30,17.5,18.1,17.25,18.0,296375
2015-03-19 00:00:00+05:30,18.39,18.39,17.25,18.1,139133
2015-03-20 00:00:00+05:30,18.05,18.05,17.45,17.55,120327
2015-03-23 00:00:00+05:30,17.6,17.75,17.05,17.14,185148
2015-03-24 00:00:00+05:30,17.25,18.2,17.05,17.95,259514
2015-03-25 00:00:00+05:30,17.6,18.05,17.05,17.14,175655
2015-03-26 00:00:00+05:30,17.0,17.55,16.85,17.35,113257
2015-03-27 00:00:00+05:30,17.39,17.85,16.7,17.5,236940
2015-03-30 00:00:00+05:30,17.55,18.8,17.55,18.64,129763
2015-03-31 00:00:00+05:30,18.7,19.2,17.95,18.1,140654
2015-04-01 00:00:00+05:30,18.14,20.5,18.14,20.05,556408
2015-04-06 00:00:00+05:30,20.55,20.65,19.8,20.1,380796
2015-04-07 00:00:00+05:30,20.55,21.65,19.6,21.25,735142
2015-04-08 00:00:00+05:30,21.4,21.4,20.5,20.65,253954
2015-04-09 00:00:00+05:30,20.7,21.25,19.85,20.1,893163
2015-04-10 00:00:00+05:30,20.2,20.45,19.8,20.05,212431
2015-04-13 00:00:00+05:30,20.1,20.45,19.75,20.1,263265
2015-04-15 00:00:00+05:30,19.85,20.8,19.85,20.14,131916
2015-04-16 00:00:00+05:30,20.0,20.35,19.75,19.95,139336
2015-04-17 00:00:00+05:30,20.0,20.9,19.89,20.55,273868
2015-04-20 00:00:00+05:30,20.9,21.0,19.75,20.05,735534
2015-04-21 00:00:00+05:30,19.89,20.1,19.39,19.6,182661
2015-04-22 00:00:00+05:30,19.6,19.89,19.1,19.25,301175
2015-04-23 00:00:00+05:30,19.45,19.5,18.85,18.95,188891
2015-04-24 00:00:00+05:30,19.05,19.25,18.6,18.8,96880
2015-04-27 00:00:00+05:30,18.89,18.95,17.85,18.0,190973
2015-04-28 00:00:00+05:30,17.89,19.0,17.85,18.39,169091
2015-04-29 00:00:00+05:30,18.3,18.85,18.25,18.55,69718
2015-04-30 00:00:00+05:30,18.55,18.89,18.0,18.14,112747
2015-05-04 00:00:00+05:30,18.35,19.0,18.35,18.64,91847
2015-05-05 00:00:00+05:30,18.64,18.8,18.39,18.5,75524
2015-05-06 00:00:00+05:30,18.39,18.8,17.89,18.14,93872
2015-05-07 00:00:00+05:30,18.0,18.25,17.75,17.8,133111
2015-05-08 00:00:00+05:30,18.0,18.14,17.64,17.89,136281
2015-05-11 00:00:00+05:30,18.0,18.3,17.8,18.25,107096
2015-05-12 00:00:00+05:30,18.25,18.25,17.75,17.8,50113
2015-05-13 00:00:00+05:30,18.0,18.5,17.7,17.95,112697
2015-05-14 00:00:00+05:30,17.7,18.2,17.6,17.75,102736
2015-05-15 00:00:00+05:30,17.8,18.05,17.75,17.95,47815
2015-05-18 00:00:00+05:30,17.8,18.7,17.75,18.39,273869
2015-05-19 00:00:00+05:30,18.2,18.89,18.0,18.8,216739
2015-05-20 00:00:00+05:30,18.75,18.8,18.39,18.6,56861
2015-05-21 00:00:00+05:30,18.5,19.3,18.3,18.5,105960
2015-05-22 00:00:00+05:30,18.55,19.3,18.55,18.95,203392
2015-05-25 00:00:00+05:30,18.55,19.0,18.25,18.7,44062
2015-05-26 00:00:00+05:30,18.7,18.8,17.5,17.95,284921
2015-05-27 00:00:00+05:30,17.7,18.3,17.7,18.0,71525
2015-05-28 00:00:00+05:30,17.75,17.95,17.75,17.89,39671
2015-05-29 00:00:00+05:30,18.35,19.89,18.1,18.35,108162
2015-06-01 00:00:00+05:30,18.2,19.0,18.0,18.05,84939
2015-06-02 00:00:00+05:30,18.0,18.2,17.64,17.7,93523
2015-06-03 00:00:00+05:30,17.55,17.64,16.85,17.14,190623
2015-06-04 00:00:00+05:30,17.1,17.6,16.6,16.85,190448
2015-06-05 00:00:00+05:30,16.89,17.5,16.39,17.05,119742
2015-06-08 00:00:00+05:30,17.05,17.1,16.3,16.39,160889
2015-06-09 00:00:00+05:30,16.2,16.5,16.1,16.35,100127
2015-06-10 00:00:00+05:30,16.45,18.95,16.39,18.64,1456561
2015-06-11 00:00:00+05:30,19.05,19.1,17.55,17.7,241053
2015-06-12 00:00:00+05:30,17.64,18.0,17.05,17.14,152865
2015-06-15 00:00:00+05:30,17.2,17.5,16.7,16.89,97958
2015-06-16 00:00:00+05:30,17.0,17.3,16.75,17.1,115979
2015-06-17 00:00:00+05:30,17.05,17.3,17.05,17.2,67648
2015-06-18 00:00:00+05:30,17.0,17.8,17.0,17.7,100369
2015-06-19 00:00:00+05:30,17.8,18.2,17.5,17.75,108016
2015-06-22 00:00:00+05:30,17.75,17.95,17.39,17.64,84771
2015-06-23 00:00:00+05:30,17.7,18.39,17.55,18.1,166884
2015-06-24 00:00:00+05:30,18.45,19.7,18.05,18.85,656230
2015-06-25 00:00:00+05:30,18.6,19.0,18.5,18.6,83644
2015-06-26 00:00:00+05:30,18.5,18.7,17.85,18.1,156588
2015-06-29 00:00:00+05:30,17.64,18.39,17.05,18.14,122295
2015-06-30 00:00:00+05:30,18.14,19.6,18.0,19.35,322723
2015-07-01 00:00:00+05:30,19.2,19.7,18.55,18.8,179144
2015-07-02 00:00:00+05:30,18.95,21.25,18.55,20.95,1095554
2015-07-03 00:00:00+05:30,22.0,22.7,20.65,21.05,2377489
2015-07-06 00:00:00+05:30,20.9,22.0,20.05,21.45,439237
2015-07-07 00:00:00+05:30,21.5,21.8,20.7,21.25,293230
2015-07-08 00:00:00+05:30,21.0,21.7,20.5,21.35,523213
2015-07-09 00:00:00+05:30,21.6,22.5,21.4,21.8,455049
2015-07-10 00:00:00+05:30,21.85,22.5,21.45,21.6,190176
2015-07-13 00:00:00+05:30,21.6,21.75,21.3,21.5,95433
2015-07-14 00:00:00+05:30,21.3,21.7,20.7,21.05,142759
2015-07-15 00:00:00+05:30,20.8,21.6,20.55,20.65,130921
