date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,48.3,48.3,46.05,47.95,144
2015-01-02 00:00:00+05:30,46.2,47.95,46.0,47.0,677
2015-01-05 00:00:00+05:30,56.0,56.0,46.6,47.15,1359
2015-01-06 00:00:00+05:30,45.25,47.2,45.0,46.0,602
2015-01-07 00:00:00+05:30,45.75,45.75,45.3,45.3,271
2015-01-08 00:00:00+05:30,46.5,47.45,46.15,46.55,553
2015-01-09 00:00:00+05:30,46.55,47.85,45.6,47.0,5404
2015-01-12 00:00:00+05:30,44.45,48.5,44.45,46.1,1665
2015-01-13 00:00:00+05:30,45.65,47.0,45.65,46.25,1909
2015-01-14 00:00:00+05:30,46.8,46.85,45.0,45.0,1719
2015-01-15 00:00:00+05:30,48.95,48.95,44.5,44.5,1788
2015-01-16 00:00:00+05:30,44.5,45.0,44.0,44.9,3817
2015-01-19 00:00:00+05:30,46.5,46.6,44.8,45.55,597
2015-01-20 00:00:00+05:30,44.5,46.3,44.5,46.25,447
2015-01-21 00:00:00+05:30,46.05,46.5,45.25,45.55,1847
2015-01-22 00:00:00+05:30,44.15,46.2,44.15,45.2,1779
2015-01-23 00:00:00+05:30,45.2,45.45,44.0,44.9,1581
2015-01-27 00:00:00+05:30,44.9,45.0,44.1,44.3,730
2015-01-28 00:00:00+05:30,45.0,45.0,44.0,44.75,1729
2015-01-29 00:00:00+05:30,44.5,45.5,44.5,45.5,1259
2015-01-30 00:00:00+05:30,46.0,46.0,44.4,44.4,1885
2015-02-02 00:00:00+05:30,44.5,44.5,44.5,44.5,500
2015-02-03 00:00:00+05:30,43.4,46.0,43.4,44.2,2332
2015-02-04 00:00:00+05:30,45.0,45.0,43.7,44.25,5394
2015-02-05 00:00:00+05:30,43.5,47.5,43.0,45.2,2216
2015-02-06 00:00:00+05:30,43.1,45.5,43.05,43.8,1167
2015-02-09 00:00:00+05:30,40.0,42.05,38.65,41.75,295
2015-02-10 00:00:00+05:30,41.0,41.45,41.0,41.45,46
2015-02-11 00:00:00+05:30,42.0,45.0,40.25,42.75,32
2015-02-12 00:00:00+05:30,47.95,47.95,40.2,43.2,5670
2015-02-13 00:00:00+05:30,41.1,45.0,41.1,44.5,1142
2015-02-16 00:00:00+05:30,48.0,53.4,47.2,48.2,24070
2015-02-18 00:00:00+05:30,50.95,51.0,47.0,48.95,4599
2015-02-19 00:00:00+05:30,48.0,48.15,47.1,47.45,2638
2015-02-20 00:00:00+05:30,47.0,49.9,46.95,48.75,21173
2015-02-23 00:00:00+05:30,48.0,57.45,48.0,52.9,12263
2015-02-24 00:00:00+05:30,48.0,54.25,45.2,53.2,4928
