date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,27.5,28.3,27.45,28.0,4872
2015-01-02 00:00:00+05:30,28.0,28.25,27.7,27.8,7107
2015-01-05 00:00:00+05:30,28.0,28.8,27.85,28.0,3175
2015-01-06 00:00:00+05:30,27.6,28.0,27.5,27.5,3910
2015-01-07 00:00:00+05:30,26.7,28.0,26.7,28.0,3237
2015-01-08 00:00:00+05:30,29.15,29.15,27.7,27.7,4680
2015-01-09 00:00:00+05:30,27.3,28.7,27.2,28.05,998
2015-01-12 00:00:00+05:30,29.4,29.45,28.8,29.45,9165
2015-01-13 00:00:00+05:30,30.9,30.9,29.3,30.8,8899
2015-01-14 00:00:00+05:30,32.25,32.25,29.6,30.0,1811
2015-01-15 00:00:00+05:30,29.3,30.75,29.3,29.5,1711
2015-01-16 00:00:00+05:30,30.9,30.9,29.2,30.1,2977
2015-01-19 00:00:00+05:30,30.15,31.3,30.0,30.85,16594
2015-01-20 00:00:00+05:30,29.7,31.0,29.7,30.45,1898
2015-01-21 00:00:00+05:30,30.2,30.75,29.85,29.9,2935
2015-01-22 00:00:00+05:30,31.35,31.35,29.4,29.55,3051
2015-01-23 00:00:00+05:30,29.15,29.2,28.4,28.5,2889
2015-01-27 00:00:00+05:30,28.35,29.2,28.0,29.0,1641
2015-01-28 00:00:00+05:30,28.05,28.25,27.75,27.9,1040
2015-01-29 00:00:00+05:30,26.85,28.75,26.85,28.75,1880
2015-01-30 00:00:00+05:30,27.45,29.45,27.45,28.95,1421
2015-02-02 00:00:00+05:30,27.55,29.4,27.55,29.3,4040
2015-02-03 00:00:00+05:30,28.55,29.3,28.55,28.65,3642
2015-02-04 00:00:00+05:30,28.65,29.0,27.55,28.95,4867
2015-02-05 00:00:00+05:30,30.35,30.35,27.55,27.65,1201
2015-02-06 00:00:00+05:30,28.05,28.7,26.4,27.0,4283
2015-02-09 00:00:00+05:30,26.3,27.3,26.3,26.5,1421
2015-02-10 00:00:00+05:30,26.65,26.65,26.45,26.45,2949
2015-02-11 00:00:00+05:30,25.7,27.6,25.7,26.7,2474
2015-02-12 00:00:00+05:30,26.9,26.9,26.55,26.55,865
2015-02-13 00:00:00+05:30,26.0,27.4,26.0,27.4,768
2015-02-16 00:00:00+05:30,28.4,28.4,26.2,26.25,1700
2015-02-18 00:00:00+05:30,27.0,27.25,25.0,26.5,2876
2015-02-19 00:00:00+05:30,26.1,26.95,25.5,26.15,3626
2015-02-20 00:00:00+05:30,26.15,27.2,25.8,25.8,1062
2015-02-23 00:00:00+05:30,25.65,26.05,25.55,26.0,1753
2015-02-24 00:00:00+05:30,26.0,26.75,25.75,26.55,1320
