date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,119.45,123.65,119.15,121.6,74075
2015-01-02 00:00:00+05:30,124.0,124.9,119.8,120.5,81391
2015-01-05 00:00:00+05:30,120.0,123.4,116.8,117.2,71830
2015-01-06 00:00:00+05:30,117.0,118.15,114.05,114.55,59574
2015-01-07 00:00:00+05:30,113.4,116.25,112.0,113.75,65555
2015-01-08 00:00:00+05:30,120.0,120.0,113.6,114.35,67911
2015-01-09 00:00:00+05:30,117.5,118.2,112.3,113.35,54202
2015-01-12 00:00:00+05:30,115.0,116.45,112.7,114.45,72324
2015-01-13 00:00:00+05:30,116.0,116.0,111.0,111.4,59077
2015-01-14 00:00:00+05:30,115.0,115.0,90.0,110.75,94422
2015-01-15 00:00:00+05:30,112.85,113.2,108.65,109.7,56675
2015-01-16 00:00:00+05:30,111.7,112.0,109.55,110.35,39665
2015-01-19 00:00:00+05:30,111.0,114.0,111.0,112.2,37789
2015-01-20 00:00:00+05:30,112.05,113.85,110.3,111.3,98285
2015-01-21 00:00:00+05:30,111.0,113.05,109.0,109.4,25524
2015-01-22 00:00:00+05:30,108.95,110.85,108.05,109.95,33530
2015-01-23 00:00:00+05:30,111.95,111.95,107.1,107.85,79362
2015-01-27 00:00:00+05:30,108.95,109.0,106.0,107.0,30858
2015-01-28 00:00:00+05:30,107.35,107.35,101.65,103.7,58099
2015-01-29 00:00:00+05:30,103.2,108.95,102.2,105.65,54996
2015-01-30 00:00:00+05:30,108.95,108.95,103.0,103.25,46165
2015-02-02 00:00:00+05:30,103.0,107.0,103.0,103.95,31839
2015-02-03 00:00:00+05:30,106.0,106.0,102.95,103.25,28762
2015-02-04 00:00:00+05:30,103.1,103.1,97.75,99.25,66791
2015-02-05 00:00:00+05:30,99.55,101.9,98.3,99.85,64242
2015-02-06 00:00:00+05:30,99.05,99.9,97.7,98.85,41594
2015-02-09 00:00:00+05:30,98.05,98.5,95.9,96.95,32479
2015-02-10 00:00:00+05:30,98.65,98.75,96.05,97.9,32472
2015-02-11 00:00:00+05:30,97.9,104.9,96.4,102.65,46382
2015-02-12 00:00:00+05:30,104.0,108.2,101.5,106.0,60281
2015-02-13 00:00:00+05:30,107.5,109.0,104.0,107.75,55890
2015-02-16 00:00:00+05:30,106.0,106.0,98.7,102.65,63353
2015-02-18 00:00:00+05:30,105.4,105.4,98.0,100.05,71097
2015-02-19 00:00:00+05:30,100.3,100.7,97.05,97.9,31784
2015-02-20 00:00:00+05:30,99.9,99.9,95.05,96.0,48996
2015-02-23 00:00:00+05:30,96.95,97.15,93.2,93.9,41791
2015-02-24 00:00:00+05:30,94.15,94.7,93.15,93.4,17060
2015-02-25 00:00:00+05:30,93.0,95.0,91.1,91.85,30585
2015-02-26 00:00:00+05:30,93.35,93.35,89.8,90.2,27368
2015-02-27 00:00:00+05:30,90.8,94.8,88.9,92.05,31036
2015-03-02 00:00:00+05:30,92.35,92.8,89.0,90.3,25511
2015-03-03 00:00:00+05:30,90.95,93.9,89.05,91.6,46858
2015-03-04 00:00:00+05:30,92.3,94.9,90.15,93.4,49867
2015-03-05 00:00:00+05:30,93.5,93.5,90.05,90.9,59816
2015-03-09 00:00:00+05:30,93.75,93.75,90.05,91.75,43856
2015-03-10 00:00:00+05:30,91.45,93.1,86.0,86.45,78148
2015-03-11 00:00:00+05:30,86.55,92.6,86.55,88.0,65640
2015-03-12 00:00:00+05:30,88.55,90.0,86.3,86.55,17113
